date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,14.052,14.151,14.35,14,1533691859,
2025-02-11,14.52,14.072,14.538,13.964,1598679089,
2025-02-12,15.138,14.5,15.33,14.2,6521940906,
2025-02-13,16.256,15.282,16.673,14.98,7867775138,
2025-02-14,16.12,16.2,16.96,15.6,9797245898,
2025-02-17,17.4,16.27,17.543,16.269,4243103080,
2025-02-18,16.569,17.543,17.85,16.17,4440901711,
2025-02-19,17.027,16.624,17.2,16.25,2846413119,
2025-02-20,17.391,17.08,17.74,16.76,3745966253,
2025-02-21,17.451,17.392,17.68,17.15,2850449488,
2025-02-24,17.943,17.452,18,17.325,3944971322,
2025-02-25,18.138,17.97,18.6,17.75,3281194318,
2025-02-26,17.662,18.142,18.371,17.537,3495970261,
2025-02-27,17.27,17.65,17.84,17.177,2181817752,
2025-02-28,17.48,17.222,17.589,16.647,4260220264,
2025-03-01,17.594,17.594,17.594,17.532,45443237,
2025-03-02,17.321,17.594,17.594,17.271,190211560,
2025-03-03,17.333,17.387,17.5,16.75,2466604889,
2025-03-04,17.998,17.333,18.15,17.324,2590974886,
2025-03-05,17.83,17.969,18.299,17.656,2447112336,
2025-03-06,17.92,17.9,18.278,17.823,1592487873,
2025-03-07,17.98,17.96,18.249,17.62,2225329694,
2025-03-10,18.513,17.92,18.6,17.903,3303429010,
2025-03-11,18.43,18.498,18.696,18.224,2887544229,
2025-03-12,18.21,18.251,18.477,18.079,1500266727,
2025-03-13,18.156,18.171,18.247,17.537,3101998736,
2025-03-14,18.793,18.095,18.89,17.847,2285459852,
2025-03-15,18.785,18.792,18.85,18.655,94995830,
2025-03-16,19.11,18.785,19.143,18.75,270290027,
2025-03-17,19.4,19.118,19.51,18.976,2325197913,
2025-03-18,19.068,19.4,19.67,19.031,2419332770,
2025-03-19,19.397,19.07,19.558,18.868,1986944840,
2025-03-20,19.365,19.39,19.517,19.089,1423434541,
2025-03-21,18.736,19.375,19.455,18.602,2590508453,
2025-03-24,18.075,18.73,18.841,17.94,2214173022,
2025-03-25,18.06,18.09,18.225,17.361,2888772059,
2025-03-26,17.578,18.166,18.227,17.539,1354868197,
2025-03-27,16.88,17.559,17.652,16.75,2296734637,
2025-03-28,16.173,16.88,16.908,16,3359690204,
2025-03-29,15.966,16.173,16.253,15.906,163995988,
2025-03-30,15.906,15.906,15.97,15.906,34864886,
2025-03-31,16.384,15.77,16.47,15.299,2766754100,
2025-04-01,15.947,16.409,16.896,15.88,3044718998,
2025-04-02,15.994,15.914,16.38,15.78,2537821790,
2025-04-03,16.3,16.1,16.48,15.692,2895487841,
2025-04-04,15.671,16.5,16.509,15.46,3068357011,
2025-04-05,15.529,15.61,15.668,15.103,491556394,
2025-04-06,15.84,15.534,15.854,15.457,212797628,
2025-04-07,14.685,15.6,15.6,14.266,4891256227,
2025-04-08,13.75,14.724,15.083,13.7,2618297799,
2025-04-09,14.738,13.75,14.738,12.855,4558152929,
