;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;;01.07.2018;01.07.2018;;01.07.2018;;;;01.07.2018;;;;21.05.2018;05.06.2018;30.08.2018;27.11.2018;03.04.2019;04.06.2019;29.08.2019;27.11.2019;07.04.2020;10.06.2020;03.09.2020;03.12.2020;08.04.2021;15.06.2021;30.08.2021;02.12.2021;08.04.2022;09.06.2022;29.08.2022;;10.04.2023;29.08.2023;29.08.2023;13.12.2023;08.04.2024;16.07.2024;29.08.2024;18.04.2025;17.04.2025;06.06.2025;28.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;;;182.9;;164.3;168.4;180.6;186.7;163.4;167.4;180.6;193.2;170.9;182.1;204.6;176.4;185.5;194.1;214.0;181.1;158.9;155.1;184.9;192.7;171.5;180.0;225.1;196.6;207.0;214.0;237.7;254.0;221.1;245.7;280.8;298.4;272.9;302.0;313.3;343.8;295.7;321.1;355.3;"1 316"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;22.9;24.1;39.9;22.6;25.4;25.8;39.0;65.7;31.4;48.2;;81.6;;83.1;;32.4;;82.5;;84.5;;93.9;;178.4
"EBITDA, млрд руб";;;;;;;;51.9;;43.0;44.9;56.4;40.7;44.4;48.6;55.6;50.9;59.5;66.0;73.6;55.3;53.2;65.7;75.4;52.7;54.1;54.8;71.7;55.8;56.9;58.5;75.0;74.3;73.0;85.8;70.1;81.6;82.4;75.2;74.9;31.0;69.7;85.3;84.3;78.4;84.3;96.8;102.8;362.3
"Чистая прибыль, млрд руб";;;;;;;;0.481;;2.20;0.149;5.53;-6.18;1.58;-0.799;5.17;-1.56;-0.215;-1.33;1.55;-0.200;15.7;7.47;3.36;26.8;-9.40;1.94;2.60;20.9;-2.40;-3.39;2.29;-5.40;-10.6;-10.8;;40.8;16.5;2.10;4.30;-54.4;1.50;-16.2;-2.60;-8.32;-21.2;-72.9;-52.9;-155.4
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;1.12;-15.9;1.58;-1.32;4.45;-98.9;0.612;-1.68;-27.8;-15.8;16.6;6.54;-2.27;7.68;-10.2;0.580;2.33;17.5;-2.40;-3.88;0.880;22.7;-18.5;-2.07;;40.0;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;27.6;24.6;50.9;33.8;13.0;20.3;38.5;49.8;-20.2;14.1;;55.1;;8.90;;65.2;;-36.7;;37.9;;40.6;;78.4
"CAPEX, млрд руб";;;;;;;;27.9;;16.1;27.8;26.6;;26.9;20.9;33.2;0.000;22.6;14.0;27.5;29.6;16.9;36.8;7.32;31.2;28.1;26.8;31.1;41.7;37.8;36.6;47.5;45.3;52.3;29.7;;76.6;;55.7;35.8;57.8;;82.4;48.3;58.6;44.2;84.2;43.3;230.3
"FCF, млрд руб";;;;;;;;;;;;;;20.5;15.7;-15.8;13.6;14.9;7.90;;;;;;;-3.24;-2.52;18.0;-9.36;-25.4;-18.8;-9.86;1.63;-101.6;7.05;;-24.8;;-54.9;;-44.5;;-125.2;;-88.1;;-48.3;;-136.4
