date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,64.81,64.32,65.85,64.28,2804626273,
2025-02-11,64.67,64.6,65.17,64.14,1749556600,
2025-02-12,69.39,64.75,69.7,62.71,8094053196,
2025-02-13,67.97,69.39,69.7,66,4296270881,
2025-02-14,68.94,68.01,72.1,66.48,9966978654,
2025-02-17,74.51,70.62,74.6,70.25,7537941202,
2025-02-18,71.89,74.94,75.09,71.01,7328863708,
2025-02-19,75.03,72,75.36,71.7,5671829779,
2025-02-20,77.07,75,78.45,74.28,7972693619,
2025-02-21,76.22,76.82,77.9,74.57,4697178316,
2025-02-24,76.95,76.31,77.48,75.4,3232246646,
2025-02-25,77.22,76.95,78.17,76.44,2933761058,
2025-02-26,74.69,77.38,78.2,73.65,4881621459,
2025-02-27,71.51,74.8,74.86,71.4,4093842702,
2025-02-28,73.59,71.27,74.99,69.62,10940831712,
2025-03-01,73.81,73.65,73.94,73.58,92569775,
2025-03-02,72.93,73.79,73.79,72.53,150961075,
2025-03-03,73.98,72.97,75.17,70.35,9233220399,
2025-03-04,76.35,74.1,76.9,74.05,5787198948,
2025-03-05,74.2,76.45,76.69,73.83,2939367827,
2025-03-06,73.82,74.2,74.95,72.94,1889354315,
2025-03-07,75.1,73.81,76.81,72.56,7631346922,
2025-03-10,74.71,75.35,75.72,74.41,1536197132,
2025-03-11,74.26,74.7,75.3,73.27,1967634591,
2025-03-12,73.2,74.22,74.46,72.79,1522182161,
2025-03-13,73.87,73.2,74.97,71.5,3317341844,
2025-03-14,74.56,73.5,75,72.65,2069640005,
2025-03-15,74.72,74.56,74.87,74.53,62979000,
2025-03-16,75.95,74.63,75.99,74.57,209696767,
2025-03-17,76.35,75.86,77.15,75.02,2439885880,
2025-03-18,75.44,76.5,77.5,75.15,3416938816,
2025-03-19,76.05,75.46,76.44,74.75,1381066686,
2025-03-20,75.8,76.38,76.38,75,1011614177,
2025-03-21,75.48,75.57,76.1,74.61,1027404899,
2025-03-24,74.36,75.22,75.48,73.6,1131791754,
2025-03-25,74.6,74.42,75.18,72.92,1241800182,
2025-03-26,73.25,74.72,74.88,73.17,692636444,
2025-03-27,71,73.3,73.32,70.89,1454930473,
2025-03-28,67.21,70.93,70.95,66.99,2509467506,
2025-03-29,66.45,66.5,66.9,66.45,76906905,
2025-03-30,66.45,66.45,66.7,66.45,37001233,
2025-03-31,69.63,66,69.82,65.28,2443944246,
2025-04-01,66.02,69.9,70.7,64.5,3225795680,
2025-04-02,67.43,66.06,67.9,65.24,2266985212,
2025-04-03,70.36,67.43,70.59,64.11,2593066787,
2025-04-04,66.46,70.9,71.5,65.1,6077423522,
2025-04-05,65.56,66.31,66.31,64.12,469588327,
2025-04-06,66.48,65.69,66.66,65.26,252283730,
2025-04-07,64.07,64.99,65.64,61.23,4681464569,
2025-04-08,62.33,64.83,66.18,61.56,2573445490,
2025-04-09,67.76,62.1,68.2,60.41,5301054149,
2025-04-10,67.13,68,70.43,66.4,4272613314,
2025-04-11,69.6,67.29,70.59,66.91,5303367942,
2025-04-12,71.14,69.92,71.39,69.81,675759320,
2025-04-13,71.4,71.09,71.4,70.76,327892306,
2025-04-14,68.69,71.4,71.4,67.83,2279193557,
2025-04-15,69.35,68.73,69.61,68.01,1396042411,
2025-04-16,69.35,69.26,70.35,68.21,1429136388,
2025-04-17,71.15,69.37,71.17,69.12,1345192223,
2025-04-18,70.18,70,71.12,68.71,2140222341,
2025-04-21,72.45,70.67,73,70.47,3186533528,
2025-04-22,73.49,72.5,75,71.85,2405409450,
2025-04-23,72.73,73.5,74.02,70.8,2611928292,
2025-04-24,72.17,72.93,73.95,71.73,1578648108,
2025-04-25,74.54,72.23,74.77,72.23,2649183689,
2025-04-26,74.31,74.78,75.48,73.4,735970357,
2025-04-27,74.87,74.56,75.04,74.13,219520957,
2025-04-28,73.5,74.71,75,72.52,2519809167,
2025-04-29,70.79,73.5,73.76,69.75,1822920057,
2025-04-30,71.12,70.79,72.2,68.2,3044250269,
2025-05-02,67.22,70.68,70.96,67.1,1152641084,
2025-05-03,67.56,67.23,68.02,66.88,181091977,
2025-05-04,68.27,67.5,68.94,67.5,260300847,
2025-05-05,68.04,68.38,68.65,66.7,1176980610,
2025-05-06,68.86,68.05,69.77,67.29,1171935407,
2025-05-07,69.83,68.73,70.34,68.72,1322493626,
2025-05-08,69.95,69.83,70.85,69.8,678774081,
2025-05-10,70.07,70.11,70.37,69.8,70497875,
2025-05-11,71.04,71,72.03,70.63,361239212,
2025-05-12,72.1,71.3,72.97,71.11,1162462697,
2025-05-13,71.29,72.16,72.38,71.16,763440759,
2025-05-14,68.56,71.27,71.54,68.5,1213769015,
2025-05-15,70.13,68.5,70.19,68.5,1608611006,
2025-05-16,69.16,70.12,70.14,67.12,2076088446,
2025-05-17,70.51,69.15,70.64,69.12,239512345,
2025-05-18,71.24,71.27,71.27,70.6,334320856,
2025-05-19,69.8,70.91,71.33,69.44,1349469591,
2025-05-20,68.82,70,70,68.56,514435439,
2025-05-21,68.01,68.84,68.86,67.79,657376203,
2025-05-22,67.25,68.02,68.33,66.43,1198168103,
2025-05-23,67.09,67.01,68.15,66.75,686355907,
2025-05-26,64.31,67.01,67.1,64.22,1526835864,
2025-05-27,65.25,64.2,65.25,62.55,1612071372,
2025-05-28,67.56,65.47,68,65.26,1431384715,
2025-05-29,66.26,67.66,67.97,66,1080219307,
2025-05-30,68.53,66.26,68.89,65.55,2969733254,
2025-05-31,68.45,68.65,69,68.16,130108997,
2025-06-01,66.55,68.1,68.3,66.43,588836040,
2025-06-02,66.59,66.3,67.9,65.71,2554843605,
2025-06-03,67.24,66.8,67.58,66.33,1821212521,
2025-06-04,65.87,67.59,67.59,65.6,1991537707,
2025-06-05,66.23,65.63,66.7,65.04,1453339599,
2025-06-06,64.55,66.3,67.4,64.07,1788309506,
2025-06-07,65.19,64.98,65.25,64.89,66772174,
2025-06-08,65.06,65.13,65.24,64.7,63514534,
2025-06-09,65.22,65.1,65.7,64.5,1191431888,
2025-06-10,66.14,65.23,66.2,64.59,1582687319,
2025-06-11,65.86,66.22,67.16,65.62,1855985623,
2025-06-13,64.61,66.15,66.38,64.42,703728773,
2025-06-14,65.14,64.71,65.17,64.71,84655898,
2025-06-15,65.25,65.14,65.36,64.78,97584120,
2025-06-16,63.41,65.15,65.99,63.3,1636751923,
2025-06-17,63.85,63.42,64.87,63.07,1310866767,
2025-06-18,64.93,64.14,65.65,63.71,1602106099,
2025-06-19,64.13,64.93,65.4,63.8,1683605983,
2025-06-20,63.88,64.16,64.58,63.54,1009279432,
2025-06-23,62.59,63.77,63.95,62.22,1250311122,
2025-06-24,65.18,62.6,65.19,62.59,2770505303,
2025-06-25,65.21,65.25,65.88,64.67,1357564253,
2025-06-26,65.07,65.21,65.44,64.71,580861297,
2025-06-27,66.21,65.09,66.37,64.73,811132525,
2025-06-28,66.34,66.25,66.49,66.15,61953908,
