;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;;;27.06.2018;07.05.2022;;31.01.2023;31.01.2023;15.06.2018;;31.01.2023;31.01.2023;30.05.2018;30.05.2018;15.06.2018;31.01.2023;30.05.2018;30.05.2018;29.08.2018;29.11.2018;04.03.2019;30.05.2019;29.08.2019;29.11.2019;03.03.2020;02.06.2020;31.08.2020;01.12.2020;10.03.2021;31.05.2021;30.08.2021;29.11.2021;02.03.2022;29.08.2023;29.08.2023;01.12.2023;06.03.2024;29.08.2023;29.08.2023;01.12.2023;05.03.2024;30.05.2024;29.08.2024;29.11.2024;04.03.2025;30.05.2025;29.08.2025;02.12.2025;26.01.2026;02.12.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Пассажиропоток всего, млн чел";;;;;;;;7.94;9.91;12.2;9.34;9.02;10.7;13.1;10.6;10.3;12.7;15.4;11.8;11.0;13.9;17.4;13.5;12.8;15.4;18.5;14.0;10.9;1.73;10.1;7.10;7.37;11.2;15.6;11.7;8.50;8.68;14.1;9.43;9.47;11.5;14.9;11.5;11.5;13.9;17.1;12.8;11.6;14.3;16.6;12.9;12.9
"Пассажиропоток внутр, млн чел";;;;;;;;4.41;5.89;7.48;5.58;5.30;5.30;5.53;9.02;5.72;6.99;8.40;6.46;6.10;7.70;9.69;7.48;7.03;8.48;10.3;7.83;6.47;1.68;9.51;6.30;6.47;9.63;12.6;8.67;6.71;8.03;12.7;7.92;7.52;9.29;12.1;8.79;8.64;10.8;13.6;9.56;8.65;11.0;13.0;9.31;9.31
"Пассажиропоток м/нар, млн чел";;;;;;;;3.53;4.03;4.71;3.76;3.72;4.37;7.60;2.60;4.58;5.67;6.98;5.33;4.89;6.17;7.70;5.98;5.73;6.95;8.28;6.16;4.45;0.060;0.620;0.799;0.900;1.55;2.90;3.03;1.79;0.650;1.39;1.50;1.95;2.17;2.76;2.71;2.88;3.11;3.50;3.22;2.97;3.28;3.58;3.55;3.55
"Занятость пассаж.кресел, %";;;;;;;;73.9%;75.7%;79.3%;78.3%;76.4%;78.6%;82.4%;81.5%;78.0%;80.6%;83.7%;82.7%;78.5%;80.0%;83.8%;83.4%;77.9%;79.4%;82.7%;81.9%;71.5%;68.2%;83.0%;74.3%;80.1%;78.1%;81.1%;80.3%;76.3%;83.7%;84.0%;82.4%;86.3%;85.7%;90.5%;87.2%;88.3%;88.2%;92.3%;89.0%;88.2%;90.0%;91.2%;91.0%;91.0%
"Грузооборот, млн т";;;;;;;;141.1;176.0;150.6;195.3;164.7;204.7;241.6;307.0;258.7;295.4;318.1;358.9;270.6;310.5;357.4;361.2;269.3;321.4;352.4;371.0;306.8;182.3;237.8;334.9;275.3;265.8;312.3;441.3;226.8;151.4;230.0;246.2;202.9;224.7;271.1;290.7;;;;;;;;;
"Часы налета, ч";;;;;;;;"195 000";"216 987";"237 906";"209 712";"204 913";"225 952";"250 746";"230 165";"224 987";"252 252";"279 066";"252 803";"241 954";"292 967";"298 855";"289 770";"283 538";"310 388";"333 410";"298 449";"258 883";"56 685";"167 993";"143 921";"138 025";"201 842";"266 415";"232 184";"176 983";"166 336";"254 031";"187 963";"185 394";"200 190";"288 360";"219 750";;;;;;;;;
"Число самолетов, шт";;;;;;;;;;;258;;;;291;;;;325;;;;366;371;365;364;358;361;360;357;364;336;344;352;356;;;;;;;;349;349;;;352;;352;352;;
"Выручка, млрд руб";;;;;;;;;176.5;133.0;;;223.8;157.5;114.6;103.1;234.9;169.9;128.2;111.9;153.9;200.5;145.2;138.0;173.4;212.5;153.9;123.9;25.5;84.9;68.0;75.5;120.0;167.0;129.2;99.4;81.1;133.7;99.1;112.5;139.7;188.9;171.1;173.6;203.6;259.3;220.3;190.2;224.5;261.7;;896.7
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;-13.2;-33.0;-10.6;-35.4;-20.7;5.30;23.4;-13.0;-16.2;10.5;35.8;-43.5;-5.29;2.36;73.5;111.7;30.8;38.4;13.3;17.1;19.1;63.5;61.2;;160.9
"EBITDA, млрд руб";;;;;;;;;13.3;34.5;;;30.0;47.1;0.840;-1.14;16.5;37.9;2.71;-7.73;14.4;40.6;-13.6;21.3;47.0;73.4;27.2;13.1;-1.96;20.1;-4.19;7.70;33.9;54.0;20.9;19.3;42.7;65.7;-14.8;30.3;35.9;108.1;144.1;59.4;66.6;41.6;46.5;49.0;92.4;89.4;;277.4
"Чистая прибыль, млрд руб";;;;;;;;;4.87;5.37;-1.56;;23.4;41.3;-25.9;-5.34;8.23;24.1;-4.09;-11.5;6.32;27.7;-16.8;-15.7;6.93;29.1;-6.76;-15.8;-35.8;-21.1;-40.3;-24.7;-3.00;11.6;-18.4;-19.6;-7.58;25.1;-39.4;-13.0;-6.75;17.5;1.23;6.54;20.5;21.6;15.7;-3.42;7.72;20.2;;40.2
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;-19.9;-35.0;-19.5;-17.8;-24.7;-3.06;11.5;-17.8;-127.1;196.6;-12.8;-107.0;-43.0;-53.6;-10.8;117.7;1.09;40.4;20.8;-3.79;25.6;47.6;33.3;;102.6
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;5.22;14.3;-10.3;16.0;40.9;18.8;19.1;;24.4;31.5;23.4;;69.8;36.8;70.6;55.8;70.3;27.3;50.5;52.0;52.1;22.9;;177.4
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;7.02;2.80;2.27;3.30;3.57;4.04;3.60;6.11;;1.86;0.300;5.34;;12.5;28.1;58.9;28.4;28.1;;35.4;29.9;70.7;66.8;;202.8
"FCF, млрд руб";;;;;;;;;;;;;64.8;;19.2;24.3;37.5;2.47;-2.46;19.4;33.9;;;33.2;45.9;8.91;18.1;10.2;3.40;3.70;-8.20;12.5;43.5;17.3;;;-13.9;10.1;-21.1;;18.9;-9.50;-12.0;;;;;2.01;-39.1;-66.0;;-103.1
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;14.2;;;;2.86;;;;;;;;;;;;;;;;;;;;;;;;21.0;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;12,81;;;;2,6877;;;;;;;;;;;;;;;;;;;;;;;;5,27;;;;;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;9.3%;0.0%;0.0%;0.0%;2.7%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;9.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;0%;0%;0%;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;134%;0%;0%;0%;;0
"Опер. расходы, млрд руб";;;;;;;;;170.6;102.1;;;162.1;113.8;156.7;108.1;119.1;135.8;129.6;123.5;142.6;163.4;162.4;143.9;152.9;165.5;154.9;137.1;58.4;95.5;103.3;96.2;114.0;143.7;142.9;115.5;70.7;97.9;142.7;117.8;131.3;115.4;65.4;142.8;165.2;246.1;203.1;171.1;161.0;200.5;;735.7
