;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;;;27.06.2018;07.05.2022;15.06.2018;30.05.2018;30.05.2018;04.03.2019;03.03.2020;10.03.2021;02.03.2022;06.03.2024;05.03.2024;04.03.2025;26.01.2026;02.12.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Пассажиропоток всего, млн чел";;;;;;;;39.4;43.4;50.1;55.7;60.7;30.2;45.8;40.7;47.3;55.3;55.3;12.9
"Пассажиропоток внутр, млн чел";;;;;;;;23.4;25.2;27.6;31.0;33.6;24.2;37.3;35.3;37.7;42.6;42.0;9.31
"Пассажиропоток м/нар, млн чел";;;;;;;;16.0;18.3;22.6;24.7;27.1;5.98;8.47;5.35;9.59;12.7;13.4;3.55
"Занятость пассаж.кресел, %";;;;;;;;78.3%;81.5%;82.8%;82.7%;81.9%;73.6%;80.3%;83.6%;87.5%;89.6%;90.2%;91.0%
"Грузооборот, млн т";;;;;;;;663.0;918.0;"1 231";"1 300";"1 314";"1 062";"1 295";854.4;989.4;"1 168";"1 033";
"Часы налета, ч";;;;;;;;"859 605";"911 776";"1 009 108";"1 123 546";"1 225 785";"637 129";"838 466";"785 313";"893 694";"1 028 236";"1 061 914";
"Число самолетов, шт";;;;;;;;258;291;325;366;358;364;356;;349;352;;
"Выручка, млрд руб";;;;158.0;253.0;291.0;319.8;415.2;495.9;532.9;611.6;677.9;302.2;491.7;413.3;612.2;856.8;;896.7
"Операционная прибыль, млрд руб";;;;;;;11.3;44.1;63.3;40.4;60.7;60.7;-92.2;-5.02;-13.4;182.3;99.5;;160.9
"EBITDA, млрд руб";;;;19.0;20.9;31.8;24.8;58.7;78.0;56.0;151.5;168.9;27.0;116.5;112.9;318.4;214.1;;277.4
"Чистая прибыль, млрд руб";;;;14.4;5.20;7.30;-17.1;-6.50;38.8;23.1;5.70;13.5;-113.0;-34.5;-41.4;-1.03;64.2;1.000;40.2
"Чистая прибыль н/с, млрд руб";;;;;;;-15.5;-5.83;37.4;22.9;-54.4;10.7;-123.0;-34.5;-50.4;10.3;58.5;;102.6
"Операционный денежный поток, млрд руб";;;;;;;36.0;69.7;73.7;47.4;134.0;152.2;23.0;94.8;79.3;177.2;203.8;;177.4
"CAPEX, млрд руб";;;;;;;6.03;8.57;10.2;7.68;34.7;26.8;15.3;17.3;7.50;99.5;91.9;;202.8
"FCF, млрд руб";;;;;;;17.5;30.9;84.0;61.8;115.0;106.1;9.10;95.8;-24.9;-2.61;19.1;;-103.1
"Див.выплата, млрд руб";0.200;0.388;1.21;2.00;1.29;2.74;0.000;0.000;19.4;14.2;2.86;0.000;0.000;0.000;0.000;0.000;21.0;;
"Дивиденд, руб/акцию";0,18;0,35;1,09;1,81;1,16;2,5;0;0;17,4795;12,81;2,6877;0;0;0;0;0;5,27;;
