date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,17700,17748,17748,17590,5929132,
2025-02-11,17684,17710,17710,17600,8329772,
2025-02-12,17664,17642,17740,17590,8774784,
2025-02-13,17102,17746,18398,17100,42749838,
2025-02-14,17318,17164,17330,16694,26872664,
2025-02-17,17346,17316,17456,17190,23520132,
2025-02-18,17246,17264,17336,16802,28834234,
2025-02-19,17028,17236,17236,16800,46411006,
2025-02-20,16998,17024,17152,16900,34191380,
2025-02-21,17200,17000,17286,17000,45511446,
2025-02-24,17200,17176,17298,17024,29265164,
2025-02-25,17180,17348,17694,16890,58945208,
2025-02-26,17100,17074,17174,16740,98627094,
2025-02-27,16710,16866,16984,16710,24309224,
2025-02-28,16850,16698,16880,16452,46435080,
2025-03-03,16708,16702,16796,16520,24122872,
2025-03-04,17094,16798,17094,16668,23050742,
2025-03-05,17100,16900,17100,16840,23040070,
2025-03-06,16968,16822,16974,16776,19749418,
2025-03-07,16850,16952,16994,16762,16949846,
2025-03-10,16886,16836,16886,16800,8286264,
2025-03-11,16886,16864,16886,16626,20834810,
2025-03-12,16850,16702,16850,16634,18648588,
2025-03-13,16698,16804,16804,16566,13374882,
2025-03-14,17000,16722,17000,16582,28993334,
2025-03-17,17120,17090,17200,16846,25392602,
2025-03-18,17080,17150,17248,16700,29539004,
2025-03-19,17032,16970,17034,16850,15728754,
2025-03-20,17010,17032,17034,16852,11124840,
2025-03-21,16974,16950,17076,16906,11812314,
2025-03-24,16830,16974,16996,16760,11691008,
2025-03-25,17814,16834,17944,16602,150406648,
2025-03-26,17000,17842,18200,16832,125319144,
2025-03-27,16634,16980,16980,16556,35712958,
2025-03-28,16282,16500,16598,16152,32487152,
2025-03-31,16294,16050,16554,15986,41475206,
2025-04-01,16328,16350,16512,16054,21820644,
2025-04-02,16154,16100,16296,15838,26829488,
2025-04-03,16178,16114,16524,16068,25639762,
2025-04-04,16116,16160,16362,15900,11369128,
2025-04-07,16380,15700,16380,15500,23868568,
2025-04-08,16450,16328,16600,16214,16480538,
2025-04-09,16280,16286,16448,15826,23479306,
2025-04-10,16348,16356,16938,16204,18725366,
2025-04-11,16450,16600,16670,16228,22986556,
2025-04-14,16250,16450,16596,16112,21176980,
2025-04-15,16236,16268,16282,16080,15306422,
2025-04-16,16400,16112,16400,16026,17560062,
2025-04-17,16400,16370,16446,16172,16758642,
2025-04-18,16252,16400,16400,16076,22941872,
2025-04-21,16270,16184,16270,16000,31743086,
2025-04-22,16264,16200,16270,16088,16237268,
2025-04-23,16230,16152,16234,16036,24197370,
2025-04-24,16292,16256,16294,16106,33937610,
2025-04-25,16224,16196,16288,16164,13374530,
2025-04-28,16162,16220,16250,16080,12692304,
2025-04-29,16034,16108,16890,15968,61386152,
