;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q4;2016Q1;2016Q2;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;06.07.2018;06.07.2018;30.05.2018;;;30.05.2018;30.05.2018;08.05.2018;08.05.2018;08.05.2018;30.05.2018;27.08.2018;29.11.2018;26.03.2019;27.05.2019;26.08.2019;27.11.2019;23.03.2020;21.05.2020;28.08.2020;30.11.2020;19.03.2021;17.05.2021;23.08.2021;29.11.2021;;28.08.2023;28.08.2023;28.11.2023;29.03.2024;28.08.2023;28.08.2023;28.11.2023;29.03.2024;22.05.2024;27.08.2024;27.11.2024;24.03.2025;27.05.2025;26.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство удобрений, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.19;2.11;1.97;2.11;2.11;2.03;2.13;2.13;2.34;2.28;2.24;8.98
"Продажа удобрений, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.10;2.10;2.13;1.97;2.26;2.03;2.09;2.08;2.51;2.25;;6.84
"Доля продаж на экспорт, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79.0%;;;;;;
"Выручка, млрд руб";;;;;;;25.0;21.9;;24.1;22.8;22.4;24.0;24.0;25.4;28.4;30.3;29.5;31.0;29.1;25.2;28.1;28.4;29.7;33.8;39.0;47.0;51.2;;98.2;49.4;49.9;59.7;53.0;35.0;42.6;48.9;51.4;44.4;47.3;55.1;66.9;57.3;53.7;232.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;5.70;4.70;9.00;6.60;12.7;20.7;26.1;;50.0;13.9;22.1;34.3;25.6;18.3;22.8;6.43;11.5;8.63;15.0;17.0;12.3;13.4;15.7;58.4
"EBITDA, млрд руб";;;;;;;10.3;7.31;;7.43;7.20;6.98;8.20;7.96;7.71;9.82;11.6;10.5;10.6;8.47;6.25;7.28;8.03;8.80;11.2;15.7;18.8;34.7;;;81.4;24.3;30.5;26.1;36.8;15.0;17.0;13.7;17.5;13.7;15.8;26.3;26.1;19.3;87.6
"Чистая прибыль, млрд руб";;;;;;;12.7;7.25;;1.48;0.185;8.38;2.99;3.93;-1.58;3.82;6.60;8.61;8.22;5.64;1.76;-10.3;8.96;-3.27;8.40;10.6;18.8;21.3;;35.9;38.4;12.0;4.06;15.9;3.16;6.60;10.0;6.48;12.1;1.49;10.3;14.5;15.7;6.43;46.9
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;-10.00;9.00;-3.00;7.80;5.30;16.6;21.2;;;27.9;20.4;17.2;23.1;8.37;10.5;20.4;-0.720;1.59;20.2;3.06;11.7;11.9;17.6;44.2
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;;;;3.71;3.70;4.26;6.28;3.20;4.40;;;;14.2;6.29;8.97;8.10;9.49;11.1;16.7;10.7;11.3;11.4;13.1;11.8;11.7;14.5;51.1
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;;;;-2.90;1.70;-0.500;11.0;1.30;11.5;14.3;;;13.7;14.0;8.24;14.9;-1.37;-0.120;3.15;-10.9;-9.15;-13.1;13.9;0.712;1.45;3.39;19.5
"Див.выплата, млрд руб";;;;;;;;;;;9.52;4.54;7.49;;1.62;5.27;5.47;;;4.10;17.5;;;;1.22;;1.22;29.2;9.68;;;;;;;;15.7;;;;19.6;;;6.96;26.6
"Дивиденд, руб/акцию";;;;;;;;155;;;235;112;185;;40;130;135;;;101;432;;;;30;;30;720;240;;;;;;;;427;;;;534;;;189;723
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;4.4%;0.0%;0.0%;7.5%;3.3%;4.8%;0.0%;0.9%;2.8%;2.9%;0.0%;0.0%;2.0%;9.0%;0.0%;0.0%;0.0%;0.5%;0.0%;0.5%;10.2%;1.9%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.3%;0.0%;0.0%;0.0%;3.0%;0.0%;0.0%;1.1%;3.9%
"Дивиденды/прибыль, %";;;;;;;0%;0%;;0%;"5 146%";54%;251%;0%;0%;138%;83%;0%;0%;73%;996%;0%;0%;0%;15%;0%;6%;137%;;0%;0%;0%;0%;0%;0%;0%;156%;0%;0%;0%;190%;0%;0%;108%;57%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.38;3.93;6.19;10.3;8.32;1.68;4.96;25.3
"Себестоимость, млрд руб";;;;;;;;0.668;;12.8;12.1;12.8;;12.8;13.7;14.5;13.4;15.4;15.0;15.8;13.6;17.6;14.4;15.1;18.8;17.9;14.6;17.3;;30.4;18.9;21.4;20.8;22.7;21.2;22.4;24.2;26.3;21.2;24.3;27.1;30.6;26.8;27.9;112.4
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.1;3.3;2.6;3.4;6.4;3.2;2.9;3.1;3.4;9.7;-3.1;3.3;3.6;3.9;7.7
"Процентные расходы, млрд руб";;;;;;;;;;;;3.23;;;;;;;;;;0.540;1.30;0.800;1.75;0.600;1.10;0.800;;;1.000;0.540;0.560;0.610;0.990;3.19;1.51;2.09;2.98;1.000;7.63;6.60;4.53;3.36;22.1
"Активы, млрд руб";;;;;;226.8;;;194.3;;;;186.9;;;;186.8;;;;200.4;215.6;217.6;223.9;220.0;225.0;232.0;241.0;;;;;320.8;;353.1;395.3;387.7;370.7;386.7;385.0;438.9;420.6;416.8;417.8;417.8
"Чистые активы, млрд руб";;;;79.5;93.8;85.0;;;67.2;;66.6;69.8;70.3;66.0;52.1;53.1;57.6;62.3;62.2;64.1;61.0;45.5;39.0;34.5;42.7;53.8;69.0;88.0;;;;;168.2;;188.8;196.6;203.5;198.3;190.6;199.9;202.0;214.7;215.2;220.0;220.0
"Долг, млрд руб";;;;50.2;80.6;81.6;;;79.1;;68.3;71.1;74.5;73.8;91.0;87.5;84.5;82.2;80.3;79.5;86.5;120.3;115.1;134.9;115.1;111.5;100.0;90.0;;;;;77.9;;90.8;112.9;103.5;107.6;136.2;185.1;171.7;143.8;136.6;139.4;139.4
"Наличность, млрд руб";;;;12.8;24.8;30.4;;;27.2;;14.3;19.0;14.3;11.0;19.8;13.4;10.5;14.6;8.38;6.31;11.4;22.5;24.2;21.3;15.5;12.1;15.0;16.3;;;;;38.5;;58.8;79.3;78.4;42.0;43.0;31.0;68.3;45.2;32.4;20.3;20.3
"Чистый долг, млрд руб";0.00;0.00;0.00;37.4;55.8;51.2;0.00;0.00;51.9;0.00;54.1;52.1;60.2;62.7;71.1;74.1;74.0;67.6;71.9;73.2;75.2;97.8;90.9;113.6;99.6;99.4;85.0;73.7;0.00;0.00;0.00;0.00;39.4;0.00;32.0;33.6;25.1;65.6;93.2;154.1;103.4;98.7;104.2;119.1;119.1
"Цена акции ао, руб";;;;"1 124";"1 799";"3 779";"3 665";"3 495";"3 575";"3 309";"3 135";"3 419";"3 870";"4 158";"4 350";"4 686";"4 710";"4 574";"4 564";"5 044";"4 790";"6 000";"5 564";"6 266";"5 940";"6 208";"5 950";"7 050";"12 342";"23 000";"18 210";"14 396";"18 210";"18 508";"18 968";"19 048";"18 848";"17 298";"15 650";"15 994";"17 788";"16 248";"15 880";"16 814";"18 500"
"Число акций ао, млн";40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;39.3;40.5;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8
"Free Float, %";;;;;;;;;;;;;;;;;10.5%;;;;;;;;3.60%;;;;4.70%;;;;;;;;;;;;5.00%;;5.00%;5.00%;5.00%
"Капитализация, млрд руб";0.00;0.00;0.00;45.6;72.9;153.2;148.6;141.7;144.9;134.1;127.1;138.6;156.9;168.5;176.3;189.9;190.9;185.4;185.0;204.5;194.2;243.2;225.5;254.0;240.8;251.6;241.2;285.8;484.7;932.3;669.4;529.2;669.4;680.4;697.3;700.2;692.9;635.9;575.3;587.9;653.9;597.2;583.7;618.0;680.0
"EV, млрд руб";0.00;0.00;0.00;83.0;128.7;204.4;148.6;141.7;196.9;134.1;181.1;190.6;217.1;231.3;247.4;264.0;264.9;253.0;256.9;277.6;269.3;341.0;316.5;367.6;340.4;351.1;326.2;359.5;484.7;932.3;669.4;529.2;708.8;680.4;729.3;733.8;718.0;701.4;668.5;742.0;757.3;695.9;687.9;737.1;799.1
