;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;06.07.2018;06.07.2018;30.05.2018;30.05.2018;08.05.2018;26.03.2019;23.03.2020;19.03.2021;;29.03.2024;29.03.2024;24.03.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство удобрений, млн т";;;;;;;;;;7.46;7.98;8.49;8.34;8.38;8.39;8.98
"Продажа удобрений, млн т";;;;;;;;;;;;;8.57;8.31;8.46;6.84
"Выручка, млрд руб";;;;67.9;74.6;92.0;89.4;94.3;108.1;114.8;119.9;;257.2;179.5;198.1;232.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;;120.3;73.1;52.1;58.4
"EBITDA, млрд руб";;;;15.4;20.2;41.0;29.9;29.8;37.1;35.7;35.3;;136.3;68.7;60.7;87.6
"Чистая прибыль, млрд руб";;;;13.0;6.90;16.7;13.8;13.1;12.8;24.2;3.84;;90.4;35.7;30.4;46.9
"Чистая прибыль н/с, млрд руб";;;;;;;25.5;14.3;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;65.5;62.4;24.1;44.2
"CAPEX, млрд руб";;;;;;15.1;12.1;11.3;14.5;19.0;18.0;;29.5;45.3;46.5;51.1
"FCF, млрд руб";;;;;;;;;;;;;36.0;16.6;-19.2;19.5
"Див.выплата, млрд руб";1.88;6.15;4.46;6.16;5.63;7.30;10.1;21.6;12.4;21.6;1.22;40.1;;15.7;19.6;26.6
"Дивиденд, руб/акцию";40;129;110;152;139;180;250;532;305;533;30;990;;427;534;723
"Див доход, ао, %";;;;13.5%;7.7%;4.8%;7.0%;13.7%;6.5%;11.1%;0.5%;8.0%;0.0%;2.3%;3.0%;3.9%
"Дивиденды/прибыль, %";;;;47%;82%;44%;74%;165%;97%;89%;32%;;0%;44%;65%;57%
"Опер. расходы, млрд руб";;;;;;;;;;;;;45.5;15.8;29.8;25.3
"Себестоимость, млрд руб";;;;42.0;42.7;37.8;45.3;51.9;54.4;59.8;65.8;;91.5;90.5;98.8;112.4
"Амортизация, млрд руб";;;;;;;;;;;;;12.0;12.5;13.1;7.7
"НИОКР, млрд руб";;;;;;0.000;0.026;0.000;;;;;;;;
"Расх на персонал, млрд руб";;;;;;8.75;10.7;9.69;10.4;12.0;13.1;;16.8;20.3;23.9;
"Процентные расходы, млрд руб";;;;;;5.21;5.77;4.94;4.87;4.34;4.60;;2.10;6.30;13.7;22.1
"Активы, млрд руб";;;;;;226.8;194.3;186.9;186.8;200.4;220.0;;320.8;387.7;438.9;417.8
"Чистые активы, млрд руб";;;;79.5;93.8;85.0;67.2;70.3;57.6;61.0;42.7;;168.2;203.5;202.0;220.0
"Долг, млрд руб";;;;50.2;80.6;81.6;79.1;74.5;84.5;86.5;115.1;;77.9;103.5;171.7;139.4
"Наличность, млрд руб";;;;12.8;24.8;30.4;27.2;14.3;10.5;11.4;15.5;;38.5;78.4;68.3;20.3
"Чистый долг, млрд руб";0.00;0.00;0.00;37.4;55.8;51.2;51.9;60.2;74.0;75.2;99.6;0.00;39.4;25.1;103.4;119.1
"Цена акции ао, руб";;;;"1 124";"1 799";"3 779";"3 575";"3 870";"4 710";"4 790";"5 940";"12 342";"18 210";"18 848";"17 788";"18 500"
"Число акций ао, млн";40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;40.5;39.3;36.8;36.8;36.8;36.8
"Free Float, %";;;;;;;;;10.5%;;3.60%;4.70%;;;5.00%;5.00%
"Капитализация, млрд руб";0.00;0.00;0.00;45.6;72.9;153.2;144.9;156.9;190.9;194.2;240.8;484.7;669.4;692.9;653.9;680.0
"EV, млрд руб";0.00;0.00;0.00;83.0;128.7;204.4;196.9;217.1;264.9;269.3;340.4;484.7;708.8;718.0;757.3;799.1
"Баланс стоимость, млрд руб";0.00;0.00;0.00;79.5;93.8;83.7;65.9;69.0;57.6;61.0;42.7;0.00;163.9;203.5;202.0;220.0
"EPS, руб";0.00;0.00;0.00;321.2;170.3;412.1;339.8;323.7;315.0;597.5;94.7;0.00;"2 459";971.2;827.0;"1 277"
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;979.3;451.8;-522.3;529.2
"BV/акцию, руб";0.00;0.00;0.00;"1 961";"2 313";"2 065";"1 626";"1 703";"1 421";"1 505";"1 053";0.00;"4 460";"5 536";"5 495";"5 985"
"Рентаб EBITDA, %";;;;22.7%;27.1%;44.5%;33.4%;31.6%;34.3%;31.1%;29.5%;;53.0%;38.3%;30.6%;37.6%
"Чистая рентаб, %";;;;19.2%;9.3%;18.2%;15.4%;13.9%;11.8%;21.1%;3.2%;;35.1%;19.9%;15.3%;20.1%
"Доходность FCF, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;5.4%;2.4%;-2.9%;2.9%
"ROE, %";;;;16.4%;7.4%;19.7%;20.5%;18.7%;22.2%;39.7%;9.0%;;53.7%;17.5%;15.0%;21.3%
"ROA, %";;;;;;7.4%;7.1%;7.0%;6.8%;12.1%;1.7%;;28.2%;9.2%;6.9%;11.2%
P/E;;;;3.50;10.6;9.17;10.5;12.0;15.0;8.02;62.7;;7.40;19.4;21.5;14.5
P/FCF;;;;;;;;;;;;;18.6;41.7;-34.1;35.0
P/S;;;;0.67;0.98;1.66;1.62;1.66;1.77;1.69;2.01;;2.60;3.86;3.30;2.92
P/BV;;;;0.57;0.78;1.83;2.20;2.27;3.31;3.18;5.64;;4.08;3.40;3.24;3.09
EV/EBITDA;;;;5.39;6.36;4.99;6.59;7.28;7.15;7.53;9.64;;5.20;10.4;12.5;9.12
Долг/EBITDA;;;;2.43;2.76;1.25;1.74;2.02;2.00;2.10;2.82;;0.29;0.37;1.70;1.36
"Персонал, чел";;;;;;"13 261";"11 201";"10 883";"10 696";"11 205";"11 429";;"11 750";"11 981";"12 283";
"Производительность труда, млн руб/чел/год";;;;;;6.94;7.98;8.67;10.1;10.2;10.5;;21.9;15.0;16.1;
"Расходы/чел/год, тыс.р";;;;;;659.5;957.6;890.0;971.4;"1 071";"1 144";;"1 430";"1 694";"1 946";
"R&D/CAPEX, %";;;;;;0.00%;0.21%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;0%;0%;16%;14%;12%;13%;17%;15%;;11%;25%;23%;22%
"IR рейтинг";;;;;1.9;1.9;;;;;;1.9;1.9;2.4;2.7;2.4
"Качество фин.отчетности";;;;;1;1;;;;;;1;1;1;3;3
"Презентации для инвесторов";;;;;1;1;;;;;;1;1;1;1;1
"Присутствие на смартлабе";;;;;1;1;;;;;;1;1;1;1;1
"Годовой отчет";;;;;1;1;;;;;;1;1;5;5;5
"Сайт для инвесторов";;;;;5;5;;;;;;5;5;5;5;3
"Календарь инвесторов";;;;;1;1;;;;;;1;1;1;1;1
"Обратная связь";;;;;3;3;;;;;;3;3;3;3;3
