date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,57.8,56.93,58.89,56.9,1769144503,
2025-02-11,57.95,57.75,58.47,56.54,1173189209,
2025-02-12,60.97,57.73,61.16,57.55,3346218807,
2025-02-13,61.18,61.4,63.58,59.11,4899176126,
2025-02-14,61.23,61.2,63.21,60.22,2939353467,
2025-02-17,64.12,62.2,64.22,61.92,2431273501,
2025-02-18,61.7,64.25,64.4,61.15,2908163321,
2025-02-19,62.72,61.6,63.3,61.1,1084216004,
2025-02-20,62.77,63,63.27,62.31,763328721,
2025-02-21,62.62,62.78,63.79,61.74,1292390953,
2025-02-24,64.77,62.7,64.99,62.42,1300950637,
2025-02-25,63.45,64.82,65.48,62.81,2254695939,
2025-02-26,61.14,63.29,64.08,60.76,1715072255,
2025-02-27,58.74,60.79,61.71,58.72,2899702736,
2025-02-28,61.76,58.79,62.16,58.25,4413471503,
2025-03-01,61.49,61.76,61.88,61.3,29727212,
2025-03-02,61.12,61.32,61.49,61.08,51996780,
2025-03-03,60.35,61.12,61.38,59.01,2031720220,
2025-03-04,61.42,60.5,63,60.35,2100726028,
2025-03-05,60.13,61.82,62.38,59.8,1333519093,
2025-03-06,60.47,60.15,61.15,59.77,847001800,
2025-03-07,60.32,60.5,61.9,59.4,1134491175,
2025-03-10,61.3,60.76,62.16,60.3,959868911,
2025-03-11,59.51,61.23,61.65,59.2,2212575506,
2025-03-12,59.79,59.52,60.35,58.8,1287199303,
2025-03-13,59.75,59.8,60.61,58.32,1576429547,
2025-03-14,60.18,59.35,60.35,59.11,789572790,
2025-03-15,60.28,60.18,60.5,60.17,30066239,
2025-03-16,60.92,60.28,61.2,60.07,84065524,
2025-03-17,61.15,60.68,61.5,60.33,926275569,
2025-03-18,60.57,61.24,62.45,59.67,2054778830,
2025-03-19,60.6,60.27,60.95,59.36,978719407,
2025-03-20,59.31,60.54,61.04,58.92,1405446754,
2025-03-21,58.89,59.36,60.06,58.6,915016997,
2025-03-24,56.4,58.81,58.93,56.04,1623490506,
2025-03-25,57.46,56.57,57.8,56.5,940128279,
2025-03-26,56.63,57.79,57.9,56.51,504090358,
2025-03-27,55.32,56.35,56.6,55.21,906041204,
2025-03-28,54.66,55.32,55.43,54.24,1100959353,
2025-03-29,53.83,54.99,55.09,53.6,82757001,
2025-03-30,53.6,53.6,54.19,53.6,43061054,
2025-03-31,54.34,53.22,55.15,53.07,1001245093,
2025-04-01,52.08,54.34,54.98,51.84,1237016945,
2025-04-02,52.58,51.92,52.96,51.62,1146955141,
2025-04-03,50.8,52.93,53.08,49.62,1151842552,
2025-04-04,48.81,51.04,51.32,48.7,1409749523,
2025-04-05,48.77,48.81,48.97,47.92,143966453,
2025-04-06,49.81,48.8,49.98,48.6,128285342,
2025-04-07,48.17,49.25,49.37,45.6,1764067910,
2025-04-08,46.33,48.16,49.27,46.24,1904538036,
2025-04-09,48.21,46.33,48.32,44.73,2065242264,
2025-04-10,48.56,48.44,48.85,47.31,811336530,
2025-04-11,49.03,48.2,49.79,48.05,1012287664,
2025-04-12,50.04,49.27,50.1,49.26,103997677,
