;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Дата отчета";;;;;09.09.2021;09.09.2021;09.09.2021;09.09.2021;09.09.2021;19.08.2020;19.08.2020;30.03.2020;19.08.2020;19.08.2020;19.08.2020;30.03.2020;;13.11.2020;;04.05.2018;16.05.2018;24.08.2018;08.11.2018;15.03.2019;17.05.2019;19.08.2019;08.11.2019;10.03.2020;05.06.2020;14.08.2020;12.11.2020;02.03.2021;18.05.2021;13.08.2021;11.11.2021;02.03.2022;15.08.2023;14.08.2023;;09.06.2023;15.08.2023;14.08.2023;28.02.2024;12.08.2024;28.02.2025;12.08.2025;12.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Обработка руды, млн т";;;;;;;;;5.50;10.8;13.5;7.40;6.10;10.8;14.1;7.10;6.10;10.1;15.7;7.26;5.71;10.1;17.2;7.45;6.36;10.5;17.2;7.24;5.91;7.35;11.5;4.90;5.80;7.25;11.5;6.40;;;;;;;;;;;
"Добыча алмазов, млн карат";;;;;7.90;;;;8.40;9.60;11.6;8.60;8.20;8.70;11.0;9.50;8.90;10.4;10.3;10.1;7.42;8.51;10.5;10.3;7.82;9.74;12.1;8.81;8.02;5.69;9.24;7.10;7.50;7.00;8.80;9.10;;;;;;;;;;;
"Продажа алмазов, млн карат";;;;;12.7;;;;9.00;9.00;4.90;;;;;10.00;14.1;10.2;7.50;9.40;13.3;9.04;6.69;8.99;10.6;8.30;6.40;8.19;9.42;0.634;5.02;17.0;15.5;11.4;9.20;9.40;;;;;;;;;;;
"Содержание алмазов, карат/т";;;;;;;;;1.52;0.890;0.860;1.17;1.33;0.810;0.790;1.33;1.46;1.03;0.650;1.39;1.30;0.840;0.610;1.38;1.23;0.930;0.710;1.22;1.36;0.770;0.800;1.45;1.31;0.960;0.760;1.43;;;;;;;;;;;
"Выручка, млрд руб";;;;;56.9;47.9;42.1;60.3;74.6;57.3;40.6;52.0;102.3;84.3;66.9;61.5;84.8;70.7;58.9;60.9;94.9;70.7;68.6;65.5;69.5;57.4;45.7;65.6;62.7;10.4;48.6;99.8;90.8;93.5;76.9;65.8;102.4;85.5;;107.5;95.7;92.5;134.5;179.5;59.6;134.3;193.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.0;-8.35;30.3;21.5;29.9;37.0;30.2;17.7;71.2;22.0;;24.8;34.7;38.8;32.9;37.8;-7.30;28.0;20.7
"EBITDA, млрд руб";;;;;26.0;21.3;18.5;28.1;52.9;19.4;27.6;28.7;59.3;38.7;51.8;26.4;35.2;37.6;21.2;32.9;48.0;41.1;40.0;27.1;31.4;25.1;21.1;29.5;30.0;0.100;25.7;31.8;33.5;45.5;34.6;25.9;;;;;;;;62.4;16.2;37.1;53.3
"Чистая прибыль, млрд руб";;;;;6.00;17.1;-10.3;-29.6;21.6;23.4;-15.2;-0.028;49.9;37.7;26.6;19.3;22.7;24.6;13.0;18.3;32.5;24.8;24.9;8.22;24.1;13.4;13.5;11.7;3.10;0.300;7.39;21.4;24.0;30.0;25.0;12.3;49.1;36.1;;15.1;28.5;27.1;29.6;36.5;-15.3;40.6;25.3
