;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;09.09.2021;30.03.2020;30.03.2020;04.05.2018;15.03.2019;10.03.2020;02.03.2021;02.03.2022;09.06.2023;28.02.2024;28.02.2025;12.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Обработка руды, млн т";;;;;;;;31.7;34.4;38.1;39.1;40.5;41.3;29.7;;;;;
"Добыча алмазов, млн карат";;;;;;;;36.2;38.3;37.4;39.6;36.7;38.5;30.0;;35.6;34.6;;
"Продажа алмазов, млн карат";;;;;;;;;30.0;40.0;41.2;38.1;33.4;32.1;;;;;
"Содержание алмазов, карат/т";;;;;;;;1.24;1.21;0.980;1.01;0.910;0.930;1.01;;;;;
"Средняя цена алмазов, $/карат";;;;;;;;;;;;;;;;1;;;
"Выручка, млрд руб";;;;;137.7;150.9;168.5;207.2;224.5;317.1;275.4;299.7;238.2;217.1;327.0;295.4;322.6;239.1;193.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;127.1;75.1;69.5;114.8;118.0;106.3;30.5;20.7
"EBITDA, млрд руб";;;;;62.2;62.0;69.1;93.9;118.5;176.4;126.9;156.2;107.1;87.6;139.5;140.6;134.7;78.6;53.3
"Чистая прибыль, млрд руб";;;;;26.7;33.6;31.8;-16.8;32.2;133.5;78.6;90.4;62.7;32.2;91.3;100.4;85.1;21.2;25.3
"Операционный денежный поток, млрд руб";;;;;;;;;;;;120.1;67.6;96.5;124.8;88.4;65.9;41.3;5.57
"CAPEX, млрд руб";;;;;;;42.6;35.1;34.2;31.8;26.9;27.8;20.0;17.0;19.0;40.9;63.7;58.9;58.6
"FCF, млрд руб";;;;;27.8;12.0;17.5;42.1;41.3;111.4;73.5;92.3;47.6;79.5;105.9;50.3;2.65;-17.6;-64.2
