date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,713,684.5,751.5,684.5,952915086,
2025-02-11,708.5,720,730.5,699.5,226489573,
2025-02-12,727.5,714,728,696.5,688009768,
2025-02-13,719,730,738,713,136872593,
2025-02-14,707.5,723,727.5,700,175000582,
2025-02-17,724,717,726,712.5,117622601,
2025-02-18,708,721.5,723,702.5,138353306,
2025-02-19,719.5,711,719.5,701.5,57697310,
2025-02-20,731.5,722,737,720,231610310,
2025-02-21,737.5,734.5,759.5,723.5,395832478,
2025-02-24,742.5,741.5,749,733.5,127074416,
2025-02-25,746.5,748,750.5,740,117419042,
2025-02-26,722.5,750,751,706,316524048,
2025-02-27,710,721.5,735.5,705.5,146771722,
2025-02-28,717,712,727,692,177712634,
2025-03-03,721.5,701,729,700.5,111395821,
2025-03-04,732.5,729,735.5,725.5,72339754,
2025-03-05,718,731,733.5,715,82934747,
2025-03-06,716,719,725.5,712.5,48714238,
2025-03-07,719.5,716.5,725,687,108231683,
2025-03-10,720,719.5,726,709.5,57856553,
2025-03-11,716,716.5,719,707.5,57996716,
2025-03-12,702.5,713,714.5,700,60623002,
2025-03-13,700.5,700,711,675.5,125079663,
2025-03-14,717,700,728.5,700,83067922,
2025-03-17,768.5,724.5,776,720.5,571644795,
2025-03-18,731.5,763,764.5,727,1050093009,
2025-03-19,718.5,735,747,713,243645463,
2025-03-20,715.5,721.5,726,710,128918904,
2025-03-21,709,718,722.5,707,79548489,
2025-03-24,694,710,712,693.5,72571892,
2025-03-25,705,694,716,691,144644374,
2025-03-26,699,711,716,695,87434102,
2025-03-27,687,699,699,683.5,78539509,
2025-03-28,665,687,688.5,653,114572850,
2025-03-31,688,650,698.5,641,155471628,
2025-04-01,682.5,688,714.5,681,192941142,
2025-04-02,681.5,689.5,693,668,86324659,
2025-04-03,671.5,684.5,694,646.5,84523045,
2025-04-04,672.5,671.5,692,634.5,264382403,
2025-04-07,651.5,672,675,606,200306442,
2025-04-08,656.5,653,674,653,62334551,
2025-04-09,667.5,657,671,620,149507309,
2025-04-10,676,667.5,685,660.5,37556690,
2025-04-11,679,671.5,681.5,669.5,30081018,
2025-04-12,680,679,683.5,679,6417219,
2025-04-13,687.5,681,689,680,8954644,
2025-04-14,660.5,687,690,656,63849301,
2025-04-15,655,661,664.5,651.5,22156923,
2025-04-16,654.5,655,662,646.5,39210355,
2025-04-17,662,654.5,669,650.5,66554500,
2025-04-18,658,661,674,656,41075409,
2025-04-21,662.5,658.5,669,658.5,37671496,
2025-04-22,663,662.5,668,660,37536656,
2025-04-23,659.5,670,670,655,36514864,
2025-04-24,660,660.5,664.5,659,19144765,
2025-04-25,663.5,661.5,666,659,22537118,
2025-04-26,662.5,665.5,669,662,8393991,
2025-04-27,666.5,664,666.5,663.5,3152396,
2025-04-28,662,667.5,668,658.5,46812481,
2025-04-29,651.5,662,664,647,35980952,
2025-04-30,656,651,659,638.5,58368181,
2025-05-02,642,652,657,642,17291559,
2025-05-03,644,643,649,641.5,4149808,
2025-05-04,645,644.5,647.5,641.5,5008706,
2025-05-05,629,643.5,647.5,623.5,34353672,
2025-05-06,637.5,630,642,626,18017036,
2025-05-07,639.5,638,643,635,12884630,
2025-05-08,643.5,640,650.5,640,10551862,
2025-05-10,646.5,645,647,644,2215787,
2025-05-11,646.5,648.5,656,645,5916482,
2025-05-12,650,647,656,647,39247102,
2025-05-13,656.5,649.5,664.5,649,59030787,
2025-05-14,645.5,657,658.5,644,33854890,
2025-05-15,646,645,652.5,641,25403712,
2025-05-16,643,646,651,629,56976364,
2025-05-17,649,644.5,649.5,640.5,3833972,
2025-05-18,652,651,656,649,5061378,
2025-05-19,644.5,648,651.5,643,18513289,
2025-05-20,637.5,648,648,631.5,25244619,
2025-05-21,632,637.5,639.5,626.5,28261967,
2025-05-22,616,632,632,614,57374016,
2025-05-23,623.5,615,629,610,32970039,
2025-05-26,604.5,621,624.5,601,54375419,
2025-05-27,606.5,604,607,595.5,24897400,
2025-05-28,621,606.5,623,606.5,39402875,
2025-05-29,612,621,624,610.5,13743804,
2025-05-30,612,612,616,606.5,23268113,
2025-05-31,613,612.5,616,612.5,2093615,
2025-06-01,603,612,612,600.5,8428852,
2025-06-02,617.5,605.5,621,600,52443284,
2025-06-03,618,618,624,608.5,72866513,
2025-06-04,615.5,619,622,608.5,55161264,
2025-06-05,617.5,615,621,612.5,29111888,
2025-06-06,607.5,617.5,626,606,55543590,
2025-06-07,611,610.5,611.5,608,2572373,
2025-06-08,609,609.5,610.5,607.5,1566609,
2025-06-09,595.5,609,612,582,63498606,
2025-06-10,593,596,601.5,588.5,23999579,
2025-06-11,596.5,597,599,592,17883201,
2025-06-13,593.5,600.5,602,592.5,12823875,
2025-06-14,595.5,597,597,594,2800035,
2025-06-15,592,594.5,595.5,590.5,7082714,
2025-06-16,590.5,592.5,595,586.5,86424415,
2025-06-17,596.5,590.5,597,588,25305227,
2025-06-18,596,596.5,601.5,592.5,24352360,
2025-06-19,595,598,600,595,25235656,
2025-06-20,593,595,598.5,591,19408758,
2025-06-23,589,592.5,595,588,29996845,
2025-06-24,597,593.5,598,588,20037498,
2025-06-25,602.5,596.5,608,596.5,48484812,
2025-06-26,598.5,603,610,595.5,47835160,
2025-06-27,598.5,599,602,596,17392477,
2025-06-28,601,601.5,602.5,599,3477535,
2025-06-29,602.5,601,603.5,600,4006783,
2025-06-30,602.5,602.5,606,595.5,41726600,
2025-07-01,607,602.5,609.5,601,40602301,
2025-07-02,602.5,609,610.5,600,30516152,
2025-07-03,627.5,602.5,632,602,133975241,
2025-07-04,634,627.5,639,615,124817709,
2025-07-05,628,628.5,633.5,627.5,4868734,
2025-07-07,624.5,628,633.5,611.5,63663655,
2025-07-08,619,623,628.5,615.5,33315235,
2025-07-09,603.5,619,623,600,46727897,
2025-07-10,588,603.5,606.5,580,93852670,
2025-07-11,583,588,593,578.5,37009318,
2025-07-12,584,578,586,578,2453302,
2025-07-13,580.5,585,586,578,6507823,
2025-07-14,596,580,600,562.5,60908470,
2025-07-15,599.5,600,602.5,586.5,44833725,
2025-07-16,597.5,599,603.5,586,37941896,
2025-07-17,596.5,597.5,606.5,596,31371513,
2025-07-18,602,597,606,596.5,26237519,
2025-07-19,604.5,602,606,601,7212750,
2025-07-20,605,605,607.5,604,6138352,
2025-07-21,605,605,614,600.5,43149371,
2025-07-22,605.5,605.5,607,602,17966816,
2025-07-23,618.5,607,625.5,606,68082793,
2025-07-24,620,620,622,615.5,17693281,
2025-07-25,623,622,632.5,599.5,81738969,
2025-07-26,622,622.5,624.5,620.5,3498057,
2025-07-27,620,622,623,617.5,5293951,
2025-07-28,603,622,622.5,602.5,29888418,
2025-07-29,602.5,603,607,600,36367104,
2025-07-30,600,605,606,596.5,27752071,
2025-07-31,600,599.5,604.5,597,27076906,
2025-08-01,599.5,600,603,595,23709559,
2025-08-04,606.5,599.5,608,599,31210947,
2025-08-05,613,607.5,614,605.5,27721696,
2025-08-06,624.5,614,633,608,65951449,
2025-08-07,616.5,623,627.5,605.5,67866266,
2025-08-08,622.5,619,624.5,615,40465087,
2025-08-11,633,629,635,626,62086149,
2025-08-12,653,633.5,654.5,628.5,63659777,
2025-08-13,653.5,654.5,671.5,646,79215481,
2025-08-14,648.5,651.5,655.5,640.5,39492584,
2025-08-15,647.5,648,651,645.5,28818116,
2025-08-16,637.5,641,644.5,628,17977120,
2025-08-17,639,638.5,639.5,635,4821407,
2025-08-18,645,635.5,654.5,635.5,48233446,
2025-08-19,640.5,650,650,629,56927974,
2025-08-20,636,642,648,635,26140827,
2025-08-21,622,636,638.5,621,45675640,
2025-08-22,629.5,625,635,622.5,28423164,
2025-08-23,631,629,633,628.5,4511490,
2025-08-24,632,631.5,632.5,628.5,2550639,
2025-08-25,631,632.5,633.5,626,31132063,
2025-08-26,633,631,640,629,39003242,
2025-08-27,633.5,633.5,638.5,629.5,22274543,
2025-08-28,626.5,633,636,622,28832777,
2025-08-29,604.5,626.5,631.5,593,290388405,
2025-08-30,604.5,604.5,607,600.5,14729225,
2025-08-31,601,604,606,598,20686691,
2025-09-01,589.5,602,603,585,129404202,
2025-09-02,579,591,593,575,102411552,
2025-09-03,600,579.5,600.5,579.5,117731022,
2025-09-04,598,602,605,595,65939010,
2025-09-05,597,598,601,595.5,34624500,
2025-09-06,599.5,599,600,596.5,4151475,
2025-09-07,601.5,600,601.5,597.5,8582731,
2025-09-08,601,601.5,603.5,599,31243172,
2025-09-09,599,602,602,597,32284612,
2025-09-10,597,599,602,593.5,49247558,
2025-09-11,596.5,597,598.5,590,36451867,
2025-09-12,589,596.5,598,585,48914641,
2025-09-13,586.5,589.5,590.5,585.5,3925694,
2025-09-14,587,586.5,588,584.5,3753004,
2025-09-15,582,589.5,589.5,580,33609492,
2025-09-16,576.5,581.5,586.5,575,35009388,
2025-09-17,580,577,580.5,575.5,21142574,
2025-09-18,567,580,580.5,560,72761148,
2025-09-19,556.5,569.5,571,555,55106911,
2025-09-22,557,557,561,542.5,52073612,
2025-09-23,549,557,565,545.5,33158897,
2025-09-24,554,550,555,544.5,35374046,
2025-09-25,546,552.5,557.5,544.5,27017528,
2025-09-26,552,548,553,544,36466961,
2025-09-27,552.5,554,554,550,3512471,
2025-09-28,551.5,554,554,550,2314112,
2025-09-29,545.5,552.5,554.5,541,30519387,
2025-09-30,542,548,551.5,539,35002085,
2025-10-01,535.5,542.5,551.5,530.5,57010813,
2025-10-02,533,536,536,530,30940170,
2025-10-03,526.5,532,534.5,526,29090357,
2025-10-04,525,526.5,527.5,522.5,11658532,
2025-10-05,528.5,524,529,524,4223497,
2025-10-06,540,528.5,545,528.5,38313773,
2025-10-07,538.5,543.5,551,535.5,32289523,
2025-10-08,520.5,538,543.5,520,49679641,
2025-10-09,512.5,523,526,495,103141881,
2025-10-10,511,516.5,517.5,507,31401165,
2025-10-11,513.5,511,514,506,5022897,
2025-10-12,516.5,513.5,516.5,512.5,1921177,
2025-10-13,511.5,516.5,519,507.5,21514939,
2025-10-14,505.5,511,514,502.5,24752698,
2025-10-15,505.5,507.5,507.5,502,21593767,
2025-10-16,537.5,507,541,503.5,107828442,
2025-10-17,528,550,550,520,63191079,
2025-10-18,542,528,542.5,528,12239498,
2025-10-19,540.5,544,544,537,6515066,
2025-10-20,533,540,544,528,52263772,
2025-10-21,514.5,534,534,508,87048647,
2025-10-22,509.5,514.5,520.5,504.5,39979247,
2025-10-23,507.5,510,510.5,501.5,28835404,
2025-10-24,503,508,514,502.5,29205804,
2025-10-27,497,505,507.5,494.5,42325977,
2025-10-28,509.5,501,510,493,73704587,
2025-10-29,506,510,516.5,502.5,70017097,
2025-10-30,497,506,506.5,488.5,142710701,
2025-10-31,493.5,497,498.5,490.5,51839545,
2025-11-01,492.5,494.5,497,492.5,14987671,
2025-11-03,495.5,493.5,500.5,489,26992239,
2025-11-05,492,496.5,498,491,37768010,
2025-11-06,494,492.5,494.5,490,27191066,
2025-11-07,493.5,494,498,490.5,28378682,
2025-11-08,494,494,495,493.5,3512137,
2025-11-09,497,493.5,497.5,492.5,3880772,
2025-11-10,487,497,501.5,483.5,111917357,
2025-11-11,491,487,492,485,38384753,
2025-11-12,487.5,491,492,482.5,31184353,
2025-11-13,482.5,487.5,489,477.5,48812597,
2025-11-14,477,482,484,475,41876580,
2025-11-15,479,478,480.5,477,4296402,
2025-11-16,478,479,480.5,477.5,2919292,
2025-11-17,474,479,479,473,29723954,
2025-11-18,470,474,476,466.5,83414958,
2025-11-19,472.5,470.5,478,467,97456537,
2025-11-20,474.5,473,477.5,469.5,63606936,
2025-11-21,473,476,477,470.5,38150223,
2025-11-24,474.5,476,481,472,37219806,
2025-11-25,473.5,477,478.5,471.5,38932141,
2025-11-26,475.5,474.5,476,473,17329848,
2025-11-27,473,475.5,476.5,472,19149312,
2025-11-28,474,474.5,475,471.5,18551362,
2025-11-29,475,475.5,476.5,473,6562488,
2025-11-30,477.5,475,477.5,474,4703476,
2025-12-01,476,477.5,479,475,40481408,
2025-12-02,474.5,477.5,477.5,474,27098254,
2025-12-03,474,474,474.5,471,22240112,
2025-12-04,484,474.5,490,473.5,79327411,
2025-12-05,485.5,487,487,482.5,45246270,
2025-12-08,484,484,488,479,55182369,
2025-12-09,483,485.5,486,475.5,44743249,
2025-12-10,481.5,485,487,481.5,30291425,
2025-12-11,484.5,482.5,486.5,482.5,47577026,
2025-12-12,494.1,484.5,497.9,484,78600193,
2025-12-13,493.8,493.5,494.8,491.1,7223590,
2025-12-14,506.5,493.7,508,493,56640628,
2025-12-15,515.4,506.5,515.6,499.1,202051366,
2025-12-16,511.6,515.4,515.8,504.2,103322720,
2025-12-17,505.6,512,512,501.2,78740961,
2025-12-18,507.8,505.7,508.7,501.5,65555800,
2025-12-19,501.7,507.8,510,496.1,112623460,
2025-12-20,501.1,501.7,502.4,500.1,4003570,
2025-12-21,502.3,501,503,500,3620150,
2025-12-22,496,501.9,504.3,493.6,40543424,
2025-12-23,492.6,494.7,496,484.6,55885492,
2025-12-24,490.5,493,494.8,487.6,32584957,
2025-12-25,500.6,492,503.3,489,77006865,
2025-12-26,500.6,500.6,503,495,107429003,
2025-12-27,501,502,502,500,7666365,
2025-12-28,498.6,500.4,501.9,496.6,7944044,
2025-12-29,493.1,500.6,502.4,489.6,79265162,
2025-12-30,492.4,494,495.4,488.8,46110008,
2026-01-05,488.3,492,492,482,29853805,
2026-01-06,496.4,488.7,498.7,488.5,20871169,
2026-01-08,492.1,490.2,494.1,488.1,17303499,
2026-01-09,491.9,492.1,493.9,489.2,12725156,
2026-01-12,492.8,493,496.9,490.7,25729028,
2026-01-13,486.8,494.1,494.4,484,35136990,
2026-01-14,487.6,487.9,492.8,485,40454313,
2026-01-15,491.2,487.5,491.2,486.9,19993138,
2026-01-16,488.8,491.8,493,487,124054827,
2026-01-17,488.8,488.8,490.1,488.3,8068381,
2026-01-18,491.1,489.2,491.4,488.6,4565349,
2026-01-19,488.1,491.1,492.5,486.2,42449122,
2026-01-20,485.9,488.1,488.5,484.3,36647041,
2026-01-21,486.1,488,488,485.1,36419024,
2026-01-22,485.2,486.3,487.9,484.7,63653964,
2026-01-23,485.3,485.2,485.8,483,46201129,
2026-01-24,484.7,485.4,485.4,483.8,5595419,
2026-01-25,487.5,485,488.5,484.3,16154052,
2026-01-26,484.7,486.9,488.5,483.1,48459968,
2026-01-27,484.5,484.6,487,480.6,65828714,
2026-01-28,480,485.7,486,478.2,72048496,
2026-01-29,481,482.5,483.3,478.8,76382140,
2026-01-30,475.3,482.1,482.9,475,47838415,
2026-01-31,478.4,476.1,478.6,476.1,4912785,
2026-02-01,480.6,478.8,480.8,478.5,5160975,
2026-02-02,481.4,480.6,481.7,477,31899354,
2026-02-03,494.6,481.8,501.9,481,261182439,
2026-02-04,487.4,495,502.4,485,99268173,
2026-02-05,494.4,488,497,482.7,114908104,
2026-02-06,502.2,494,507,491.3,225510175,
2026-02-07,499.8,502.2,504.9,498.1,13288834,
2026-02-08,497.9,498.7,501.5,495.7,21369988,
2026-02-09,491.9,502.2,504.9,485.8,92425611,43.1
2026-02-10,489.7,488.4,495.5,486.6,46099193,43.1
2026-02-11,491.4,489.7,492.3,488.6,13031711,43.1
