;2013Q4;2014Q4;2015Q4;2016Q2;2016Q4;2017Q2;2017Q4;2018Q2;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q2;2025Q4;LTM
"Дата отчета";09.07.2018;09.07.2018;30.06.2018;;12.04.2018;;09.07.2018;29.08.2019;17.04.2019;;29.08.2019;;10.04.2020;15.06.2021;31.08.2020;05.12.2021;06.04.2021;15.06.2021;30.08.2021;03.12.2021;14.05.2023;;30.08.2022;;14.05.2023;;29.08.2023;;18.03.2024;;29.08.2024;;18.03.2025;29.08.2025;05.02.2026;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Биомасса в воде, тыс т";;;;5.3;10.6;3.2;5.0;7.4;17.2;;11.7;;16.2;;9.3;;28.2;;22.2;;29.8;;19.5;;36.2;;31.0;;34.0;;15.6;;22.7;20.9;30.1;30.1
"Продажи вес, тыс т";;;;0.8;4.5;6.8;3.2;0.7;5.8;;9.4;;7.5;;9.6;;5.9;;13.0;;14.9;;15.8;;9.8;;13.7;;14.5;;16.3;;9.4;8.4;;8.4
"Цена лосося, руб/кг";;;;367;471;488;499;438;491;;513;;517;;547;;536;;514;;568;;904;;912;;928;;990;;"1 200";;"1 480";"1 200";;"1 200"
"Выручка, млрд руб";;;;;;;;0.305;2.91;;4.85;;3.94;;5.26;;3.08;;6.70;;9.20;;14.3;;9.20;;12.9;;15.6;;18.3;;13.3;10.1;;23.3
"EBITDA, млрд руб";;;;;;;;-0.042;1.02;;2.12;;1.31;;2.30;;1.08;;2.40;;4.30;;8.24;;4.69;;6.28;;6.62;;7.38;;5.10;2.50;;7.60
"Чистая прибыль, млрд руб";;;;;;;;0.154;2.18;;1.01;;2.25;;-0.400;;3.57;;1.96;;6.54;;6.83;;3.50;;5.52;;3.71;;-1.42;;11.7;0.800;;12.5
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;8.29;;3.64;;8.64;;6.83;;;;;-7.46;;-7.46
"Операционный денежный поток, млрд руб";;;;;;;;;;;2.14;;0.330;;2.39;;-1.88;;1.77;;1.60;;5.04;;-2.15;;4.65;;4.00;;11.0;;1.22;0.876;;2.10
"CAPEX, млрд руб";;;;;;;;0.567;0.702;;1.43;;1.10;;1.23;;0.600;;1.90;;1.30;;1.68;;1.83;;2.72;;1.86;;3.54;;2.74;1.98;;4.72
"FCF, млрд руб";;;;;;;;;;;0.720;;-0.790;;1.18;;-2.53;;-0.470;;0.240;;3.33;;-5.09;;1.91;;2.09;;7.43;;-1.73;-1.14;;-2.87
"Див.выплата, млрд руб";;;;;;;;;;0.000;;0.000;;;0.440;;0.440;0.350;0.350;0.350;0.000;0.000;1.32;1.32;0.000;0.879;1.41;1.67;0.879;0.879;0.879;1.76;0.002;0.000;;0.000
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;5;;5;4;4;4;0;0;15;15;0;10;16;19;10;10;10;20;0;0;;0
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.5%;0.0%;1.9%;1.3%;1.1%;0.8%;0.0%;0.0%;3.0%;2.9%;0.0%;1.6%;2.5%;2.0%;1.2%;1.1%;1.2%;3.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;0%;0%;;0%;;0%;;0%;;12%;;18%;;0%;;19%;;0%;;25%;;24%;;0%;;0%;0%;;0
"Опер. расходы, млрд руб";;;;;;;;;;;0.240;;0.420;;0.270;;0.420;;0.406;;0.451;;0.879;;0.702;;0.859;;3.34;;1.14;;5.13;1.03;;6.16
"Себестоимость, млрд руб";;;;;;;;0.304;1.90;;2.61;;2.20;;2.97;;2.03;;4.09;;4.75;;5.54;;4.24;;5.98;;7.49;;8.69;;6.69;6.28;;13.0
"Амортизация, млрд руб";;;;;;;;;;;0.2;;0.2;;0.2;;0.3;;0.4;;0.4;;0.5;;0.5;;0.6;;0.6;;0.8;;0.5;0.5;;1.1
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;0.919;;;;1.27;;1.40;1.26;;2.67
"Процентные расходы, млрд руб";;;;;;;;0.104;0.240;;0.210;;0.220;;0.170;;0.190;;0.180;;0.390;;0.490;;0.490;;0.480;;0.800;;0.730;;0.600;1.44;;2.04
"Активы, млрд руб";;;8.46;;5.95;;5.58;7.25;11.0;;11.6;;14.0;;13.5;;19.8;;24.1;;28.9;;35.7;;42.7;;51.1;;56.8;;49.7;;58.8;57.2;;57.2
"Чистые активы, млрд руб";0.224;-0.180;-1.52;;2.37;;3.51;3.69;6.00;;6.92;;9.07;;8.57;;11.7;;13.0;;18.7;;25.9;;27.3;;35.0;;39.7;;36.5;;42.8;34.5;;34.5
"Долг, млрд руб";2.70;5.02;4.80;;3.20;;1.84;3.27;4.30;;4.21;;4.12;;4.33;;6.72;;9.20;;8.31;;7.56;;13.7;;13.7;;14.5;;9.18;;14.1;20.0;;20.0
"Наличность, млрд руб";0.362;0.795;0.458;;0.034;;1.09;0.210;0.103;;1.06;;0.085;;1.24;;0.627;;2.59;;0.299;;2.68;;0.340;;2.24;;0.890;;3.11;;1.45;6.07;;6.07
"Чистый долг, млрд руб";2.34;4.23;4.34;0.00;3.17;0.00;0.74;3.06;4.20;0.00;3.15;0.00;4.04;0.00;3.09;0.00;6.09;0.00;6.61;0.00;8.01;0.00;4.88;0.00;13.4;0.00;11.5;0.00;13.6;0.00;6.07;0.00;12.7;13.9;0.00;13.9
"Цена акции ао, руб";;;;34.4;89.9;160.0;157.0;200.0;139.0;153.0;221.5;222.0;255.5;233.5;201.5;230.5;261.5;306.0;359.5;493.5;600.5;535.0;500.0;509.5;597.0;609.5;634.5;948.5;852.0;915.0;842.0;664.0;604.0;600.5;490.8;492.2
"Число акций ао, млн";79.5;79.5;79.5;87.9;79.5;87.9;79.5;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9
"Free Float, %";;;;;;;;;;;;;8.00%;;;;14.0%;;;;14.0%;;;;18.1%;;;;17.0%;;;;21.0%;20.0%;;20.0%
"Капитализация, млрд руб";0.00;0.00;0.00;3.02;7.15;14.1;12.5;17.6;12.2;13.4;19.5;19.5;22.5;20.5;17.7;20.3;23.0;26.9;31.6;43.4;52.8;47.0;43.9;44.8;52.5;53.6;55.8;83.4;74.9;80.4;74.0;58.4;53.1;52.8;43.1;43.3
"EV, млрд руб";2.34;4.23;4.34;3.02;10.3;14.1;13.2;20.6;16.4;13.4;22.6;19.5;26.5;20.5;20.8;20.3;29.1;26.9;38.2;43.4;60.8;47.0;48.8;44.8;65.9;53.6;67.2;83.4;88.5;80.4;80.1;58.4;65.7;66.7;43.1;57.2
"Баланс стоимость, млрд руб";0.22;-0.18;-1.52;0.00;2.37;0.00;3.51;3.69;6.00;0.00;6.87;0.00;9.02;0.00;8.52;0.00;11.3;0.00;12.5;0.00;18.2;0.00;25.4;0.00;26.6;0.00;34.4;0.00;38.9;0.00;35.7;0.00;42.0;33.7;0.00;33.7
"EPS, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.75;24.8;0.00;11.5;0.00;25.6;0.00;-4.55;0.00;40.6;0.00;22.3;0.00;74.4;0.00;77.7;0.00;39.8;0.00;62.8;0.00;42.2;0.00;-16.2;0.00;133.4;9.10;0.00;142.5
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.19;0.00;-8.99;0.00;13.4;0.00;-28.8;0.00;-5.35;0.00;2.73;0.00;37.9;0.00;-57.9;0.00;21.7;0.00;23.8;0.00;84.5;0.00;-19.7;-12.9;0.00;-32.6
"BV/акцию, руб";2.82;-2.26;-19.1;0.00;29.8;0.00;44.2;42.0;68.3;0.00;78.2;0.00;102.6;0.00;97.0;0.00;128.5;0.00;142.4;0.00;206.7;0.00;288.9;0.00;302.3;0.00;391.3;0.00;442.8;0.00;406.5;0.00;478.0;383.8;0.00;383.8
"Рентаб EBITDA, %";;;;;;;;-13.8%;35.0%;;43.7%;;33.2%;;43.7%;;35.1%;;35.8%;;46.7%;;57.6%;;51.0%;;48.7%;;42.5%;;40.4%;;38.4%;24.9%;;32.6%
"Чистая рентаб, %";;;;;;;;50.5%;74.9%;;20.8%;;57.0%;;-7.6%;;115.9%;;29.3%;;71.1%;;47.8%;;38.0%;;42.8%;;23.8%;;-7.8%;;88.3%;8.0%;;53.7%
"Доходность FCF, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;3.7%;0.0%;-0.3%;0.0%;2.2%;5.8%;-5.9%;-8.2%;-9.5%;4.0%;-0.4%;-0.5%;8.1%;7.4%;-3.4%;-2.1%;-5.7%;-3.0%;5.3%;5.0%;12.9%;16.3%;10.7%;-5.4%;-2.6%;-6.6%
