;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";09.07.2018;09.07.2018;30.06.2018;12.04.2018;09.07.2018;17.04.2019;10.04.2020;06.04.2021;14.05.2023;14.05.2023;18.03.2024;18.03.2025;05.02.2026;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Биомасса в воде, тыс т";;;;10.6;5.0;17.2;16.2;28.2;29.8;36.2;34.0;22.7;30.1;30.1
"Продажи вес, тыс т";;;;;10.2;6.5;17.0;15.5;27.9;25.6;28.2;25.7;22.2;8.4
"Цена лосося, руб/кг";;;;471;499;491;517;536;568;912;990;"1 096";;"1 200"
"Выручка, млрд руб";18.0;19.2;0.865;2.48;5.02;3.21;8.80;8.34;15.9;23.5;28.5;31.6;24.6;23.3
"EBITDA, млрд руб";0.909;0.945;-0.067;1.51;2.06;0.974;3.43;3.38;8.50;12.9;12.9;12.5;;7.60
"Чистая прибыль, млрд руб";0.453;-0.407;-1.86;0.698;0.376;2.33;3.26;3.12;5.30;10.3;9.20;10.3;;12.5
"Чистая прибыль н/с, млрд руб";;;-1.34;3.89;;;;;8.60;11.9;15.5;7.80;;-7.46
"Операционный денежный поток, млрд руб";;;;;;;2.47;0.503;3.37;2.89;8.65;12.2;;2.10
"CAPEX, млрд руб";;;;0.152;0.572;1.27;2.53;1.83;;3.93;4.58;6.28;;4.72
"FCF, млрд руб";;;;;;;-0.063;-1.34;-0.198;-1.10;4.00;5.70;;-2.87
"Див.выплата, млрд руб";;;;;;;;0.880;0.703;2.64;4.83;3.52;;0.000
"Дивиденд, руб/акцию";;;;;;;;10;8;30;55;40;;0
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;3.8%;1.3%;5.0%;6.5%;6.6%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;28%;13%;26%;53%;34%;;0
"Опер. расходы, млрд руб";;;;;;;;;1.09;1.93;4.20;6.27;;6.16
"Себестоимость, млрд руб";16.2;16.4;0.932;1.38;4.13;2.20;6.64;5.00;8.84;9.78;13.5;15.4;;13.0
"Амортизация, млрд руб";;;;;;;;;0.8;0.9;1.2;1.4;;1.1
"Расх на персонал, млрд руб";;;;0.195;0.446;0.519;0.764;0.760;;1.51;2.63;2.67;;2.67
"Процентные расходы, млрд руб";;;;0.638;0.236;0.344;0.432;0.361;0.590;0.960;1.28;1.33;;2.04
"Активы, млрд руб";;;8.46;5.95;5.58;11.0;14.0;19.8;28.9;42.7;56.8;58.8;;57.2
"Чистые активы, млрд руб";0.224;-0.180;-1.52;2.37;3.51;6.00;9.07;11.7;18.7;27.3;39.7;42.8;;34.5
"Долг, млрд руб";2.70;5.02;4.80;3.20;1.84;4.30;4.12;6.72;8.31;13.7;14.5;14.1;;20.0
"Наличность, млрд руб";0.362;0.795;0.458;0.034;1.09;0.103;0.085;0.627;0.299;0.340;0.890;1.45;;6.07
"Чистый долг, млрд руб";2.34;4.23;4.34;3.17;0.74;4.20;4.04;6.09;8.01;13.4;13.6;12.7;0.00;13.9
"Цена акции ао, руб";;;;89.9;157.0;139.0;255.5;261.5;600.5;597.0;852.0;604.0;490.8;492.2
"Число акций ао, млн";79.5;79.5;79.5;79.5;79.5;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9;87.9
"Free Float, %";;;;;;;8.00%;14.0%;14.0%;18.1%;17.0%;21.0%;;20.0%
"Капитализация, млрд руб";0.00;0.00;0.00;7.15;12.5;12.2;22.5;23.0;52.8;52.5;74.9;53.1;43.1;43.3
"EV, млрд руб";2.34;4.23;4.34;10.3;13.2;16.4;26.5;29.1;60.8;65.9;88.5;65.7;43.1;57.2
"Баланс стоимость, млрд руб";0.22;-0.18;-1.52;2.37;3.51;6.00;9.02;11.3;18.2;26.6;38.9;42.0;0.00;33.7
"EPS, руб";5.70;-5.12;-23.4;8.77;4.73;26.5;37.1;35.5;60.3;117.6;104.7;117.2;0.00;142.5
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;-0.72;-15.2;-2.25;-12.5;45.5;64.9;0.00;-32.6
"BV/акцию, руб";2.82;-2.26;-19.1;29.8;44.2;68.3;102.6;128.5;206.7;302.3;442.8;478.0;0.00;383.8
