date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1328,1330.5,1350,1328,83325759,
2025-02-11,1347.5,1335,1361.5,1329,128304263,
2025-02-12,1410,1347.5,1437,1342,440206394,
2025-02-13,1379,1420,1423.5,1352,400307879,
2025-02-14,1345,1402,1402,1315,454630681,
2025-02-17,1384,1381,1384.5,1349,299388941,
2025-02-18,1362,1375,1378.5,1347,146397277,
2025-02-19,1366.5,1363.5,1376.5,1344.5,126740000,
2025-02-20,1375.5,1367,1389,1365,142216190,
2025-02-21,1380,1380.5,1413.5,1369,369576952,
2025-02-24,1376,1393,1402,1337,519249316,
2025-02-25,1370,1385,1387,1352,309759750,
2025-02-26,1323.5,1371,1372,1315.5,409982484,
2025-02-27,1273.5,1323.5,1329.5,1263.5,597263419,
2025-02-28,1273,1285,1289.5,1246,366713079,
2025-03-03,1221.5,1261,1263,1213,529103337,
2025-03-04,1270.5,1231,1273.5,1223.5,332355787,
2025-03-05,1248,1257.5,1271,1235,205453760,
2025-03-06,1235,1248.5,1255,1227,175638127,
2025-03-07,1227,1240,1254,1221,139783436,
2025-03-10,1230.5,1236,1255,1222,134878738,
2025-03-11,1224.5,1230,1233,1213,137150894,
2025-03-12,1212,1220,1220,1201.5,140995937,
2025-03-13,1223.5,1205.5,1247.5,1200,177612369,
2025-03-14,1241.5,1223.5,1275.5,1216.5,196193115,
2025-03-17,1274.5,1257,1294,1257,197516254,
2025-03-18,1270,1292,1292.5,1266.5,174053107,
2025-03-19,1311,1270.5,1330,1261,278445254,
2025-03-20,1303.5,1320,1326.5,1294,194623697,
2025-03-21,1257,1304,1306.5,1254.5,413169354,
2025-03-24,1254.5,1261.5,1264.5,1245,92686745,
2025-03-25,1259.5,1253,1262.5,1223,167887086,
2025-03-26,1242.5,1259.5,1270,1238,73277505,
2025-03-27,1216,1241.5,1241.5,1212.5,103698710,
2025-03-28,1187.5,1219.5,1219.5,1183,152649582,
2025-03-29,1174.5,1187.5,1187.5,1170,17554183,
2025-03-30,1166,1174.5,1190,1166,21216896,
2025-03-31,1204,1165.5,1211.5,1163,125223157,
2025-04-01,1189.5,1207,1235.5,1180,246131990,
2025-04-02,1198,1189.5,1208,1180,99351212,
2025-04-03,1180,1201.5,1205.5,1162,96719212,
2025-04-04,1139.5,1195,1200,1125,269882700,
2025-04-05,1135,1139.5,1139.5,1117.5,28185440,
2025-04-06,1150,1135.5,1153,1131,21580109,
2025-04-07,1103,1148,1148,1038.5,449278498,
2025-04-08,1093.5,1109,1133,1044,270339780,
2025-04-09,1150.5,1083.5,1177.5,1058,421385692,
2025-04-10,1143.5,1157.5,1163,1116.5,128476337,
2025-04-11,1145.5,1137,1154,1130.5,127621087,
2025-04-12,1161,1148.5,1162.5,1143,22893357,
2025-04-13,1161,1158,1162.5,1152.5,9165017,
2025-04-14,1140.5,1157,1162,1132,72419272,
2025-04-15,1140.5,1140.5,1144.5,1131,35302253,
2025-04-16,1142,1141,1149.5,1132,63477218,
2025-04-17,1166.5,1140.5,1168,1140.5,90402376,
2025-04-18,1156.5,1145,1165.5,1144,75226271,
2025-04-21,1174,1164,1180,1158,65819880,
2025-04-22,1195.5,1178,1203.5,1172,100561687,
2025-04-23,1186,1197,1203,1175,88917014,
2025-04-24,1189,1186,1195,1185,45566835,
2025-04-25,1230,1189,1234,1186.5,192073957,
2025-04-26,1238.5,1231,1241.5,1221,34383170,
2025-04-27,1234.5,1232.5,1237,1230,3638165,
2025-04-28,1215,1235.5,1240.5,1211,137364247,
2025-04-29,1190,1221,1221,1169,108490498,
2025-04-30,1178,1194.5,1195,1148,133076526,
2025-05-02,1156.5,1179,1179,1152,35762066,
2025-05-03,1160.5,1155,1166,1152,4385308,
2025-05-04,1161.5,1155.5,1163,1155.5,5289580,
2025-05-05,1130.5,1161.5,1164,1104,103292859,
2025-05-06,1139,1123,1152,1122.5,54566302,
2025-05-07,1148,1147,1157,1132,41499251,
2025-05-08,1172,1153,1178.5,1152.5,54085156,
2025-05-10,1176,1172.5,1185,1172.5,11182493,
2025-05-11,1190,1185,1191.5,1177,20515548,
2025-05-12,1184,1192,1203,1168.5,114688543,
2025-05-13,1170,1184,1191,1162,36997155,
2025-05-14,1137,1170,1175.5,1132,110955658,
2025-05-15,1139,1140.5,1145,1128.5,54357374,
2025-05-16,1140,1143,1146.5,1120,44122411,
2025-05-17,1147,1144.5,1148.5,1135,17494368,
2025-05-18,1149.5,1149,1153,1144.5,7429335,
2025-05-19,1153,1148.5,1169.5,1140.5,86604232,
2025-05-20,1141,1154.5,1161,1132,49560603,
2025-05-21,1160,1141,1164,1133,89653997,
2025-05-22,1155,1163,1168,1140,143600719,
2025-05-23,1186.5,1157,1195.5,1150.5,225720451,
2025-05-26,1199,1187,1214.5,1173.5,266093329,
2025-05-27,1140,1195,1245,1123,1106713741,
2025-05-28,1147,1142,1152.5,1127.5,197970552,
2025-05-29,1135.5,1148.5,1154,1130.5,95356938,
2025-05-30,1132.5,1135.5,1144.5,1126,89289520,
2025-05-31,1134,1132.5,1136,1127,13261715,
2025-06-01,1123,1134,1140.5,1114.5,51219348,
2025-06-02,1136,1126.5,1143,1119.5,103437201,
2025-06-03,1153,1137,1153,1137,78726834,
2025-06-04,1155,1153,1172.5,1152.5,95758490,
2025-06-05,1158,1158,1170.5,1155,59123532,
2025-06-06,1145.5,1161.5,1176.5,1145.5,125652491,
2025-06-07,1152,1153,1153.5,1147.5,5826721,
2025-06-08,1147,1152.5,1154.5,1147,5302529,
2025-06-09,1133.5,1151,1160.5,1130.5,81475935,
2025-06-10,1127.5,1137.5,1141.5,1122.5,92573881,
2025-06-11,1126,1126,1135.5,1122.5,65820574,
2025-06-13,1145,1139,1154,1133,125492682,
2025-06-14,1166,1154,1173,1150,93659168,
2025-06-15,1167,1179,1179,1156.5,66092394,
2025-06-16,1142,1163,1172,1130.5,153258230,
2025-06-17,1151,1145.5,1158,1133,133911603,
2025-06-18,1149.5,1153,1154.5,1141.5,84845533,
2025-06-19,1140.5,1149.5,1154.5,1135.5,92842175,
2025-06-20,1140,1142.5,1146.5,1135.5,56994200,
2025-06-23,1141,1155.5,1156,1138,100426869,
2025-06-24,1140.5,1141,1144.5,1132,70875505,
2025-06-25,1142,1141,1149.5,1140,45086240,
2025-06-26,1146.5,1145,1148,1138.5,47586290,
2025-06-27,1162,1146.5,1165,1145,135451984,
2025-06-28,1163.5,1162,1165,1160,13861030,
2025-06-29,1159,1163,1165,1158.5,14327863,
2025-06-30,1164.5,1159,1168.5,1159,58425295,
2025-07-01,1166.5,1164.5,1173.5,1164.5,67923330,
2025-07-02,1156,1167,1172.5,1151.5,87345880,
2025-07-03,1158.5,1158,1168.5,1149,84981294,
2025-07-04,1150.5,1158.5,1158.5,1142,56133957,
2025-07-05,1151.5,1151,1154,1147.5,3671195,
2025-07-06,1153,1151.5,1155,1150,4237947,
2025-07-07,1139.5,1153,1155,1122.5,94574326,
2025-07-08,1120,1139,1140,1118,114680888,
2025-07-09,1122,1120,1128.5,1115,82331465,
2025-07-10,1126.5,1121,1140,1117.5,173415639,
2025-07-11,1101.5,1125,1129.5,1096,442924617,
2025-07-14,1004.5,984,1005,970,421160423,
2025-07-15,997.5,1001.5,1008.5,992.5,114664981,
2025-07-16,1000,998,1007.5,996,105265797,
2025-07-17,995,1005.5,1007,992,103298089,
2025-07-18,1001,998,1002,995,81274433,
2025-07-19,1013,1002,1019,997.5,46132182,
2025-07-20,1014.5,1016,1020,1010,15382780,
2025-07-21,1012,1015,1024,1006,88653884,
2025-07-22,1009.5,1012,1019.5,1008,84891924,
2025-07-23,1010.5,1014,1019,1006,48379156,
2025-07-24,1013.5,1010.5,1018,1008,55927037,
2025-07-25,1017.5,1016,1030,1009,168279774,
2025-07-26,1021.5,1024.5,1024.5,1015,6678652,
2025-07-27,1021.5,1021.5,1028,1017,8134532,
2025-07-28,1013,1024.5,1027,1007.5,168958990,
2025-07-29,1014.5,1012,1020,1009,48841923,
2025-07-30,1003.5,1018,1018,999.5,71211406,
2025-07-31,1010,1003,1025,1002,51082473,
2025-08-01,1018.5,1010.5,1024,1010,65648557,
2025-08-04,1028,1018.5,1028.5,1014,97627459,
2025-08-05,1035,1028,1040,1026,80293518,
2025-08-06,1039.5,1035.5,1044.5,1021.5,146242434,
2025-08-07,1038.5,1039.5,1048.5,1033,127798708,
2025-08-08,1045.5,1028,1046.5,1028,69984716,
2025-08-11,1062,1051,1070,1050,177456887,
2025-08-12,1064,1060.5,1074,1058,91584229,
2025-08-13,1061.5,1061,1069,1057,50787361,
2025-08-14,1061.5,1057,1065,1052,45532536,
2025-08-15,1067.5,1065,1070.5,1060,66089284,
