date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,505.5,517,522.5,503,279295773,
2025-02-11,512,506,516.5,506,221002235,
2025-02-12,531.5,514.5,537,508,517647236,
2025-02-13,516,532,535,512,246307009,
2025-02-14,522,524,528.5,515.5,341869733,
2025-02-17,547,527,549,524.5,593587696,
2025-02-18,533.5,542.5,542.5,527,467892679,
2025-02-19,535,535.5,537.5,530,151147721,
2025-02-20,536.5,535,543,534.5,212943162,
2025-02-21,546,538,557.5,538,478669370,
2025-02-24,550,550,555,544,277140132,
2025-02-25,562.5,553.5,566.5,545.5,376184332,
2025-02-26,543.5,564,579,540,682804177,
2025-02-27,534,540,545,530.5,262734651,
2025-02-28,538,536,545,525.5,250719586,
2025-03-03,527.5,538,538,519,257970146,
2025-03-04,531.5,531,538,526,186017967,
2025-03-05,530,529.5,537.5,527.5,116751990,
2025-03-06,514.5,531,533.5,510,400896201,
2025-03-07,535,516.5,545.5,514.5,1105144759,
2025-03-10,537,539,558,529,741843787,
2025-03-11,542,537,550.5,530,445217824,
2025-03-12,552.5,542,556.5,539,487361593,
2025-03-13,547,549,559,542,554908494,
2025-03-14,549.5,548,558.5,547,434034711,
2025-03-17,554,552,564,549.5,568953668,
2025-03-18,547.5,556,558.5,546,311210295,
2025-03-19,558.5,550,560.5,545,307084077,
2025-03-20,568,559.5,577,556,452430377,
2025-03-21,588,569.5,592,568,821428015,
2025-03-24,568,588,602,565,1290430750,
2025-03-25,573.5,569,579,556,363930618,
2025-03-26,570,573.5,583.5,558.5,682029394,
2025-03-27,554,570,574,550,500040919,
2025-03-28,553.5,554,562.5,547,324475802,
2025-03-29,546,555,558.5,545,38875335,
2025-03-30,545,546,547,545,10500596,
2025-03-31,537,544,560,524,511777715,
2025-04-01,573,537.5,590,536.5,3904086472,
2025-04-02,565.5,572,583.5,555,1138205939,
2025-04-03,536,569,573,528.5,1599458808,
2025-04-04,508.5,540,540,505,647584417,
2025-04-05,506.5,508,508.5,500.5,83732253,
2025-04-06,512.5,508,513,504,47738685,
2025-04-07,480.5,500,505,464.5,937809497,
2025-04-08,475,489,492,473.5,324398402,
2025-04-09,485,478,486.5,455,641710504,
2025-04-10,478,485,494.5,475.5,363867919,
2025-04-11,483,478,489,476.5,226249803,
2025-04-12,489,486,489,486,32428539,
2025-04-13,489,491,492,482.5,49479635,
2025-04-14,494,489,506.5,486.5,316390006,
2025-04-15,495.5,496.5,499.5,488.5,118783721,
2025-04-16,495,495.5,501.5,491.5,128905113,
2025-04-17,504.5,495.5,506,495.5,168860763,
2025-04-18,500,500,504.5,495.5,151139571,
2025-04-21,510.5,500.5,511,500.5,147997513,
2025-04-22,510,511,517.5,503,282811543,
2025-04-23,506.5,510,510.5,498,210192371,
2025-04-24,504,507,510,502,83219114,
2025-04-25,504,506,506.5,500.5,114553401,
2025-04-26,503,505,507,502.5,28279254,
2025-04-27,504,503,505.5,502.5,8704342,
2025-04-28,499,504,509,492.5,187718631,
2025-04-29,484.5,498,500,479,205177149,
2025-04-30,480.5,484,485.5,472.5,148324900,
2025-05-02,468.5,480.5,483.5,468.5,127684162,
2025-05-03,474,471,477.5,468.5,24974270,
2025-05-04,477,476,479,475,13973453,
2025-05-05,469.5,477.5,480.5,465.5,92972758,
2025-05-06,473,470.5,476,469.5,56984137,
2025-05-07,473,473,476.5,470.5,84668633,
2025-05-08,471.5,473,480,471.5,87129512,
2025-05-10,472,472,474.5,471,7516097,
2025-05-11,474.5,473,476.5,473,24805349,
2025-05-12,484,475.5,490.5,475.5,236373586,
2025-05-13,479.5,484,486,477.5,113806643,
2025-05-14,473.5,482,485,472.5,105412507,
2025-05-15,473.5,474,476.5,469,107789786,
2025-05-16,474,477,479.5,468,131370563,
2025-05-17,477.5,473,479.5,473,15937891,
2025-05-18,481,480,482.5,479,18561294,
2025-05-19,479.5,482,492,477.5,342565480,
2025-05-20,488,481.5,489.5,477,273187964,
2025-05-21,475.5,490,494,471,366804727,
2025-05-22,458.5,477.5,480,456,617171422,
2025-05-23,453.5,458.5,463,451.5,314289489,
2025-05-26,446,454.5,454.5,444,211215325,
2025-05-27,450,446,451.5,438.5,125313797,
2025-05-28,462.5,450,464,450,194426320,
2025-05-29,458,464,467,454,196771541,
2025-05-30,460,458,462,455,103457940,
2025-05-31,461,462,462.5,460,16399454,
2025-06-01,454,460.5,461.5,449.5,39188044,
2025-06-02,462,454,463,451,121130770,
2025-06-03,466.5,462.5,468.5,461,154675985,
2025-06-04,472.5,466.5,475.5,465,214689254,
2025-06-05,482,474,488.5,473.5,422805263,
2025-06-06,469,482,485,460,534162406,
2025-06-09,445.5,449,456.5,440,248824121,
2025-06-10,446,445.5,449.5,442,91503716,
2025-06-11,445,446.5,449,443.5,89413694,
2025-06-13,442.5,445,447.5,441.5,31902492,
2025-06-14,445,443,446,443,8727329,
2025-06-15,444,445,446.5,442.5,7038789,
2025-06-16,432,444,447,431,275601290,
2025-06-17,437,432,441,431.5,134272237,
2025-06-18,437,437,441,436,74907655,
2025-06-19,439,437,444,436.5,127763125,
2025-06-20,438,439,442,436.5,108218368,
2025-06-23,428,439,441,425.5,163835927,
2025-06-24,429.5,428,438,425.5,131766324,
2025-06-25,429,430,433.5,425,202872455,
2025-06-26,427,429,430,425.5,135950192,
2025-06-27,424.5,428,429,422,158911795,
2025-06-28,426,425,426.5,424.5,12285865,
2025-06-29,426,426,426.5,425,11658496,
2025-06-30,429.5,426,431.5,424.5,195953686,
2025-07-01,428.5,430,433,428,197217025,
2025-07-02,423,428.5,432,422.5,164082039,
2025-07-03,423,423,427.5,422,129821681,
2025-07-04,422,422.5,434,420,280502871,
2025-07-05,422.5,422.5,423.5,421.5,4788249,
2025-07-06,423,422.5,423,421.5,5239947,
2025-07-07,421,422.5,426.5,420.5,117656146,
2025-07-08,429.5,421.5,435,417,356059090,
2025-07-09,445,429,448,428.5,556422512,
2025-07-10,437,443,452,434,449679936,
2025-07-11,432,437.5,440.5,428,191883372,
2025-07-12,429.5,432,433.5,429.5,12087084,
2025-07-13,430,431.5,431.5,428.5,11599011,
2025-07-14,436,427,441.5,421.5,295355389,
2025-07-15,429,436,443,416.5,1330250465,
2025-07-16,426,428.5,433,419,565337332,
2025-07-17,427.5,426.5,434.5,425.5,397525355,
2025-07-18,441,427.5,450,427,698564003,
2025-07-19,444.5,444.5,450.5,442.5,67063855,
2025-07-20,446.5,446,450,445,48806536,
2025-07-21,440,448,449.5,438,279418158,
2025-07-22,446,440,450.5,435,504353633,
2025-07-23,454,446,460.5,445.5,682791229,
2025-07-24,452.5,456,458,447,195685940,
2025-07-25,448,453,458,438,346040506,
2025-07-26,448,448.5,450,447.5,15238487,
2025-07-27,448,448,449,447,7076691,
2025-07-28,437.5,447,454.5,433,318150116,
2025-07-29,439.5,437,442,435.5,112030889,
2025-07-30,432.5,438,442,431,142774238,
2025-07-31,432.5,432.5,436,428,116381535,
2025-08-01,435.2,433,437,432,83424976,
2025-08-04,438.4,437,438.6,434.6,79832825,
2025-08-05,437.6,438.6,439.2,435.4,75492485,
2025-08-06,440,438.4,445,434.2,182236047,
2025-08-07,442,439.6,445,436.8,201947480,
2025-08-08,450.2,442,451.2,441,233547026,
2025-08-11,455,455,457,450,238566131,
2025-08-12,457.4,455,458,450.8,185613505,
2025-08-13,466,457.4,476.8,457,632248814,
2025-08-14,463,466.6,468.2,455.6,228557073,
2025-08-15,456.4,463,470.6,452,450174511,
2025-08-16,454.6,452,455,445,59711716,
2025-08-17,454,454.6,456.4,452.8,12914248,
2025-08-18,463,454,467.8,452.8,251846324,
2025-08-19,461.8,463,471,461,224435899,
2025-08-20,460,462.2,464.8,458.6,262804875,
2025-08-21,453.2,460,460.8,451.6,194674159,
2025-08-22,456.8,453.2,460.2,453.2,66349788,
2025-08-23,457.4,457.2,459.4,456.8,3013249,
2025-08-24,457.6,457,458.8,456,7240368,
