;2013Q4;2014Q4;2015Q4;2016Q4;2017Q2;2017Q4;2018Q2;2018Q4;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";06.07.2018;06.07.2018;06.07.2018;27.06.2018;29.08.2018;23.04.2019;29.08.2018;23.04.2019;29.08.2019;;06.04.2020;;27.08.2020;;11.03.2021;;18.08.2021;;28.03.2022;;25.08.2022;05.12.2022;10.03.2023;;10.08.2023;10.11.2023;14.03.2024;;24.09.2024;;26.03.2025;;29.08.2025;;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";;;;;;;;;;;;613;622;634;645;665;713;800;"1 001";"1 124";"1 234";"1 250";"1 351";"1 426";"1 508";"1 581";"1 657";"1 713";"1 810";"1 909";"2 041";"2 103";"2 129";"2 163";"2 175";"2 175"
"Выручка, млрд руб";;;;;15.7;;18.8;24.6;21.5;;31.6;;26.3;;37.0;;30.8;;44.2;;42.1;24.2;31.1;;47.9;29.7;39.2;;57.1;;78.4;;69.2;;;147.6
"Операционная прибыль, млрд руб";;;;;;;;;;;;;2.30;;4.54;;2.42;;5.32;;5.13;3.67;4.26;;5.00;3.81;5.12;;4.50;;7.85;;5.79;;;13.6
"EBITDA, млрд руб";;;;;1.60;;1.92;2.33;2.91;;3.59;;3.33;;5.87;;3.70;;6.79;;7.17;4.83;5.36;;7.56;5.18;6.54;;6.66;;12.0;;9.22;;;21.2
"Чистая прибыль, млрд руб";;;;;0.200;;0.372;0.547;0.405;;0.948;;0.450;;2.01;;1.14;;2.68;;2.26;2.94;3.24;;3.04;2.22;2.77;;2.02;;2.55;;2.10;;;4.65
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;-0.793;;6.91;;1.05;;7.51;;-3.82;;9.97;;-1.95;;8.69;;-0.150;;15.5;;4.37;;;19.8
"CAPEX, млрд руб";;;;;;;;;0.880;;;;0.818;;1.68;;1.03;;1.97;;1.94;;1.49;;1.44;;1.54;;1.44;;1.80;;1.47;;;3.27
"FCF, млрд руб";;;;;;;-1.48;3.40;-1.55;;3.27;;-0.488;;6.45;;0.986;;6.35;;-6.74;;10.5;;-4.53;;5.68;;-3.10;;12.0;;1.02;;;13.0
"Див.выплата, млрд руб";;;;;;;;;;;;;0.160;;1.42;;1.15;;0.747;;2.37;1.19;6.32;;5.06;2.13;3.51;;1.58;;3.16;;2.53;;;2.53
"Дивиденд, руб/акцию";;;;;;;;;;;;;10;;90;;72,76;;47,24;;150;75;400;;320;135;225;;12,5;;25;;20;;;20
"Див доход, ао, %";;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.7%;0.0%;6.5%;0.0%;2.6%;0.0%;1.4%;0.0%;6.6%;2.9%;14.5%;0.0%;7.6%;2.4%;4.2%;0.0%;0.2%;0.0%;4.8%;0.0%;4.7%;0.0%;0.0%;4.7%
"Дивиденды/прибыль, %";;;;;0%;;0%;0%;0%;;0%;;36%;;71%;;101%;;28%;;105%;40%;195%;;166%;96%;127%;;78%;;124%;;120%;;;54%
"Опер. расходы, млрд руб";;;;;;;;;;;;;6.87;;8.96;;8.71;;10.4;;12.1;;13.0;;13.8;;15.4;;16.0;;20.0;;19.2;;;39.2
"Себестоимость, млрд руб";;;;;9.66;;10.8;15.8;13.1;;20.5;;17.1;;23.5;;19.6;;28.5;;24.9;;34.1;;29.1;;44.5;;36.5;;50.6;;44.1;;;94.7
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;2.0;;2.3;;2.6;;2.8;;3.0;;3.3;;3.4;;;6.7
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.50;;9.62;;10.1;;;19.7
"Процентные расходы, млрд руб";;;;;;;;;1.06;;;;1.12;;1.26;;0.961;;0.814;;1.21;;1.14;;1.59;;2.02;;2.30;;3.59;;3.54;;;7.13
"Активы, млрд руб";;;;38.0;37.0;;;48.1;;;57.4;;59.6;;63.5;;64.3;;78.5;;81.1;;93.1;;88.7;;96.2;;100.3;;122.9;;113.0;;;113.0
"Чистые активы, млрд руб";17.7;18.4;18.6;18.8;19.0;18.7;18.3;18.2;18.1;;18.8;;18.5;;20.1;;24.0;;25.8;;26.1;;25.1;;23.4;;26.3;;25.1;;26.4;;23.7;;;23.7
"Долг, млрд руб";6.68;8.71;8.45;9.05;10.3;11.0;14.1;12.9;16.1;;18.6;;19.7;;20.5;;16.5;;23.6;;33.0;;25.6;;41.4;;17.6;;24.8;;34.4;;33.1;;;33.1
"Наличность, млрд руб";0.467;0.482;1.16;1.01;0.600;0.819;0.680;1.08;0.812;;1.09;;3.00;;4.89;;6.20;;9.70;;8.30;;13.2;;4.95;;3.42;;2.30;;22.5;;18.5;;;18.5
"Чистый долг, млрд руб";6.21;8.23;7.29;8.04;9.70;10.2;13.4;11.8;15.3;0.00;17.5;0.00;16.7;0.00;15.6;0.00;10.3;0.00;13.9;0.00;24.7;0.00;12.3;0.00;36.5;0.00;14.2;0.00;22.5;0.00;11.9;0.00;14.6;0.00;0.00;14.6
"Цена акции ао, руб";;;;;;645.0;680.0;408.0;502.0;667.0;740.0;"1 092";"1 340";"1 278";"1 395";"3 900";"2 776";"3 287";"3 352";"2 692";"2 285";"2 558";"2 768";"4 049";"4 201";"5 576";"5 367";"5 863";"5 698";694.0;516.0;539.0;428.5;385.6;410.6;421.2
"Число акций ао, млн";25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;19.4;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;15.8;126.4;126.4;126.4;126.4;126.4;126.4;126.4;126.4
"Free Float, %";;;;;;;;;;;;;;;28.0%;;;;24.0%;;;;;;;;;;;;24.0%;;24.0%;24.0%;;24.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;16.1;17.0;10.2;12.5;16.6;14.4;17.3;21.2;20.2;22.0;61.6;43.9;51.9;53.0;42.5;36.1;40.4;43.7;64.0;66.4;88.1;84.8;92.6;720.2;87.7;65.2;68.1;54.2;48.7;51.9;53.2
"EV, млрд руб";6.21;8.23;7.29;8.04;9.70;26.3;30.4;22.0;27.8;16.6;31.9;17.3;37.9;20.2;37.7;61.6;54.2;51.9;66.9;42.5;60.8;40.4;56.1;64.0;102.8;88.1;99.0;92.6;742.7;87.7;77.1;68.1;68.8;48.7;51.9;67.9
"Баланс стоимость, млрд руб";11.0;11.4;11.3;10.1;10.2;9.84;8.38;4.98;4.92;0.00;5.30;0.00;5.00;0.00;6.45;0.00;10.4;0.00;12.5;0.00;12.7;0.00;14.4;0.00;12.7;0.00;15.9;0.00;14.5;0.00;15.7;0.00;12.5;0.00;0.00;12.5
"EPS, руб";0.00;0.00;0.00;0.00;8.01;0.00;14.9;21.9;16.2;0.00;48.9;0.00;28.5;0.00;127.2;0.00;72.2;0.00;169.9;0.00;143.0;186.1;205.2;0.00;192.4;140.5;175.3;0.00;16.0;0.00;20.2;0.00;16.6;0.00;0.00;36.8
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;-59.2;136.4;-62.1;0.00;168.4;0.00;-30.9;0.00;408.2;0.00;62.4;0.00;402.2;0.00;-426.6;0.00;661.4;0.00;-286.7;0.00;359.5;0.00;-24.5;0.00;95.1;0.00;8.05;0.00;0.00;103.1
"BV/акцию, руб";439.2;457.2;454.6;405.1;407.5;394.4;335.7;199.4;197.2;0.00;273.4;0.00;316.5;0.00;408.2;0.00;658.2;0.00;788.9;0.00;802.5;0.00;910.1;0.00;801.3;0.00;"1 006";0.00;114.7;0.00;124.1;0.00;98.9;0.00;0.00;98.9
"Рентаб EBITDA, %";;;;;10.2%;;10.2%;9.5%;13.6%;;11.3%;;12.7%;;15.9%;;12.0%;;15.4%;;17.1%;20.0%;17.2%;;15.8%;17.4%;16.7%;;11.7%;;15.3%;;13.3%;;;14.4%
"Чистая рентаб, %";;;;;1.3%;;2.0%;2.2%;1.9%;;3.0%;;1.7%;;5.4%;;3.7%;;6.1%;;5.4%;12.1%;10.4%;;6.3%;7.5%;7.1%;;3.5%;;3.3%;;3.0%;;;3.2%
"Доходность FCF, %";;;;;;0.0%;-8.7%;18.9%;14.8%;11.1%;12.0%;10.0%;13.1%;13.8%;27.0%;9.7%;17.0%;14.3%;13.9%;17.3%;-1.1%;-1.0%;8.5%;5.8%;8.9%;6.7%;1.4%;1.2%;0.4%;2.9%;13.7%;13.1%;24.1%;26.7%;2.0%;24.5%
"ROE, %";0.0%;0.0%;0.0%;0.0%;1.1%;1.1%;2.0%;5.1%;5.3%;;7.2%;;7.6%;;12.3%;;13.1%;;14.8%;;18.9%;;33.6%;;39.4%;;30.5%;;27.9%;;17.3%;;19.6%;;;19.6%
"ROA, %";;;;0.0%;0.5%;;;1.9%;;;2.4%;;2.3%;;3.9%;;4.9%;;4.9%;;6.1%;;9.1%;;10.4%;;8.3%;;7.0%;;3.7%;;4.1%;;;4.1%
P/E;;;;;0.00;80.5;45.6;11.1;13.2;17.5;10.6;12.8;15.1;14.4;8.96;25.0;13.9;16.5;13.8;11.1;7.30;5.13;5.18;7.58;7.20;10.4;10.6;11.5;102.7;18.3;14.3;14.9;11.6;10.5;24.7;11.4
P/FCF;;;;;;;-11.5;5.29;6.76;8.98;8.36;10.0;7.62;7.27;3.70;10.3;5.90;6.98;7.22;5.79;-93.5;-104.7;11.8;17.2;11.2;14.9;73.7;80.6;279.2;34.0;7.31;7.64;4.15;3.74;51.0;4.08
P/S;;;;;0.00;1.02;0.90;0.23;0.27;0.36;0.27;0.33;0.37;0.35;0.35;0.97;0.65;0.77;0.71;0.57;0.42;0.37;0.45;0.66;0.64;0.81;0.73;0.79;5.71;0.91;0.48;0.50;0.37;0.33;0.75;0.36
P/BV;0.00;0.00;0.00;0.00;0.00;1.64;2.03;2.05;2.55;;2.71;;4.23;;3.42;;4.22;;4.25;;2.85;;3.04;;5.24;;5.34;;49.7;;4.16;;4.33;;;4.26
EV/EBITDA;;;;;6.06;16.4;15.8;5.17;5.31;3.18;4.91;2.66;5.47;2.92;4.09;6.70;5.66;5.43;6.38;4.06;4.36;2.15;3.23;3.69;5.79;4.87;5.13;4.80;40.4;6.65;4.13;3.65;3.24;2.30;5.63;3.20
Долг/EBITDA;;;;;6.06;6.37;6.97;2.78;2.92;0.00;2.70;0.00;2.41;0.00;1.70;0.00;1.08;0.00;1.33;0.00;1.77;0.00;0.71;0.00;2.05;0.00;0.73;0.00;1.22;0.00;0.64;0.00;0.69;0.00;0.00;0.69
"Персонал, чел";;;;;;;;;;;;;;;"10 000";;;;;;;;;;;;;;;;;;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;;;3.70;;;;;;;;;;;;;;;;;;;;;
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;
"R&D/CAPEX, %";;;;;;;;;0.00%;;;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;;0
"CAPEX/Выручка, %";;;;;0%;;0%;0%;4%;;0%;;3%;;5%;;3%;;4%;;5%;0%;5%;;3%;0%;4%;;3%;;2%;;2%;;;2%
