;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";06.07.2018;06.07.2018;06.07.2018;27.06.2018;23.04.2019;23.04.2019;06.04.2020;11.03.2021;28.03.2022;10.03.2023;14.03.2024;26.03.2025;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";;;;;;;;645;"1 001";"1 351";"1 657";"2 041";"2 175";"2 175"
"Открыто новых магазинов, шт";;;;;;;;;356;350;306;384;134;
"Трафик, %";;;;;;;;;;;;;0.0%;
"Средний чек, %";;;;;;;;;;;;;9.5%;
"Выручка, млрд руб";26.4;28.2;30.7;35.9;37.3;43.4;51.3;63.3;74.9;97.3;116.9;135.5;;147.6
"Операционная прибыль, млрд руб";;;;2.49;2.85;3.27;4.39;6.84;7.74;13.1;13.9;12.4;;13.6
"EBITDA, млрд руб";3.67;2.97;2.89;3.22;3.63;4.25;6.50;9.20;10.5;17.4;19.3;18.7;;21.2
"Чистая прибыль, млрд руб";1.49;1.07;0.210;0.237;0.588;0.919;1.35;2.46;3.82;8.44;8.03;4.57;;4.65
"Операционный денежный поток, млрд руб";;;;0.097;-0.471;2.18;1.85;6.11;8.56;6.15;6.74;15.3;;19.8
"CAPEX, млрд руб";;;;0.484;0.729;2.18;2.19;2.50;3.00;3.43;2.98;3.24;;3.27
"FCF, млрд руб";;;;-0.387;-1.20;0.000;-1.54;2.17;3.84;3.71;1.15;8.92;;13.0
"Див.выплата, млрд руб";;;;;;;0.401;1.58;1.90;9.88;10.7;4.74;;2.53
"Дивиденд, руб/акцию";;;;;;;32;100;120;625;680;37,5;;20
"Див доход, ао, %";;;;;0.0%;0.0%;4.3%;7.2%;3.6%;22.6%;12.7%;7.3%;0.0%;4.7%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;30%;64%;50%;117%;133%;104%;;54%
"Опер. расходы, млрд руб";;;;12.0;10.8;13.6;15.1;15.8;19.1;25.1;29.2;36.0;;39.2
"Себестоимость, млрд руб";15.1;16.1;18.0;21.4;23.6;26.5;33.5;40.6;48.1;58.9;73.6;87.1;;94.7
"Амортизация, млрд руб";;;;;;;;;;4.3;5.4;6.3;;6.7
"Расх на персонал, млрд руб";;;;5.21;5.81;7.64;8.39;8.36;9.50;12.7;14.9;18.1;;19.7
"Процентные расходы, млрд руб";;;;2.00;1.85;1.93;2.06;2.38;1.78;2.35;3.61;5.89;;7.13
"Активы, млрд руб";;;;38.0;;48.1;57.4;63.5;78.5;93.1;96.2;122.9;;113.0
"Чистые активы, млрд руб";17.7;18.4;18.6;18.8;18.7;18.2;18.8;20.1;25.8;25.1;26.3;26.4;;23.7
"Долг, млрд руб";6.68;8.71;8.45;9.05;11.0;12.9;18.6;20.5;23.6;25.6;17.6;34.4;;33.1
"Наличность, млрд руб";0.467;0.482;1.16;1.01;0.819;1.08;1.09;4.89;9.70;13.2;3.42;22.5;;18.5
"Чистый долг, млрд руб";6.21;8.23;7.29;8.04;10.2;11.8;17.5;15.6;13.9;12.3;14.2;11.9;0.00;14.6
"Цена акции ао, руб";;;;;645.0;408.0;740.0;"1 395";"3 352";"2 768";"5 367";516.0;410.6;421.2
"Число акций ао, млн";25.0;25.0;25.0;25.0;25.0;25.0;19.4;15.8;15.8;15.8;15.8;126.4;126.4;126.4
"Free Float, %";;;;;;;;28.0%;24.0%;;;24.0%;;24.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;16.1;10.2;14.4;22.0;53.0;43.7;84.8;65.2;51.9;53.2
"EV, млрд руб";6.21;8.23;7.29;8.04;26.3;22.0;31.9;37.7;66.9;56.1;99.0;77.1;51.9;67.9
"Баланс стоимость, млрд руб";11.0;11.4;11.3;10.1;9.84;4.98;5.30;6.45;12.5;14.4;15.9;15.7;0.00;12.5
"EPS, руб";59.5;42.7;8.42;9.50;23.6;36.8;69.7;155.7;242.0;534.3;508.2;36.2;0.00;36.8
"FCF/акцию, руб";0.00;0.00;0.00;-15.5;-48.1;0.00;-79.4;137.2;243.0;234.8;72.8;70.6;0.00;103.1
"BV/акцию, руб";439.2;457.2;454.6;405.1;394.4;199.4;273.4;408.2;788.9;910.1;"1 006";124.1;0.00;98.9
"Рентаб EBITDA, %";13.9%;10.6%;9.4%;9.0%;9.7%;9.8%;12.7%;14.5%;14.0%;17.8%;16.5%;13.8%;;14.4%
"Чистая рентаб, %";5.6%;3.8%;0.7%;0.7%;1.6%;2.1%;2.6%;3.9%;5.1%;8.7%;6.9%;3.4%;;3.2%
"Доходность FCF, %";;;;;-7.5%;0.0%;-10.7%;9.8%;7.3%;8.5%;1.4%;13.7%;0.0%;24.5%
"ROE, %";8.4%;5.8%;1.1%;1.3%;3.1%;5.1%;7.2%;12.3%;14.8%;33.6%;30.5%;17.3%;;19.6%
"ROA, %";;;;0.6%;;1.9%;2.4%;3.9%;4.9%;9.1%;8.3%;3.7%;;4.1%
P/E;0.00;0.00;0.00;0.00;27.4;11.1;10.6;8.96;13.8;5.18;10.6;14.3;;11.4
P/FCF;;;;0.00;-13.4;;-9.32;10.2;13.8;11.8;73.7;7.31;;4.08
P/S;0.00;0.00;0.00;0.00;0.43;0.23;0.28;0.35;0.71;0.45;0.73;0.48;;0.36
P/BV;0.00;0.00;0.00;0.00;1.64;2.05;2.71;3.42;4.25;3.04;5.34;4.16;;4.26
EV/EBITDA;1.69;2.77;2.53;2.50;7.25;5.17;4.91;4.09;6.38;3.23;5.13;4.13;;3.20
Долг/EBITDA;1.69;2.77;2.53;2.50;2.81;2.78;2.70;1.70;1.33;0.71;0.73;0.64;;0.69
"Персонал, чел";;;;;;;;"10 000";;;;;;
"Производительность труда, млн руб/чел/год";;;;;;;;6.33;;;;;;
"Расходы/чел/год, тыс.р";;;;;;;;836.0;;;;;;
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";0%;0%;0%;1%;2%;5%;4%;4%;4%;4%;3%;2%;;2%
