date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,380.1,377,382.89,376.43,316797275,
2025-02-11,387.35,380.06,389.31,380.06,388313601,
2025-02-12,398,387.31,399.65,385,859755932,
2025-02-13,394.64,399.34,416.64,388.93,919458209,
2025-02-14,390.3,397.45,400,380.7,963620727,
2025-02-17,397.56,398.05,399.34,391.6,799640568,
2025-02-18,387.88,398.41,398.41,386,557125198,
2025-02-19,391.52,389.5,394,384,379389389,
2025-02-20,391.35,392.55,394.91,390.43,250222657,
2025-02-21,390.8,391.35,394.1,384.47,303673677,
2025-02-24,395.13,391.1,396.99,391,615204732,
2025-02-25,393.33,396.59,399.25,390.1,1594419014,
2025-02-26,386.81,394.48,394.79,374.01,959851196,
2025-02-27,381.49,386.8,389.31,378.14,450426467,
2025-02-28,386.6,381.49,393.9,378.1,620870989,
2025-03-01,391.96,389.76,392.99,388,17239899,
2025-03-02,391.89,390.33,393.61,389,24319854,
2025-03-03,387.35,390.96,391.83,380,407891634,
2025-03-04,390,388.38,393.55,387,460653051,
2025-03-05,387.63,390,396.96,385.5,562768066,
2025-03-06,396.59,387.57,399.89,385.81,1271266666,
2025-03-07,397.69,397.46,405.5,391.16,1546560542,
2025-03-10,399.03,397.7,402.5,393.33,742991646,
2025-03-11,403.74,399.88,407.47,397.01,882623171,
2025-03-12,398.55,403.75,405.69,395.11,443029660,
2025-03-13,393.42,398.55,399.68,387,687895897,
2025-03-14,395.83,392.6,398.41,388.43,306898072,
2025-03-15,397.74,396.21,398.5,396.21,15202658,
2025-03-16,401.25,398.48,401.47,398.03,28742978,
2025-03-17,404.23,401.25,408.99,400.36,1163279230,
2025-03-18,398.7,404.25,407.49,396.1,720016010,
2025-03-19,404.62,400.4,405.99,396.2,349286890,
2025-03-20,406.26,405.8,409,404.15,587059869,
2025-03-21,409.76,404.25,413.39,404.2,1216168805,
2025-03-24,408.5,410.45,411.97,406.53,334326818,
2025-03-25,406.98,408.01,410.6,400,615496873,
2025-03-26,404,407.21,408.49,402.55,192512411,
2025-03-27,395,404.01,405.03,394,308246197,
2025-03-28,398.42,395,401.27,389.06,411628569,
2025-03-29,396,399.45,400,393,69631899,
2025-03-30,389.55,395.26,396,388,45118526,
2025-03-31,401.95,389,404.49,385.2,378869772,
2025-04-01,394.53,401.95,405.4,393.1,441970771,
2025-04-02,399.8,394.5,401,392,284480280,
2025-04-03,393.58,399.8,402.9,391.15,325950999,
2025-04-04,382.25,395.5,399.2,378,811407450,
2025-04-05,381.45,379.89,382.79,371.11,97204921,
2025-04-06,388.3,382.65,389.4,381.13,45239275,
2025-04-07,377.39,386.82,386.82,365.65,633212871,
