;2007Q4;2008Q4;2009Q4;2010Q4;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";19.03.2021;19.03.2021;19.03.2021;19.03.2021;;;;;;;;;07.07.2018;;;;07.07.2018;;;07.11.2018;07.07.2015;07.11.2018;07.11.2018;07.11.2018;07.07.2016;29.05.2018;07.11.2018;07.11.2018;19.06.2018;29.05.2018;28.08.2018;27.11.2018;20.03.2019;28.05.2019;27.08.2019;15.10.2019;12.03.2020;26.05.2020;26.08.2020;26.11.2020;10.03.2021;18.05.2021;25.08.2021;18.11.2021;09.03.2022;;24.03.2023;18.05.2023;18.08.2023;24.11.2023;06.03.2024;17.05.2024;23.08.2024;20.11.2024;06.03.2025;16.05.2025;22.08.2025;21.11.2025;21.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;;;;;;;;;;;;;;;;;8.21;7.54;7.80;7.91;7.84;7.54;8.65;8.48;8.55;6.88;8.20;7.70;9.63;6.90;7.90;7.70;8.93;8.30;8.70;9.60;11.3;9.20;10.9;10.8;13.6;;;;;;;;;;;;;;
"Чист. проц. доходы, млрд руб";;;;;;;;;;;;;;;;;;;;4.08;5.16;5.07;5.31;5.70;6.07;4.67;4.56;5.38;5.94;5.05;5.26;5.52;6.07;5.70;5.40;5.90;6.37;6.24;6.06;6.00;7.20;6.50;6.63;7.06;7.91;;;14.9;11.6;12.7;16.1;17.2;16.7;16.6;20.1;19.9;19.5;19.6;79.2
"Чист. комисс. доход, млрд руб";;;;;;;;;;;;;;;;;;;;1.03;1.14;1.13;1.17;1.18;1.23;1.17;1.26;1.31;1.47;1.39;1.34;1.48;1.69;1.40;1.90;1.90;1.96;1.68;1.64;1.90;2.28;1.90;2.30;2.20;2.60;;;3.57;2.89;2.97;3.10;2.70;2.71;2.27;3.92;2.76;2.84;2.87;12.4
"Доходы по цб, млрд руб";;;;;;;;;;;;;;;;;;;;2.03;1.84;1.27;1.24;0.968;0.692;1.59;2.48;1.43;0.750;0.440;1.41;0.509;1.61;-0.600;0.500;-0.500;;-0.030;0.400;0.600;1.53;0.600;1.50;1.20;2.00;;;5.89;1.79;1.50;0.700;2.20;2.59;2.82;3.29;2.32;2.81;-0.790;7.63
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;1.12;0.931;1.17;0.826;1.04;1.25;1.48;1.85;2.41;1.75;1.83;2.50;2.08;2.52;1.28;2.19;2.00;2.43;1.58;2.02;2.75;4.48;2.40;4.88;4.14;6.68;;;14.6;13.7;8.53;10.4;13.0;11.3;13.3;12.7;15.5;9.13;8.76;46.1
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.811;;;;1.86;;;;1.59;;;;2.17;;;;0.002;5.46;9.78;;8.81;;10.8;;12.2;;13.7;;7.60;;21.3
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,62;;;;3,71;;;;3,33;;;;4,56;;;;;11,81;21,16;;19,08;;23,37;;27,26;;29,72;;16,61;;46,33
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.8%;0.0%;0.0%;0.0%;8.4%;0.0%;0.0%;0.0%;5.9%;0.0%;0.0%;0.0%;8.8%;0.0%;0.0%;0.0%;0.0%;15.7%;21.2%;0.0%;11.6%;0.0%;10.8%;0.0%;7.1%;0.0%;8.1%;0.0%;4.4%;0.0%;14.3%
"Дивиденд ап, руб/акцию";;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,11;;;;;;;;0,11;;;;0,22;;;;0,11;0,11;0,22;;0,22;;0,22;;0,22;;0,22;;0,22;;0,44
"Див доход, ап, %";;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;;;0.0%;0.0%;0.0%;0.0%;11.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;11.0%;0.0%;0.0%;0.0%;22.0%;;0.0%;0.0%;0.6%;0.8%;0.9%;0.0%;0.3%;0.0%;0.5%;0.0%;0.4%;0.0%;0.4%;0.0%;0.4%;0.0%;0.9%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;;;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;46%;0%;0%;0%;74%;0%;0%;0%;65%;0%;0%;0%;48%;0%;0%;0%;0%;;;0%;64%;0%;103%;0%;108%;0%;108%;0%;83%;0%;46%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;2.51;3.37;2.88;3.12;3.13;6.61;2.98;3.44;3.41;3.66;3.00;3.60;3.10;3.30;3.60;3.40;3.30;3.80;3.55;3.40;3.30;4.95;4.20;3.60;3.70;5.31;;;6.02;5.94;6.32;5.30;6.00;5.50;6.56;7.84;5.72;6.60;7.19;27.3
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;1.06;1.01;1.38;1.31;1.36;1.57;1.53;1.45;1.58;1.41;1.76;1.51;1.39;1.28;1.76;1.62;1.50;1.57;2.30;1.77;1.49;2.02;2.50;1.60;1.89;2.52;;;;;;;4.04;2.89;4.12;;3.43;3.47;3.69;10.6
