;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";19.03.2021;19.03.2021;19.03.2021;19.03.2021;;;07.07.2018;07.07.2018;07.07.2015;07.07.2016;19.06.2018;20.03.2019;12.03.2020;10.03.2021;09.03.2022;24.03.2023;06.03.2024;06.03.2025;21.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;16.1;15.1;17.9;22.3;28.0;31.1;33.2;32.8;30.9;37.9;44.5;;73.6;93.1;
"Чист. проц. доходы, млрд руб";;;;;13.6;12.0;13.4;18.5;17.5;22.1;20.5;21.9;23.3;25.5;28.1;;50.8;70.6;79.2
"Чист. комисс. доход, млрд руб";;;;;2.05;2.35;2.68;3.72;4.04;4.70;5.21;5.90;6.80;7.50;9.00;;12.5;11.6;12.4
"Доходы по цб, млрд руб";;;;;;0.830;1.81;-0.388;6.18;4.17;6.25;3.97;-0.700;2.50;5.30;;10.3;10.9;7.63
"Чистая прибыль, млрд руб";2.00;2.77;0.640;4.12;5.89;1.30;6.70;4.80;3.62;4.28;7.49;8.94;7.91;10.8;18.1;47.5;47.8;50.3;46.1
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;24.7;28.8;;;;
"Див.выплата, млрд руб";;0.033;0.829;0.794;0.818;0.867;0.051;0.890;0.462;0.462;0.811;1.86;1.59;2.17;0.002;15.2;19.6;25.9;21.3
"Дивиденд, руб/акцию";;0,11;0,11;0,11;0,11;0,11;0,11;2,02;1,05;1,05;1,62;3,71;3,33;4,56;;32,97;42,45;56,98;46,33
"Див доход, ао, %";;0.3%;0.1%;0.1%;0.2%;0.2%;0.3%;8.3%;2.4%;1.6%;2.8%;8.4%;5.9%;8.8%;0.0%;33.0%;19.7%;15.5%;14.3%
"Дивиденд ап, руб/акцию";;;;;;;;;0,11;0,11;0,11;0,11;0,11;0,22;0,11;0,33;0,44;0,44;0,44
"Див доход, ап, %";;;;;0.0%;0.0%;0.0%;0.0%;11.0%;11.0%;11.0%;11.0%;11.0%;22.0%;0.6%;1.3%;0.9%;0.8%;0.9%
"Дивиденды/прибыль, %";0%;1%;130%;19%;14%;66%;1%;19%;13%;11%;11%;21%;20%;20%;0%;32%;41%;51%;46%
"Опер. расходы, млрд руб";;;;;6.13;7.21;7.68;9.66;10.8;12.7;13.5;13.0;14.1;15.2;16.8;;23.6;25.9;27.3
"Расх на персонал, млрд руб";;;;;;;3.31;4.45;4.47;5.63;5.97;5.94;6.45;7.58;8.51;;;;10.6
"Создание резервов, млрд руб";;;;;3.44;6.18;4.50;7.29;12.3;12.5;9.58;7.13;7.89;8.85;4.60;7.57;0.000;6.10;11.7
"Списание. плох.кредитов, млрд руб";;;;;;;;;;;;;;6.20;6.10;;;;
"Долг, млрд руб";;;;;;;;45.9;;;;;;;;;;;
"Наличность, млрд руб";;;;;;;40.1;57.2;;;39.2;37.2;42.6;60.3;34.1;47.4;55.9;54.0;63.4
