date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,9.07,9.035,9.203,9.022,31304287,
2025-02-11,9.079,9.07,9.35,9.033,70550311,
2025-02-12,9.334,9.13,9.416,8.99,125376700,
2025-02-13,9.62,9.352,9.953,9.132,203365193,
2025-02-14,9.997,9.62,10.2,9.451,301813515,
2025-02-17,10.051,10.095,10.32,9.9,112974353,
2025-02-18,9.6,10.052,10.064,9.58,155622357,
2025-02-19,9.695,9.602,9.784,9.256,90254117,
2025-02-20,9.573,9.695,9.753,9.5,56270583,
2025-02-21,9.636,9.552,9.684,9.39,57999762,
2025-02-24,10.062,9.636,10.15,9.596,202131237,
2025-02-25,10.57,10.12,10.652,10.01,189068291,
2025-02-26,10.623,10.565,10.888,10.436,151928859,
2025-02-27,10.246,10.623,10.777,10.12,115515855,
2025-02-28,10.414,10.401,10.462,9.941,183032487,
2025-03-01,10.336,10.336,10.336,10.25,1295186,
2025-03-02,10.334,10.295,10.336,10.286,776449,
2025-03-03,10.005,10.334,10.691,9.92,113071849,
2025-03-04,10.1,9.98,10.29,9.937,192040344,
2025-03-05,9.91,10.1,10.35,9.85,373351694,
2025-03-06,9.756,9.861,10.058,9.7,151261699,
2025-03-07,9.732,9.763,9.903,9.5,162207578,
2025-03-10,9.95,9.73,10.047,9.642,81751614,
2025-03-11,10.109,9.931,10.19,9.87,134105847,
2025-03-12,10.182,10.173,10.35,10.011,115209947,
2025-03-13,10.154,10.223,10.35,9.814,146770232,
2025-03-14,10.272,10.02,10.338,9.978,103716523,
2025-03-15,10.338,10.251,10.379,10.251,4409759,
2025-03-16,10.391,10.338,10.436,10.329,4448824,
2025-03-17,10.451,10.305,10.495,10.155,126372573,
2025-03-18,10.364,10.495,10.799,10.271,262361076,
2025-03-19,10.554,10.47,10.628,10.2,98842894,
2025-03-20,9.975,10.554,10.68,9.874,425959393,
2025-03-21,9.879,10.108,10.11,9.8,91863778,
2025-03-24,10.005,9.899,10.078,9.837,102187107,
2025-03-25,9.987,10.005,10.09,9.838,75714529,
2025-03-26,9.875,9.978,10.13,9.805,75441036,
2025-03-27,9.327,9.849,9.947,9.301,154735477,
2025-03-28,9.36,9.356,9.666,9.21,130888811,
2025-03-29,9.227,9.331,9.445,9.21,2446831,
2025-03-30,9.17,9.21,9.29,9.1,3394625,
2025-03-31,9.231,9.17,9.644,9.053,143994388,
2025-04-01,8.949,9.226,9.5,8.908,94099026,
2025-04-02,8.919,9.02,9.178,8.8,66290515,
2025-04-03,8.574,8.925,9.084,8.316,154373946,
2025-04-04,8.053,8.574,8.8,7.982,218766311,
2025-04-05,8.032,8.067,8.087,7.84,5950738,
2025-04-06,8.219,7.979,8.25,7.979,4738393,
2025-04-07,7.951,8.215,8.774,7.706,247160770,
2025-04-08,7.52,8.08,8.275,7.45,164514078,
2025-04-09,7.8,7.502,7.912,7.304,265434221,
2025-04-10,7.77,7.952,8.09,7.65,84554149,
2025-04-11,7.929,7.631,7.978,7.595,128315533,
2025-04-12,8.017,7.95,8.079,7.933,5452916,
2025-04-13,8.043,8.016,8.05,7.972,3160449,
2025-04-14,7.73,7.998,8.073,7.6,105988216,
2025-04-15,7.718,7.74,7.868,7.58,41534085,
2025-04-16,7.7,7.681,7.884,7.54,87949184,
2025-04-17,8.12,7.73,8.15,7.701,172168146,
2025-04-18,8.09,8.079,8.392,7.951,174163159,
2025-04-21,8.13,8.115,8.241,7.95,82427126,
2025-04-22,8.232,8.196,8.342,8.068,72062660,
2025-04-23,8.062,8.253,8.4,7.957,98602094,
2025-04-24,7.942,8.07,8.166,7.81,57085224,
2025-04-25,8.125,7.98,8.199,7.918,47979141,
2025-04-26,8.099,8.158,8.2,8.067,5825458,
