;2013Q4;2014Q4;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";30.06.2018;30.06.2018;;;30.06.2018;;;;30.06.2018;30.05.2018;;;30.06.2018;30.05.2018;20.08.2018;22.11.2018;07.03.2019;30.05.2019;27.08.2019;27.11.2019;18.03.2020;01.06.2020;31.08.2020;18.11.2020;18.03.2021;01.06.2021;23.08.2021;18.11.2021;24.03.2023;24.03.2023;29.08.2023;29.08.2023;17.11.2023;01.03.2024;17.05.2024;13.08.2024;14.11.2024;07.04.2025;30.05.2025;29.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;9.11;;5.22;7.61;15.8;;9.46;11.9;11.6;10.8;9.60;16.3;20.9;19.7;6.50;6.70;17.0;;19.6;17.6;18.9;0.000;10.4;9.60;21.0;;;19.3;23.9;20.9;27.9;18.5;30.5;13.7;1.35;17.1;23.6;35.3;77.3
"Чист. проц. доходы, млрд руб";;;5.53;7.27;;9.10;11.3;10.9;;10.4;10.3;10.9;13.7;13.0;10.8;12.8;11.8;9.60;10.00;13.1;;12.7;14.8;15.0;16.7;16.0;19.0;21.8;;;24.0;27.3;32.5;32.3;23.6;35.8;26.5;19.9;21.3;20.7;30.1;92.0
"Чист. комисс. доход, млрд руб";;;2.48;2.14;;3.00;2.78;3.16;;3.74;3.12;3.60;5.05;2.80;3.87;2.20;6.90;3.40;4.10;3.70;;2.66;2.06;2.92;7.80;3.07;3.30;7.60;;;3.67;4.33;4.00;4.50;3.02;3.00;3.00;3.70;3.41;3.61;3.68;14.4
"Доходы по цб, млрд руб";;;;;;;;;;;;;;;;;;;;;;4.29;0.730;0.950;;-1.99;-5.90;;;;;;;;;;;;-7.63;-0.706;1.58;-6.76
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.1;16.1;34.4;61.5
"Чистая прибыль, млрд руб";;;0.906;0.341;;1.70;3.41;3.28;;4.60;5.42;6.07;4.62;2.30;8.71;7.40;8.79;0.238;1.92;9.70;0.096;5.15;4.00;7.98;12.9;8.30;5.30;11.3;;;13.0;17.4;17.9;11.5;14.0;5.50;8.60;-7.19;2.30;4.64;21.9;21.7
"Див.выплата, млрд руб";;;0.000;0.000;;;0.000;0.000;;;;;;;;;2.98;;;;;;;;;;;;;;;;;;;;;;;;;
"Дивиденд, руб/акцию";;;0;0;;;0;0;;;;;;;;;0,11;;;;;;;;;;;;;;;;;;;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;2.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;0%;0%;;0%;0%;0%;;0%;0%;0%;0%;0%;0%;0%;34%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;2.62;2.58;;3.15;3.37;3.58;;3.51;4.84;3.79;4.87;3.90;5.24;4.10;6.17;4.20;6.50;5.03;5.50;5.14;5.54;5.04;6.08;6.20;7.60;7.50;;;8.23;10.4;9.20;12.5;8.56;9.70;10.1;13.1;9.84;11.0;7.32;41.2
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.7;0.8;0.8;0.8;3.0
"Расх на персонал, млрд руб";;;1.23;1.30;;;1.90;1.88;;2.19;;;;2.51;3.59;3.85;1.49;;4.72;3.23;6.23;3.63;3.80;3.19;3.26;4.60;5.30;4.90;;;5.87;7.07;5.74;7.26;6.04;6.62;6.19;7.63;6.99;6.47;3.97;25.1
"Создание резервов, млрд руб";;;3.92;6.10;;7.15;9.08;7.82;;4.82;2.56;3.04;8.19;;;;;;;;;;;;;;;;;;4.68;3.39;11.6;4.43;5.12;5.27;12.7;18.5;5.01;6.40;187.6;217.5
"Наличность, млрд руб";;;;;;;;;;;;;;;;;"1 163";;;;953.6;"1 048";848.0;754.0;683.0;953.0;838.0;;"1 531";"1 515";"1 570";"1 442";"1 525";"1 379";"1 479";"1 345";"1 483";"1 430";"1 427";"1 322";"2 093";"2 093"
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"-1 163";0.00;0.00;0.00;-953.6;"-1 048";-848.0;-754.0;-683.0;-953.0;-838.0;0.00;"-1 531";"-1 515";"-1 570";"-1 442";"-1 525";"-1 379";"-1 479";"-1 345";"-1 483";"-1 430";"-1 427";"-1 322";"-2 093";"-2 093"
"Активы банка, млрд руб";454.2;584.8;;;"1 208";;"1 222";"1 312";"1 600";"1 489";"1 589";"1 780";"1 882";"1 860";"1 931";"1 949";"2 146";"2 118";"2 118";"2 184";"2 423";"2 781";"2 752";"2 953";"2 916";"3 142";"3 166";"3 286";"3 420";"3 973";"4 240";"4 397";"4 856";"4 667";"4 827";"4 796";"5 099";"5 009";"4 801";"4 613";"5 455";"5 455"
"Капитал, млрд руб";50.7;60.0;;;92.3;;98.4;101.3;103.4;107.9;154.4;159.4;177.6;170.5;177.4;183.5;191.2;191.6;190.0;199.0;210.4;212.6;217.0;221.0;234.5;233.0;256.0;262.7;281.4;273.8;284.9;301.7;335.0;347.9;357.8;354.1;356.9;349.3;348.8;354.8;379.4;379.4
"Кредитный портфель, млрд руб";317.9;394.2;;;629.9;;621.0;;667.0;684.3;718.2;827.5;818.8;693.9;712.9;703.5;740.1;731.0;705.0;772.0;829.2;864.0;877.0;"1 012";"1 009";"1 071";"1 193";"1 227";"1 342";"1 845";"2 037";"2 114";"2 436";"2 350";"2 467";"2 506";"2 690";"2 698";"2 491";"2 428";"2 271";"2 271"
"Кредиты юрлицам, млрд руб";;;;;;;;;;;;;686.0;566.0;583.8;573.5;618.0;633.0;604.0;668.0;719.4;758.0;773.0;891.0;889.0;942.0;"1 042";"1 071";"1 181";"1 649";"1 837";"1 914";"2 233";"2 149";"2 266";"2 303";"2 483";"2 480";"2 270";"2 209";"2 052";"2 052"
"Кредиты физлицам, млрд руб";;;;;;;;;;;;;83.0;79.0;83.0;87.3;96.6;97.7;101.0;105.0;109.8;105.0;104.0;121.0;120.0;130.0;152.0;156.1;161.0;197.0;200.6;200.1;203.0;200.6;200.5;202.8;207.2;217.6;220.6;219.3;219.4;219.4
"Депозиты, млрд руб";;;;;;;;;;760.5;804.1;958.7;941.7;931.9;961.0;"1 084";"1 272";"1 142";"1 457";"1 985";"1 340";"1 399";"1 416";"1 474";"1 738";"1 780";"1 910";"1 939";"1 983";"2 388";"2 634";"2 697";"3 087";"2 861";"3 009";"3 059";"3 033";"3 179";"3 157";"2 955";"3 505";"3 505"
"Депозиты юрлиц, млрд руб";;;;;;;;;;;;;650.5;624.6;644.1;732.4;897.1;728.1;767.0;809.0;853.4;903.0;913.0;966.0;"1 236";"1 268";"1 215";"1 398";"1 418";"1 794";"2 040";"2 069";"2 406";"2 076";"2 150";"2 150";"2 019";"2 156";"2 150";"1 980";"2 541";"2 541"
"Депозиты физлиц, млрд руб";;;;;;;;;;;;;291.2;307.3;316.9;351.9;375.1;414.4;437.0;459.0;486.2;497.0;504.0;508.0;501.0;512.0;510.0;540.7;565.0;594.0;594.1;628.1;628.0;785.5;859.0;909.0;"1 015";"1 023";"1 007";974.9;963.6;963.6
"Резервы под обесценивание, млрд руб";;;;;;;;;;;;;50.1;48.4;46.0;42.7;31.1;;;;34.0;38.3;39.2;40.2;37.0;36.0;;;;;;;;;;;;236.0;236.1;252.4;630.6;630.6
"Дост.осн капитала, %";;8.90%;;;8.20%;;;10.7%;;10.7%;;;;15.6%;14.8%;15.1%;10.7%;15.1%;13.6%;13.3%;12.3%;13.7%;13.7%;12.6%;12.7%;14.2%;14.8%;12.8%;12.5%;12.1%;;;;12.4%;12.6%;11.7%;10.8%;11.0%;8.90%;;;
"Дост. общ капитала, %";;12.5%;;;12.7%;;;17.4%;;19.0%;;;;24.9%;23.5%;23.5%;21.9%;23.4%;21.0%;20.2%;14.1%;20.5%;19.8%;18.2%;13.8%;19.5%;19.6%;;13.4%;13.0%;;;;13.8%;13.8%;13.1%;12.4%;11.8%;12.4%;;;
"Стоимость риска (CoR), %";;;;;;;;;;;;;2.50%;0.600%;1.10%;1.40%;1.000%;3.20%;1.70%;0.800%;1.000%;3.30%;2.80%;2.10%;1.80%;0.400%;0.600%;1.000%;;;;;;;0.800%;0.800%;1.90%;2.60%;0.700%;1.000%;29.2%;8.38%
"Расходы/Доходы (CIR), %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.6%;28.1%;35.4%;32.7%;37.2%;35.8%;;;36.5%
"Loan-to-deposit ratio, %";;;;;;;;;;90%;89%;86%;87%;74%;74%;65%;58%;64%;48%;39%;62%;62%;62%;69%;58%;60%;62%;63%;68%;77%;77%;78%;79%;82%;82%;82%;89%;85%;79%;82%;65%;65%
"Просроченные кредиты, NPL, %";;2.30%;;;5.10%;;5.00%;4.80%;2.30%;1.90%;;1.70%;2.40%;2.40%;1.60%;1.50%;1.60%;2.50%;3.90%;3.70%;3.60%;3.30%;3.40%;3.10%;3.10%;3.10%;2.90%;2.00%;;;;;;1.000%;;;;3.20%;3.30%;;;
"Цена акции ао, руб";;;3.67;3.70;3.80;;3.98;4.25;4.30;4.39;;4.60;4.74;4.85;4.93;5.05;5.17;5.97;5.97;5.78;5.88;5.46;5.58;5.85;6.15;7.10;6.49;7.17;6.85;6.72;7.17;6.78;7.03;8.02;7.68;7.62;6.56;10.1;9.16;6.78;7.29;6.01
"Число акций ао, млн";"14 468";"15 740";"23 880";"23 880";"23 880";"23 880";"23 880";"23 880";"23 880";"23 880";"23 880";"23 880";"29 830";"23 880";"23 880";"23 880";"29 830";"23 880";"23 880";"23 880";"29 830";"29 830";"29 830";"29 830";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430"
"Free Float, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.0%;;22.0%;;
"Капитализация, млрд руб";0.00;0.00;87.6;88.4;90.7;0.00;95.0;101.5;102.7;104.8;0.00;109.8;141.5;115.8;117.7;120.6;154.2;142.5;142.4;138.0;175.4;162.8;166.4;174.6;205.5;237.5;217.1;239.6;228.9;224.7;239.8;226.6;234.9;268.2;256.7;254.8;219.1;338.4;306.2;226.5;243.7;201.0
"EV, млрд руб";0.00;0.00;87.6;88.4;90.7;0.00;95.0;101.5;102.7;104.8;0.00;109.8;141.5;115.8;117.7;120.6;"-1 009";142.5;142.4;138.0;-778.3;-885.2;-681.6;-579.4;-477.5;-715.5;-620.9;239.6;"-1 302";"-1 290";"-1 330";"-1 215";"-1 290";"-1 111";"-1 223";"-1 090";"-1 263";"-1 092";"-1 121";"-1 096";"-1 849";"-1 892"
"EPS, руб";0.00;0.00;0.04;0.01;0.00;0.07;0.14;0.14;0.00;0.19;0.23;0.25;0.15;0.10;0.36;0.31;0.29;0.01;0.08;0.41;0.00;0.17;0.13;0.27;0.38;0.25;0.16;0.34;0.00;0.00;0.39;0.52;0.54;0.34;0.42;0.16;0.26;-0.22;0.07;0.14;0.66;0.65
"ROE, %";;;;;;7.1%;10.7%;11.5%;;17.4%;;19.3%;;6.9%;16.5%;18.1%;;0.7%;2.9%;10.6%;7.8%;12.0%;10.5%;13.1%;16.9%;17.3%;13.5%;16.0%;;;;;;23.4%;18.9%;13.1%;12.5%;7.0%;15.2%;;;
"ROA, %";;;;;;0.5%;0.8%;0.9%;;1.2%;;1.3%;;0.5%;1.2%;1.3%;;0.0%;0.2%;0.7%;0.5%;0.8%;0.7%;0.8%;1.1%;1.1%;0.9%;1.1%;;;;;;1.4%;1.2%;0.8%;0.8%;0.4%;0.9%;;;
"Чистая процентная маржа, %";;;;;;3.10%;3.50%;3.60%;;3.00%;;2.80%;;3.00%;2.70%;2.70%;;1.90%;1.90%;2.60%;2.20%;2.10%;2.20%;2.20%;;2.20%;2.40%;2.20%;;;;;;2.80%;2.10%;2.70%;2.50%;1.70%;1.90%;;;1.80%
"Рентабельность банка, %";;;;3.74%;;32.5%;44.8%;20.8%;;48.7%;45.7%;52.1%;42.6%;24.0%;53.3%;35.4%;44.7%;3.66%;28.7%;57.0%;;26.3%;22.7%;42.2%;;79.8%;55.2%;53.7%;;;67.3%;72.7%;85.7%;41.2%;75.6%;18.0%;62.7%;-532.6%;13.5%;19.7%;62.1%;28.0%
P/E;;;96.7;70.9;72.8;0.00;17.4;12.1;12.2;9.29;0.00;6.83;6.83;6.29;5.42;5.24;5.67;5.67;7.76;6.68;14.7;9.65;8.78;10.1;6.85;7.16;6.30;6.34;9.19;;18.4;7.45;4.86;4.49;4.22;5.21;5.54;16.2;33.2;27.1;11.2;9.28
P/B;0.00;0.00;;;0.98;;0.97;1.00;0.99;0.97;0.00;0.69;0.80;0.68;0.66;0.66;0.81;0.74;0.75;0.69;0.83;0.77;0.77;0.79;0.88;1.02;0.85;0.91;0.81;0.82;0.84;0.75;0.70;0.77;0.72;0.72;0.61;0.97;0.88;0.64;0.64;0.53
"Персонал, чел";;;;;;;"6 124";;;;;;;;;;;;;;;;;;"5 511";;;;;;;;;"8 278";;;;"7 779";"7 519";"7 189";;
"Производительность труда, млн руб/чел/год";;;;;;;1.24;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;3.37;;;;0.17;2.27;3.28;;
"Расходы/чел/год, тыс.р";;;;;;;310.9;;;;;;;;;;;;;;;;;;591.5;;;;;;;;;877.0;;;;980.8;929.1;899.6;;
"IR рейтинг";;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;
"Качество фин.отчетности";;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
"Презентации для инвесторов";;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
"Присутствие на смартлабе";;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
"Годовой отчет";;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
"Сайт для инвесторов";;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
"Календарь инвесторов";;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
"Обратная связь";;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
