;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";30.06.2018;30.06.2018;30.06.2018;30.06.2018;30.06.2018;07.03.2019;18.03.2020;18.03.2021;24.03.2023;24.03.2023;01.03.2024;07.04.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";24.5;28.3;13.2;29.0;64.6;66.5;36.3;59.3;62.1;43.4;113.5;64.1;77.3
"Чист. проц. доходы, млрд руб";17.4;25.9;29.3;40.3;45.3;48.4;45.3;59.3;79.6;62.0;116.2;105.8;92.0
"Чист. комисс. доход, млрд руб";7.21;9.03;9.37;13.4;15.5;15.8;11.5;15.4;16.8;12.7;16.5;12.7;14.4
"Доходы по цб, млрд руб";;;;;3.82;2.28;-12.7;-6.94;;-31.0;14.6;-8.33;-6.76
"Операционная прибыль, млрд руб";;;;;;;;;;;;;61.5
"Чистая прибыль, млрд руб";8.88;5.57;1.51;10.9;20.7;27.2;12.0;30.0;26.2;7.47;59.8;20.9;21.7
"Див.выплата, млрд руб";;0.000;0.000;4.22;;2.98;;;;;;;
"Дивиденд, руб/акцию";;0;0;;;0,11;;;;;;;
"Див доход, ао, %";;;0.0%;0.0%;0.0%;2.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;39%;0%;11%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;9.60;11.2;15.2;17.0;19.4;21.2;21.8;29.6;35.2;40.3;41.5;41.2
"Амортизация, млрд руб";;;;;;;;;;2.2;2.3;2.5;3.0
"Расх на персонал, млрд руб";;5.34;5.52;7.70;9.52;11.4;14.2;13.9;19.6;21.9;25.9;26.5;25.1
"Процентные расходы, млрд руб";;;;;;;;;;235.9;301.7;564.0;
"Создание резервов, млрд руб";;11.6;26.0;29.8;18.6;2.22;6.82;18.9;8.12;25.9;24.1;41.6;217.5
"Наличность, млрд руб";;;;;;"1 163";953.6;683.0;"1 531";"1 515";"1 379";"1 430";"2 093"
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;"-1 163";-953.6;-683.0;"-1 531";"-1 515";"-1 379";"-1 430";"-2 093"
"Активы банка, млрд руб";454.2;584.8;"1 208";"1 600";"1 882";"2 146";"2 423";"2 916";"3 420";"3 973";"4 667";"5 009";"5 455"
"Капитал, млрд руб";50.7;60.0;92.3;103.4;177.6;191.2;210.4;234.5;281.4;273.8;347.9;349.3;379.4
"Кредитный портфель, млрд руб";317.9;394.2;629.9;667.0;818.8;740.1;829.2;"1 009";"1 342";"1 845";"2 350";"2 698";"2 271"
"Кредиты юрлицам, млрд руб";;;;;686.0;618.0;719.4;889.0;"1 181";"1 649";"2 149";"2 480";"2 052"
"Кредиты физлицам, млрд руб";;;;;83.0;96.6;109.8;120.0;161.0;197.0;200.6;217.6;219.4
"Депозиты, млрд руб";;;;;941.7;"1 272";"1 340";"1 738";"1 983";"2 388";"2 861";"3 179";"3 505"
"Депозиты юрлиц, млрд руб";;;;;650.5;897.1;853.4;"1 236";"1 418";"1 794";"2 076";"2 156";"2 541"
"Депозиты физлиц, млрд руб";;;;;291.2;375.1;486.2;501.0;565.0;594.0;785.5;"1 023";963.6
"Резервы под обесценивание, млрд руб";;;;;50.1;31.1;34.0;37.0;;;;236.0;630.6
"Дост.осн капитала, %";;8.90%;8.20%;;;10.7%;12.3%;12.7%;12.5%;12.1%;12.4%;11.0%;
"Дост. общ капитала, %";;12.5%;12.7%;;;21.9%;14.1%;13.8%;13.4%;13.0%;13.8%;11.8%;
"Стоимость риска (CoR), %";;;;;2.50%;1.000%;1.000%;1.80%;;;0.100%;;8.38%
"Расходы/Доходы (CIR), %";;;;;;;;;;;28.6%;37.2%;36.5%
"Loan-to-deposit ratio, %";;;;;87%;58%;62%;58%;68%;77%;82%;85%;65%
"Просроченные кредиты, NPL, %";;2.30%;5.10%;2.30%;2.40%;1.60%;3.60%;3.10%;;;1.000%;3.20%;
"Цена акции ао, руб";;;3.80;4.30;4.74;5.17;5.88;6.15;6.85;6.72;8.02;10.1;6.01
"Число акций ао, млн";"14 468";"15 740";"23 880";"23 880";"29 830";"29 830";"29 830";"33 430";"33 430";"33 430";"33 430";"33 430";"33 430"
"Free Float, %";;;;;;;;;;;;22.0%;
"Капитализация, млрд руб";0.00;0.00;90.7;102.7;141.5;154.2;175.4;205.5;228.9;224.7;268.2;338.4;201.0
"EV, млрд руб";0.00;0.00;90.7;102.7;141.5;"-1 009";-778.3;-477.5;"-1 302";"-1 290";"-1 111";"-1 092";"-1 892"
"EPS, руб";0.61;0.35;0.06;0.46;0.69;0.91;0.40;0.90;0.78;0.22;1.79;0.62;0.65
"ROE, %";20.1%;10.1%;2.1%;11.1%;17.8%;19.9%;7.8%;16.9%;12.6%;3.7%;23.4%;7.0%;
"ROA, %";2.4%;1.1%;0.2%;0.8%;1.2%;1.4%;0.5%;1.1%;0.8%;0.2%;1.4%;0.4%;
"Чистая процентная маржа, %";5.20%;5.80%;3.90%;3.30%;2.90%;2.60%;2.20%;2.30%;2.60%;1.80%;2.80%;2.30%;1.80%
"Рентабельность банка, %";36.2%;19.7%;11.4%;37.6%;32.0%;40.9%;32.9%;50.6%;42.2%;17.2%;52.7%;32.6%;28.0%
P/E;0.00;0.00;60.1;9.42;6.83;5.67;14.7;6.85;8.74;30.1;4.49;16.2;9.28
P/B;0.00;0.00;0.98;0.99;0.80;0.81;0.83;0.88;0.81;0.82;0.77;0.97;0.53
"Персонал, чел";;;;;;;;"5 511";;;"8 278";"7 779";
"Производительность труда, млн руб/чел/год";;;;;;;;10.8;;;13.7;8.24;
"Расходы/чел/год, тыс.р";;;;;;;;"2 519";;;"3 134";"3 404";
