date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1205.4,1209,1227.4,1203.4,1026392565,
2025-02-11,1242,1204,1242,1198.6,1309305591,
2025-02-12,1313.6,1242,1329,1239.6,2585268595,
2025-02-13,1325,1319.6,1366.2,1277,2406959262,
2025-02-14,1307.6,1429.2,1429.2,1201.6,2286977176,
2025-02-17,1371.4,1316,1371.4,1315,1450888933,
2025-02-18,1313.4,1372,1380.8,1303,1648841440,
2025-02-19,1340.8,1313.4,1349.6,1300,1073208389,
2025-02-20,1345.2,1341,1363.8,1331.6,1176696040,
2025-02-21,1385.8,1347,1395,1336.4,2163450404,
2025-02-24,1442.2,1379,1444.4,1376,2504754541,
2025-02-25,1416.2,1444,1449.4,1407.2,1804268338,
2025-02-26,1363.6,1417.8,1432.6,1350.4,1850194368,
2025-02-27,1351,1363.6,1392,1332.6,1275903827,
2025-02-28,1350.2,1338,1367,1317.4,1772948670,
2025-03-01,1357.6,1358,1364.6,1350.6,13020276,
2025-03-02,1347,1352,1358.8,1341,17374771,
2025-03-03,1325.4,1346.8,1346.8,1301,1285477937,
2025-03-04,1370,1327.6,1378.2,1325.6,1316767154,
2025-03-05,1334.8,1370,1395,1331.6,1781249624,
2025-03-06,1370,1333.2,1389.4,1331.2,1482915280,
2025-03-07,1357.2,1370.8,1389.8,1327,1511244533,
2025-03-10,1340,1358,1365.6,1334.2,577593270,
2025-03-11,1342.6,1340,1357.2,1326.2,635025769,
2025-03-12,1330.2,1342.6,1350,1323.4,449248651,
2025-03-13,1316.2,1334.4,1334.6,1283.2,2137875111,
2025-03-14,1301,1308,1318.2,1296.4,1268304362,
2025-03-15,1306,1301,1306.8,1300.2,23906688,
2025-03-16,1313.2,1306,1316.4,1302.2,68515063,
2025-03-17,1349,1315,1351.2,1315,1231295631,
2025-03-18,1336.2,1351.8,1363.6,1330,1373221758,
2025-03-19,1332,1336.2,1350,1318.6,814167215,
2025-03-20,1322.8,1336,1344,1303,1267002297,
2025-03-21,1311,1324.2,1335,1295,991596795,
2025-03-24,1259.8,1311,1312.2,1252,1461584464,
2025-03-25,1279.6,1258.4,1284.6,1247,1016623520,
2025-03-26,1245.8,1283,1292,1242.6,1155534514,
2025-03-27,1199.2,1244.4,1247,1194.4,1578674459,
2025-03-28,1153.2,1200,1209,1142,2101222993,
2025-03-29,1129.6,1156,1158.8,1123,227660886,
2025-03-30,1123,1129.6,1138,1123,86630661,
2025-03-31,1188,1122.8,1189.6,1113.6,1601344862,
2025-04-01,1137,1188,1196.6,1130.4,1331396075,
2025-04-02,1161.2,1136.6,1170,1131.6,940645936,
2025-04-03,1122.2,1161.4,1176.6,1099,1477869204,
2025-04-04,1081.4,1126,1127,1076.4,1763596169,
2025-04-05,1084.2,1080,1092,1064.2,118558225,
2025-04-06,1105,1090.8,1105,1081,123709689,
2025-04-07,1053.4,1095.4,1095.4,1015.4,2323318323,
2025-04-08,992.8,1056,1077.8,991.6,4580198570,
2025-04-09,1058.6,993,1059.4,958,4542727426,
2025-04-10,1024,1060,1062,1011.8,2674420965,
2025-04-11,1058.6,1022.4,1064.8,1022.4,1881137349,
2025-04-12,1080.8,1063.6,1084,1060.2,247160523,
2025-04-13,1086.6,1080.2,1086.6,1080,94268246,
2025-04-14,1035,1082,1091.2,1029,1422229555,
2025-04-15,1042,1031.4,1048.4,1018.4,902688412,
2025-04-16,1041.4,1043.4,1056.4,1021,1027426797,
2025-04-17,1062,1041.4,1065,1037.6,1313621357,
2025-04-18,1022.4,1055.8,1055.8,1006.2,1686088133,
2025-04-21,1040.6,1026.2,1044,1017.6,1342418284,
2025-04-22,1093,1044.8,1107.6,1033,3316620222,
2025-04-23,1062.4,1102.6,1103.4,1055,1832316320,
2025-04-24,1071.4,1057.8,1089.2,1051.4,1601826484,
2025-04-25,1106.4,1078,1112,1073.2,1416040196,
2025-04-26,1105.4,1120.2,1121,1099.8,193505792,
2025-04-27,1107,1106.4,1110,1102.4,54807015,
2025-04-28,1081.2,1108,1111.4,1070,2280596497,
2025-04-29,1033.6,1075,1082.2,1025.4,1670295118,
2025-04-30,1054,1031.4,1061,1012.8,2303064034,
2025-05-02,1016,1054,1054,1011.2,735025449,
2025-05-03,1017,1021.8,1027.4,1013.6,54804626,
2025-05-04,1025,1017,1026,1017,46199168,
2025-05-05,992.8,1024.6,1027.6,972.6,1641969548,
2025-05-06,1007.8,992.8,1021.8,978.2,1410259724,
2025-05-07,1013,1007.8,1021,996.2,723972737,
2025-05-08,1015,1017.4,1035.2,1012.4,455649706,
2025-05-10,1021,1015.2,1026.2,1014,41800828,
2025-05-11,1033.2,1031,1041.8,1027,157736929,
2025-05-12,1047.6,1040,1053.8,1038.2,687046778,
2025-05-13,1046.6,1048.6,1056.6,1042,519671405,
2025-05-14,1029,1046,1050.8,1028,561112968,
2025-05-15,1031.2,1029.2,1035.6,1010.2,656269933,
2025-05-16,1027.2,1031.8,1039,1008,516228746,
2025-05-17,1039,1031,1040,1027.2,65489771,
2025-05-18,1044.8,1043,1046,1037.4,83695188,
2025-05-19,1025.4,1046.6,1047.6,1021,552633400,
2025-05-20,1008.2,1027,1028,1000.4,641384090,
2025-05-21,1002.6,1008.2,1012.6,993,532199650,
2025-05-22,996,1002.6,1006.4,982.2,700593292,
2025-05-23,982.2,996,1000.6,980,621734541,
2025-05-26,947.6,982.2,982.2,942,884768880,
2025-05-27,951.8,946.8,960,926.4,838969407,
2025-05-28,988.8,953,995.8,953,1151399264,
2025-05-29,985.8,992,1006,977,879934267,
2025-05-30,1004.8,985.4,1010,978.6,535483751,
2025-05-31,1005,1007.2,1013.2,1003.2,37342681,
2025-06-01,975,1005,1005.6,974.6,207635140,
2025-06-02,1008.2,975.2,1010.6,972.8,586704597,
2025-06-03,1052.2,1008.4,1053,1007,1093459863,
2025-06-04,1052.2,1053.2,1074.8,1050.8,1847475461,
2025-06-05,1049.2,1050,1066.8,1042.6,915162617,
2025-06-06,1016.8,1049.2,1095,1012.4,1741478234,
2025-06-07,1026.2,1016.8,1027.2,1016.8,50902199,
2025-06-08,1015,1021,1026,1003.4,82803665,
2025-06-09,987.2,1020,1021.4,979.6,897305864,
2025-06-10,983.2,989.2,994.8,975.4,588502762,
2025-06-11,987,985,999.4,976,505530227,
2025-06-13,982.4,991,1004.6,981.8,292729653,
2025-06-14,990,983,991.6,982.8,37321404,
2025-06-15,990,989.8,995,986.4,46132742,
2025-06-16,989.2,989.6,1003.4,978,757730951,
2025-06-17,1041,989.2,1041.2,987.2,1651546275,
2025-06-18,1021.2,1041,1050,1015,1740447870,
2025-06-19,1009.8,1024,1028,1002.4,1154307260,
2025-06-20,1009.8,1013,1021.2,1005.8,631494002,
2025-06-23,993.6,1012.2,1013.6,986,725799409,
2025-06-24,996.6,992,1001.6,978.4,835605556,
2025-06-25,1011.8,996,1016.8,993.2,820058252,
2025-06-26,1013.2,1009.6,1023,1009.6,580752689,
2025-06-27,1033,1013.2,1033,1000,881656261,
2025-06-28,1030,1029.8,1036.8,1028.4,55186302,
2025-06-29,1026,1030.2,1033,1023.8,51626788,
2025-06-30,1055.6,1026.8,1066.8,1020.2,1087556120,
2025-07-01,1047.6,1053.6,1069,1042,1133345790,
2025-07-02,1042,1047.8,1055.4,1033.4,639430330,
2025-07-03,1063,1035.2,1074.8,1034.4,1167195910,
2025-07-04,1040,1061,1065.8,1031,907570713,
2025-07-05,1038.4,1038.8,1044,1035.6,53729913,
2025-07-06,1040.4,1038.2,1040.4,1036.4,13493116,
2025-07-07,1011.8,1039.2,1039.4,1007.4,821102570,
2025-07-08,998.2,1011.8,1017.6,992,689433886,
2025-07-09,1010.2,999,1014,994,706977394,
2025-07-10,1002.6,1013.8,1021.8,999,651189567,
2025-07-11,983.6,1000.8,1005,980.8,691117500,
2025-07-12,991,987,992.8,984.2,37238377,
2025-07-13,984.2,992.4,992.4,976.6,72651730,
2025-07-14,1016.4,985.8,1022.8,970,823859863,
2025-07-15,1030.4,1020,1038.6,1017.2,786457938,
2025-07-16,1034,1030.8,1045.6,1030.4,537097739,
2025-07-17,1020.2,1034,1040.6,1018,514565024,
2025-07-18,1040.6,1018,1057,1017,2034903001,
2025-07-19,1042.8,1041,1051,1038,179771511,
2025-07-20,1045,1046,1047.6,1040.8,86886759,
2025-07-21,1042.6,1042.6,1054,1026.4,1694203376,
2025-07-22,1061.2,1040,1072.4,1035.6,1339931218,
2025-07-23,1040,1061,1066.2,1035.2,1148634091,
2025-07-24,1031.8,1040.2,1045.6,1015.8,1248588885,
2025-07-25,1008.6,1029,1037.6,1006,919757064,
2025-07-26,1012.4,1013.2,1013.2,1009,24888089,
2025-07-27,1009.2,1012.4,1014.4,1006.8,27409305,
2025-07-28,1003.2,1010,1024,999,915986582,
2025-07-29,1001.4,1001.6,1014.4,999,603085720,
2025-07-30,993,1001,1008.2,991,531244763,
2025-07-31,998.2,995,1003.2,992.4,439372224,
2025-08-01,996.4,999,1011.8,991.4,461678284,
2025-08-04,1003.6,998.8,1008.8,996.8,453975782,
2025-08-05,1013.8,1004.2,1024.6,999.2,955277925,
2025-08-06,1027.4,1015.4,1037.4,1000,1089879818,
2025-08-07,1039.2,1023.4,1057,1020,1379783270,
2025-08-08,1073.8,1039.2,1074,1023,1484251479,
2025-08-11,1129,1080.6,1147.6,1080.6,4514304692,
2025-08-12,1105.2,1133.8,1133.8,1097,2426960561,
2025-08-13,1092,1108.8,1116.6,1083.6,994409372,
2025-08-14,1118,1095,1122.8,1087.4,1331124814,
2025-08-15,1120.2,1118.8,1125.8,1111.4,882316931,
2025-08-16,1092,1099,1099.2,1087.4,274154528,
2025-08-17,1087.4,1095,1095,1087.4,67946443,
2025-08-18,1114,1085.4,1117,1075.4,2114266342,
2025-08-19,1116.4,1114,1130.8,1102.2,1727233066,
2025-08-20,1105,1116.4,1119.8,1095.4,660583249,
2025-08-21,1065,1102.4,1107.6,1057,1361215904,
2025-08-22,1066.6,1066,1074,1055.2,804642258,
2025-08-23,1071,1066.6,1071.6,1066.6,22977222,
2025-08-24,1066,1069.6,1071.4,1063.8,28976209,
2025-08-25,1068,1065.4,1071.6,1053,918530735,
2025-08-26,1077,1068,1080.4,1066.8,577524349,
2025-08-27,1100.2,1079.6,1105.2,1075.6,633780337,
2025-08-28,1070.6,1100.4,1101.6,1061.2,813683178,
2025-08-29,1061,1072.8,1084,1057.2,728601076,
2025-08-30,1062,1061,1064.4,1060.2,25201822,
2025-08-31,1063.4,1062.2,1064.6,1060.6,33055974,
2025-09-01,1057.6,1064.4,1079.2,1053.6,801849346,
2025-09-02,1046.8,1061.2,1079.2,1035.8,1562011678,
2025-09-03,1066,1047,1066,1038,670252157,
2025-09-04,1064.6,1066,1070.6,1048.8,485708801,
2025-09-05,1072.6,1065.2,1075.8,1062.6,424601304,
2025-09-06,1069.2,1072.6,1074.6,1069,16360433,
2025-09-07,1074.2,1069.8,1074.4,1065,41455831,
2025-09-08,1080.2,1074,1081.8,1066.8,738422635,
2025-09-09,1105.6,1080.2,1108.4,1080,1302483284,
2025-09-10,1081.8,1105.8,1106,1081,1025131781,
2025-09-11,1063,1083,1088.6,1055,1139062905,
2025-09-12,1052.4,1063.8,1070.6,1043,1670409806,
2025-09-13,1048.6,1052.4,1055,1046,38026907,
2025-09-14,1052.4,1048.8,1055.2,1044.2,50434908,
2025-09-15,1030.2,1053,1057.4,1020,891043995,
2025-09-16,1019.2,1030,1038.6,1010.4,766385653,
2025-09-17,1016.6,1019.2,1023.6,1003,778044828,
2025-09-18,1016.8,1017,1028,1009.4,1254251711,
2025-09-19,980.8,1017,1021.8,974.4,1468773684,
2025-09-22,988,980.8,994.2,971.6,1200947908,
2025-09-23,965.2,991.2,997,960.2,1103135201,
2025-09-24,974.4,964.8,978.4,954.6,886076651,
2025-09-25,967,974.2,982,965.8,497958613,
2025-09-26,977.8,967,980,962,629564475,
2025-09-27,975.2,978,979.2,975,35283086,
2025-09-28,973.4,975.8,978.4,971.4,23139257,
2025-09-29,960.6,973.4,992.4,956.6,819502946,
2025-09-30,943.2,960.6,965,941,905113060,
2025-10-01,922.2,945,955.6,917.2,1010211897,
2025-10-02,928.8,922.4,934.6,911.8,844152965,
2025-10-03,907.8,928.6,937.8,907,687866850,
2025-10-04,903.8,909.8,914.2,899.4,158894702,
2025-10-05,911.8,906,913.8,900,77636263,
2025-10-06,932.8,915,935,904,876707149,
2025-10-07,948.2,932.2,954,926.2,711165393,
2025-10-08,907.2,948.2,951.6,899.8,813216877,
2025-10-09,927,907.2,932.4,876.8,1631279354,
2025-10-10,904.8,930.8,934.6,903.2,909720935,
2025-10-11,906.4,904.6,907.6,900.6,41852550,
2025-10-12,910.2,907.2,912,905.2,35334974,
2025-10-13,905,911,919.8,897.2,610342383,
2025-10-14,885,909,909,878.8,592218814,
2025-10-15,874.8,888,889,870,939775204,
2025-10-16,929,876.2,932,869.2,1563200581,
2025-10-17,939.2,934.6,948,921,1105809517,
2025-10-18,955.4,939.2,958.2,939.2,181299444,
2025-10-19,950.8,957.2,957.6,942,79291717,
2025-10-20,928.8,955,956.6,920,1608144140,
2025-10-21,914,929.8,929.8,900.6,1214776320,
2025-10-22,905,914,924.6,896.2,839861527,
2025-10-23,895.2,889.6,898,887,522565181,
2025-10-24,875.8,897.8,903,875.6,808289815,
2025-10-27,850.8,875.8,878.2,848.6,646151970,
2025-10-28,864.4,850.8,872.6,845.6,662263312,
2025-10-29,853.2,866,870.6,846.6,1196501441,
2025-10-30,878,853.2,882.8,848.2,1243128510,
2025-10-31,853.4,878,880.8,847,1341439113,
2025-11-01,855.2,856.4,859.4,851.8,233975952,
2025-11-03,862.4,857,869,855.2,387977557,
2025-11-05,859.4,862,868,852.4,622696538,
2025-11-06,852.6,860,864,851.2,367977949,
2025-11-07,864.4,852.4,867,851,574591650,
2025-11-08,868.6,865,880.8,864,117728030,
2025-11-09,873.4,868.6,874.8,867.6,52365974,
2025-11-10,870.2,873.2,883.6,865.6,875975718,
2025-11-11,892.6,870.2,894,865.2,813949841,
2025-11-12,886.2,892.6,895,879,1100299460,
2025-11-13,875.4,887.4,894,870.4,650486844,
2025-11-14,861.6,877,881.6,855.6,671666229,
2025-11-15,862.4,862,864.8,861.6,26383075,
2025-11-16,861,861.8,862.6,858.4,25570342,
2025-11-17,851.2,861.2,863.6,850,535859242,
2025-11-18,876,850,882.2,848,1314670224,
2025-11-19,913,876.6,932.8,876.4,2278539415,
2025-11-20,942.2,911.2,943.2,898,1537529403,
2025-11-21,931.6,942,944.2,917.6,1102140636,
2025-11-24,918,941.2,948.8,913,844440677,
2025-11-25,937.8,918,945,904,1113332914,
2025-11-26,926.2,937.8,937.8,923,305035681,
2025-11-27,919,927.6,929.6,908.6,588875252,
2025-11-28,938.2,920,941.8,916.2,599198873,
2025-11-29,936.8,939,940,935.4,20601979,
2025-11-30,945.2,936.8,945.6,936.4,57881665,
2025-12-01,944.4,945,954,935.6,559520364,
2025-12-02,936.2,944.4,948.8,928.8,548262656,
2025-12-03,923.4,926,930.8,909,748052120,
2025-12-04,932,926,944,926,435765882,
2025-12-05,945.2,934.8,954,928.4,1032929653,
2025-12-08,938.2,949,961.4,937,1262241679,
2025-12-09,952.8,939,958.6,935.4,1142088371,
2025-12-10,949.2,952.4,956.8,942.4,530298767,
2025-12-11,960.8,949.8,977.8,948.2,1627508122,
2025-12-12,953.6,960.8,965.4,952,988898961,
2025-12-13,959,955.6,963.6,955.4,73250201,
2025-12-14,955.4,959.4,960.6,953.4,76583876,
2025-12-15,967.4,955.8,967.6,955.8,682462311,
2025-12-16,987,967.4,990,964.2,776696128,
2025-12-17,983.8,986.8,994,970.8,901352422,
2025-12-18,992.4,982.4,999.4,978.4,886988367,
2025-12-19,994.2,992.8,1001.2,982.6,1043377843,
2025-12-20,991.4,992.4,996.8,989.4,40087092,
2025-12-21,989.8,991.6,994,989.2,31870006,
2025-12-22,971,990,992.8,965.2,867458796,
2025-12-23,973.2,971,977.4,958,586045579,
2025-12-24,965.8,973.2,976.4,963.4,507540434,
2025-12-25,964.2,967,969.4,959.2,294644876,
2025-12-26,980,964.2,982,963.4,671889520,
2025-12-27,980.8,979.8,983.8,979.2,66766256,
2025-12-28,978,980.8,983,975.6,57113006,
2025-12-29,967.6,981,995,963.4,1158116441,
2025-12-30,962.2,969.4,973,960.4,517712010,
2026-01-05,951.2,961,964.6,942.8,330066264,
2026-01-06,949.4,951.2,956.2,942,236190509,
2026-01-08,935.4,944.8,949,934.8,262035513,
2026-01-09,933.6,937.6,943.8,932,158794974,
2026-01-12,956,933.2,957.8,933,420119242,
2026-01-13,933.2,955,957.6,933.2,446127920,
2026-01-14,926.8,933.2,944,920.2,539903747,
2026-01-15,942,926.8,947,926.8,444295906,
2026-01-16,947.2,941.8,956,938,494892120,
2026-01-17,950.2,949.6,951,947.4,27111227,
2026-01-18,951.2,951,952,948.4,19966538,
2026-01-19,956,951.2,967.6,941,710542334,
2026-01-20,967.4,956,969.6,952.6,397862630,
2026-01-21,974,967.4,978.2,956,719168212,
2026-01-22,964.2,974.2,976.8,958.2,469356903,
2026-01-23,978.2,963.6,981.6,959.8,488802886,
2026-01-24,976.8,979.2,981.8,968.6,97021790,
2026-01-25,979,978.2,982.6,975,85255172,
2026-01-26,968.6,979,981.2,962.6,413925731,
2026-01-27,974,971,977.8,961.6,561161895,
2026-01-28,967.4,973.6,986.6,963.8,875486328,
2026-01-29,1012,967.8,1022.8,967.8,3384103106,
2026-01-30,999.8,1011.4,1020.6,986.8,1256926655,
2026-01-31,999.8,999,1005,998,41359409,
2026-02-01,1001,1002.2,1007.8,996,70365403,
2026-02-02,989.6,999,1000.8,980,1288270271,
2026-02-03,994,990,1004,982,2058780887,
2026-02-04,983,985.2,996.2,979,840570032,
2026-02-05,969,981,981,960.8,915664541,
2026-02-06,968,966.4,973.6,960.6,423395738,
2026-02-07,968.2,973.2,975.2,968.2,45697193,
2026-02-08,959,970,970.8,957,73552929,
2026-02-09,947,973.2,975.2,944,446221266,791.3
2026-02-10,944.2,948.6,955.6,942.4,252897369,791.0
2026-02-11,954,941.2,960.4,940.2,243761813,798.5
2026-02-12,969.6,962.8,977,955.2,504387344,811.7
2026-02-13,989.6,974.6,991.8,961.4,767243347,828.0
2026-02-13,984,974.6,988.6,961.4,648176028,825.0
2026-02-14,989.6,974.6,991.8,961.4,789014593,829.0
2026-02-16,973.4,989,994.2,970.2,658762256,815.6
2026-02-17,970.8,971.2,979,967.4,248659437,809.1
