;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;05.02.2019;05.02.2019;30.06.2018;30.06.2018;;;;30.06.2018;;;;30.06.2018;;;;21.09.2018;17.04.2018;19.07.2018;19.10.2018;05.02.2019;23.04.2019;19.07.2019;18.10.2019;31.01.2020;24.04.2020;23.07.2020;22.10.2020;04.02.2021;16.04.2021;16.07.2021;18.10.2021;18.02.2022;;04.09.2023;;02.02.2024;04.07.2024;29.08.2023;04.02.2025;02.02.2024;23.04.2024;22.07.2024;21.10.2024;03.02.2025;22.04.2025;21.07.2025;20.10.2025;03.02.2026;03.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";;;;;;;;;;;;2.91;;2.99;2.92;2.86;2.83;2.94;3.01;3.03;3.00;3.06;2.94;3.04;3.06;3.03;2.71;2.85;2.81;2.89;2.77;2.96;2.77;2.84;3.03;2.92;2.40;2.64;2.73;2.70;2.95;2.70;2.93;2.90;2.32;2.47;2.69;2.84;2.50;2.72;2.76;10.8
"Пр-во продукции, млн т";;;;;;;;;;;;;;2.66;2.79;2.54;2.76;2.86;2.78;2.86;2.84;2.71;2.76;2.83;2.84;2.83;2.65;2.75;2.55;3.01;2.46;2.67;2.68;2.68;3.08;2.88;2.43;2.82;5.72;2.72;2.92;2.71;2.95;2.78;2.00;2.40;2.86;2.91;2.70;2.69;2.91;11.2
"Продажи стали, млн т";;;;;;;;;;;;2.53;;;2.78;2.53;2.75;2.86;2.79;2.87;2.86;2.72;2.77;2.84;2.85;2.85;2.66;2.76;2.56;3.02;2.46;2.64;2.69;2.70;3.11;2.73;2.27;3.13;5.52;2.77;2.70;2.70;2.57;2.47;2.68;2.77;2.93;2.66;2.79;2.86;2.94;11.2
"Доля продаж на экспорт, %";;;;;;;;;;;;42.0%;;40.0%;38.0%;42.0%;40.0%;35.0%;42.0%;48.0%;36.0%;35.0%;38.0%;35.0%;30.0%;33.0%;41.0%;43.0%;44.0%;37.0%;35.0%;52.0%;45.0%;51.0%;42.0%;;;;;;;;;;;;;;;;;
"Себестоимость сляба, $/т";;;;;;;;169;212;176;164;153;179;180;194;240;237;241;243;;;;208;228;211;204;227;209;184;173;160;185;175;225;242;;;;;;;;;;;;;;;;;
"Цена мет/прод, $/т";;;;;;;;;;;;;;;;574;575;586;637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;104.7;92.1;81.8;104.9;102.6;110.7;104.0;112.4;116.4;124.8;121.4;141.9;135.2;129.7;134.3;135.2;136.4;121.6;118.2;109.7;138.1;119.8;165.0;218.0;235.5;217.0;;376.9;;305.3;157.6;181.8;192.9;196.0;188.7;220.4;219.1;201.6;178.7;185.5;179.1;169.6;712.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;28.3;27.8;39.6;44.6;75.9;111.2;115.9;93.4;;115.3;;;43.1;56.5;61.5;62.6;54.8;51.3;53.9;31.3;28.4;27.7;23.3;10.9;90.2
