;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;05.02.2019;05.02.2019;30.06.2018;30.06.2018;30.06.2018;30.06.2018;21.09.2018;05.02.2019;31.01.2020;04.02.2021;18.02.2022;02.02.2024;02.02.2024;03.02.2025;03.02.2026;03.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";;;;;;;11.3;11.5;11.6;11.7;12.0;11.8;11.3;11.6;10.7;11.3;10.4;10.8;10.8
"Пр-во продукции, млн т";;;;;;;10.4;10.8;10.7;11.0;11.2;11.2;10.5;11.0;11.0;11.3;10.0;11.2;11.2
"Продажи стали, млн т";;;;;10.3;10.6;10.6;10.9;10.7;10.9;11.2;11.2;10.5;11.1;10.9;10.7;10.9;11.2;11.2
"Доля продаж на экспорт, %";;;;;;;33.0%;37.0%;32.0%;31.0%;39.0%;35.0%;39.1%;47.5%;;;;;
"Себестоимость сляба, $/т";;;;363;341;311;268;180;177;240;234;218;182;;;;;;
"Цена мет/прод, $/т";;604;723;867;751;675;631;481;456;593;631;618;537;962;;;;;
"Выручка, млрд руб";;;;;;300.2;315.8;315.8;392.1;450.4;528.1;527.5;485.8;835.5;682.2;728.3;829.8;712.9;712.9
"Операционная прибыль, млрд руб";;;;;;;60.5;102.0;100.5;126.4;170.2;150.6;140.2;396.4;174.8;223.7;192.2;90.2;90.2
"EBITDA, млрд руб";;;;;;58.0;84.9;127.7;128.1;150.5;197.4;181.4;175.6;439.7;214.3;262.2;237.9;137.6;137.6
"Чистая прибыль, млрд руб";;;;73.3;23.5;2.53;-53.1;34.4;102.1;146.0;128.7;114.3;74.6;299.6;108.4;193.9;149.6;32.0;32.0
"Операционный денежный поток, млрд руб";;;;;;;80.7;111.8;95.5;111.7;141.9;148.6;155.3;344.0;217.7;179.2;183.3;124.2;124.2
"CAPEX, млрд руб";;;;;;;29.9;26.8;35.0;34.5;43.6;74.8;95.3;85.2;67.9;72.6;118.5;173.5;173.5
"FCF, млрд руб";;;;;;;54.6;92.4;65.1;81.3;100.5;71.1;61.6;260.3;156.7;120.0;96.8;-30.5;-30.5
"Див.выплата, млрд руб";;;;15.3;9.62;6.95;61.7;49.3;67.5;92.2;134.6;97.1;97.5;181.9;0.000;160.4;99.2;;
"Дивиденд, руб/акцию";30,72;0;4,29;14,05;10,66;8,3;73,68;58,88;80,6;110,05;160,73;115,88;116,3;217,15;0;191,51;118,42;;
"Див доход, ао, %";36.3%;0.0%;0.8%;3.9%;2.9%;2.6%;14.7%;9.7%;8.6%;12.4%;17.0%;12.4%;8.8%;13.5%;0.0%;13.7%;9.1%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;21%;41%;275%;0%;143%;66%;63%;105%;85%;131%;61%;0%;83%;66%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;83.1;71.8;88.8;91.6;91.6
"Себестоимость, млрд руб";;;;;;210.4;208.9;231.5;236.5;275.7;307.3;317.4;283.7;361.7;404.0;409.4;530.5;507.4;507.4
"Амортизация, млрд руб";;;;;;;;;;;;;;;36.3;34.7;40.8;44.3;44.3
"Расх на персонал, млрд руб";;;;;;;51.8;53.2;56.6;57.5;61.2;67.9;72.5;81.5;86.7;86.6;118.9;137.3;
"Процентные расходы, млрд руб";;;;;;;9.86;10.6;10.1;7.96;6.46;7.42;9.57;10.7;8.22;12.6;25.5;29.2;29.2
"Активы, млрд руб";;;;;;;;427.6;393.2;415.2;408.1;509.0;546.4;644.1;730.0;994.0;861.8;853.2;853.2
