date,close,open,high,low,volume_rub,market_cap_bln
2025-04-03,580,685.4,712.8,575,1377724989,
2025-04-04,555.8,580,589,545,335586155,
2025-04-07,505,500.4,531.2,484.4,456026907,
2025-04-08,510,519,526,510,142962695,
2025-04-09,490,509,510,477.4,171928607,
2025-04-10,516,520,527.2,506,155116121,
2025-04-11,537.2,529.6,543,521,78163351,
2025-04-14,549.6,540,558,525.4,65585296,
2025-04-15,547.4,549.8,555.6,540.2,19841289,
2025-04-16,557.2,547,562,540,51582868,
2025-04-17,558.8,557.8,570,550,64041823,
2025-04-18,529.6,560,560,504.8,275166408,
2025-04-21,530.4,534,544.8,525,48161899,
2025-04-22,533,535.2,539.4,527,36640053,
2025-04-23,527.4,530.4,532.4,520.2,26290117,
2025-04-24,531,530,540,529,37280622,
2025-04-25,532.8,534,537,530.2,28189376,
2025-04-28,551,532.8,558,529.2,64042489,
2025-04-29,549.2,551,589.4,539.2,132643384,
2025-04-30,539.2,543,553,534.8,64105612,
2025-05-02,537,534.6,543.6,526.4,25338167,
2025-05-05,529,536.8,536.8,526.2,25323776,
2025-05-06,544.4,531.2,548.4,531.2,54607447,
2025-05-07,537.6,542,544.8,535.4,18907508,
2025-05-08,538.6,538.6,545,537,14533008,
2025-05-12,543.2,546,553.6,539.6,49115098,
2025-05-13,530,543,543,520.2,36431377,
2025-05-14,532.6,531.2,541,529.2,36896112,
2025-05-15,541,530,552,524.6,125051036,
2025-05-16,542.6,541,545,535.2,29876234,
2025-05-19,556,545.2,566.8,545.2,130591148,
2025-05-20,550.8,559,564.4,537.2,126260536,
2025-05-21,522.6,555.2,555.8,500,350859293,
2025-05-22,520,517.4,525,510.6,64622224,
2025-05-23,509.8,515,517.8,507.6,40931953,
2025-05-26,503.6,507,514,500,45340597,
2025-05-27,518,505,521.8,504.8,66059238,
2025-05-28,524,518.2,529,513.2,55602972,
2025-05-29,539.4,524.2,541.8,524,190935572,
2025-05-30,544.2,536,555.4,533.8,64585181,
2025-06-02,534.8,537,551,524.6,28589928,
2025-06-03,538,541,550,532,27327967,
2025-06-04,539,540.2,561,532,66419756,
2025-06-05,558,542.4,559,541.8,23417760,
2025-06-06,542.8,557,565.2,542.2,84637411,
2025-06-07,542.2,542.4,546.6,540.8,1142918,
2025-06-08,541.6,542,547,538,1585096,
2025-06-09,533.8,541.8,545,525.2,37890251,
2025-06-10,527.8,525.8,539.8,525,40410250,
2025-06-11,528.2,527.8,533,521.4,53859281,
2025-06-13,526.6,528.2,530.8,525,6342948,
2025-06-14,527.8,526.8,529,523.8,649558,
2025-06-15,527.4,528,529,527,1007862,
2025-06-16,539,529.8,544.8,525.4,49052068,
2025-06-17,543,539,551,530.8,42042207,
2025-06-18,540.6,543.6,546,537,11981893,
2025-06-19,553.6,540.6,564,538,68777099,
2025-06-20,536.6,557.4,569,534,84836956,
2025-06-23,547.2,536.6,559.2,530,61774855,
2025-06-24,551.8,547.8,553.2,540.6,25910918,
2025-06-25,545.6,552,556,538.6,32842101,
2025-06-26,554.8,548,566.8,543.2,40061891,
2025-06-27,553.6,554.8,560,550,27587801,
2025-06-28,559,552.4,563.4,552.4,4805113,
2025-06-29,559.2,558,561.6,557,4393768,
2025-06-30,568.8,557.2,568.8,556,41238475,
2025-07-01,560.8,569.2,575,558.4,90224285,
2025-07-02,550.8,561.8,564,547.4,33699346,
2025-07-03,574,550,578,550,145920479,
2025-07-04,565.4,574.2,585,560.2,42085304,
2025-07-05,571.4,566,573.6,565.8,4687489,
2025-07-06,570.8,573.6,575.2,570,3385984,
2025-07-07,562.4,569.6,577.8,559.8,40877226,
2025-07-08,564.2,562.4,573.2,543.8,77519019,
2025-07-09,569.6,563,588,551.2,84024825,
2025-07-10,568.6,572,585.2,562,73705354,
2025-07-11,559.4,568,573.8,553.8,50320374,
2025-07-12,556.2,559.2,562.6,554,3359016,
2025-07-13,556.8,559,563.4,555,2443149,
2025-07-14,563.6,557,568.6,545,53117134,
2025-07-15,560,565,568.6,546.2,91500411,
2025-07-16,566.4,559,567.8,558,39996996,
2025-07-17,558.2,567.4,573.6,556.8,62746158,
2025-07-18,566.8,561.6,568.4,558.2,58845156,
2025-07-19,572.6,566.8,573.2,561.8,10317607,
2025-07-20,572.2,572.2,574.8,570,5959969,
2025-07-21,570.2,569.2,575.6,564,57131704,
2025-07-22,582.4,570,587.8,568.4,151732355,
2025-07-23,598.6,581.6,612.2,581.6,260425616,
2025-07-24,584,599,608,575.4,148967143,
2025-07-25,582,588.4,600,571,181495702,
2025-07-26,588.6,586,594.2,585.2,10861056,
