ЦИАН (CIAN)smart-lab.ru;;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;;LTM ?;
Дата отчета;;;01.04.2025;21.05.2025;20.08.2025;25.11.2025;26.03.2026;;26.03.2026
Валюта отчета;;;RUB;RUB;RUB;RUB;RUB;;RUB
Финансовый отчет;;;;;;;;;
Презентация;;;;;;;;;
Выручка, млрд руб;?;;3.44;3.30;3.60;4.09;4.17;;15.2
Операционная прибыль, млрд руб;;;0.606;0.574;0.615;;1.54;;2.73
EBITDA, млрд руб;?;;0.911;0.754;0.864;1.10;0.852;;3.57
Чистая прибыль, млрд руб;?;;0.763;0.217;0.728;1.10;0.610;;2.66
Опер.денежный поток, млрд руб;?;;0.590;1.07;1.30;;1.97;;4.33
CAPEX, млрд руб;?;;0.061;0.032;0.037;;0.112;;0.181
FCF, млрд руб;?;;-0.126;1.03;1.26;;1.85;;4.13
Див.выплата, млрд руб;;;;;;8.08;;;8.08
Дивиденд, руб/акцию;?;;;;;104;;;104
Див доход, ао, %;;;0.0%;0.0%;0.0%;15.4%;0.0%;;16.9%
Дивиденды/прибыль, %;;;0%;0%;0%;735%;0%;;304%
Опер. расходы, млрд руб;;;2.83;2.73;2.99;3.15;3.56;;12.4
Амортизация, млрд руб;;;0.1;0.1;0.1;0.1;0.1;;0.4
Расх на персонал, млрд руб;;;1.31;1.44;1.36;1.37;1.57;;5.73
Активы, млрд руб;;;13.1;13.5;14.9;;10.1;;10.1
Чистые активы, млрд руб;?;;5.94;9.15;10.4;;5.22;;5.22
Долг, млрд руб;;;0.000;0.000;0.000;;0.000;;0.000
Наличность, млрд руб;;;9.22;9.51;10.7;;6.12;;6.12
Чистый долг, млрд руб;;;-9.22;-9.51;-10.7;0.00;-6.12;;-6.12
Цена акции ао, руб;;;527.4;555.0;562.0;674.0;606.8;;614.2
Число акций ао, млн;;;77.7;77.7;77.7;77.7;77.7;;77.7
Free Float, %;;;43.0%;34.0%;34.0%;34.0%;40.0%;;40.0%
Капитализация, млрд руб;;;41.0;43.1;43.7;52.3;47.1;;47.7
EV, млрд руб;?;;31.7;33.6;32.9;52.3;41.0;;41.6
Баланс стоимость, млрд руб;;;3.64;6.90;8.17;0.00;3.09;;3.09
EPS, руб;?;;9.82;2.79;9.37;14.2;7.85;;34.2
FCF/акцию, руб;;;-1.62;13.2;16.2;0.00;23.8;;53.1
BV/акцию, руб;;;46.8;88.8;105.1;0.00;39.8;;39.8
Рентаб EBITDA, %;?;;26.5%;22.8%;24.0%;26.9%;20.4%;;23.5%
Чистая рентаб, %;?;;22.2%;6.6%;20.2%;26.9%;14.6%;;17.5%
Доходность FCF, %;?;;5.7%;7.0%;6.8%;4.1%;8.8%;;8.7%
ROE, %;?;;41.4%;21.2%;23.7%;;50.9%;;50.9%
ROA, %;?;;18.9%;14.4%;16.5%;;26.4%;;26.4%
P/E;?;;16.7;22.3;17.8;18.6;17.8;;18.0
P/FCF;;;17.5;14.3;14.7;24.3;11.4;;11.6
P/S;?;;3.15;3.28;3.23;3.63;3.11;;3.15
P/BV;?;;11.3;6.25;5.35;;15.3;;15.4
EV/EBITDA;?;;9.89;11.2;10.9;14.4;11.5;;11.6
Долг/EBITDA;;;-2.87;-3.16;-3.55;0.00;-1.71;;-1.71
R&amp;D/CAPEX, %;;;0.00%;0.00%;0.00%;;0.00%;;0
CAPEX/Выручка, %;;;2%;1%;1%;0%;3%;;1%
