ЦИАН (CIAN)smart-lab.ru;;2021;2022;2023;2024;2025;;LTM ?;
Дата отчета;;;02.05.2022;30.03.2023;26.04.2024;01.04.2025;26.03.2026;;26.03.2026
Валюта отчета;;;RUB;RUB;RUB;RUB;RUB;;RUB
Финансовый отчет;;;;;;;;;
Годовой отчет;;;;;;;;;
Презентация;;;;;;;;;
Выручка, млрд руб;?;;6.03;8.27;11.6;13.0;15.2;;15.2
Операционная прибыль, млрд руб;;;-2.81;0.750;1.82;2.23;2.73;;2.73
EBITDA, млрд руб;?;;0.320;1.67;2.78;3.21;3.57;;3.57
Чистая прибыль, млрд руб;?;;-2.86;0.480;1.69;1.70;2.66;;2.66
Опер.денежный поток, млрд руб;?;;-2.06;1.92;2.42;2.81;4.33;;4.33
CAPEX, млрд руб;?;;0.141;0.120;0.439;0.444;0.181;;0.181
FCF, млрд руб;?;;-2.24;1.76;1.94;2.34;4.13;;4.13
Див.выплата, млрд руб;;;;;;;;;8.08
Дивиденд, руб/акцию;?;;;;;;;;104
Див доход, ао, %;;;0.0%;0.0%;0.0%;0.0%;0.0%;;16.9%
Дивиденды/прибыль, %;;;0%;0%;0%;0%;0%;;304%
Опер. расходы, млрд руб;;;8.85;7.51;9.75;10.8;12.4;;12.4
Амортизация, млрд руб;;;;;0.3;0.4;0.4;;0.4
Расх на персонал, млрд руб;;;5.06;3.76;4.35;4.99;5.73;;5.73
Активы, млрд руб;;;5.60;6.97;10.3;13.1;10.1;;10.1
Чистые активы, млрд руб;?;;3.87;5.01;4.24;5.94;5.22;;5.22
Долг, млрд руб;;;0.000;0.000;0.000;0.000;0.000;;0.000
Наличность, млрд руб;;;2.42;4.10;6.43;9.22;6.12;;6.12
Чистый долг, млрд руб;;;-2.42;-4.10;-6.43;-9.22;-6.12;;-6.12
Цена акции ао, руб;;;1 040;361.2;614.2;527.4;606.8;;614.2
Число акций ао, млн;;;70.0;70.0;70.0;77.7;77.7;;77.7
Free Float, %;;;;;;43.0%;40.0%;;40.0%
Капитализация, млрд руб;;;72.8;25.3;43.0;41.0;47.1;;47.7
EV, млрд руб;?;;70.3;21.2;36.5;31.7;41.0;;41.6
Баланс стоимость, млрд руб;;;1.89;3.15;1.77;3.64;3.09;;3.09
EPS, руб;?;;-40.8;6.86;24.2;21.9;34.2;;34.2
FCF/акцию, руб;;;-32.1;25.2;27.7;30.1;53.1;;53.1
BV/акцию, руб;;;27.0;45.0;25.3;46.8;39.8;;39.8
Рентаб EBITDA, %;?;;5.3%;20.2%;24.0%;24.7%;23.5%;;23.5%
Чистая рентаб, %;?;;-47.4%;5.8%;14.6%;13.1%;17.5%;;17.5%
Доходность FCF, %;?;;-3.1%;7.0%;4.5%;5.7%;8.8%;;8.7%
ROE, %;?;;-73.8%;9.6%;39.9%;28.7%;50.9%;;50.9%
ROA, %;?;;-51.0%;6.9%;16.4%;13.0%;26.4%;;26.4%
P/E;?;;-25.5;52.6;25.4;24.1;17.8;;18.0
P/FCF;;;-32.4;14.4;22.1;17.5;11.4;;11.6
P/S;?;;12.1;3.06;3.71;3.15;3.11;;3.15
P/BV;?;;38.5;8.03;24.3;11.3;15.3;;15.4
EV/EBITDA;?;;219.8;12.7;13.1;9.90;11.5;;11.6
Долг/EBITDA;;;-7.56;-2.46;-2.31;-2.87;-1.71;;-1.71
R&amp;D/CAPEX, %;;;0.00%;0.00%;0.00%;0.00%;0.00%;;0
CAPEX/Выручка, %;;;2%;1%;4%;3%;1%;;1%
