date,close,open,high,low,volume_rub,market_cap_bln
2025-11-20,1749.8,1764,1780,1745.1,4067839517,
2025-11-21,1723.1,1750.4,1753.3,1715,1314578325,
2025-11-24,1725,1724,1740,1720.2,495900099,
2025-11-25,1713.2,1725,1736.9,1708.2,429017239,
2025-11-26,1698.8,1713,1713,1696,385844853,
2025-11-27,1699.9,1704.8,1715,1696.4,340542292,
2025-11-28,1734,1700.1,1737,1700.1,327647693,
2025-12-01,1735,1734,1739,1722,143342420,
2025-12-02,1725.5,1734.6,1735,1719,175491502,
2025-12-03,1727,1725,1733,1715.1,154329384,
2025-12-04,1731,1735,1735,1725,127702937,
2025-12-05,1750,1730,1752,1727.8,456227231,
2025-12-08,1748,1751,1753.6,1735,115123571,
2025-12-09,1740,1745,1748.9,1738.1,75698207,
2025-12-10,1738.6,1740,1748.5,1737.4,119631049,
2025-12-11,1742,1741.2,1749.5,1737.9,237218980,
2025-12-12,1742.5,1745,1750,1735,294511774,
2025-12-15,1750,1742.6,1750,1735,278175751,
2025-12-16,1777.6,1750,1780,1746.2,545065026,
2025-12-17,1773.1,1778,1798,1756.4,356942093,
2025-12-18,1787.9,1775,1794.7,1765.2,649000674,
2025-12-19,1808.9,1787.9,1815,1774.5,551157543,
2025-12-20,1798.8,1804,1807.9,1796.5,25289302,
2025-12-21,1801.9,1800,1801.9,1788.6,24574965,
2025-12-22,1799.4,1808.7,1818.9,1792.9,325744864,
2025-12-23,1793.1,1800.7,1805,1770,422815863,
2025-12-24,1790,1793.1,1798,1781.4,281008062,
2025-12-25,1798,1792,1799.1,1787.6,250244539,
2025-12-26,1813.8,1799.2,1820,1797.1,301599895,
2025-12-27,1813.8,1815,1815,1805.7,26194763,
2025-12-28,1814,1815,1815,1803.1,17815428,
2025-12-29,1814.2,1814,1826,1803,533663561,
2025-12-30,1864.4,1815,1874.9,1815,493633731,
2026-01-05,1915,1865,1926,1836.1,359954443,
2026-01-06,1925.6,1915,1963.9,1896,655899403,
2026-01-08,1896.8,1923,1936.6,1886,164819155,
2026-01-09,1902.7,1896.8,1919.8,1894.9,86160760,
2026-01-12,1897.7,1903.7,1918.2,1885.1,380608225,
2026-01-13,1871.8,1900,1900.2,1851.7,418256805,
2026-01-14,1880,1874.8,1902,1865,264519567,
2026-01-15,1888,1890.1,1902,1874.3,246095179,
2026-01-16,1910,1897.1,1919,1886.2,194974884,
2026-01-17,1928.6,1911.5,1929.5,1911.5,42225998,
2026-01-18,1924.5,1929.9,1930,1919.8,20113848,
2026-01-19,1907.3,1924.9,1930.8,1902.3,209758480,
2026-01-20,1931,1909.9,1945.2,1880,426369020,
2026-01-21,1986.5,1937.4,1997.5,1926.9,855646204,
2026-01-22,1994.2,1990,2011.9,1969.7,595840835,
2026-01-23,2033.7,1998.7,2041.4,1990.9,283556381,
2026-01-24,2071.9,2034,2094,2034,384272635,
2026-01-25,2073.8,2072,2090,2066.1,144359683,
2026-01-26,2031.8,2080,2081.2,2004.8,679451762,
2026-01-27,2063.5,2033.6,2069,2000,519155889,
2026-01-28,2089.5,2063.6,2123.1,2057.5,729715128,
2026-01-29,2103.9,2092,2135.7,2060,736823598,
2026-01-30,2100,2108.8,2150,2082.3,602695669,
2026-01-31,2130.4,2108.8,2141.6,2100.3,114573886,
2026-02-01,2140.7,2137,2149.2,2131.1,80305431,
2026-02-02,2112,2141.8,2146,2077,460718392,
2026-02-03,2108.5,2112,2137.8,2092.3,303224749,
2026-02-04,2076.7,2114.9,2116.7,2050,478117032,
2026-02-05,2075.8,2080.7,2084.9,2005.8,1083283977,
2026-02-06,2056.4,2075.8,2087.6,2047,377941536,
2026-02-07,2074.1,2074.8,2077.5,2061.1,41023953,
2026-02-08,2070.1,2074.1,2077,2063.1,34267875,
2026-02-09,2050.6,2074.8,2079.4,2040,342545153,368.8
2026-02-10,2054.5,2029.1,2069,2022,273554829,368.8
2026-02-11,2079.1,2055.8,2088.5,2041.9,65118388,372.9
2026-02-12,2105,2095.3,2117,2084.8,256036128,378.8
2026-02-13,2132.6,2098,2135.9,2085,507025996,383.5
