date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,408.5,378.95,429.9,378.7,2925492527,
2025-02-11,429.2,409.25,432.35,409.25,4714544480,
2025-02-12,431.45,430,440.55,413,1818973543,
2025-02-13,428.05,431.55,458.55,424.25,768464679,
2025-02-14,419.8,439,443.05,409,728722204,
2025-02-17,437.15,431.4,438.95,422.45,268626465,
2025-02-18,428.6,437.2,441.6,422.6,326171278,
2025-02-19,431.5,428.6,437.65,421,218758957,
2025-02-20,436.45,431.5,444.4,428.9,252879870,
2025-02-21,445.8,439.65,448.65,436.4,361860631,
2025-02-24,495,446,495,441.4,901668187,
2025-02-25,502,495,530.95,495,1930534957,
2025-02-26,487.5,502.6,512.3,472.95,1095782233,
2025-02-27,467.65,487.5,490.65,464.5,424098844,
2025-02-28,483.35,465,485.95,463.65,494655615,
2025-03-01,480.3,483.1,483.2,476.9,13714763,
2025-03-02,474.8,479,479.4,474.75,9067204,
2025-03-03,479.5,477,485.8,453.8,477593213,
2025-03-04,498.95,479.5,504.9,479.5,387640971,
2025-03-05,482.3,499,502.35,480,368559195,
2025-03-06,483.1,482.3,494,477.5,208347086,
2025-03-07,492,481,497.6,481,361142488,
2025-03-10,507.2,492.2,515,492,878184319,
2025-03-11,505.7,507,511.85,501.05,408416321,
2025-03-12,493.65,505.8,507.2,487.2,364810001,
2025-03-13,507.35,494,513,483.1,788936657,
2025-03-14,523,506.7,527.35,502.05,705597825,
2025-03-15,523.25,522.7,525.85,520.2,13538529,
2025-03-16,528.1,523,528.1,522.9,29549916,
2025-03-17,528.55,527.5,533.65,522.4,344266557,
2025-03-18,519.95,527.35,530.55,515.7,446404111,
2025-03-19,523.3,519,524.65,512.5,203252050,
2025-03-20,553.9,523.3,554,522.15,1734546833,
2025-03-21,552,554,556.75,545.3,642310096,
2025-03-24,547.15,552.05,561.1,543.75,570032668,
2025-03-25,564.95,547.15,567,542.2,508021710,
2025-03-26,547.95,564.95,569.45,546.9,307228103,
2025-03-27,526.45,545,552.25,523.1,782126584,
2025-03-28,510.2,526,535,503,809587135,
2025-03-29,493.2,508.65,508.65,492.3,75198548,
2025-03-30,492.3,492.3,492.3,492.3,9113457,
2025-03-31,524,490,524.9,485.2,723450566,
2025-04-01,498.45,525.5,533,494.65,727638061,
2025-04-02,519.85,497.85,522.8,496.4,511101136,
2025-04-03,506.55,521.95,531,486.1,677706145,
2025-04-04,463.25,509.05,519,459.1,911698423,
2025-04-05,468,463,474.85,456.9,136930824,
2025-04-06,478,470.25,479.6,470.25,57290646,
2025-04-07,433.5,468.95,468.95,409.4,2019047708,
2025-04-08,396.95,435.1,446.75,394.05,977494486,
2025-04-09,400.95,391.1,403.9,352,2841286022,
2025-04-10,408.65,400.95,427.3,393.8,1217532440,
2025-04-11,429.15,410,430,405.45,799520055,
2025-04-12,430.75,429.4,430.75,426.45,64520545,
2025-04-13,430.75,430.75,430.75,430.2,4754825,
2025-04-14,415.45,431.2,438.25,408.15,724065961,
2025-04-15,428.15,413.5,429.65,412.9,442091404,
2025-04-16,437.4,428,443,418.25,607113284,
2025-04-17,445,437.4,449.2,435.55,572636723,
2025-04-18,438.1,437.9,443,429.3,418198272,
2025-04-21,440,441.7,445.9,434.5,258239042,
2025-04-22,445.1,438.8,447.7,429.55,469309295,
2025-04-23,435.65,445.1,446.6,430,228542005,
2025-04-24,431.5,435.85,439.5,429.8,117250399,
2025-04-25,439.2,432.3,444.7,431,179196308,
2025-04-26,449,441.05,452.15,441.05,175715938,
2025-04-27,450.8,449.25,451.65,447.85,29298797,
2025-04-28,443.45,450.4,454.75,441.75,338371685,
2025-04-29,421.85,443,445.5,416.45,247896381,
2025-04-30,408.85,423,423,395.35,634057256,
2025-05-02,392.45,405.85,407.45,387.6,284486258,
2025-05-03,393.05,392.8,398.8,391.4,16814179,
2025-05-04,392.75,393.05,395.95,391.2,18064345,
2025-05-05,386.5,392.75,394.5,382,233188665,
2025-05-06,401.15,386.45,406,386.45,528367796,
2025-05-07,402,401.1,405.55,391,309450977,
2025-05-08,405.3,403.9,412.8,400.65,183852503,
2025-05-10,403.6,406.2,407.75,402.1,15005530,
2025-05-11,410.95,413.75,413.75,407.1,51583220,
2025-05-12,415.15,413,421.15,412.25,171523045,
2025-05-13,409.65,417.4,420,408,185780968,
2025-05-14,403.5,411.15,415,400.15,208112069,
2025-05-15,401.9,398.7,406.3,397,113927607,
2025-05-16,398.4,402.8,403.55,388.5,187730306,
2025-05-17,406.95,398.25,409,397.1,22484814,
2025-05-18,408.85,408,409,405.15,17231949,
2025-05-19,400.05,409.95,409.95,400.05,107330087,
2025-05-20,396.05,400.1,404.65,394.5,77365985,
2025-05-21,387,396.65,400.55,383,145461704,
2025-05-22,372.55,387,387.55,368.6,279226124,
2025-05-23,364.8,372.55,377.15,362.2,226094651,
2025-05-26,347.75,364.8,364.8,338.7,434884672,
2025-05-27,364,348.65,366.5,340.8,396162229,
2025-05-28,378,365.65,378,360.8,393119008,
2025-05-29,360,377.65,378.35,359.5,278774551,
2025-05-30,358.55,362.55,368.65,354.45,175069783,
2025-05-31,363.55,360.8,367,359.75,48261749,
2025-06-01,352.5,363.6,364.6,349.05,95290183,
2025-06-02,362.55,348.25,366.75,348.25,210215603,
2025-06-03,397.4,362.6,398,362.6,928249844,
2025-06-04,395.15,398,402,385.85,723413573,
