;2016Q4;2017Q1;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q4;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Дата отчета";26.06.2018;18.05.2018;26.06.2018;18.05.2018;15.08.2018;16.11.2018;28.03.2019;31.05.2019;16.08.2019;14.11.2019;27.03.2020;15.05.2020;18.08.2020;;25.03.2021;;19.08.2021;;31.03.2022;18.08.2022;23.03.2023;17.08.2023;21.03.2024;29.08.2024;20.03.2025;21.08.2025;21.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;;;;19.6;;;;19.5;;;;19.5;;;;19.5;;;;;;;;
"Установл. тепл. мощность, Гкал/ч";;;;;;;16.0;;;;16.0;;;;16.0;;;;;;;;;;;;
"Выработка электроэнергии, ТВт*ч";;;;17.6;17.3;18.3;20.0;19.2;17.7;18.9;21.9;21.3;18.0;19.3;23.5;23.2;20.7;21.8;24.7;43.6;40.3;39.5;45.7;46.2;44.5;39.1;83.6
"Отпуск тепл.энергии, млн Гкал";;;;11.2;4.50;2.80;9.50;10.5;4.60;2.80;9.50;10.1;4.40;2.80;9.30;11.3;4.80;3.10;9.60;15.2;12.4;15.4;12.0;14.9;11.4;14.3;25.7
"Выручка, млрд руб";;172.1;;195.2;167.1;216.3;197.3;183.0;193.6;185.4;197.9;;357.0;;390.0;;483.0;;557.5;635.2;499.2;560.1;688.6;636.7;698.3;777.9;"1 476"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;21.2;;51.8;;103.3;;110.2;148.0;-10.5;45.5;42.4;94.2;43.0;77.7;120.7
"EBITDA, млрд руб";;44.3;;52.8;47.3;60.8;45.3;24.3;38.8;27.9;46.5;;54.4;;79.8;;140.0;;154.1;181.4;32.4;80.4;103.5;136.4;130.3;133.1;263.4
"Чистая прибыль, млрд руб";;8.93;;21.5;22.9;38.4;-22.2;18.4;16.5;7.88;12.8;;-16.8;;66.3;;133.7;;24.1;137.4;-63.2;50.9;-0.100;64.2;26.6;32.5;59.1
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;43.9;;92.8;;86.1;;73.6;-40.9;80.1;62.0;170.0;16.0;135.1;131.1;266.2
"CAPEX, млрд руб";;9.28;;12.7;16.0;15.5;19.4;11.0;19.6;16.3;21.7;;35.5;;45.9;;51.0;;60.5;48.8;68.5;44.8;78.6;62.2;108.9;83.8;192.7
"FCF, млрд руб";;;;;;;;;;;;;30.9;;38.9;;51.4;;74.2;-24.1;-15.0;-10.3;68.3;-77.9;-13.5;-4.79;-18.3
"Див.выплата, млрд руб";;;3.87;;;;;;;;;;;;;;;;;;;;;;;;
"Дивиденд, руб/акцию";;;6,8;;;;;;;;;;;;;;;;;;;;;;;;
"Див доход, ао, %";;;0.8%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;;0%;0%;0%;0%;0%;0%;0%;0%;;0%;;0%;;0%;;0%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;53.8;;57.4;;64.1;;87.2;84.6;85.9;74.8;117.3;74.5;97.5;91.5;189.0
"Себестоимость, млрд руб";;115.5;;130.1;110.0;140.8;133.8;134.5;144.2;143.7;151.4;;279.0;;284.3;;316.0;;359.8;402.6;423.8;440.0;529.0;447.9;483.1;580.6;"1 064"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;31.5;37.1;39.6;76.7
"НИОКР, млрд руб";;;;;;;;;;;;;;;;;;;;25.9;;28.7;;;;;
"Процентные расходы, млрд руб";;;;13.3;15.2;16.5;10.2;15.3;14.9;15.9;19.9;;30.5;;25.7;;24.0;;27.8;34.4;33.2;31.2;26.9;39.0;45.7;55.7;101.4
"Активы, млрд руб";"1 363";;"1 273";;;;"1 334";;;;"1 488";;"1 544";;"1 674";;"1 870";;"1 936";"1 695";"2 158";"2 281";"2 367";"2 473";"2 503";"2 694";"2 694"
"Чистые активы, млрд руб";132.5;;252.6;133.1;138.8;157.4;184.4;231.1;247.9;257.8;268.1;;175.5;;233.2;;359.0;;429.0;431.9;526.1;601.5;620.7;718.0;687.3;782.9;782.9
"Долг, млрд руб";861.6;;750.5;769.3;806.7;828.2;852.8;818.8;808.4;809.6;772.7;;913.6;;915.2;;891.0;;810.6;678.0;956.6;953.8;992.3;967.0;980.8;"1 011";"1 011"
"Наличность, млрд руб";40.6;;56.1;67.6;52.0;80.0;82.2;88.8;93.3;131.0;141.0;;177.5;;189.3;;304.0;;173.1;92.8;244.6;145.3;210.5;139.0;172.0;140.6;140.6
