date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,114.4,113.1,117,113.1,617005893,
2025-02-11,114.45,114,116.15,112.6,353678925,
2025-02-12,114.45,115.6,116.65,114,340376503,
2025-02-13,116.95,120,120.1,116,585539526,
2025-02-14,116.8,118.2,126,115.45,1712436859,
2025-02-17,122.65,121.4,124.2,120.2,730835620,
2025-02-18,120.15,122.65,123.25,119.2,411965554,
2025-02-19,119.95,120.4,121,118.7,157133645,
2025-02-20,121.3,121,124.85,121,599129786,
2025-02-21,122.4,121.5,123.9,121.25,314955304,
2025-02-24,126.95,122.45,127.5,122.45,783541961,
2025-02-25,130.15,127.5,132.85,127,1449503704,
2025-02-26,131,131.95,137.4,126,2221514071,
2025-02-27,130.25,129.8,131,126,614822398,
2025-02-28,125.8,128.4,128.8,122.55,837555249,
2025-03-03,121.3,124.9,124.9,120.3,481488910,
2025-03-04,124.8,122,125.15,122,274294635,
2025-03-05,126.6,125.5,127.3,124.1,268897106,
2025-03-06,124.25,125.05,126.1,121.9,166024029,
2025-03-07,121.6,124.25,125.95,121.1,224693390,
2025-03-10,124.6,123.8,126,123.1,234819973,
2025-03-11,124.55,124.05,125,122.8,137871124,
2025-03-12,123.05,124.45,124.7,122.1,116084839,
2025-03-13,120.2,123,123.05,118.55,258134836,
2025-03-14,122.85,121.95,123.7,120.1,199537847,
2025-03-17,125.35,123.8,127.7,123.75,390318101,
2025-03-18,125.3,125.35,126.35,124.7,173535624,
2025-03-19,128.3,123.75,128.65,122,555861527,
2025-03-20,135.6,128.6,136.15,128.6,1761707214,
2025-03-21,133.3,135.6,137.75,131.45,984955154,
2025-03-24,131.25,133.55,135.65,130,394651566,
2025-03-25,132.5,131.25,133.3,129.25,296025378,
2025-03-26,130.45,132.85,133.75,129.8,245693224,
2025-03-27,127,130.45,130.5,127,214730655,
2025-03-28,121.8,128,128.1,120.5,520784930,
2025-03-29,119.35,122.1,122.8,119.35,67259107,
2025-03-30,119.35,119.35,121.4,119.35,66327080,
2025-03-31,125.95,118.7,126.15,117,434584294,
2025-04-01,128.05,126.5,135,126,1617633850,
2025-04-02,133.6,129.1,134.5,127.65,1036367363,
2025-04-03,129.65,134.65,135.5,126.15,971426212,
2025-04-04,120.45,131.2,131.65,119.95,745219023,
2025-04-05,122,120.3,122.7,120.3,66580008,
2025-04-06,125.3,122,125.7,120.9,107889790,
2025-04-07,119.95,122.65,123.45,111.6,1162616051,
2025-04-08,118.15,120.1,123.9,116.1,494169473,
2025-04-09,124.2,117.65,124.5,113.25,742118900,
2025-04-10,122.5,125.6,125.8,122,336797053,
2025-04-11,123.5,122.95,125.2,122.35,269582372,
2025-04-12,125.6,123.5,126.6,123.5,72864616,
2025-04-13,126.2,124.85,126.3,124.65,54306203,
2025-04-14,123.4,125.15,126.15,122,172344964,
2025-04-15,123.5,123.5,124.25,121,109410108,
2025-04-16,123.65,123.55,125.3,121.6,173896616,
2025-04-17,125.7,123.7,126.15,123.3,292001505,
2025-04-18,123.25,124.7,124.9,122.4,173738396,
2025-04-21,126.45,123.6,126.85,123.55,234743346,
2025-04-22,126.85,126.45,128.15,125.25,407750839,
2025-04-23,124.8,127.3,127.5,124.1,198479309,
2025-04-24,124.75,124.95,126.15,124.05,136053336,
2025-04-25,126.35,125.15,128.25,124.9,261326725,
2025-04-26,127.55,126.55,127.95,126.2,98464337,
2025-04-27,128.5,127.55,128.7,127.2,64096072,
2025-04-28,126.75,128.5,129.7,126.45,308671360,
2025-04-29,122.95,127,129.6,118.2,484556280,
2025-04-30,122.75,123.35,124.5,120,202119829,
2025-05-02,119.8,122.6,123.85,119.6,127701330,
2025-05-03,121.6,120.3,122.7,119.95,49464636,
2025-05-04,122.2,121.8,122.6,121.3,23249255,
2025-05-05,120.2,122.2,122.45,118.5,195441936,
2025-05-06,122,120.45,123.15,120,212322569,
2025-05-07,121.85,122,123.3,120.75,160678255,
2025-05-08,122.6,122.2,124,121.9,83630377,
2025-05-10,122.3,122.6,123.05,122,16111244,
2025-05-11,123.35,123.3,124.55,123.05,50630118,
2025-05-12,124.7,123.8,126,122.9,217086293,
2025-05-13,125.2,124.85,126.5,124.2,178306106,
2025-05-14,123.9,125.2,126,123.1,121991537,
2025-05-15,127.2,123.1,127.5,122.3,228515218,
2025-05-16,124.95,127.55,128.45,123.45,272347530,
2025-05-17,125.95,125,126.25,124.75,41133371,
2025-05-18,126.9,126.7,127.5,126.3,39335448,
2025-05-19,124.85,126.9,126.95,124.25,113725464,
2025-05-20,124.85,125.5,125.6,124,84692773,
2025-05-21,124.8,124.75,125.35,124.1,77934763,
2025-05-22,124.8,124.8,125.65,124.15,211594876,
2025-05-23,122.95,124.8,125.1,121.55,452871503,
2025-05-26,119.7,123,123.45,119.35,237068565,
2025-05-27,119.75,119.9,120.7,117,196735808,
2025-05-28,121.2,120.4,122.05,119.7,293405146,
2025-05-29,119.85,122.15,122.3,119.65,196832065,
2025-05-30,120.2,120.1,121.25,119.05,92892353,
2025-05-31,120.65,120.2,120.7,120.2,13085483,
2025-06-01,118.2,120.55,120.55,116.55,111386437,
2025-06-02,121.15,118.1,122.6,118.1,172636654,
2025-06-03,124.3,121.2,124.5,120.9,189428714,
2025-06-04,124.25,124.6,126.35,123.75,219051135,
2025-06-05,124.8,124.3,125.5,124.2,89904494,
2025-06-06,122.8,125,127.6,122.05,352341371,
2025-06-07,123.05,123.5,123.7,122.65,14421076,
2025-06-08,123.1,123.05,123.45,122.5,19643835,
2025-06-09,122.9,123.1,123.75,122.4,87470852,
2025-06-10,122.35,123.25,123.5,121.8,78645470,
2025-06-11,123,122.55,124.8,122.3,141691164,
2025-06-13,123.45,123.75,124.55,123.05,69993220,
2025-06-14,124,124,124.25,123.5,22596472,
2025-06-15,124,124.1,124.6,123.25,28707291,
2025-06-16,123.05,124.05,124.55,122.85,132751814,
2025-06-17,124.1,123.1,124.65,122.7,95137467,
2025-06-18,124.75,124.35,125.4,123.9,131991101,
2025-06-19,125,125,125.65,124,66171682,
2025-06-20,124,125,125.4,123.6,89307360,
2025-06-23,123.4,124.05,124.7,122.95,99195569,
2025-06-24,124.75,123.4,125.2,123.25,97622719,
2025-06-25,125.05,124.75,125.75,124.7,101172492,
2025-06-26,127.2,125.2,127.6,125.05,168509489,
2025-06-27,131.7,127.2,133.45,127.2,1347314498,
2025-06-28,131.75,131.75,132.8,131.35,41599186,
2025-06-29,130.55,131.7,132.05,130.1,66184354,
2025-06-30,132,131.35,132.75,130.7,315045172,
2025-07-01,131.25,132.4,133.75,130.65,399048687,
2025-07-02,129.5,131.25,131.75,128.9,190466199,
2025-07-03,128.65,129.55,130.8,127.85,153824788,
2025-07-04,127.95,128.8,130,127.6,151583566,
2025-07-05,128.5,127.95,128.9,127.7,11250728,
2025-07-06,128.55,128.5,128.75,128.15,9449403,
2025-07-07,126.4,128.6,128.8,125.8,131126856,
2025-07-08,122.9,126.9,126.9,122,286805336,
2025-07-09,123.6,123,124.25,121.75,154813328,
2025-07-10,124.15,123.6,125.5,122.8,160648089,
2025-07-11,122.05,124.35,124.65,122,122330169,
2025-07-12,122.7,122.2,122.9,122,15075440,
2025-07-13,122.9,122.9,123.2,122.25,15032480,
2025-07-14,125.25,122.7,125.3,117.5,409095265,
2025-07-15,128.15,125,128.55,124.45,282709656,
2025-07-16,129.9,128,130.05,127.8,678096831,
2025-07-17,118.55,117.55,120.85,117.2,672681412,
2025-07-18,119.95,118.5,120.5,118.45,202829729,
2025-07-19,121.3,120.65,121.4,120.25,40371237,
2025-07-20,122,122.1,122.75,121.6,40456818,
2025-07-21,121.85,122.05,122.45,120.5,155201739,
2025-07-22,121.85,122,122.35,120.8,85118143,
2025-07-23,122.25,122.2,123.4,121.95,137640555,
2025-07-24,122.8,122.75,123.25,121.3,136770496,
2025-07-25,122.25,122.85,123.75,121.45,206634614,
