;2020Q4;2021Q4;2022Q2;2022Q3;2022Q4;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q4;2025Q2;2025Q3;LTM
"Дата отчета";28.07.2023;28.07.2023;14.11.2023;;30.05.2023;14.11.2023;;27.04.2024;;28.08.2024;29.04.2025;29.08.2025;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;14.6;;50.3;45.5;;81.3;;82.3;103.9;107.1;;211.0
"Операционная прибыль, млрд руб";;;1.63;;3.73;3.72;;7.26;;6.08;8.74;9.32;;18.1
"EBITDA, млрд руб";;;2.22;;4.25;4.39;;7.92;;6.97;9.98;10.6;;20.6
"Чистая прибыль, млрд руб";;;-0.300;;2.05;1.38;;3.77;;2.23;3.28;3.23;;6.50
"Операционный денежный поток, млрд руб";;;-5.38;;;-2.29;;0.470;;11.1;6.84;1.91;;8.75
"CAPEX, млрд руб";;;;;;2.84;;10.5;;9.04;5.38;8.36;;13.7
"FCF, млрд руб";;;-8.97;;0.250;-5.61;;-15.0;;-2.25;-3.04;-12.5;;-15.6
"Див.выплата, млрд руб";;;;;;;1.88;2.66;0.400;0.687;2.26;1.30;;3.56
"Дивиденд, руб/акцию";;;;;;;8,88;16,72;2,5;4,32;14,19;8,18;;22,37
"Див доход, ао, %";0.0%;0.0%;0.0%;;0.0%;0.0%;;6.2%;1.0%;2.7%;11.9%;6.2%;0.0%;16.2%
"Дивиденды/прибыль, %";;;0%;;0%;0%;;71%;;31%;69%;40%;;55%
"Опер. расходы, млрд руб";;;;;;;;;;0.753;0.966;0.857;;1.82
"Себестоимость, млрд руб";;;12.6;;46.0;40.9;;73.5;;75.3;94.4;96.5;;190.9
"Амортизация, млрд руб";;;0.4;;0.4;0.5;;0.6;;0.9;0.8;0.9;;1.7
"Расх на персонал, млрд руб";;;;;;;;;;1.08;1.35;1.61;;2.96
"Процентные расходы, млрд руб";;;1.62;;1.72;1.90;;2.65;;1.41;1.77;3.06;;4.83
"Активы, млрд руб";;33.6;;;51.9;63.0;;85.0;;89.3;103.9;118.7;;118.7
"Чистые активы, млрд руб";;0.179;;;11.9;13.3;;27.6;;28.7;32.3;33.4;;33.4
"Долг, млрд руб";19.4;20.7;;;31.3;38.4;;39.9;;43.9;48.8;61.3;;61.3
"Наличность, млрд руб";0.042;0.080;;;0.204;0.121;;0.182;;0.192;0.181;0.222;;0.222
"Чистый долг, млрд руб";19.3;20.6;0.00;0.00;31.1;38.3;0.00;39.7;0.00;43.7;48.6;61.1;0.00;61.1
"Цена акции ао, руб";250.0;250.0;250.0;;250.0;250.0;;269.0;242.5;161.9;118.8;132.3;135.3;138.0
"Число акций ао, млн";106.0;106.0;212.0;159.1;159.1;212.0;212.0;159.1;159.1;159.1;159.1;159.1;159.1;159.1
"Free Float, %";;;;;;;;20.0%;;;33.0%;32.0%;32.0%;32.0%
"Капитализация, млрд руб";26.5;26.5;53.0;0.00;39.8;53.0;0.00;42.8;38.6;25.8;18.9;21.1;21.5;22.0
"EV, млрд руб";45.8;47.1;53.0;0.00;70.9;91.3;0.00;82.5;38.6;69.4;67.5;82.1;21.5;83.0
"Баланс стоимость, млрд руб";0.00;0.18;0.00;0.00;11.0;13.3;0.00;23.2;0.00;24.4;27.8;28.9;0.00;28.9
"EPS, руб";0.00;0.00;-1.42;0.00;12.9;6.51;0.00;23.7;0.00;14.0;20.6;20.3;0.00;40.9
"FCF/акцию, руб";0.00;0.00;-42.3;0.00;1.57;-26.5;0.00;-94.4;0.00;-14.1;-19.1;-78.7;0.00;-97.9
"BV/акцию, руб";0.00;1.69;0.00;0.00;69.4;62.8;0.00;145.7;0.00;153.0;174.8;181.9;0.00;181.9
"Рентаб EBITDA, %";;;15.2%;;8.4%;9.7%;;9.7%;;8.5%;9.6%;9.9%;;9.8%
"Чистая рентаб, %";;;-2.1%;;4.1%;3.0%;;4.6%;;2.7%;3.2%;3.0%;;3.1%
"Доходность FCF, %";0.0%;0.0%;-16.9%;;-21.9%;-10.1%;;-48.2%;-53.5%;-67.0%;-28.0%;-74.0%;-72.3%;-70.9%
"ROE, %";;0.0%;;;14.6%;25.7%;;18.7%;;20.9%;17.0%;19.5%;;19.5%
"ROA, %";;0.0%;;;3.4%;5.4%;;6.1%;;6.7%;5.3%;5.5%;;5.5%
P/E;;;-176.7;0.00;22.8;15.5;0.00;8.31;7.49;4.29;3.43;3.24;3.31;3.38
P/FCF;;;-5.91;0.00;-4.56;-9.89;0.00;-2.08;-1.87;-1.49;-3.57;-1.35;-1.38;-1.41
P/S;;;3.63;0.00;0.61;0.55;0.00;0.34;0.30;0.16;0.10;0.10;0.10;0.10
P/BV;;148.0;;;3.60;3.98;;1.85;;1.06;0.68;0.73;;0.76
EV/EBITDA;;;23.9;0.00;11.0;10.6;0.00;6.71;3.13;4.66;3.99;3.99;1.05;4.03
Долг/EBITDA;;;0.00;0.00;4.81;4.43;0.00;3.23;0.00;2.93;2.87;2.97;0.00;2.97
"Персонал, чел";;;;;"1 282";;;"1 276";;;"1 433";;;
"Производительность труда, млн руб/чел/год";;;;;39.2;;;63.7;;;72.5;;;
"Расходы/чел/год, тыс.р";;;;;0.00;;;0.00;;;940.7;;;
"R&D/CAPEX, %";;;;;;0.00%;;0.00%;;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";;;0%;;0%;6%;;13%;;11%;5%;8%;;7%
