;2020;2021;2022;2023;2024;LTM
"Дата отчета";28.07.2023;28.07.2023;30.05.2023;27.04.2024;29.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";36.0;48.9;64.9;126.8;186.2;211.0
"Операционная прибыль, млрд руб";;1.62;5.36;11.0;14.8;18.1
"EBITDA, млрд руб";2.53;-3.05;6.47;12.3;17.0;20.6
"Чистая прибыль, млрд руб";0.284;0.556;1.75;5.15;5.51;6.50
"Операционный денежный поток, млрд руб";0.465;2.55;-8.65;-1.82;18.0;8.75
"CAPEX, млрд руб";0.070;0.024;0.073;13.3;14.4;13.7
"FCF, млрд руб";0.394;2.53;-8.72;-20.6;-5.29;-15.6
"Див.выплата, млрд руб";;;;4.54;3.34;3.56
"Дивиденд, руб/акцию";;;;25,6;21,01;22,37
"Див доход, ао, %";0.0%;0.0%;0.0%;9.5%;17.7%;16.2%
"Дивиденды/прибыль, %";0%;0%;0%;88%;61%;55%
"Опер. расходы, млрд руб";;;;1.39;1.72;1.82
"Себестоимость, млрд руб";;46.6;58.6;114.4;169.7;190.9
"Амортизация, млрд руб";;1.1;0.8;1.2;1.7;1.7
"Расх на персонал, млрд руб";;0.980;1.54;2.05;2.43;2.96
"Процентные расходы, млрд руб";;1.78;3.34;4.55;3.18;4.83
"Активы, млрд руб";;33.6;51.9;85.0;103.9;118.7
"Чистые активы, млрд руб";;0.179;11.9;27.6;32.3;33.4
"Долг, млрд руб";19.4;20.7;31.3;39.9;48.8;61.3
"Наличность, млрд руб";0.042;0.080;0.204;0.182;0.181;0.222
"Чистый долг, млрд руб";19.3;20.6;31.1;39.7;48.6;61.1
"Цена акции ао, руб";250.0;250.0;250.0;269.0;118.8;138.0
"Число акций ао, млн";106.0;106.0;159.1;159.1;159.1;159.1
"Free Float, %";;;;20.0%;33.0%;32.0%
"Капитализация, млрд руб";26.5;26.5;39.8;42.8;18.9;22.0
"EV, млрд руб";45.8;47.1;70.9;82.5;67.5;83.0
"Баланс стоимость, млрд руб";0.00;0.18;11.0;23.2;27.8;28.9
"EPS, руб";2.68;5.25;11.0;32.4;34.6;40.9
"FCF/акцию, руб";3.72;23.9;-54.8;-129.6;-33.3;-97.9
"BV/акцию, руб";0.00;1.69;69.4;145.7;174.8;181.9
"Рентаб EBITDA, %";7.0%;-6.2%;10.0%;9.7%;9.1%;9.8%
"Чистая рентаб, %";0.8%;1.1%;2.7%;4.1%;3.0%;3.1%
"Доходность FCF, %";1.5%;9.5%;-21.9%;-48.2%;-28.0%;-70.9%
"ROE, %";;310.6%;14.6%;18.7%;17.0%;19.5%
"ROA, %";;1.7%;3.4%;6.1%;5.3%;5.5%
P/E;93.3;47.7;22.8;8.31;3.43;3.38
P/FCF;67.3;10.5;-4.56;-2.08;-3.57;-1.41
P/S;0.74;0.54;0.61;0.34;0.10;0.10
P/BV;;148.0;3.60;1.85;0.68;0.76
EV/EBITDA;18.1;-15.4;11.0;6.71;3.99;4.03
Долг/EBITDA;7.64;-6.76;4.81;3.23;2.87;2.97
"Персонал, чел";;;"1 282";"1 276";"1 433";
"Производительность труда, млн руб/чел/год";;;50.6;99.4;129.9;
"Расходы/чел/год, тыс.р";;;"1 197";"1 607";"1 697";
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;10%;8%;7%
