date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,180,180.6,184.4,179.4,29655826,
2025-02-11,182.8,180,183.6,180,16120335,
2025-02-12,192.3,184.3,194.4,183.2,160482514,
2025-02-13,188.9,193.7,195.6,188,58199791,
2025-02-14,184.3,190,194,181.8,159586713,
2025-02-17,191.5,190.9,201,189.3,314367235,
2025-02-18,186.8,191.5,194.4,186,68114894,
2025-02-19,187.4,186.9,193,184.8,128205259,
2025-02-20,191,187.3,194,187,86515088,
2025-02-21,187.9,191.2,191.6,185.7,70656383,
2025-02-24,191,189.9,197.5,188.5,158024552,
2025-02-25,198.5,193,200.8,189.6,356304575,
2025-02-26,190.2,200,203,185.7,225332666,
2025-02-27,179.2,190.3,193.3,178.4,180769255,
2025-02-28,181.5,179.2,186,177.1,61108017,
2025-03-03,179,180.6,180.6,176,42157530,
2025-03-04,182,179,184,178.3,66079982,
2025-03-05,180.4,182,184.9,180,45481231,
2025-03-06,179.8,181,182.7,178.7,31190263,
2025-03-07,181.5,180,181.6,179.1,22538214,
2025-03-10,184.5,180.4,188,180.4,40120409,
2025-03-11,181.3,180.4,184.2,180.4,29777342,
2025-03-12,177,181.3,181.5,177,27433796,
2025-03-13,177.2,176.7,178.2,172.5,36848556,
2025-03-14,178.6,177,181.8,176.1,21437263,
2025-03-17,183,180,185,180,23984321,
2025-03-18,179.6,184.7,184.7,179.3,31431932,
2025-03-19,187.7,181,189.3,178.9,47198278,
2025-03-20,184.8,187.7,189.6,184.3,27726143,
2025-03-21,182.3,184,187.6,181.7,24000793,
2025-03-24,181.6,182.3,183.4,179,21862379,
2025-03-25,181.5,181.6,183.2,177,29846445,
2025-03-26,177.3,180.5,182.4,176.2,27350638,
2025-03-27,173.6,176,177,173.3,26731379,
2025-03-28,169.8,171.5,173.6,168.2,25731060,
2025-03-31,170.3,168.4,172.3,168,25678370,
2025-04-01,169.2,172.5,178,168.3,94906486,
2025-04-02,174.3,169.2,176,169.2,29058639,
2025-04-03,171.5,173.7,180.1,168.1,41436417,
2025-04-04,159.3,171.5,172.6,155.8,106046981,
2025-04-07,154.7,144.7,156.1,144.7,66094707,
2025-04-08,151.1,155,159.5,150.2,41600013,
2025-04-09,157.2,154.8,158,145.3,162627133,
2025-04-10,156,160,160,154.2,19979068,
2025-04-11,160.7,159.5,169.1,159.3,89048732,
2025-04-14,159,164.8,164.8,158.5,23240030,
2025-04-15,160.3,158.5,163.9,158.2,23999266,
2025-04-16,162.6,159.5,165.1,158,25833198,
2025-04-17,163.1,162.6,164,161.1,21444323,
2025-04-18,160.1,161.6,163.4,159.5,27581790,
2025-04-21,161.7,161,163,160.1,17534709,
2025-04-22,163.7,162.6,165.7,160.7,27191079,
2025-04-23,160.6,162.3,162.7,153.4,29080477,
2025-04-24,160.2,161.2,162,160,9393400,
2025-04-25,162.2,161.1,164.4,160.5,13694479,
2025-04-28,159.9,162.2,164.2,155.5,43658007,
2025-04-29,157.2,160,160.1,156,18215195,
2025-04-30,156,155.2,161.4,155.1,32966360,
2025-05-02,151.5,155,155.3,150.6,17620019,
2025-05-05,151.8,151.5,154.5,150.1,16908348,
2025-05-06,154.3,150.1,155.6,150.1,16424762,
2025-05-07,158.2,158.9,165.7,156.9,65247343,
2025-05-08,158.9,158,160.3,157.5,10127747,
2025-05-12,160,161.1,162.2,158.6,14989488,
2025-05-13,158.2,160.2,160.8,158.2,7231485,
2025-05-14,154.6,158.1,159.8,154.4,39050983,
2025-05-15,156.9,154.6,159.6,153.6,26177504,
2025-05-16,155.9,156.1,158.5,154.6,15257185,
2025-05-19,154.3,156,160.2,152.7,70213233,
2025-05-20,152.1,154.5,157.2,149.9,33480668,
2025-05-21,150.5,152,154.4,150.3,11321438,
2025-05-22,148.2,150.1,150.4,147,17705602,
2025-05-23,148.1,148.2,150.4,146.9,10825762,
2025-05-26,144,146.6,147.3,143.2,20284824,
2025-05-27,146.4,144.3,147,144.3,12750486,
2025-05-28,147.8,146.4,150.5,146.4,28111239,
2025-05-29,145.4,148,148.3,145.2,13980261,
2025-05-30,146.6,145.4,148.3,145.4,15904069,
2025-06-02,148.5,146,149.1,145.6,14147969,
2025-06-03,150.1,150.6,151.1,148.1,21744603,
2025-06-04,149.8,151.4,154.3,149.1,61933861,
2025-06-05,149.6,151,151.5,147.4,60932941,
2025-06-06,147.3,149.6,153.1,146.5,35868090,
2025-06-09,145,146.5,147.2,143.3,23755399,
2025-06-10,143.8,145.1,145.6,143.4,4594772,
2025-06-11,143.7,144,151,143.6,79296129,
2025-06-13,142.3,144,146,141.8,18037793,
2025-06-16,137,142.5,145,135.8,44293187,
2025-06-17,132,134.8,135,131,56738582,
2025-06-18,133.1,130.5,134.9,129,40569522,
2025-06-19,134,132.2,137.1,132.1,17070518,
2025-06-20,137.4,134.1,139.1,132,23796319,
