date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,86.41,87.84,88.86,85.64,831924113,
2025-02-11,88.34,86.41,88.74,86.3,419838822,
2025-02-12,94.44,88.34,95.3,87.62,1365247336,
2025-02-13,94.4,95.59,95.88,92.41,890060818,
2025-02-14,100.75,98.4,102.85,92.4,3539018969,
2025-02-17,105.86,101.9,108.27,99.7,4641432731,
2025-02-18,101.89,106.8,107,100.36,1754418678,
2025-02-19,102.19,102.83,104.19,99.35,1295519755,
2025-02-20,104.04,102.2,105.1,102.19,909175167,
2025-02-21,103.97,104.04,104.9,101.53,632729013,
2025-02-24,104.55,103.97,105.99,102.68,1043897542,
2025-02-25,105.08,104.6,106.3,103.8,832339622,
2025-02-26,101.09,105.08,105.8,100.3,774799283,
2025-02-27,100.11,101.15,103.3,98.7,811132837,
2025-02-28,101.15,100.11,102.09,98.51,1116308168,
2025-03-01,101.76,101.5,102.08,101.2,15999735,
2025-03-02,101.01,101.76,101.76,100.5,20304438,
2025-03-03,103.04,101.1,103.21,97,957151680,
2025-03-04,102.89,102.98,105.16,101,2247983968,
2025-03-05,99.53,103,103.6,98.89,1634446514,
2025-03-06,96.1,99.98,100.66,95.69,1918220598,
2025-03-07,91.48,96.29,97.75,90,4328652362,
2025-03-10,93.55,91.48,95.13,91.45,1433264099,
2025-03-11,94.33,93.49,95.66,92.53,1274280085,
2025-03-12,93.92,94.5,94.93,92.5,568754216,
2025-03-13,93.98,94.09,95.59,92.18,909972994,
2025-03-14,95.01,93.9,95.35,92.85,702923877,
2025-03-15,95.07,94.85,95.23,94.81,20948129,
2025-03-16,96.66,95,96.89,94.78,110446844,
2025-03-17,97.91,96.7,98.28,95.43,1029639136,
2025-03-18,97.52,98.18,100.5,96.36,1250616707,
2025-03-19,96.74,97.82,98.8,96.25,651484784,
2025-03-20,97,96.95,97.5,95.8,503740948,
2025-03-21,96.68,97.3,97.82,96.17,425017628,
2025-03-24,95.81,96.68,99.99,93.9,1086955105,
2025-03-25,101.57,95.81,101.6,93.85,1900495532,
2025-03-26,98.3,102,103.2,97.52,2328832642,
2025-03-27,95.05,98.3,98.43,94.73,844773377,
2025-03-28,92.88,95.05,96.2,92.23,1020492858,
2025-03-29,91.32,93.37,93.37,91.02,89443215,
2025-03-30,90.9,91.33,91.61,90.9,37836813,
2025-03-31,91.37,90,93.5,89.21,699940891,
2025-04-01,87.34,91.37,93.64,86.56,900676917,
2025-04-02,91.81,87.99,92.45,86.22,1420008262,
2025-04-03,92.69,91.99,93.77,89.72,997757681,
2025-04-04,85.61,94.11,94.39,85.5,1092866508,
2025-04-05,84.88,85.5,85.7,84.07,95653271,
2025-04-06,86.86,84.9,87,84.23,84082164,
2025-04-07,81.99,85.61,85.61,77.81,1642288961,
2025-04-08,79.33,81.99,83.45,79.29,722893632,
2025-04-09,83.33,79.1,83.98,77.6,903558682,
2025-04-10,81.46,83.5,84,80.85,302371031,
2025-04-11,82.98,81.5,83.59,81.07,546854889,
2025-04-12,84.74,83.5,85,83.27,80698042,
2025-04-13,85.4,84.74,85.4,84.53,51812824,
2025-04-14,82,84.84,85.55,81.28,391886979,
2025-04-15,84.49,82.01,84.6,81.72,507019503,
2025-04-16,85.84,84.5,86.76,83.42,682612367,
2025-04-17,87.33,85.88,88.53,85.87,484839293,
2025-04-18,85.91,87,87.15,85.45,387392246,
2025-04-21,86.76,86.61,88,86,194727210,
2025-04-22,88.86,86.82,90.53,86.82,478747335,
2025-04-23,87.32,88.86,89.79,86.1,294938885,
2025-04-24,87.14,87.34,88.86,87,158684678,
2025-04-25,92.87,87.21,93.44,87.21,1086387626,
2025-04-26,92.03,93.25,94.15,91.61,197687550,
2025-04-27,93.39,92.61,93.6,92.31,66738009,
2025-04-28,91.29,93.31,94.2,90.88,885438987,
2025-04-29,88.22,91.29,91.9,87.95,350514426,
2025-04-30,87.01,88.25,88.85,85.06,409720421,
2025-05-02,83.14,86.5,86.88,82.94,258750455,
2025-05-03,83.18,82.87,83.45,82.52,27655614,
2025-05-04,83.77,83.18,84.1,82.92,32341591,
2025-05-05,81.14,83.71,83.79,80.63,286668879,
2025-05-06,82.54,81.24,83,80,277251551,
2025-05-07,84.07,82.94,84.6,81.7,294705308,
2025-05-08,84.47,84.07,85.7,83.94,196731995,
2025-05-10,84.18,84.13,84.66,83.95,23974862,
2025-05-11,85.82,85.45,86.33,85,107791077,
2025-05-12,86.74,86.11,88,85.66,295581668,
2025-05-13,86.65,86.75,87.5,85.27,194981801,
2025-05-14,83.88,86.65,86.69,83.73,310343865,
2025-05-15,83.58,83.84,84.8,82.52,341871681,
2025-05-16,82.68,83.55,83.9,81.5,298228580,
2025-05-17,83.65,82.61,83.78,82.59,28083564,
2025-05-18,84.05,83.94,84.38,83.22,55076518,
2025-05-19,83.1,84.2,85.16,82.88,456422965,
2025-05-20,78.63,83.15,84.04,78.4,1664540226,
2025-05-21,78.95,78.3,79.68,77.66,1248756332,
2025-05-22,78.12,78.95,80.5,77.53,1471182400,
2025-05-23,77.07,78.12,79.23,75.6,2099497270,
2025-05-26,73.03,76.56,76.84,72.31,924305581,
2025-05-27,74.48,72.7,74.88,70.78,748879780,
2025-05-28,78,74.17,78.77,73.96,783163304,
2025-05-29,75.27,78,78.13,75.21,653864401,
2025-05-30,76.9,75.25,77.4,74.58,539273481,
2025-05-31,76.94,76.71,77.39,76.71,12481716,
2025-06-01,74.81,76.54,76.59,74.65,131577500,
2025-06-02,76.65,74.9,77.22,74.51,456389262,
2025-06-03,78.24,76.65,78.37,76.5,210410869,
2025-06-04,77.81,78.45,79.39,77.62,254586527,
2025-06-05,79.2,78,79.49,77.85,221287037,
2025-06-06,76.86,79.22,80.46,76.55,376807802,
2025-06-07,77.3,76.52,77.42,76.52,8962507,
2025-06-08,77.01,77.3,77.45,76.69,16560620,
2025-06-09,74.93,77,77.55,74.13,228629158,
2025-06-10,73.95,74.94,75.65,73.49,170569956,
2025-06-11,75.5,74.31,76.37,73.58,260937452,
2025-06-13,77.67,75.8,77.8,75.4,157646470,
2025-06-14,78.15,77.67,78.68,77.6,42290430,
2025-06-15,76.98,78.17,78.46,76.26,69149443,
2025-06-16,75.27,77.14,77.44,75.03,165389388,
2025-06-17,76.9,75.27,76.97,75.22,149039845,
2025-06-18,76.02,76.94,77.29,76.02,91861282,
2025-06-19,76.18,76.1,76.7,75.41,186752479,
2025-06-20,76.05,76.18,76.57,75.34,97691964,
2025-06-23,74.74,76.34,76.95,74,260157768,
2025-06-24,74.37,74.72,75.17,72.29,494751782,
2025-06-25,75.2,74.37,77,74.29,626414880,
2025-06-26,75.12,75.4,75.95,74.81,217521177,
2025-06-27,75.44,75.12,75.6,74.3,301413216,
2025-06-28,75.32,75.44,75.84,75.15,19840667,
2025-06-29,75.31,75.32,75.5,75.03,12394171,
2025-06-30,76.45,75.35,77.33,74.95,422813057,
2025-07-01,76.26,76.47,76.92,76.1,192662118,
2025-07-02,75.8,76.21,76.7,75.41,112224550,
2025-07-03,78.34,75.86,79.38,75.35,589682783,
2025-07-04,78.29,78.34,78.9,77.04,256422776,
2025-07-05,78.46,78,78.7,77.51,11806641,
2025-07-06,78.08,78.39,78.51,78.04,10978176,
2025-07-07,78.92,78.3,79.73,77.43,346746695,
2025-07-08,77.51,78.85,80.4,76.63,1006522624,
2025-07-09,77.86,77.51,78.75,76.85,461570744,
2025-07-10,77.7,77.9,78.7,77.7,109329140,
2025-07-11,76.4,77.98,78.5,76.26,276156481,
2025-07-12,75.91,76.16,76.75,75.77,25574194,
2025-07-13,75.79,76.14,76.14,75.41,13135370,
2025-07-14,80.55,75.5,81,74.17,445171308,
2025-07-15,80.75,80.3,82.25,79.84,792969261,
2025-07-16,80.41,80.75,81.47,80.13,343249102,
2025-07-17,79.07,80.41,81.12,78.38,237423299,
2025-07-18,80.77,78.83,80.81,78.04,411397229,
2025-07-19,80.66,80.99,81.55,80.66,26610356,
2025-07-20,80.98,80.68,81.27,80.55,21813659,
2025-07-21,80.51,80.88,81.48,79.61,197636618,
2025-07-22,83.62,80.53,84.1,80.11,1162143930,
2025-07-23,84.77,83.6,85.35,83.5,996476111,
2025-07-24,84.93,84.77,85.3,83.4,622688289,
2025-07-25,82.5,85.33,87.95,81.8,1540049754,
2025-07-26,82.5,82.72,83,82.31,19681149,
2025-07-27,82.2,82.49,82.5,82.05,10452177,
2025-07-28,80.65,82.2,82.2,80.11,279212492,
2025-07-29,79.7,80.31,81.24,79.55,301011212,
2025-07-30,79.69,79.69,79.7,78.11,222703730,
2025-07-31,80.87,79.63,81.3,79.03,304654900,
2025-08-01,80.43,80.87,81.78,79.99,168161407,
2025-08-04,81.17,80.6,81.18,79.99,172127090,
2025-08-05,80.26,81.35,81.73,79.61,417750566,
