;2014Q4;2015Q4;2016Q4;2017Q4;2018Q4;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;04.06.2018;08.10.2020;04.06.2018;08.10.2020;08.10.2020;29.05.2023;31.12.2019;24.05.2022;08.10.2020;17.11.2020;15.03.2021;19.05.2021;26.08.2021;16.11.2021;14.03.2022;18.04.2023;18.04.2023;18.04.2023;20.03.2023;26.05.2023;28.08.2023;20.11.2023;18.03.2024;24.05.2024;16.08.2024;15.11.2024;07.03.2025;23.05.2025;15.08.2025;14.11.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;38.8;18.2;24.8;28.1;26.2;21.1;21.4;19.8;21.8;19.8;19.3;24.1;32.4;32.4;9.68;40.2;42.8;46.5;43.7;41.7;33.9;34.7;31.3;20.7;22.6;21.1;95.7
"Операционная прибыль, млрд руб";;;;;;12.7;5.11;10.5;13.7;10.9;6.00;4.20;4.16;3.16;4.85;4.85;-6.87;9.90;9.90;26.7;25.6;25.1;26.3;20.7;20.2;13.1;13.3;-2.48;-29.3;0.140;0.007;-31.6
"EBITDA, млрд руб";;;;;;25.9;;25.0;22.4;17.3;12.0;14.1;11.6;13.5;12.4;12.5;16.5;17.8;17.8;19.2;32.9;33.7;36.3;31.3;30.5;23.1;30.4;18.2;9.80;12.8;9.62;50.3
"Чистая прибыль, млрд руб";;;;;;5.99;1.67;6.71;7.51;8.16;1.77;4.26;1.06;0.980;2.10;0.410;-7.82;5.10;5.10;18.0;20.8;15.8;19.9;27.1;19.2;9.63;16.2;1.17;-32.6;-3.26;2.97;-31.7
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;0.010;1.10;1.10;1.11;;;;;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;19.7;20.8;12.2;13.4;7.64;12.5;13.2;11.0;;;;;35.0;26.5;28.4;41.6;27.8;27.8;19.3;24.4;5.61;0.630;12.6;43.2
"CAPEX, млрд руб";;;;;;;;;9.97;2.25;10.8;8.47;10.7;1.43;5.47;9.04;;;;;;;;;;;;;;;;
"FCF, млрд руб";;;;;;8.23;;1.40;9.66;14.0;-0.160;0.600;-4.96;8.12;10.6;2.87;;;;;24.2;24.2;11.0;17.8;25.4;16.0;14.3;16.8;4.15;4.88;14.2;40.0
