;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;04.06.2018;08.10.2020;04.06.2018;08.10.2020;31.12.2019;15.03.2021;14.03.2022;20.03.2023;18.03.2024;07.03.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;76.0;76.6;61.7;67.6;81.9;96.8;80.7;98.5;173.1;141.5;95.7
"Операционная прибыль, млрд руб";;28.9;23.3;9.60;12.0;28.3;34.8;17.0;39.6;97.7;44.1;-31.6
"EBITDA, млрд руб";;48.0;47.2;31.8;40.3;50.9;65.9;50.0;71.2;134.2;102.1;50.3
"Чистая прибыль, млрд руб";;20.9;13.5;-6.40;-2.39;14.4;21.7;4.55;20.4;83.5;46.2;-31.7
"Чистая прибыль н/с, млрд руб";;74.2;-26.6;-15.3;;;18.8;3.32;26.4;77.2;37.2;
"Операционный денежный поток, млрд руб";;;49.9;31.9;34.8;51.4;66.2;44.4;;131.4;99.3;43.2
"CAPEX, млрд руб";;35.4;47.4;36.1;25.7;27.6;31.5;26.6;;51.7;19.5;
"FCF, млрд руб";;10.7;-8.34;-13.7;0.941;9.63;24.1;16.6;;77.2;72.5;40.0
"Див.выплата, млрд руб";1.13;5.97;6.14;1.70;1.44;7.18;15.8;;10.2;41.8;;
"Дивиденд, руб/акцию";0,57;3,037;3,12;0,86;0,73;3,65;6,67;;4,3;17,59;;
"Див доход, ао, %";;;;;;;7.4%;0.0%;11.4%;12.1%;0.0%;0.0%
"Дивиденды/прибыль, %";;29%;45%;0%;0%;50%;73%;0%;50%;50%;0%;0
"Опер. расходы, млрд руб";;24.0;53.3;52.1;55.6;53.3;62.1;63.7;58.9;75.5;97.4;127.3
"Себестоимость, млрд руб";;;16.5;22.0;28.1;25.9;21.6;32.7;31.0;23.1;31.0;
"Амортизация, млрд руб";;;;;;;;;;35.2;51.7;82.5
"Расх на персонал, млрд руб";;15.0;16.2;15.0;15.2;16.1;17.7;18.0;;4.61;5.36;
"Процентные расходы, млрд руб";;7.27;8.39;10.1;12.6;13.3;12.7;10.8;;6.90;6.57;5.49
"Активы, млрд руб";;;434.1;423.2;496.2;454.1;572.0;544.1;451.8;627.9;679.7;537.9
"Чистые активы, млрд руб";;242.0;209.5;188.1;208.8;223.3;294.2;286.6;;437.3;500.0;388.3
"Долг, млрд руб";;138.7;141.6;149.8;241.6;216.6;175.3;224.9;123.6;133.6;135.5;107.3
"Наличность, млрд руб";;26.1;28.5;20.0;18.6;23.2;63.7;47.9;58.3;112.2;134.5;120.9
"Чистый долг, млрд руб";0.00;112.6;113.0;129.8;223.0;193.4;111.6;177.1;65.3;21.4;1.03;-13.6
"Цена акции ао, руб";;;;;;;90.2;73.5;37.6;145.1;98.7;75.7
"Число акций ао, млн";"1 967";"1 967";"1 967";"1 967";"1 967";"1 967";"2 375";"2 375";"2 375";"2 375";"2 375";"2 375"
"Free Float, %";;;;;;;15.6%;;15.6%;;16.0%;16.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;214.3;174.5;89.3;344.6;234.3;179.7
"EV, млрд руб";0.00;112.6;113.0;129.8;223.0;193.4;325.8;351.6;154.6;366.0;235.3;166.1
"Баланс стоимость, млрд руб";0.00;242.0;209.3;187.6;208.3;222.9;294.0;286.4;0.00;437.3;500.0;388.3
"EPS, руб";0.00;10.6;6.89;-3.26;-1.22;7.30;9.14;1.92;8.57;35.2;19.5;-13.4
"FCF/акцию, руб";0.00;5.44;-4.24;-6.98;0.48;4.90;10.1;7.00;0.00;32.5;30.5;16.9
"BV/акцию, руб";0.00;123.1;106.4;95.4;105.9;113.3;123.8;120.6;0.00;184.1;210.5;163.5
"Рентаб EBITDA, %";;63.2%;61.6%;51.5%;59.7%;62.2%;68.0%;61.9%;72.3%;77.5%;72.2%;52.6%
"Чистая рентаб, %";;27.5%;17.7%;-10.4%;-3.5%;17.5%;22.4%;5.6%;20.7%;48.2%;32.7%;-33.2%
"Доходность FCF, %";;;;;;;11.2%;9.5%;0.0%;22.4%;30.9%;22.3%
"ROE, %";;8.6%;6.5%;-3.4%;-1.1%;6.4%;7.4%;1.6%;;19.1%;9.2%;-8.2%
"ROA, %";;;3.1%;-1.5%;-0.5%;3.2%;3.8%;0.8%;4.5%;13.3%;6.8%;-5.9%
P/E;;0.00;0.00;0.00;0.00;0.00;9.87;38.3;4.39;4.13;5.07;-5.66
P/FCF;;0.00;0.00;0.00;0.00;0.00;8.89;10.5;;4.46;3.23;4.49
P/S;;0.00;0.00;0.00;0.00;0.00;2.21;2.16;0.91;1.99;1.66;1.88
P/BV;;0.00;0.00;0.00;0.00;0.00;0.73;0.61;;0.79;0.47;0.46
EV/EBITDA;;2.34;2.40;4.08;5.53;3.80;4.95;7.03;2.17;2.73;2.31;3.30
Долг/EBITDA;;2.34;2.40;4.08;5.53;3.80;1.69;3.54;0.92;0.16;0.01;-0.27
"Персонал, чел";;;;;;;"8 000";;;;;
"Производительность труда, млн руб/чел/год";;;;;;;12.1;;;;;
"Расходы/чел/год, тыс.р";;;;;;;"2 213";;;;;
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;
"CAPEX/Выручка, %";;47%;62%;58%;38%;34%;33%;33%;0%;30%;14%;0
