date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,142.46,142.67,144.62,141.93,8945796246,
2025-02-11,142.97,142.28,143.9,140.77,6663974172,
2025-02-12,154.6,143.03,154.6,143.03,34848041637,
2025-02-13,166.32,159.1,175.19,156.33,87982590489,
2025-02-14,168.1,169.94,173.93,163.07,55042132529,
2025-02-17,180.05,172.02,180.05,171.1,37377111963,
2025-02-18,171.2,181,184.8,169,56022723157,
2025-02-19,176.25,172.22,177.8,169.12,24250819162,
2025-02-20,173,176.26,176.44,172.23,14777846145,
2025-02-21,171.09,173,174.38,167.61,17384025258,
2025-02-24,177.16,170.47,177.2,169.22,20013153567,
2025-02-25,175.1,177.2,179.77,173.74,17871363498,
2025-02-26,169.26,175.7,175.7,168.75,17466274842,
2025-02-27,166.7,169.26,171.84,166.22,19565679523,
2025-02-28,170.87,166.34,172,163.53,24516216582,
2025-03-01,170.64,171.5,171.61,170.15,402858209,
2025-03-02,170.96,170.82,172.73,170.25,2063293380,
2025-03-03,169.26,171.09,171.48,163.35,23469037508,
2025-03-04,173.92,170,175.3,169.55,17093331636,
2025-03-05,170.95,173.55,178,170.26,22812024309,
2025-03-06,172.93,171,175.71,170,14941438914,
2025-03-07,171.56,172.6,174.79,168.13,14594423612,
2025-03-10,171.09,171.97,172.78,170.15,6077621380,
2025-03-11,170.42,171.09,172.5,169.15,10429004015,
2025-03-12,168.29,170.42,171.14,167.7,7850052119,
2025-03-13,168.11,168.3,171.7,160.71,35632547378,
2025-03-14,170.45,167.22,171.47,164.38,18578209590,
2025-03-15,170.45,170.45,170.99,170.34,380850213,
2025-03-16,172.81,170.4,173.16,170.37,1420576053,
2025-03-17,172.73,172.85,174.84,171.47,18308215983,
2025-03-18,168.52,173.39,174.48,167.55,24346427543,
2025-03-19,168.33,169,169.78,165.57,12440205765,
2025-03-20,168.09,168.7,169,165.67,13962226698,
2025-03-21,166.61,167,168.94,166.02,9091998331,
2025-03-24,164.56,166.4,166.63,163.11,7375063040,
2025-03-25,164.46,164.95,166.33,160.25,13809820040,
2025-03-26,161.85,165.2,167.26,161.21,9633207630,
2025-03-27,155.25,161.5,162.4,154.9,14357911490,
2025-03-28,145.43,155,156.11,145.2,25400695144,
2025-03-29,143.99,145.41,145.72,143.99,1261803739,
2025-03-30,143.99,143.99,143.99,143.99,94080186,
2025-03-31,145.69,142.45,147.49,140.5,15100758061,
2025-04-01,137.5,146.09,147.82,136.7,22085686628,
2025-04-02,139.23,137.5,139.98,135.44,14861210955,
2025-04-03,134.54,139.8,143.01,130.73,20480609394,
2025-04-04,126.7,136,136.66,126.4,23219423756,
2025-04-05,126.28,126,126.51,124.16,2524268984,
2025-04-06,128.54,126.05,128.92,125.56,1916635615,
2025-04-07,125.57,126,129.69,118.1,26301907060,
2025-04-08,121.91,126.6,128.94,121.36,13892614258,
2025-04-09,127.76,120.77,128.62,116.6,26007411241,
2025-04-10,127.44,128.48,131,124.64,15231599715,
2025-04-11,132.91,127.76,133.59,127.38,16605849192,
2025-04-12,135.94,134.36,135.95,133.91,2892412404,
2025-04-13,135.95,135.8,135.95,135.05,1314110233,
2025-04-14,132.05,136.11,137,130.66,12883843221,
2025-04-15,131.6,132,134.3,129.74,10642221554,
2025-04-16,132,131.6,134,129.02,11186914379,
2025-04-17,136.79,132.52,137.48,132.4,14878322000,
2025-04-18,134.77,134.6,136.31,133.03,13030765149,
2025-04-21,139.53,136.4,140,135.29,13169660086,
2025-04-22,145,139.8,146.79,138.51,25994138520,
2025-04-23,143.38,145.25,145.97,138.58,28191171435,
2025-04-24,144.29,144,146.78,143.54,15252321623,
2025-04-25,150.23,145.03,150.8,144.64,25314277255,
2025-04-26,152.76,152,154.6,151.1,8358474747,
2025-04-27,153.72,153,153.9,152.41,2453193569,
2025-04-28,153.27,152.37,157.45,149.05,31563277699,
2025-04-29,149.25,153.27,154.5,147.21,20053070594,
2025-04-30,149.89,149.34,153.95,147.11,30563699524,
2025-05-02,138.89,149.7,149.7,138.15,15268309779,
2025-05-03,139.58,138.98,141.18,137.81,3088274977,
2025-05-04,141.1,139.8,141.85,139.55,2599927226,
2025-05-05,135.09,140.25,141.57,131.53,24685931603,
2025-05-06,137.71,134.92,139.5,132.33,28033854368,
2025-05-07,139.9,137.76,140.38,136.76,15677343438,
2025-05-08,142.9,140.06,144.77,140.03,20801527313,
2025-05-10,143.87,144.05,145.07,143.1,3337906331,
2025-05-11,145.88,147.27,147.27,145.06,5453231166,
2025-05-12,146.73,147.1,149.39,144.71,22015336069,
2025-05-13,145.64,146.98,147.5,144.83,11717583178,
2025-05-14,141.74,145.93,146.8,141.59,14683371591,
2025-05-15,139.44,141.65,143.18,137.86,21687739398,
2025-05-16,139.1,139.89,140.82,133.5,25563539344,
2025-05-17,141.83,139.4,142.45,139.23,3558974480,
2025-05-18,143.26,143,143.26,142,3356576839,
2025-05-19,139.72,143.49,143.64,138.88,20127896174,
2025-05-20,137.1,140.02,140.5,134.99,13182824337,
2025-05-21,136.5,137,141.99,135.25,18736666160,
2025-05-22,130.87,136.2,136.84,130.07,25001943915,
2025-05-23,131.13,131,131.5,128.81,10016490474,
2025-05-26,125.52,130.67,130.98,124.18,15045825958,
2025-05-27,127.41,125.38,127.82,122.57,13355304882,
2025-05-28,131.95,127.41,132.4,127.05,12750064267,
2025-05-29,129.42,132.3,132.4,129.21,8683091664,
2025-05-30,132.26,129.35,133.05,128.33,11078352120,
2025-05-31,132.15,132.37,132.95,132,909895449,
2025-06-01,128.16,131.72,131.76,128.16,4116325421,
2025-06-02,129.87,127.4,131.68,126.8,14693075108,
2025-06-03,130.56,130.05,131.18,128.64,7347469351,
2025-06-04,129.58,130.57,132.43,128.72,9987629218,
2025-06-05,129.48,129.9,130.46,128.91,5070813028,
2025-06-06,125.56,129.4,132.4,125.51,14534591764,
2025-06-07,126.17,125.67,126.5,125.67,527912068,
2025-06-08,125.4,126.18,126.27,124.81,695093865,
2025-06-09,123.5,125.6,126.1,122.67,7232167068,
2025-06-10,122.8,123.88,124.27,121.85,5869531110,
