;2000Q4;2001Q4;2002Q4;2003Q4;2004Q4;2005Q4;2006Q4;2007Q4;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;;;;;10.04.2019;10.04.2019;10.04.2019;31.05.2018;31.05.2018;19.05.2018;07.09.2020;;02.09.2019;10.04.2019;02.09.2019;02.09.2019;02.09.2019;10.04.2019;02.09.2019;02.09.2019;02.09.2019;26.04.2018;30.05.2018;02.09.2019;02.09.2019;26.04.2018;30.05.2018;29.08.2018;03.12.2018;29.04.2019;30.05.2019;29.08.2019;29.11.2019;29.04.2020;14.07.2020;31.08.2020;30.11.2020;29.04.2021;28.05.2021;30.08.2021;29.11.2021;28.04.2022;29.08.2023;29.08.2023;23.05.2023;29.08.2023;29.08.2023;28.01.2025;02.05.2024;28.01.2025;29.08.2024;29.11.2024;30.04.2025;30.05.2025;29.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;;;;;;9.10;;8.80;8.90;9.20;9.10;11.3;11.3;12.1;12.5;12.0;12.1;12.6;11.9;11.7;11.9;12.7;12.0;11.6;12.2;12.5;11.7;11.6;11.1;11.2;13.2;12.1;12.0;12.1;;;;;;;;;;;;;;;;
"Добыча газа, млрд м3";;;;;;;;;;;;;;;131.6;103.7;85.0;123.6;116.3;89.0;84.5;129.0;113.1;83.9;89.0;134.1;127.2;106.1;107.3;131.4;134.1;119.3;111.7;133.5;137.0;122.3;109.4;132.3;123.2;98.1;101.3;131.9;136.4;124.9;118.0;135.5;143.0;101.0;;105.0;74.5;;;;;;;;;;
"Экспорт газа, млрд м3";;;;;;;;;;;;;;;;39.0;37.0;37.0;39.0;41.0;45.0;59.0;58.0;51.0;52.0;67.0;66.0;54.0;55.0;68.0;72.0;57.0;57.0;58.0;62.0;56.0;54.0;60.4;52.0;47.0;56.0;64.0;65.0;56.0;55.0;9.0;;;;;;;;;;;;;;;
"Цена газа на экспорт, $/1000 м3";;;;;;;;;;;;;;;;358;324;352;284;251;224;229;188;173;159;178;191;192;195;219;232;238;251;274;259;208;170;198;162;110;117;173;194;224;313;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;;"1 555";;"1 140";;"1 648";"1 265";"1 300";"1 867";"1 737";"1 327";"1 257";"1 790";"1 815";"1 395";"1 432";"1 905";"2 138";"1 833";"1 930";"2 323";"2 292";"1 785";"1 622";"1 960";"1 740";"1 163";"1 398";"2 020";"2 285";"2 067";"2 373";"3 516";"4 445";"2 546";"4 683";"2 303";"1 811";"2 119";"2 308";"2 779";"2 309";"2 412";"3 215";"2 809";"2 181";"2 175";"10 380"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;293.0;-103.0;135.0;290.0;490.0;496.0;603.0;822.0;"1 933";640.8;-638.5;504.1;240.7;257.0;"-1 366";627.0;393.0;400.0;36.0;479.6;344.4;269.6;"1 130"
"EBITDA, млрд руб";;;;;;;;;;;;;;;589.0;;477.0;;583.0;350.0;490.9;320.7;444.0;249.0;302.0;328.0;450.0;343.6;364.4;308.9;630.0;572.0;505.0;892.3;631.4;497.0;370.0;361.3;493.0;94.0;333.0;546.0;701.0;703.0;810.0;"1 473";;;;614.0;614.0;512.0;537.0;730.0;730.0;682.0;966.0;844.0;702.3;635.0;"3 147"
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;224.0;;105.6;-397.0;382.0;294.0;-2.00;113.2;362.0;245.0;102.0;242.0;333.0;48.0;200.5;132.8;371.6;259.2;386.4;438.8;535.9;301.0;213.0;153.1;-116.0;149.0;-251.0;353.0;447.0;521.0;582.0;543.0;"1 487";"1 027";"-1 288";309.0;309.0;56.0;;564.0;207.0;61.0;629.0;239.0;188.0;210.0;"1 266"
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;314.8;-18.6;;-981.7;653.0;390.0;-53.0;229.0;660.4;322.8;134.2;"1 346"
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;445.0;590.0;169.6;488.7;670.7;643.0;842.5;296.9;"1 233";;878.4;"1 314";340.6;340.6;807.5;807.5;251.3;178.9;"1 140";925.8;945.6;484.4;560.4;"2 916"
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;;784.9;381.0;475.0;436.9;286.6;284.0;300.0;321.0;330.5;374.6;379.9;436.0;355.0;317.0;531.0;441.0;347.0;437.0;551.0;419.0;301.0;369.0;433.0;415.0;416.0;463.0;640.0;;;;658.0;658.0;642.5;768.0;620.3;674.6;656.6;920.5;811.1;730.2;715.2;"3 177"
"FCF, млрд руб";;;;;;;;;;;;;;;290.0;76.0;4.70;284.0;252.0;-52.0;29.4;160.0;237.0;-29.0;-101.0;95.0;112.0;11.0;-170.0;71.0;270.0;96.0;3.00;119.0;213.0;-55.0;-166.0;7.40;171.0;-131.4;119.7;237.7;228.0;426.5;-166.1;592.6;;;;;;;;-532.3;-543.4;453.4;-78.7;36.9;-310.5;-157.9;-510.3
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190.3;;;;393.0;;;;361.0;;;;297.0;;;;;;"1 208";0.000;;;;;;;;;;;;
