;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;10.04.2019;10.04.2019;10.04.2019;31.05.2018;31.05.2018;19.05.2018;10.04.2019;10.04.2019;26.04.2018;26.04.2018;29.04.2019;29.04.2020;29.04.2021;28.04.2022;23.05.2023;02.05.2024;30.04.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;32.3;33.3;33.8;43.5;44.0;47.2;48.6;48.3;48.0;47.1;64.5;67.9;72.4;76.0;
"Переработка нефти, млн т";;;;;;;;;;;;;;66.1;68.0;66.8;65.9;64.1;67.4;55.0;53.7;55.8;57.5;56.8;58.3;
"Добыча газа, млрд м3";;512.0;525.6;547.6;552.5;555.0;556.0;548.6;549.7;461.5;508.6;513.2;487.0;488.4;444.9;419.5;420.1;472.0;498.7;501.0;454.5;514.8;412.9;359.0;420.1;
"Экспорт газа, млрд м3";;;;;;;;;158.8;140.7;138.6;150.3;139.9;161.5;146.6;158.6;179.3;194.4;243.3;232.4;219.0;185.0;;;;
"Цена газа на экспорт, $/1000 м3";;;;;;;;;410;396;302;383;385;381;350;246;176;200;248;210;143;;;;;
"Выручка, млрд руб";;;;;;;;"1 775";"2 507";"2 991";"3 597";"4 637";"4 767";"5 250";"5 590";"6 073";"6 111";"6 546";"8 224";"7 659";"6 321";"10 241";"11 674";"8 542";"10 715";"10 380"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;725.6;870.6;"1 930";"1 120";615.0;"2 411";"1 935";-364.0;"1 456";"1 130"
"EBITDA, млрд руб";;;;;;;;;;;;"1 931";"1 646";"2 010";"1 963";"1 875";"1 322";"1 467";"2 599";"1 860";"1 466";"3 687";"3 638";"1 765";"3 108";"3 147"
"Чистая прибыль, млрд руб";;;;;;;;360.5;173.0;968.6;779.6;"1 307";"1 225";"1 139";159.0;787.1;951.6;714.3;"1 456";"1 203";135.0;"2 093";"1 226";726.0;"1 461";"1 266"
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;-629.0;"1 219";"1 346"
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;"1 571";"1 187";"1 617";"1 710";"1 919";"3 015";"2 193";"2 296";"2 496";"2 916"
"CAPEX, млрд руб";;;;;;;;202.0;264.6;"1 111";"1 043";"1 553";"1 545";"1 475";"1 423";"1 693";"1 369";"1 406";"1 639";"1 776";"1 522";"1 934";"2 192";"2 727";"2 872";"3 177"
"FCF, млрд руб";;;;;;;;;;;;84.0;124.0;345.0;654.0;390.0;202.0;-219.0;-22.1;-66.5;396.3;"1 081";1.10;-213.0;-701.0;-510.3
"Див.выплата, млрд руб";;;;;;;;63.0;8.52;56.6;91.1;212.4;141.8;170.4;170.5;186.8;190.3;190.3;393.0;361.0;297.0;0.000;"1 208";0.000;0.000;
"Дивиденд, руб/акцию";0,3;0,44;0,4;0,69;1,19;1,5;2,54;2,66;0,36;2,39;3,85;8,97;5,99;7,2;7,2;7,89;8,0397;8,04;16,61;15,24;12,55;0;51,03;0;0;
"Див доход, ао, %";3.4%;2.0%;0.5%;0.9%;1.6%;1.4%;0.8%;0.8%;0.3%;1.3%;2.0%;5.2%;4.2%;5.2%;5.4%;5.8%;5.2%;6.2%;10.8%;5.9%;5.9%;0.0%;31.4%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;17%;5%;6%;12%;16%;12%;15%;107%;24%;20%;27%;27%;30%;220%;0%;99%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;"2 441";"2 942";"3 422";"3 601";"3 944";"4 636";"5 245";"5 714";"6 181";"6 387";"5 666";"7 681";"9 307";"8 584";"9 052";"9 139"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;862.0;982.0;"1 378.0";"1 617.7"
"НИОКР, млрд руб";;;;;;;;;;;;;7.70;6.80;10.8;9.90;29.0;16.2;13.6;19.2;18.1;23.8;;;;
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;34.9;591.0;641.0;682.1;644.0;795.0;848.0;840.0;953.7;"1 097";"1 192";"1 283"
"Процентные расходы, млрд руб";;;;;;;;;;;33.4;29.0;26.8;27.9;122.0;168.0;183.5;161.5;173.0;171.0;173.0;195.6;253.1;396.8;715.4;457.3
