date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,4460,4523,4524,4460,9673753,
2025-02-11,4483,4455,4620,4413,44549972,
2025-02-12,4492,4520,4556,4441,30313206,
2025-02-13,4639,4572,4745,4507,87731665,
2025-02-14,4460,4639,4669,4407,58203439,
2025-02-17,4487,4455,4500,4438,38254971,
2025-02-18,4433,4487,4488,4427,17904779,
2025-02-19,4391,4425,4444,4380,18871243,
2025-02-20,4380,4409,4410,4380,17374926,
2025-02-21,4318,4385,4385,4317,28101043,
2025-02-24,4314,4340,4374,4305,19742998,
2025-02-25,4280,4295,4395,4280,30382164,
2025-02-26,4155,4310,4310,4153,29743495,
2025-02-27,4129,4155,4268,4096,32485416,
2025-02-28,4118,4129,4150,4086,23061452,
2025-03-03,4077,4118,4129,4050,18904494,
2025-03-04,4152,4100,4191,4091,17308965,
2025-03-05,4189,4156,4235,4133,18515927,
2025-03-06,4146,4189,4189,4118,11979118,
2025-03-07,4114,4167,4200,4086,13716008,
2025-03-10,4102,4153,4200,4043,16419301,
2025-03-11,4080,4112,4155,4080,9310776,
2025-03-12,4097,4080,4118,4069,9893969,
2025-03-13,4080,4097,4130,4054,9460705,
2025-03-14,4132,4090,4155,4081,10931495,
2025-03-17,4190,4140,4277,4140,15970790,
2025-03-18,4190,4225,4225,4187,9166215,
2025-03-19,4134,4193,4195,4083,19355065,
2025-03-20,4130,4152,4170,4124,9524290,
2025-03-21,4102,4135,4157,4098,10917572,
2025-03-24,4136,4103,4150,4103,7954942,
2025-03-25,4155,4136,4190,4132,10851065,
2025-03-26,4177,4183,4223,4174,9985637,
2025-03-27,4223,4175,4265,4125,25762858,
2025-03-28,4189,4231,4239,4160,15631358,
2025-03-31,4256,4180,4300,4154,41023401,
2025-04-01,4266,4256,4300,4250,15827269,
2025-04-02,4230,4241,4256,4201,11418163,
2025-04-03,4130,4250,4264,4083,27097761,
2025-04-04,4109,4180,4224,4101,31837706,
2025-04-07,3834,4006,4006,3720,77194368,
2025-04-08,3932,3840,4027,3840,24685415,
2025-04-09,3772,3932,3941,3705,24948650,
2025-04-10,3841,3883,3988,3841,6511232,
2025-04-11,3879,3866,3907,3866,5388237,
2025-04-14,3725,3882,3910,3725,18029102,
2025-04-15,3758,3738,3785,3725,8869809,
2025-04-16,3812,3758,3813,3758,5868784,
2025-04-17,3787,3812,3814,3753,9604520,
2025-04-18,3786,3757,3802,3757,8417863,
2025-04-21,3804,3790,3826,3790,6215875,
2025-04-22,3815,3806,3828,3796,5806337,
2025-04-23,3823,3815,3823,3766,4970439,
2025-04-24,3801,3827,3835,3798,7173688,
2025-04-25,3852,3823,3858,3811,5080429,
2025-04-28,3925,3869,3956,3861,9866044,
2025-04-29,3822,3924,3935,3812,22650029,
2025-04-30,3795,3822,3832,3750,8865688,
2025-05-02,3779,3790,3834,3740,4794405,
2025-05-05,3730,3778,3778,3729,7312858,
2025-05-06,3783,3763,3786,3732,6039435,
2025-05-07,3792,3783,3798,3731,2904238,
2025-05-08,3800,3805,3838,3788,2806468,
2025-05-12,3849,3831,3915,3831,4667165,
2025-05-13,3841,3850,3869,3836,4930420,
2025-05-14,3823,3840,3840,3810,3866210,
2025-05-15,3755,3827,3827,3740,8453331,
2025-05-16,3731,3755,3763,3646,12580332,
2025-05-19,3747,3760,3787,3740,5288191,
2025-05-20,3702,3736,3736,3680,5075613,
2025-05-21,3676,3702,3707,3670,4705647,
2025-05-22,3631,3676,3676,3604,8533822,
2025-05-23,3598,3630,3631,3591,8565547,
2025-05-26,3520,3559,3565,3505,10395827,
2025-05-27,3530,3522,3554,3505,8103226,
2025-05-28,3562,3546,3587,3546,5791404,
