;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q4;2023Q2;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;10.07.2018;01.07.2018;11.09.2020;11.09.2020;11.09.2020;01.07.2018;;11.09.2020;;02.04.2020;;;;01.07.2018;17.05.2018;23.08.2018;15.11.2018;14.02.2019;17.05.2019;22.08.2019;21.11.2019;13.02.2020;21.05.2020;20.08.2020;19.11.2020;11.02.2021;20.05.2021;19.08.2021;18.11.2021;17.02.2022;22.08.2022;27.02.2023;17.08.2023;16.02.2024;16.05.2025;15.08.2024;24.11.2025;16.02.2025;16.05.2025;29.08.2025;24.11.2025;24.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;17.1;19.1;19.8;21.0;18.5;20.3;21.0;23.2;21.0;22.4;22.8;24.3;21.9;23.6;25.2;31.9;26.7;29.0;30.0;34.5;30.2;30.4;31.7;36.5;33.3;40.0;39.5;45.4;88.9;95.4;102.8;123.9;58.8;65.0;64.8;70.7;65.4;71.5;73.9;281.4
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;4.65;6.31;5.67;2.07;7.12;7.67;3.13;1.45;7.85;9.67;9.78;21.6;5.17;10.1;9.00;6.25;3.96;13.5;22.5;46.2
"EBITDA, млрд руб";;;;;;2.98;3.46;3.45;2.74;0.725;2.00;2.70;4.94;3.73;4.31;3.65;3.64;2.68;4.28;6.05;7.42;4.03;4.06;7.57;4.96;4.99;5.34;10.5;5.77;4.56;6.50;8.46;9.76;12.4;17.8;15.9;33.4;9.14;13.0;13.6;10.5;8.29;11.5;20.0;50.3
"Чистая прибыль, млрд руб";;;;;;2.08;2.02;1.98;-0.065;-0.441;1.39;1.24;-0.273;1.93;3.17;0.543;0.151;2.95;5.76;3.40;-1.94;1.84;1.31;4.04;1.77;1.27;2.35;6.73;3.55;1.83;3.50;5.12;6.35;6.30;9.16;16.7;10.7;3.46;6.31;7.14;3.44;-0.149;1.56;8.85;13.7
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;1.65;;3.20;2.20;1.23;0.123;3.00;5.28;4.53;2.39;6.54;6.90;2.45;1.01;6.90;7.72;16.7;16.4;2.97;13.1;6.42;-2.54;-0.786;7.68;16.7;21.1
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;1.36;4.50;5.27;5.62;2.09;6.45;5.28;7.18;-0.370;27.1;8.96;26.4;;15.5;;16.0;1.69;6.04;15.0;38.7
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;;;;1.70;2.03;2.00;2.88;1.90;2.40;2.60;5.20;3.40;4.30;5.90;3.80;8.40;10.7;11.4;25.3;;15.2;;21.7;5.30;5.40;7.00;39.4
"FCF, млрд руб";;;;;;;;;;;2.41;;;;;;;;;;;;;;;-0.540;2.10;2.67;0.420;-1.31;2.15;-0.620;1.58;-8.60;19.1;-2.60;0.860;;-1.24;;-6.13;-3.40;-0.650;8.00;-2.18
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;0.900;;4.47;;2.14;;2.68;;2.14;;5.89;;3.50;;6.25;;;5.00;8.67;;6.00;;4.16;;;;4.16
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;20,48;;101,63;;48,79;;60,92;;48,79;;134;;85,27;;148,05;;;118,43;205,38;;142,11;;98,92;;;;98,92
