;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;10.07.2018;01.07.2018;01.07.2018;02.04.2020;01.07.2018;14.02.2019;13.02.2020;11.02.2021;17.02.2022;27.02.2023;16.02.2024;16.02.2025;24.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;52.7;68.7;77.0;82.4;90.5;102.6;120.1;128.8;160.2;184.3;226.7;259.3;281.4
"Операционная прибыль, млрд руб";;;;;1.66;7.53;5.06;9.73;15.6;10.2;18.7;19.4;17.5;40.4;30.6;46.2
"EBITDA, млрд руб";6.64;7.15;9.78;5.80;17.0;12.6;10.3;15.3;20.4;20.6;26.6;29.3;30.2;50.0;46.4;50.3
"Чистая прибыль, млрд руб";;;;2.05;15.1;6.01;1.92;5.07;10.2;8.96;13.9;16.8;15.5;27.4;20.4;13.7
"Чистая прибыль н/с, млрд руб";;;;;;;1.92;5.80;12.0;6.75;15.2;16.9;14.6;33.1;19.9;21.1
"Операционный денежный поток, млрд руб";;;;;11.4;4.99;9.37;13.0;14.2;16.1;16.8;21.0;26.7;35.4;31.5;38.7
"CAPEX, млрд руб";;;;6.72;6.70;11.0;10.6;15.7;9.18;8.60;12.2;18.2;19.1;36.7;36.9;39.4
"FCF, млрд руб";;;;;4.67;-6.01;-1.24;-2.67;5.00;7.46;4.57;3.60;10.5;-1.74;-7.37;-2.18
"Див.выплата, млрд руб";;;;3.40;1.50;1.000;0.600;3.30;5.37;4.82;8.03;3.60;6.25;13.7;10.2;4.16
"Дивиденд, руб/акцию";;;;77,35;34,44;22,75;13,65;75,07;122,11;109,71;182,79;85,27;148,05;323,81;241,03;98,92
"Див доход, ао, %";;;0.0%;13.4%;4.9%;2.2%;1.8%;6.7%;10.9%;6.3%;9.3%;2.9%;5.5%;7.9%;5.6%;2.8%
"Дивиденды/прибыль, %";;;;166%;10%;17%;31%;65%;53%;54%;58%;21%;40%;50%;50%;30%
"Опер. расходы, млрд руб";;;;;9.47;11.6;12.8;13.6;16.3;17.6;16.5;21.0;24.6;32.9;38.6;39.4
"Себестоимость, млрд руб";;;;41.3;45.7;56.7;64.2;66.8;74.8;90.9;97.4;120.2;139.4;160.7;190.4;204.3
"Амортизация, млрд руб";;;;3.0;3.5;3.8;4.7;5.2;6.1;7.8;8.2;8.7;11.4;14.2;15.8;16.6
"Расх на персонал, млрд руб";;;;;;;12.5;13.5;14.7;18.1;19.5;22.0;34.3;47.1;57.4;60.0
"Процентные расходы, млрд руб";;;;;3.05;3.53;4.90;3.44;4.16;4.24;4.34;3.33;5.11;6.67;12.7;22.8
"Активы, млрд руб";;;;;87.4;107.7;106.3;118.6;148.2;144.5;166.3;194.8;258.8;283.7;327.5;
"Чистые активы, млрд руб";;;;30.3;50.5;53.1;53.0;51.7;59.8;60.4;71.4;79.6;91.6;119.7;125.2;
"Долг, млрд руб";;;;26.8;30.4;41.2;38.6;50.0;68.8;65.2;69.0;84.0;123.4;110.7;143.2;
"Наличность, млрд руб";;;;2.04;1.01;5.56;1.00;0.705;9.61;3.30;6.70;11.5;32.7;15.3;10.4;
"Чистый долг, млрд руб";0.00;0.00;0.00;24.7;29.4;35.6;37.6;49.3;59.2;61.9;62.3;72.5;90.7;95.4;132.8;0
"Цена акции ао, руб";;;541.0;578.0;700.0;"1 040";771.0;"1 117";"1 118";"1 736";"1 973";"2 944";"2 711";"4 097";"4 267";"3 509"
"Число акций ао, млн";44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;44.0;41.0;41.0;42.2;42.2;42.2;42.2;42.2
"Free Float, %";;;;;;;;2.37%;;2.80%;2.50%;2.50%;2.50%;2.50%;;
"Капитализация, млрд руб";0.00;0.00;23.8;25.4;30.8;45.7;33.9;49.1;49.2;71.3;81.0;124.3;114.4;173.0;180.2;148.2
"EV, млрд руб";0.00;0.00;23.8;50.2;60.2;81.4;71.5;98.4;108.4;133.2;143.3;196.8;205.1;268.4;313.0;148.2
"Баланс стоимость, млрд руб";0.00;0.00;0.00;30.3;48.5;51.0;50.5;48.4;56.4;56.4;67.2;75.2;85.1;111.8;116.5;0
"EPS, руб";0.00;0.00;0.00;46.6;343.7;136.7;43.6;115.2;231.3;218.2;338.6;397.9;366.2;648.5;482.0;324.6
"FCF/акцию, руб";0.00;0.00;0.00;0.00;106.2;-136.7;-28.3;-60.8;113.7;181.7;111.3;85.3;248.0;-41.2;-174.6;-51.6
