date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,120.82,122.3,127,119,12156451031,
2025-02-11,121.12,120.6,122.1,119.62,4387828250,
2025-02-12,127.26,121.2,128,119.24,7566471352,
2025-02-13,128.1,127.34,129.94,123.5,6227606800,
2025-02-14,131.5,129,133.98,125,9308547468,
2025-02-17,138.2,134,139,132.64,7815950066,
2025-02-18,134.6,138.6,138.8,133.2,4950882518,
2025-02-19,138.52,134.8,139,132.68,3906132617,
2025-02-20,137.74,139.06,139.68,136,3537316088,
2025-02-21,137.18,138,140.3,135.14,3839638001,
2025-02-24,146.94,137.58,147.26,135.72,8098016102,
2025-02-25,143.04,147.2,150.14,141.3,16278423783,
2025-02-26,138.02,145.02,145.14,136.54,6046454911,
2025-02-27,134.34,138.34,139.26,134.2,5271329180,
2025-02-28,140.32,134.36,141,133.52,6471251271,
2025-03-01,139.92,140.5,140.76,139.58,74046397,
2025-03-02,139.04,140.06,140.32,138.5,154835625,
2025-03-03,135.92,139.04,139.42,133.04,6184787973,
2025-03-04,140.92,136.08,142.26,136.08,6674765221,
2025-03-05,136.98,141.16,142,136.62,4842072979,
2025-03-06,136.46,137,138.64,134.14,3008744917,
2025-03-07,135.7,136.46,139.2,133.02,3802133030,
2025-03-10,137.14,136.4,137.5,134.42,3706947013,
2025-03-11,135.72,137.38,138.88,135.06,3310312376,
2025-03-12,134,135.82,136.42,133.8,2018381594,
2025-03-13,131.9,133.8,135.5,128.16,6791195728,
2025-03-14,130.54,132,132.46,129,3692887552,
2025-03-15,131.2,130.92,131.8,130.86,90680829,
2025-03-16,131.96,131.2,132.28,130.68,286502057,
2025-03-17,134.06,132,134.68,131.58,3920828911,
2025-03-18,132.08,134.46,136.4,131.5,5687842091,
2025-03-19,132.04,132.1,133.16,130.22,2345967073,
2025-03-20,131.16,132.04,133.04,129.46,3160853414,
2025-03-21,129.8,131,132.34,128.58,2472060045,
2025-03-24,125.88,129.78,129.78,125.32,2506547684,
2025-03-25,129.58,126,130,123.22,3660692527,
2025-03-26,125.8,129.7,130.52,124.5,2825579987,
2025-03-27,122.98,126,126.3,122.5,2972214645,
2025-03-28,121.56,123,124.1,120.5,3402504444,
2025-03-29,119.42,120.7,121.28,119.42,372521953,
2025-03-30,119.42,119.42,119.98,119.42,140805386,
2025-03-31,123.3,119,124.5,118.42,2850389423,
2025-04-01,120.8,123.3,125.3,120.12,3269173473,
2025-04-02,120.1,120.54,121.98,117.52,3816270398,
2025-04-03,116.42,120.2,121.8,114.02,4088318502,
2025-04-04,110.9,118,118,110.5,4867773641,
2025-04-05,110.7,108.8,111,108.68,496832913,
2025-04-06,111.94,110.26,112.6,109.82,571706134,
2025-04-07,111.32,109.7,113.66,102.68,6512383383,
2025-04-08,106.8,112,113.98,105.66,3272168130,
2025-04-09,116.08,106.6,117.3,105.52,7533645518,
2025-04-10,114.4,115.98,116.84,112.72,3806120849,
2025-04-11,117.1,114.14,117.5,113.98,2625514501,
2025-04-12,118.38,117.22,118.98,117.22,309623716,
2025-04-13,118.56,118.38,118.96,118.06,202978244,
2025-04-14,114.5,118.7,118.7,113.18,2103278108,
2025-04-15,112.2,114.6,115.7,111.48,2322683845,
2025-04-16,113.04,112,114.58,110.2,2811818965,
2025-04-17,115.56,113.5,116.02,112.3,2494118607,
2025-04-18,111.62,113.3,114.44,110.8,3154988569,
2025-04-21,113.92,112.9,114.96,112.24,1718291158,
2025-04-22,116.7,114.5,118.3,112.64,3405193924,
2025-04-23,114.44,117.36,117.48,112.66,2727731764,
2025-04-24,113.84,114.2,116.28,113.16,1757010937,
2025-04-25,117.7,114.18,117.76,114.06,2344463231,
2025-04-26,118.42,118,120.36,117.84,687422756,
2025-04-27,119.48,118.78,119.5,118.7,137510578,
2025-04-28,117.3,119.48,120,116.5,2386123405,
2025-04-29,113.62,117.5,117.54,112.7,1756822206,
2025-04-30,114.38,113.04,115.2,111.34,2924219865,
2025-05-02,109,114,114.1,108.56,1612655873,
2025-05-03,109.26,109,109.76,108.36,151756511,
2025-05-04,109.4,109.26,110.04,109,128790122,
2025-05-05,107.26,109.24,109.82,106.5,1756449074,
2025-05-06,107.7,107.76,109.58,106.56,1446492263,
2025-05-07,108.86,107.9,109.8,107.26,1317200812,
2025-05-08,111.6,108.98,111.88,108.86,1225625217,
2025-05-10,111.8,111.94,112.16,111.2,184660411,
2025-05-11,112.88,113,114.5,112.5,372752958,
2025-05-12,114.48,113.2,114.64,112.74,1536815479,
2025-05-13,112.98,114.56,114.98,112.72,1505300641,
2025-05-14,110.6,112.82,114.72,110.58,1538479415,
2025-05-15,110.52,111.12,111.8,108.98,1487462445,
2025-05-16,110.6,110.52,111.2,107.74,1346267322,
2025-05-17,112.3,110.6,112.6,110.22,193726317,
2025-05-18,112.7,112.7,113,112.1,216592000,
2025-05-19,109.92,112.5,112.84,109.6,1367554412,
2025-05-20,107.82,110.38,110.6,107.04,1186340610,
2025-05-21,105.56,107.98,108.1,105.02,1640325845,
2025-05-22,105.02,105.56,106.3,103.54,2062654453,
2025-05-23,103.68,105.02,105.34,103.1,926715656,
2025-05-26,100.04,103.66,103.66,99,1813100873,
2025-05-27,101.34,100.04,101.9,98.5,1594414491,
2025-05-28,107.2,101.64,107.58,101.34,2465964670,
2025-05-29,104.84,107.26,107.4,104.5,1390968484,
2025-05-30,106.42,104.5,106.96,104.1,1494316295,
2025-05-31,107.08,106.44,108.18,106.4,148362682,
2025-06-01,103.24,106.78,106.78,103.24,441883623,
2025-06-02,105.68,103.3,106.46,103.02,1364478467,
2025-06-03,110.4,105.68,110.42,105.68,1924779748,
2025-06-04,111.38,110.4,113.36,109.58,3257620198,
2025-06-05,109.82,111.38,112.4,109.02,1581888017,
2025-06-06,108.2,109.5,112.86,108.2,2761313962,
2025-06-07,108.48,108.2,108.72,108.2,57764386,
2025-06-08,107.68,108.48,108.68,107.1,112121610,
2025-06-09,110.7,107.8,111.2,106.6,3526178854,
2025-06-10,106.24,111,111.92,105.62,4037662518,
2025-06-11,106.8,106.38,108.46,104.56,2474896869,
2025-06-13,105.5,107.04,108.14,104.82,820702851,
2025-06-14,106.16,105.52,106.3,105.5,131376533,
2025-06-15,106.18,106.32,106.66,105.42,109912811,
2025-06-16,104.42,106.18,106.22,104.1,1169979580,
2025-06-17,107.52,104.6,107.98,103.66,1743323175,
2025-06-18,107.28,107.52,108.6,106.26,1339032629,
2025-06-19,106.72,107.38,108.36,105,1689758302,
2025-06-20,104.5,106.98,107.2,104.48,958502039,
2025-06-23,103.9,104.7,105.3,102.7,1487063396,
2025-06-24,104.98,103.96,105.26,103.22,1344154394,
2025-06-25,107.18,105.2,107.5,105.02,1593243795,
2025-06-26,110.4,107.62,110.68,107.3,3271803708,
2025-06-27,111.58,110.5,111.58,109.56,3309412614,
2025-06-28,111.4,111.78,111.96,111.2,107183627,
2025-06-29,111.06,111.28,111.6,111.06,116842385,
2025-06-30,111.22,111.28,112.62,109.78,3191561771,
2025-07-01,110.48,111.42,112.82,110,3192825500,
2025-07-02,112.02,110.7,112.46,110.2,2469284811,
2025-07-03,109.4,112,112.7,108.82,3460767330,
2025-07-04,109.48,109.38,110.5,108.08,1893250519,
2025-07-05,109.38,109.68,109.7,109.22,22813853,
2025-07-06,109.02,109.38,109.38,108.74,35966130,
2025-07-07,106.4,109.02,109.1,106.36,1464919858,
2025-07-08,103.72,106.38,107.7,103.1,2787959596,
2025-07-09,104.16,103.72,104.7,102.2,2820790901,
2025-07-10,104.42,104.22,105.42,103.12,1367946268,
2025-07-11,101.5,104.6,104.88,101.08,1754374099,
2025-07-12,102,101.96,102.44,101.5,90488918,
2025-07-13,101.74,101.98,102.18,100.86,141487434,
2025-07-14,109.26,101.58,109.52,100.62,5445693456,
2025-07-15,110.1,109.52,110.9,108.76,3258613956,
2025-07-16,110.04,110.1,112.3,109.04,3550576088,
2025-07-17,108.68,110.36,111.18,108.46,1970422336,
2025-07-18,115.36,108.68,115.44,108.1,5676370666,
2025-07-19,117.3,115.36,118.84,114.8,1026723080,
2025-07-20,117.4,118.18,118.46,117.02,304457044,
2025-07-21,116.54,117,118.14,114.74,3633662052,
2025-07-22,119.5,116.46,120.1,115.46,3412574092,
2025-07-23,118.24,119.52,120.76,117.42,2840501162,
2025-07-24,118.26,118.18,119.38,117.48,2041996166,
2025-07-25,114.68,118.46,118.9,113.2,3525575449,
2025-07-26,114.46,114.68,114.9,114.06,78443317,
2025-07-27,114.3,114.44,114.6,114,52244141,
2025-07-28,117,114.08,117.68,113.42,5236402856,
2025-07-29,122.9,117.06,123.32,116.14,9139573531,
2025-07-30,119.46,122.9,123.2,119.16,4114335411,
2025-07-31,120.86,119.76,121.6,117.82,3474373283,
2025-08-01,120.12,121.38,121.9,118.7,1744458728,
2025-08-04,120.68,119.54,121.96,118.42,1713143673,
2025-08-05,122.16,121.04,122.36,120.12,1436156640,
2025-08-06,123.7,122.4,126.48,119.7,4632636827,
2025-08-07,125.5,123.7,127.8,122.92,4686258494,
2025-08-08,128.3,126,128.8,124.1,2587567342,
2025-08-11,128.1,130,130.96,126.9,3967015859,
2025-08-12,128.2,128.2,128.68,126.54,1542891777,
2025-08-13,128.2,128.32,129.5,127.58,1711504361,
2025-08-14,131.46,127.72,131.64,127.08,3309581778,
2025-08-15,130.58,131.64,132.64,130.1,3484975858,
2025-08-16,126.98,128.84,128.84,126.6,791809641,
2025-08-17,126.6,127.02,127.18,126.6,200057750,
2025-08-18,129.88,126.38,131.4,125.44,2717675465,
2025-08-19,128.34,130.02,131,127.8,2279526503,
2025-08-20,125.72,128.34,129.08,125.3,1629495937,
2025-08-21,121.8,125.72,126.12,121.5,2714039537,
2025-08-22,122.94,121.96,124.52,120.98,1899505622,
2025-08-23,123.1,123.02,123.3,122.92,37607846,
2025-08-24,122.12,123.1,123.38,121.94,77067567,
2025-08-25,123.42,121.88,123.66,120,1514307093,
2025-08-26,122.96,123.5,125.16,121.86,1263315408,
2025-08-27,127.1,123,127.54,122.16,2151839480,
2025-08-28,124.32,127.16,127.16,123.84,1974260823,
2025-08-29,125.44,124.52,125.78,124,1092084607,
2025-08-30,125.18,125.44,125.68,125.04,50577865,
2025-08-31,125.48,125.2,125.9,125.18,71242286,
2025-09-01,123.2,125.54,126.58,122.7,928650596,
2025-09-02,123.36,123.18,123.86,121.22,1394166076,
2025-09-03,124.88,123.3,125.3,122.08,1213258144,
2025-09-04,124.7,124.96,125.7,123.34,1400805651,
2025-09-05,126,124.8,126.24,123.5,1317701149,
2025-09-06,126.14,126,126.32,125.7,40518649,
2025-09-07,126.6,126,127,126,108792896,
2025-09-08,129.18,126.5,129.28,125.66,1730871451,
2025-09-09,130.2,129.28,130.5,128.64,2429943706,
2025-09-10,129.66,130.1,131.76,128.5,2796777887,
2025-09-11,129.44,129.66,130.32,127.5,2490626812,
2025-09-12,124.04,129.7,130.02,124,4532924090,
2025-09-13,123.42,124.2,124.5,123.32,146383063,
2025-09-14,124.6,123.44,124.62,123,128159506,
2025-09-15,123.56,124.4,125.04,122.44,1855788779,
2025-09-16,124.12,123.7,125.12,121.38,2152687607,
2025-09-17,126.3,124.46,126.36,122.5,1456734299,
2025-09-18,122.88,126.4,126.7,122.7,2568525248,
2025-09-19,119.28,122.88,124.48,119.06,2805523384,
2025-09-22,121.8,119.4,122.32,117.42,2696036714,
2025-09-23,119.34,121.7,123.9,118.08,2772903288,
2025-09-24,123.7,119.4,123.7,117.66,2460560307,
2025-09-25,120.56,123.82,123.86,120.1,1824494304,
2025-09-26,122.78,120.6,123.68,119.84,2067303653,
2025-09-27,123.56,122.78,123.8,122.6,110035253,
2025-09-28,122.9,123.54,123.72,122.88,60633033,
2025-09-29,125.96,123,127.2,122.66,5788604985,
2025-09-30,123.88,125.96,125.98,122.42,2829172098,
2025-10-01,121.1,123.98,124.58,120.46,1867917328,
2025-10-02,121.4,121.22,122.12,120.2,1843385401,
2025-10-03,120.08,121.5,122.7,119.5,1480929666,
2025-10-04,118.66,120,120.64,118.02,317257380,
2025-10-05,120.14,118.68,120.2,118.3,141881620,
2025-10-06,124.02,120.4,124.66,119.32,2353653343,
2025-10-07,125.96,124,126,123.04,3339297901,
2025-10-08,121.86,125.94,126.76,121,4501845897,
2025-10-09,128.68,122.46,130.5,120,9830382228,
2025-10-10,125.64,129,129.78,125.5,5332729998,
2025-10-11,126.24,125.48,126.24,124.96,158114110,
2025-10-12,126.6,126.2,126.9,125.52,146528096,
2025-10-13,129.04,126.84,129.8,126.72,5500297172,
2025-10-14,126.56,129.04,129.34,125.78,3885610787,
2025-10-15,125.22,126.7,127.9,125,2728579864,
2025-10-16,134.34,126.08,135,124.58,6741115067,
2025-10-17,131.52,134.3,134.32,130.8,4344656551,
2025-10-18,133.24,132.34,133.68,131.94,347720785,
2025-10-19,132.88,133.28,133.62,132.3,191090658,
2025-10-20,133.54,133.2,133.9,131.8,1818391454,
2025-10-21,128,133.68,133.68,126.52,4660274557,
2025-10-22,127.3,128.1,130.86,125.7,2819902742,
2025-10-23,127.36,126,128.38,125.5,2352949806,
2025-10-24,126.18,127.42,128.36,125,1974185708,
2025-10-27,118.5,125.8,126,118.22,3502753316,
2025-10-28,122.6,118.42,123.3,117.9,3061077229,
2025-10-29,125.3,122.58,125.9,122.18,2849609052,
2025-10-30,126.7,125.3,126.72,124.42,2050346580,
2025-10-31,123.94,126.36,126.7,123.52,1453953466,
2025-11-01,125.12,123.92,125.5,123.88,419439946,
2025-11-03,127,125.34,127.38,125.18,539481382,
2025-11-05,125.02,126.94,126.94,124.36,1341359669,
2025-11-06,124.74,124.72,125.44,123.82,688455299,
2025-11-07,126.52,124.3,127.5,123.66,1181211514,
2025-11-08,126.34,126.52,126.7,126.2,55837959,
2025-11-09,126.98,126.34,126.98,126.2,62925930,
2025-11-10,126.56,127,127.72,125.82,1167256833,
2025-11-11,126.82,126.56,128.1,126,1634809131,
2025-11-12,124.7,126.96,127.28,123.92,1941978725,
2025-11-13,125.38,124.7,126.3,124.04,1322406558,
2025-11-14,123.9,125.38,125.74,122.66,900083849,
2025-11-15,123.84,123.9,124.1,123.74,30585483,
2025-11-16,123.48,123.9,124.08,123.38,52476560,
2025-11-17,123.02,123.1,124.38,122.24,991127987,
2025-11-18,127,123.3,127.7,122.38,2770974530,
2025-11-19,129.8,127.4,131.94,126.42,3595435639,
2025-11-20,133.38,129.82,134.5,128.72,2594154751,
2025-11-21,132.62,133.32,133.86,130.22,2551245022,
2025-11-24,129.8,132.62,134.36,128.74,2728179181,
2025-11-25,132.34,129.7,133.34,128.8,2340158673,
2025-11-26,131.36,132.64,132.64,130.88,673298415,
2025-11-27,127.86,131.5,132.12,126.9,2160904818,
2025-11-28,130.96,128.08,131.4,127.54,1398158231,
2025-11-29,130.76,130.86,131.18,130.36,58963712,
2025-11-30,131.48,130.62,131.54,130.46,128303176,
2025-12-01,131.1,131.7,132.24,130.02,1389396496,
2025-12-02,130.96,131.26,131.78,130.42,1347099976,
2025-12-03,129.96,129.6,130.14,128.1,2033881342,
2025-12-04,128.94,130,130.66,128.9,1025894640,
2025-12-05,134.02,128.9,134.5,128.9,3194078534,
2025-12-08,133.02,134,135.52,133,2583668168,
2025-12-09,137.8,133.1,138.88,132.74,4272025999,
2025-12-10,136.9,137.98,138.12,135.56,2261560547,
2025-12-11,136.36,136.9,139.44,135.84,3161966328,
2025-12-12,136.78,136.4,138.5,135.6,2504075755,
2025-12-13,136.82,136.8,137.36,136.38,157252925,
2025-12-14,136.12,136.82,136.98,136.02,119622126,
2025-12-15,139,137.08,139.46,136.16,2376101869,
2025-12-16,140.48,139.2,141.24,138.44,2458924136,
2025-12-17,140.44,140.5,141.48,139.2,2108369119,
2025-12-18,142.68,140.48,143.44,140.02,4110013046,
2025-12-19,142.2,142.78,144.58,141,3524322848,
2025-12-20,142.28,142.2,142.54,142.06,67455727,
2025-12-21,141.98,142.3,142.64,141.88,71466847,
2025-12-22,143.42,142.02,144.2,141.94,4245322520,
2025-12-23,148.08,143.58,148.12,143.48,5129330194,
2025-12-24,145.72,148.34,148.6,144.6,5162419114,
2025-12-25,147.16,145.62,147.54,144.64,2384455479,
2025-12-26,152,147.4,152,147.3,4677088592,
2025-12-27,152.56,152.26,152.76,151.94,532692497,
2025-12-28,152.72,152.7,152.98,151.3,503831733,
2025-12-29,148.7,152.68,153.1,148.08,5324781086,
2025-12-30,149.46,148.7,149.92,148.32,2519717043,
2026-01-05,150.62,149.08,150.84,147.4,1599063502,
2026-01-06,152.64,150.7,153,150.68,1500341554,
2026-01-08,149.46,151.44,151.44,149,1516781691,
2026-01-09,149.9,149.46,150.72,149.38,948880769,
2026-01-12,156.52,150.28,156.78,150,7507974330,
2026-01-13,156.5,156.22,158.52,154.28,5871997831,
2026-01-14,157.06,159,159,155.86,3755448467,
2026-01-15,156.4,156,157.16,155.08,2390018946,
