;2009Q4;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q2;2024Q3;2024Q4;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";20.06.2018;20.06.2018;;;;20.06.2018;;;;20.06.2018;;;;27.06.2018;;;;27.06.2018;;;;27.06.2018;;28.05.2019;;30.05.2018;;09.09.2018;;24.05.2018;;13.08.2018;;26.02.2019;;20.08.2019;;26.02.2020;;11.08.2020;;16.02.2021;;05.08.2021;;10.02.2022;;02.08.2022;;10.02.2023;;02.08.2023;;09.02.2024;23.08.2024;;10.02.2025;04.08.2025;;;04.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча никеля, тыс т";;;56.8;53.5;62.7;64.2;75.8;69.6;77.4;77.5;71.6;67.8;72.4;73.5;67.8;60.9;71.1;74.4;67.4;63.9;62.5;72.7;63.6;57.9;55.8;58.4;53.5;49.4;54.2;60.0;54.1;49.5;53.3;62.0;55.9;53.8;57.3;61.7;51.8;55.8;60.2;67.9;46.6;32.6;50.6;63.1;51.5;48.5;59.3;59.7;46.7;44.7;54.4;62.8;48.3;55.8;58.8;45.2;53.6;58.1;156.9
"Добыча меди, тыс т";;;89.9;86.5;91.8;95.3;88.5;89.8;95.5;90.0;91.0;94.6;92.4;93.0;90.4;93.7;89.2;94.7;89.5;92.6;91.9;95.4;87.3;90.2;86.6;96.2;94.2;100.8;96.0;110.2;112.3;117.3;120.3;123.8;126.8;124.5;120.7;127.2;115.0;124.9;118.7;128.6;91.3;81.4;115.6;118.5;91.4;112.5;113.2;115.8;108.6;94.9;100.5;121.4;108.8;107.5;106.9;103.8;100.1;112.0;315.9
"Добыча платины, тыс тр унц";;;164;183;166;158;165;186;175;156;140;190;174;147;149;177;184;148;164;175;173;144;171;162;157;154;130;190;173;177;138;197;178;140;204;185;164;149;150;173;190;182;184;134;145;178;163;158;171;159;180;187;160;137;178;165;146;155;149;183;487
"Добыча палладия, тыс тр унц";;;652;711;659;682;645;729;702;655;587;758;703;614;610;730;769;640;633;726;712;618;643;688;650;633;549;781;693;753;583;813;702;632;770;764;720;669;548;722;783;773;766;548;598;704;706;709;712;663;721;761;663;547;735;676;536;658;617;709;"1 984"
"Выручка, млрд руб";;;;;;;;;;;;;;;;;;;;278.2;;;;266.9;;281.7;;247.7;;289.1;;345.3;;383.7;;411.2;;466.6;;462.0;;655.0;;665.0;;651.8;;665.6;;518.9;;524.8;;647.2;477.9;;688.3;561.1;;;"1 249"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.7;;369.8;;396.8;;307.1;;344.2;;201.9;;214.2;;260.3;132.5;;199.6;141.9;;;341.5
"EBITDA, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;123.0;;134.3;;102.8;;133.6;;182.6;;206.5;;243.2;;270.5;;123.8;;428.6;;424.0;;351.9;;380.6;;239.4;;260.0;;329.6;214.1;;267.7;230.6;;;498.3
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;105.5;;;;89.3;;60.0;;55.4;;72.4;;98.0;;91.5;;188.6;;187.0;;-4.24;;249.6;;299.0;;179.6;;378.4;;23.4;;82.2;;128.5;61.3;;61.1;61.5;;;122.6
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188.6;;187.0;;-4.24;;249.6;;299.0;;179.6;;;;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220.8;;382.7;;174.0;;344.7;;209.0;;114.3;;218.4;;277.0;141.1;;273.0;218.0;;;491.0
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;;32.3;;;;48.4;;60.9;;39.5;;73.7;;29.9;;64.7;;31.3;;50.0;;38.4;;90.3;;73.4;;129.5;;135.9;;151.9;;111.7;;141.8;91.1;;148.7;96.0;;;244.7
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;29.5;;;;154.0;;155.0;;144.8;;172.4;;184.8;;297.8;;103.6;;221.4;;81.1;;-34.3;;108.1;;56.8;-11.7;;35.1;38.9;;;74.0
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;35.5;;96.2;;122.8;;125.4;;139.9;95.6;88.2;;;98.6;161.6;;;240.7;178.3;;;;;;;139.9;;;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;;;;444,25;;;;224,2;;607,98;;776,02;;792,52;;883,93;604,09;557,2;;;623,35;1021,22;;;1523,17;1166,22;;;;;;;9,1533;;;;;;;;
"Див доход, ао, %";0.0%;0.0%;;;;0.0%;;;;0.0%;;;;0.0%;;;;0.0%;;;;0.0%;0.0%;5.2%;0.0%;0.0%;0.0%;2.8%;0.0%;5.6%;0.0%;6.8%;0.0%;6.1%;0.0%;6.2%;3.6%;2.9%;0.0%;0.0%;3.3%;4.3%;0.0%;0.0%;7.0%;5.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;5.7%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;;;;;;;0%;;;;0%;;0%;;64%;;133%;;125%;;137%;;74%;;47%;;0%;;65%;;0%;;99%;;0%;;0%;;0%;;0%;0%;;0%;0%;;;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199.3;;91.4;;59.4;;125.5;;87.9;;68.2;;67.3;;72.0;61.5;;73.5;62.4;;;135.9
"Себестоимость, млрд руб";;;;;;;;;;;;;;;;;;;;119.5;;;;132.5;;97.2;;128.1;;140.1;;150.3;;172.4;;165.6;;169.0;;172.4;;192.4;;208.9;;219.2;;262.7;;219.8;;272.9;;329.4;273.3;;367.8;310.8;;;678.6
