;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";20.06.2018;20.06.2018;20.06.2018;20.06.2018;27.06.2018;27.06.2018;27.06.2018;30.05.2018;24.05.2018;26.02.2019;26.02.2020;16.02.2021;10.02.2022;10.02.2023;09.02.2024;10.02.2025;;04.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча никеля, тыс т";;295.0;300.0;285.0;266.0;274.0;266.4;235.7;217.1;218.8;228.7;235.7;193.0;219.0;208.6;205.0;198.5;156.9
"Добыча меди, тыс т";;378.0;364.0;371.0;369.0;368.0;369.4;360.2;401.1;473.7;499.1;487.2;406.8;433.0;425.4;433.0;425.3;315.9
"Добыча платины, тыс тр унц";;695;683;651;656;662;656;644;670;653;702;695;641;651;664;667;667;487
"Добыча палладия, тыс тр унц";;"2 806";"2 731";"2 661";"2 689";"2 752";"2 689";"2 618";"2 780";"2 729";"2 922";"2 826";"2 616";"2 790";"2 692";"2 762";"2 725";"1 984"
"Выручка, млрд руб";271.0;388.0;415.1;384.5;366.2;456.0;506.1;548.8;536.8;728.9;877.8;"1 117";"1 317";"1 185";"1 172";"1 166";;"1 249"
"Операционная прибыль, млрд руб";;;182.5;120.4;78.0;182.3;196.0;216.5;185.6;337.9;456.2;461.5;703.9;546.1;474.5;332.1;;341.5
"EBITDA, млрд руб";133.2;216.9;212.8;153.3;133.7;218.2;247.3;257.3;236.4;389.2;513.7;552.4;775.9;620.0;589.6;481.8;;498.3
"Чистая прибыль, млрд руб";84.1;93.8;52.0;66.6;24.4;112.4;146.2;167.8;127.8;189.5;375.6;245.4;478.9;401.8;210.7;122.4;;122.6
"Чистая прибыль н/с, млрд руб";;;105.2;68.2;23.8;93.5;105.1;167.8;127.8;189.5;375.6;245.4;478.9;401.8;210.7;;;
"Операционный денежный поток, млрд руб";;;138.3;106.8;141.6;231.3;219.1;235.1;102.9;406.3;389.1;603.4;518.7;323.3;495.4;414.1;;491.0
"CAPEX, млрд руб";34.6;53.2;65.6;84.4;63.4;43.9;124.0;109.2;116.7;99.2;85.3;128.7;202.9;287.8;253.5;239.8;;244.7
"FCF, млрд руб";93.0;123.6;83.1;16.2;83.0;181.5;175.0;106.7;-10.1;309.1;317.2;482.6;325.1;46.9;164.9;23.4;;74.0
"Див.выплата, млрд руб";40.0;34.3;37.4;63.4;77.2;226.7;135.6;140.9;131.7;248.2;323.7;260.2;419.0;;139.9;;;
"Дивиденд, руб/акцию";210;180;196;400,83;469,18;1432,38;857,16;890,35;832,18;1568,54;2045,22;1644,57;2689,39;;9,1533;;;
"Див доход, ао, %";5.0%;2.5%;4.0%;7.1%;8.7%;17.5%;9.4%;8.8%;7.7%;12.0%;10.7%;6.9%;11.8%;0.0%;5.7%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";48%;37%;72%;95%;317%;202%;93%;84%;103%;131%;86%;106%;87%;0%;66%;0%;;0
"Опер. расходы, млрд руб";;;62.2;63.7;80.9;55.7;80.4;54.2;83.0;68.4;86.9;290.7;184.9;156.0;139.3;135.0;;135.9
"Себестоимость, млрд руб";;;170.2;191.0;207.2;218.0;229.7;277.8;268.2;322.7;334.7;364.8;427.6;482.5;602.3;641.1;;678.6
