;2013Q4;2014Q4;2015Q4;2016Q4;2017Q4;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;13.03.2020;13.03.2020;13.03.2020;01.06.2020;27.08.2020;20.11.2020;13.03.2020;01.06.2020;27.08.2020;20.11.2020;18.03.2021;27.05.2021;16.08.2021;15.11.2021;04.03.2022;17.05.2022;15.08.2022;15.11.2022;07.03.2023;19.05.2023;16.08.2023;15.11.2023;06.03.2024;16.05.2024;16.08.2024;15.11.2024;05.03.2025;16.05.2025;15.08.2025;14.11.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Платящие клиенты, тыс шт";;;;;;;;;;;;;;;;;;;;;;;;;341.5;;319.1;;344.6;;281.7;284.4;289.5;289.5
"Выручка, млрд руб";;;;;;;1.68;1.90;2.14;2.07;1.99;1.53;2.31;2.45;2.84;3.91;4.69;4.53;4.45;3.96;4.74;4.94;5.55;7.04;8.37;8.49;8.63;9.82;10.7;10.4;9.64;10.2;11.0;41.2
"Операционная прибыль, млрд руб";;;;;;;;;;;0.667;0.400;0.938;0.835;1.03;1.78;2.43;1.70;1.67;1.05;2.11;2.09;2.60;3.66;5.66;3.90;4.65;4.49;6.34;4.82;3.95;4.37;5.77;18.9
"EBITDA, млрд руб";;;;;;;0.774;0.990;1.15;1.02;1.05;0.660;1.30;1.09;1.34;2.26;2.83;2.21;2.33;1.68;2.60;2.59;3.05;4.13;5.23;4.98;5.03;5.72;6.94;5.54;4.93;5.33;6.57;22.4
"Чистая прибыль, млрд руб";;;;;;;0.373;0.591;0.730;0.715;0.613;0.239;0.860;0.968;0.820;1.52;2.00;1.79;1.43;0.960;1.78;1.84;2.17;3.01;3.94;3.37;5.02;5.52;7.26;6.64;4.37;4.91;6.13;22.0
"Чистая прибыль н/с, млрд руб";;;;;;;0.239;0.275;0.570;0.497;0.363;0.220;0.550;0.753;0.899;1.28;1.77;1.53;0.552;-0.330;1.41;2.06;2.19;3.04;4.15;3.03;4.89;2.28;9.71;7.00;2.89;3.53;4.90;18.3
"Операционный денежный поток, млрд руб";;;;;;;;;;;0.942;0.104;0.900;1.26;1.91;1.66;2.46;2.63;1.92;0.530;2.08;3.14;2.60;3.31;4.37;6.14;5.06;4.85;6.29;7.49;6.26;2.85;4.98;21.6
"CAPEX, млрд руб";;;;;;;;0.100;0.237;0.143;0.109;0.037;0.520;0.570;0.058;0.093;0.042;0.720;0.098;0.028;0.103;0.221;0.085;0.070;0.101;0.261;0.104;0.100;0.110;0.278;0.176;0.132;0.514;1.10
