;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;13.03.2020;13.03.2020;13.03.2020;13.03.2020;18.03.2021;04.03.2022;07.03.2023;06.03.2024;05.03.2025;06.03.2026;06.03.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Платящие клиенты, тыс шт";;;;;;;;;;;602.0;623.0;530.0;290.3
"Выручка, млрд руб";;;;3.74;4.73;6.12;7.79;8.28;16.0;18.1;29.4;39.6;41.2;41.2
"Операционная прибыль, млрд руб";;;;;1.38;2.10;2.81;2.84;6.95;6.92;15.8;20.3;19.0;19.0
"EBITDA, млрд руб";;;;1.67;2.26;2.86;3.93;4.19;8.65;9.16;17.4;23.2;22.8;22.8
"Чистая прибыль, млрд руб";;;;0.112;0.897;1.54;2.41;2.68;6.01;6.01;12.5;24.4;20.8;20.8
"Чистая прибыль н/с, млрд руб";;;;-0.029;0.463;1.03;1.58;1.89;5.40;3.69;12.4;18.4;15.3;15.3
"Операционный денежный поток, млрд руб";;;;;;2.10;2.61;3.21;8.66;7.67;16.4;23.7;22.1;22.1
"CAPEX, млрд руб";;;;;;0.254;0.480;0.255;0.265;0.450;0.517;0.592;1.59;1.59
"FCF, млрд руб";;;;;;1.93;2.15;2.95;8.51;7.00;16.4;26.0;22.0;22.0
"Див.выплата, млрд руб";;;;;;1.18;1.82;2.03;3.19;;;40.0;23.6;23.6
"Дивиденд, руб/акцию";;;;;;23,45;36,13;40,4;63;;;907;466;466
"Див доход, ао, %";;;;;;;3.1%;1.8%;1.6%;0.0%;0.0%;24.5%;16.0%;15.5%
"Дивиденды/прибыль, %";;;;0%;0%;77%;75%;76%;53%;0%;0%;164%;113%;113%
"Опер. расходы, млрд руб";;;;2.07;2.79;3.43;4.30;4.69;7.95;9.98;12.5;18.1;20.6;20.6
"Амортизация, млрд руб";;;;0.5;0.5;0.6;0.7;0.8;1.1;1.2;1.2;1.3;1.7;1.7
"Расх на персонал, млрд руб";;;;1.25;1.51;1.72;2.23;2.58;4.18;5.75;6.70;7.90;10.1;10.1
"Процентные расходы, млрд руб";;;;;;0.624;0.582;0.370;0.506;0.756;0.571;0.410;0.260;0.260
"Активы, млрд руб";;;;;;13.3;13.0;18.2;22.8;23.9;36.8;24.5;34.9;34.9
"Чистые активы, млрд руб";;;;;;2.97;3.36;3.44;5.84;6.78;12.5;-2.12;3.79;3.79
"Долг, млрд руб";;;;;;6.44;5.13;8.28;8.04;7.57;3.14;1.50;0.005;0.005
"Наличность, млрд руб";;;;;;2.86;2.09;3.37;6.52;9.35;22.6;5.54;14.7;14.7
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;3.58;3.04;4.91;1.52;-1.78;-19.5;-4.04;-14.7;-14.7
"Цена акции ао, руб";;;;;;;"1 175";"2 298";"3 838";"1 211";"2 951";"3 698";"2 907";"2 997"
"Число акций ао, млн";50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.3;50.6;50.6;50.6;50.6;50.6;50.6
"Free Float, %";;;;;;;;59.4%;;67.8%;67.8%;42.0%;42.0%;42.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;58.8;115.6;194.3;61.3;149.4;187.3;147.2;151.8
"EV, млрд руб";0.00;0.00;0.00;0.00;0.00;3.58;61.8;120.5;195.9;59.5;130.0;183.2;132.5;137.1
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;-7.17;-6.33;-9.83;-8.11;-5.73;0.51;-16.5;-9.86;-9.86
"EPS, руб";0.00;0.00;0.00;2.24;17.9;30.8;48.2;53.3;118.6;118.7;246.5;482.7;410.8;410.8
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;38.6;43.0;58.6;168.1;138.2;324.7;513.5;434.1;434.1
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;-143.4;-126.6;-195.3;-160.2;-113.2;10.1;-326.1;-194.7;-194.7
"Рентаб EBITDA, %";;;;44.6%;47.6%;46.7%;50.5%;50.6%;54.2%;50.6%;59.0%;58.6%;55.2%;55.2%
"Чистая рентаб, %";;;;3.0%;19.0%;25.1%;30.9%;32.4%;37.6%;33.2%;42.4%;61.7%;50.5%;50.5%
"Доходность FCF, %";;;;;;;3.7%;2.6%;4.4%;11.4%;11.0%;13.9%;14.9%;14.5%
"ROE, %";;;;;;51.7%;71.8%;77.9%;102.8%;88.7%;100.0%;"-1 152.8%";549.2%;549.2%
"ROA, %";;;;;;11.5%;18.5%;14.7%;26.4%;25.2%;33.9%;99.8%;59.6%;59.6%
P/E;;;;0.00;0.00;0.00;24.4;43.1;32.4;10.2;12.0;7.66;7.08;7.30
P/FCF;;;;;;0.00;27.3;39.2;22.8;8.76;9.09;7.20;6.70;6.90
P/S;;;;0.00;0.00;0.00;7.54;14.0;12.2;3.39;5.07;4.73;3.57;3.68
P/BV;;;;;;0.00;-9.28;-11.8;-24.0;-10.7;293.0;-11.3;-14.9;-15.4
