date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,688,680.7,695.7,680.7,50361005,
2025-02-11,701.9,690.9,718.6,688,183711115,
2025-02-12,712.2,708.7,747,697.6,204112593,
2025-02-13,703.7,723.4,745,695,93537629,
2025-02-14,696.6,708,712,683,73061802,
2025-02-17,701.9,702,710,700.1,38570186,
2025-02-18,689.5,700.1,700.1,686.1,57439090,
2025-02-19,686,691.1,696.9,676.6,39281462,
2025-02-20,690.9,689.5,698.5,688,23876016,
2025-02-21,691,693.9,695.3,689.8,28875811,
2025-02-24,688.7,693.1,698.5,680,61929091,
2025-02-25,700.1,693,717.9,692,150752275,
2025-02-26,691.2,705.5,714.6,680,64527743,
2025-02-27,691.3,691.1,694.8,677.5,43886299,
2025-02-28,686.3,690,690.9,678.5,21488558,
2025-03-03,684.3,684.7,691.3,665,55070218,
2025-03-04,685.2,691,691.5,681.5,25162192,
2025-03-05,692.6,685.6,699,685.6,30423323,
2025-03-06,674.1,692,693.7,671,36301220,
2025-03-07,674.5,675.6,684.5,671.3,20611411,
2025-03-10,679.5,676,688,674.5,28093228,
2025-03-11,670.1,679,682.5,661.1,64064665,
2025-03-12,661.4,666,675.1,660,46946441,
2025-03-13,652.5,663.9,663.9,649.4,30829998,
2025-03-14,663.2,657.4,663.6,651.5,23646526,
2025-03-17,677.2,664.3,682.5,662.8,58881798,
2025-03-18,667.9,679.9,685,665.6,24672170,
2025-03-19,667,667.9,670,654.6,22713218,
2025-03-20,655.9,667.8,670.5,651.3,33681308,
2025-03-21,653,658,663.3,641.2,51895886,
2025-03-24,639.5,652.4,653.8,637.5,24974531,
2025-03-25,640,640.1,648.5,631.5,54480703,
2025-03-26,632.9,641.2,646.5,631.1,21411748,
2025-03-27,636.1,626.4,649.5,620.3,41304375,
2025-03-28,641.6,636,651,630,32615954,
2025-03-31,642.8,641.7,653.4,637.5,29064746,
2025-04-01,638.5,643.3,649,638.5,21850323,
2025-04-02,630.8,642.2,642.5,627.5,16301402,
2025-04-03,600,631.1,638,600,71523061,
2025-04-04,578.2,603.8,611.5,571.4,52027196,
2025-04-07,577.1,552,587,534.2,57940074,
2025-04-08,569.4,580.5,589.6,560.5,23451385,
2025-04-09,569.6,573.5,579.9,553.6,56557387,
2025-04-10,592.5,579.9,609.5,576.4,58923739,
2025-04-11,605.2,598.5,610.1,598.5,25150724,
2025-04-14,607.7,609.4,620.2,595,36330711,
