;2019Q4;2020Q4;2021Q4;2022Q4;2023Q2;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;23.10.2023;23.10.2023;27.08.2024;27.04.2024;;27.08.2024;;28.04.2025;;28.08.2025;;;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";164;163;162;159;;158;;;;159;;;;;
"Общ. площадь магазинов, тыс. м2";35;36;39;41;;49;;53;;57;;;;69;69
"Сопоставимые продажи, LFL, %";;;;;;;;20.0%;;;;;;;
"Трафик, %";;;;;;;;11.7%;;;;;;;
"Выручка, млрд руб";;;;;6.99;9.79;;9.23;;11.6;;10.8;;;22.4
"Операционная прибыль, млрд руб";;;;;1.67;2.89;;2.27;;3.07;;2.09;;;5.16
"EBITDA, млрд руб";;;;;4.51;-0.003;;5.19;;0.178;;2.30;;;2.48
"Чистая прибыль, млрд руб";;;;;0.638;1.83;;1.43;;1.78;;0.964;;;2.74
"Операционный денежный поток, млрд руб";;;;;1.82;2.69;;1.53;;2.77;;1.22;;;3.98
"CAPEX, млрд руб";;;;;0.692;0.658;;0.937;;0.992;;1.58;;;2.57
"FCF, млрд руб";;;;;0.448;1.47;;-0.150;;1.24;;-1.16;;;0.074
"Див.выплата, млрд руб";;;;;;0.338;1.21;;0.388;0.000;0.808;;0.484;;1.29
"Дивиденд, руб/акцию";;;;;;8,38;30;;9,62;0;20;;12;;32
"Див доход, ао, %";;0.0%;0.0%;0.0%;;1.5%;4.2%;0.0%;1.5%;0.0%;3.1%;0.0%;2.3%;0.0%;6.4%
"Дивиденды/прибыль, %";;;;;0%;18%;;0%;;0%;;0%;;;47%
"Опер. расходы, млрд руб";;;;;3.25;3.82;;4.02;;4.87;;5.00;;;9.86
"Себестоимость, млрд руб";;;;;2.09;3.04;;2.93;;3.70;;3.67;;;7.36
"Амортизация, млрд руб";;;;;0.3;1.9;;0.4;;2.2;;0.5;;;2.7
"Расх на персонал, млрд руб";;;;;1.25;1.01;;1.20;;1.59;;1.58;;;3.17
"Процентные расходы, млрд руб";;;;;0.190;0.990;;0.148;;0.255;;0.358;;;0.613
"Активы, млрд руб";;9.14;9.64;14.4;;20.1;;20.8;;22.6;;24.0;;;24.0
"Чистые активы, млрд руб";;0.650;-1.01;3.70;;7.81;;8.03;;8.93;;9.09;;;9.09
"Долг, млрд руб";;1.67;3.03;4.42;;2.07;;2.47;;2.06;;3.86;;;3.86
"Наличность, млрд руб";;0.096;0.200;0.560;;2.57;;1.53;;1.56;;1.12;;;1.12
"Чистый долг, млрд руб";0.00;1.57;2.83;3.86;0.00;-0.50;0.00;0.94;0.00;0.50;0.00;2.74;0.00;0.00;2.74
"Цена акции ао, руб";;675.0;675.0;675.0;;544.5;714.9;700.1;659.2;611.6;642.8;589.6;513.4;518.0;501.4
"Число акций ао, млн";1.80;36.0;36.0;36.0;40.4;40.4;40.4;40.4;40.4;40.4;40.4;40.4;40.4;40.4;40.4
"Free Float, %";;;;;;12.2%;;;;12.2%;;12.2%;12.0%;;12.2%
"Капитализация, млрд руб";0.00;24.3;24.3;24.3;0.00;22.0;28.9;28.3;26.7;24.7;26.0;23.8;20.8;21.0;20.3
"EV, млрд руб";0.00;25.9;27.1;28.2;0.00;21.5;28.9;29.3;26.7;25.2;26.0;26.6;20.8;21.0;23.0
"Баланс стоимость, млрд руб";0.00;0.65;-1.01;1.04;0.00;5.32;0.00;5.62;0.00;6.50;0.00;6.68;0.00;0.00;6.68
"EPS, руб";0.00;0.00;0.00;0.00;15.8;45.3;0.00;35.4;0.00;43.9;0.00;23.8;0.00;0.00;67.8
"FCF/акцию, руб";0.00;0.00;0.00;0.00;11.1;36.4;0.00;-3.71;0.00;30.6;0.00;-28.8;0.00;0.00;1.83
"BV/акцию, руб";0.00;18.1;-28.1;28.9;0.00;131.5;0.00;139.0;0.00;160.6;0.00;165.1;0.00;0.00;165.1
"Рентаб EBITDA, %";;;;;64.5%;0.0%;;56.2%;;1.5%;;21.3%;;;11.1%
"Чистая рентаб, %";;;;;9.1%;18.7%;;15.5%;;15.3%;;8.9%;;;12.2%
"Доходность FCF, %";;0.0%;0.0%;0.0%;;8.7%;6.6%;4.7%;5.0%;4.4%;4.2%;0.3%;0.4%;-5.6%;0.4%
"ROE, %";;0.0%;0.0%;0.0%;;31.6%;;40.7%;;35.9%;;30.2%;;;30.2%
"ROA, %";;0.0%;0.0%;0.0%;;12.3%;;15.7%;;14.2%;;11.4%;;;11.4%
P/E;;;;;0.00;8.92;11.7;8.67;8.17;7.71;8.10;8.70;7.58;21.7;7.40
P/FCF;;;;;0.00;11.5;15.1;21.4;20.2;22.7;23.9;322.2;280.6;-18.0;274.0
P/S;;;;;0.00;1.31;1.72;1.49;1.40;1.19;1.25;1.06;0.93;1.94;0.90
P/BV;;37.4;-24.1;23.4;;4.14;;5.04;;3.81;;3.57;;;3.04
