;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;23.10.2023;23.10.2023;27.04.2024;28.04.2025;;28.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";164;163;162;159;158;159;;
"Открыто новых магазинов, шт";;0;;0;;;;
"Общ. площадь магазинов, тыс. м2";35;36;39;41;49;57;69;69
"Сопоставимые продажи, LFL, %";;;;;27.0%;12.9%;3.2%;
"Трафик, %";;;;;8.7%;-3.2%;6.0%;
"Доля онлайн продаж, %";;;;17%;17%;21%;24%;
"Выручка, млрд руб";7.60;6.80;9.50;12.4;16.8;20.8;23.9;22.4
"Операционная прибыль, млрд руб";;;1.21;3.03;4.56;5.34;;5.16
"EBITDA, млрд руб";2.30;2.10;2.80;3.12;4.51;5.37;;2.48
"Чистая прибыль, млрд руб";;;0.490;1.80;2.47;3.21;;2.74
"Операционный денежный поток, млрд руб";;;2.50;1.68;4.51;4.30;;3.98
"CAPEX, млрд руб";0.400;0.300;0.500;1.95;1.35;1.93;;2.57
"FCF, млрд руб";;;1.05;-1.19;1.92;1.09;;0.074
"Див.выплата, млрд руб";;;;;;1.60;;1.29
"Дивиденд, руб/акцию";;;;;8,38;39,62;;32
"Див доход, ао, %";;0.0%;0.0%;0.0%;1.5%;6.5%;0.0%;6.4%
"Дивиденд ап, руб/акцию";;;;;0,338;;;
"Дивиденды/прибыль, %";;;0%;0%;0%;50%;;47%
"Опер. расходы, млрд руб";;;4.68;5.49;7.07;8.88;;9.86
"Себестоимость, млрд руб";;;3.65;3.97;5.13;6.62;;7.36
"Амортизация, млрд руб";;;0.3;1.8;2.2;2.6;;2.7
"Расх на персонал, млрд руб";;;;1.79;2.26;2.79;;3.17
"Процентные расходы, млрд руб";;;0.600;1.09;0.405;0.403;;0.613
"Активы, млрд руб";;9.14;9.64;14.4;20.1;22.6;;24.0
"Чистые активы, млрд руб";;0.650;-1.01;3.70;7.81;8.93;;9.09
"Долг, млрд руб";;1.67;3.03;4.42;2.07;2.06;;3.86
"Наличность, млрд руб";;0.096;0.200;0.560;2.57;1.56;;1.12
"Чистый долг, млрд руб";0.00;1.57;2.83;3.86;-0.50;0.50;0.00;2.74
"Цена акции ао, руб";;675.0;675.0;675.0;544.5;611.6;518.0;501.4
"Число акций ао, млн";1.80;36.0;36.0;36.0;40.4;40.4;40.4;40.4
"Free Float, %";;;;;12.2%;12.2%;;12.2%
"Капитализация, млрд руб";0.00;24.3;24.3;24.3;22.0;24.7;21.0;20.3
"EV, млрд руб";0.00;25.9;27.1;28.2;21.5;25.2;21.0;23.0
"Баланс стоимость, млрд руб";0.00;0.65;-1.01;1.04;5.32;6.50;0.00;6.68
"EPS, руб";0.00;0.00;13.6;50.0;61.1;79.4;0.00;67.8
"FCF/акцию, руб";0.00;0.00;29.3;-33.1;47.5;26.9;0.00;1.83
"BV/акцию, руб";0.00;18.1;-28.1;28.9;131.5;160.6;0.00;165.1
"Рентаб EBITDA, %";30.3%;30.9%;29.5%;25.2%;26.9%;25.7%;0.0%;11.1%
"Чистая рентаб, %";0.0%;0.0%;5.2%;14.5%;14.7%;15.4%;0.0%;12.2%
"Доходность FCF, %";;0.0%;4.3%;-4.9%;8.7%;4.4%;0.0%;0.4%
"ROE, %";;0.0%;-48.5%;48.6%;31.6%;35.9%;;30.2%
"ROA, %";;0.0%;5.1%;12.5%;12.3%;14.2%;;11.4%
P/E;;;49.6;13.5;8.92;7.71;;7.40
P/FCF;;;23.1;-20.4;11.5;22.7;;274.0
P/S;0.00;3.57;2.56;1.96;1.31;1.19;0.88;0.90
P/BV;;37.4;-24.1;23.4;4.14;3.81;;3.04
EV/EBITDA;0.00;12.3;9.69;9.03;4.77;4.70;;9.28
Долг/EBITDA;0.00;0.75;1.01;1.24;-0.11;0.09;;1.10
"Персонал, чел";;;;"1 578";"1 764";"2 267";;
"Производительность труда, млн руб/чел/год";;;;7.86;9.51;9.19;;
"Расходы/чел/год, тыс.р";;;;"1 134";"1 281";"1 232";;
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";5%;4%;5%;16%;8%;9%;0%;11%
"IR рейтинг";;;;;3.9;3.9;3.9;3.9
"Качество фин.отчетности";;;;;4;4;4;4
"Презентации для инвесторов";;;;;5;5;5;5
"Присутствие на смартлабе";;;;;1;1;1;1
"Годовой отчет";;;;;5;5;5;5
"Сайт для инвесторов";;;;;2;2;2;2
"Календарь инвесторов";;;;;5;5;5;5
"Обратная связь";;;;;5;5;5;5
