date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,0.5682,0.5699,0.5848,0.5656,177797015,
2025-02-11,0.5414,0.5682,0.5742,0.5309,2128230611,
2025-02-12,0.5554,0.5405,0.5569,0.5342,924978694,
2025-02-13,0.5572,0.5582,0.5774,0.5459,437878491,
2025-02-14,0.5462,0.5466,0.5659,0.5407,317053862,
2025-02-17,0.5658,0.5508,0.5664,0.55,204452133,
2025-02-18,0.5523,0.5665,0.57,0.5518,203748106,
2025-02-19,0.5599,0.5523,0.5663,0.55,108777672,
2025-02-20,0.5579,0.5599,0.5644,0.555,156652660,
2025-02-21,0.5584,0.5608,0.5608,0.551,178318077,
2025-02-24,0.5922,0.5571,0.6034,0.5462,1012331263,
2025-02-25,0.574,0.5901,0.599,0.5676,997175270,
2025-02-26,0.5577,0.575,0.5789,0.5556,313577642,
2025-02-27,0.5364,0.5564,0.56,0.5362,577731920,
2025-02-28,0.5433,0.5365,0.5498,0.5301,381016649,
2025-03-01,0.545,0.5465,0.5469,0.5432,4300725,
2025-03-02,0.5419,0.5451,0.5453,0.5418,6618039,
2025-03-03,0.5368,0.545,0.545,0.5257,284152832,
2025-03-04,0.55,0.54,0.5525,0.5368,207348518,
2025-03-05,0.5467,0.55,0.5596,0.543,203530484,
2025-03-06,0.5439,0.547,0.5535,0.5372,132366040,
2025-03-07,0.5327,0.5439,0.5484,0.5256,251650708,
2025-03-10,0.52,0.5308,0.5358,0.5189,380267610,
2025-03-11,0.515,0.52,0.5266,0.5076,611779224,
2025-03-12,0.5163,0.514,0.519,0.51,264308800,
2025-03-13,0.5189,0.5169,0.5431,0.5026,846041523,
2025-03-14,0.5253,0.518,0.5298,0.5116,235147219,
2025-03-15,0.5247,0.5253,0.5283,0.5243,9898144,
2025-03-16,0.5299,0.5242,0.5319,0.5223,16106490,
2025-03-17,0.5355,0.529,0.5386,0.5272,158613245,
2025-03-18,0.5279,0.5355,0.5386,0.526,229712272,
2025-03-19,0.5285,0.528,0.5321,0.5207,141679672,
2025-03-20,0.5207,0.5285,0.5307,0.5104,216722137,
2025-03-21,0.5159,0.519,0.5226,0.5132,79310509,
2025-03-24,0.516,0.5159,0.5188,0.5113,83098116,
2025-03-25,0.5156,0.516,0.5213,0.5038,133274804,
2025-03-26,0.5104,0.5155,0.5184,0.507,66070498,
2025-03-27,0.5009,0.5104,0.5115,0.5007,101724483,
2025-03-28,0.5032,0.5015,0.5095,0.4935,187254138,
2025-03-29,0.4983,0.5033,0.5057,0.4945,17480901,
2025-03-30,0.492,0.5005,0.504,0.491,17143372,
2025-03-31,0.497,0.494,0.5114,0.4915,185626587,
2025-04-01,0.4925,0.497,0.5184,0.492,234457387,
2025-04-02,0.4975,0.4931,0.5013,0.485,306893108,
2025-04-03,0.4807,0.498,0.504,0.4724,250933496,
2025-04-04,0.4616,0.485,0.4868,0.461,227768787,
2025-04-05,0.4632,0.4636,0.464,0.455,31233137,
2025-04-06,0.47,0.4616,0.4709,0.461,20124373,
2025-04-07,0.4562,0.465,0.4651,0.4339,438772747,
2025-04-08,0.444,0.4512,0.4692,0.4427,207195521,
2025-04-09,0.4629,0.4459,0.4685,0.4299,322943179,
2025-04-10,0.455,0.4629,0.4755,0.449,243029716,
2025-04-11,0.4652,0.4587,0.4693,0.4566,161347828,
2025-04-12,0.4704,0.4653,0.4715,0.4652,13203028,
2025-04-13,0.4709,0.4725,0.4725,0.4691,7534835,
2025-04-14,0.456,0.468,0.4729,0.4521,112794293,
2025-04-15,0.4501,0.4563,0.4618,0.4432,160478200,
2025-04-16,0.4525,0.4503,0.4577,0.4423,139664883,
2025-04-17,0.4566,0.4519,0.4589,0.4505,133500596,
2025-04-18,0.4512,0.4536,0.4565,0.4446,106657018,
2025-04-21,0.46,0.4513,0.4635,0.4513,135192294,
2025-04-22,0.4656,0.4619,0.4687,0.4559,141767064,
2025-04-23,0.4571,0.4656,0.4673,0.4535,110047458,
2025-04-24,0.461,0.458,0.4698,0.456,157881943,
2025-04-25,0.4862,0.4612,0.4899,0.4602,653606722,
2025-04-26,0.487,0.4918,0.4967,0.4851,59937317,
2025-04-27,0.4893,0.4895,0.4901,0.4855,19029195,
2025-04-28,0.4823,0.4945,0.4945,0.4742,404127829,
2025-04-29,0.4746,0.4815,0.4859,0.4727,176326173,
2025-04-30,0.4744,0.4755,0.4764,0.4631,144301710,
2025-05-02,0.458,0.4758,0.476,0.4565,61693244,
2025-05-03,0.4593,0.458,0.4628,0.4563,6229874,
2025-05-04,0.4638,0.46,0.4643,0.46,6387591,
2025-05-05,0.455,0.4638,0.4709,0.448,140186648,
2025-05-06,0.4617,0.4526,0.4679,0.4503,81865529,
2025-05-07,0.4638,0.4645,0.4669,0.4576,59119675,
2025-05-08,0.4661,0.4666,0.4697,0.464,40426151,
2025-05-10,0.466,0.466,0.4697,0.4644,2151151,
2025-05-11,0.4757,0.4694,0.4764,0.4694,41889003,
2025-05-12,0.4819,0.4772,0.485,0.4771,73238602,
2025-05-13,0.4788,0.4819,0.4841,0.4756,60526227,
2025-05-14,0.4671,0.4804,0.4804,0.4656,106289169,
2025-05-15,0.4652,0.4685,0.4711,0.46,91175543,
2025-05-16,0.465,0.4653,0.4716,0.4556,158084350,
2025-05-17,0.4693,0.4654,0.47,0.4649,12219674,
2025-05-18,0.4729,0.47,0.4732,0.47,8383150,
2025-05-19,0.4616,0.47,0.4729,0.4595,113678714,
2025-05-20,0.4583,0.4639,0.4639,0.4563,62294842,
2025-05-21,0.4504,0.4575,0.4612,0.45,69499555,
2025-05-22,0.4453,0.4522,0.4535,0.4407,116646100,
2025-05-23,0.4529,0.4453,0.4542,0.4437,91848482,
2025-05-26,0.4392,0.4498,0.4509,0.4362,157619639,
2025-05-27,0.4446,0.4384,0.4458,0.4336,83352638,
2025-05-28,0.4555,0.4446,0.4584,0.4444,135810766,
2025-05-29,0.4508,0.4563,0.458,0.447,106514727,
2025-05-30,0.4584,0.4511,0.4614,0.448,103833572,
2025-05-31,0.4581,0.4568,0.461,0.4558,5730211,
2025-06-01,0.4503,0.458,0.4583,0.4482,13766207,
2025-06-02,0.4596,0.4503,0.4602,0.4501,94038531,
2025-06-03,0.4672,0.4592,0.4674,0.4584,69916162,
2025-06-04,0.4672,0.468,0.4748,0.4656,122341115,
2025-06-05,0.4696,0.468,0.4738,0.4672,43830942,
2025-06-06,0.4576,0.4696,0.4798,0.457,132543098,
2025-06-07,0.4653,0.46,0.468,0.459,30170511,
2025-06-08,0.4687,0.47,0.4709,0.4639,33580622,
2025-06-09,0.4638,0.4667,0.4767,0.4616,140760861,
2025-06-10,0.4515,0.467,0.468,0.45,107719754,
2025-06-11,0.4752,0.4515,0.4776,0.448,410807828,
2025-06-13,0.4717,0.477,0.477,0.4686,94586618,
2025-06-14,0.472,0.4716,0.4746,0.4694,14757731,
2025-06-15,0.4726,0.472,0.4735,0.4708,9792240,
2025-06-16,0.465,0.4727,0.4749,0.4647,70274028,
2025-06-17,0.4658,0.465,0.4704,0.4616,117207458,
2025-06-18,0.4684,0.4649,0.4692,0.4625,126969687,
2025-06-19,0.4593,0.4668,0.4699,0.4562,143351893,
2025-06-20,0.4625,0.4593,0.4641,0.4583,76392331,
2025-06-23,0.454,0.4624,0.4641,0.45,141137695,
2025-06-24,0.4598,0.4545,0.4603,0.4519,79883353,
2025-06-25,0.4632,0.4598,0.469,0.4572,114294746,
2025-06-26,0.4595,0.4632,0.4671,0.459,75526136,
2025-06-27,0.4661,0.459,0.4662,0.458,43792710,
2025-06-28,0.4677,0.4668,0.4682,0.4661,8492115,
2025-06-29,0.4649,0.4677,0.4681,0.4633,6932654,
2025-06-30,0.4741,0.4661,0.476,0.464,185301563,
2025-07-01,0.4685,0.4742,0.4764,0.4675,150924503,
2025-07-02,0.4576,0.4686,0.4712,0.4522,332726856,
2025-07-03,0.4513,0.4576,0.459,0.4486,174071425,
2025-07-04,0.4509,0.4513,0.4551,0.442,108728785,
2025-07-05,0.451,0.4509,0.4518,0.45,4395490,
2025-07-06,0.4517,0.45,0.4517,0.4493,3494880,
2025-07-07,0.4489,0.452,0.452,0.4459,59800245,
2025-07-08,0.448,0.4475,0.4509,0.445,77050631,
2025-07-09,0.4458,0.448,0.4547,0.4372,384233511,
2025-07-10,0.443,0.448,0.4497,0.4414,77844010,
2025-07-11,0.4353,0.4433,0.4467,0.435,132086014,
2025-07-12,0.4358,0.4355,0.4405,0.4355,4407508,
2025-07-13,0.4373,0.438,0.438,0.4358,3157577,
2025-07-14,0.4447,0.438,0.4465,0.4322,198575623,
2025-07-15,0.4446,0.4444,0.4508,0.4398,108670948,
2025-07-16,0.4477,0.4434,0.45,0.443,74917831,
2025-07-17,0.4438,0.4484,0.4494,0.443,63967017,
2025-07-18,0.4439,0.4445,0.4488,0.4402,190915436,
2025-07-19,0.4461,0.4442,0.4488,0.4437,40643649,
2025-07-20,0.4458,0.4489,0.4489,0.445,14334742,
2025-07-21,0.4452,0.4469,0.4504,0.4441,162187186,
2025-07-22,0.447,0.4455,0.4475,0.4427,127116414,
2025-07-23,0.4474,0.448,0.4496,0.444,140322745,
2025-07-24,0.4454,0.4474,0.449,0.4445,75621988,
2025-07-25,0.4431,0.4454,0.4495,0.4415,182470941,
2025-07-26,0.4446,0.4431,0.4462,0.4426,8004455,
2025-07-27,0.4434,0.4448,0.4448,0.4425,5693903,
2025-07-28,0.4393,0.4434,0.4489,0.4375,181704859,
2025-07-29,0.4375,0.4393,0.4428,0.434,125687399,
2025-07-30,0.4368,0.4375,0.4418,0.4348,183680749,
2025-07-31,0.4358,0.4359,0.4398,0.4353,66593848,
2025-08-01,0.4371,0.4376,0.4412,0.435,61922585,
2025-08-04,0.4407,0.437,0.4408,0.4364,91231099,
2025-08-05,0.4401,0.4409,0.4419,0.438,74258412,
2025-08-06,0.448,0.4408,0.4499,0.4386,212307715,
2025-08-07,0.4494,0.449,0.453,0.4442,170468218,
2025-08-08,0.4537,0.45,0.454,0.4472,97962491,
2025-08-11,0.4616,0.455,0.4682,0.4545,266556179,
2025-08-12,0.459,0.4617,0.4632,0.4573,80332366,
2025-08-13,0.4616,0.4595,0.468,0.4595,212141358,
2025-08-14,0.4624,0.4616,0.4674,0.458,108300012,
2025-08-15,0.4612,0.4624,0.4651,0.4581,126157192,
2025-08-16,0.4534,0.4595,0.4595,0.4478,39267038,
2025-08-17,0.452,0.4534,0.4551,0.4518,6320476,
2025-08-18,0.458,0.4542,0.4624,0.4509,100744914,
2025-08-19,0.4598,0.4562,0.4627,0.455,111047854,
2025-08-20,0.4556,0.4592,0.4615,0.4537,72571932,
2025-08-21,0.4428,0.4571,0.4571,0.44,108367625,
2025-08-22,0.4504,0.4385,0.4507,0.4385,66082866,
2025-08-23,0.451,0.4504,0.4515,0.4481,6698923,
2025-08-24,0.4489,0.4514,0.4514,0.4479,4207433,
2025-08-25,0.4506,0.4489,0.4518,0.4427,61717404,
2025-08-26,0.453,0.452,0.4554,0.4501,52291056,
2025-08-27,0.4572,0.4512,0.4589,0.4512,58595736,
2025-08-28,0.4746,0.4576,0.478,0.452,769905074,
2025-08-29,0.4688,0.472,0.4765,0.4647,327918092,
2025-08-30,0.4698,0.47,0.4718,0.4689,10404046,
2025-08-31,0.4726,0.4699,0.4736,0.4688,14513102,
2025-09-01,0.4793,0.4732,0.4822,0.4711,307312044,
2025-09-02,0.4753,0.4752,0.4792,0.4673,219648106,
2025-09-03,0.4876,0.4724,0.4935,0.4679,332075719,
2025-09-04,0.4876,0.4878,0.499,0.4813,601076779,
2025-09-05,0.4726,0.4876,0.4927,0.47,859122954,
2025-09-06,0.4696,0.4708,0.4734,0.469,43413067,
2025-09-07,0.4709,0.4698,0.472,0.4677,25443409,
2025-09-08,0.4723,0.4724,0.4814,0.4676,406391244,
2025-09-09,0.4718,0.4722,0.4743,0.469,143045935,
2025-09-10,0.4636,0.4706,0.4731,0.462,160690991,
2025-09-11,0.465,0.4659,0.4668,0.4603,92883288,
2025-09-12,0.4503,0.4665,0.469,0.4479,174586586,
2025-09-13,0.4498,0.4513,0.4524,0.4487,8420788,
2025-09-14,0.449,0.45,0.4515,0.4457,12626859,
2025-09-15,0.4453,0.4504,0.4509,0.442,93803023,
2025-09-16,0.4441,0.4462,0.45,0.4402,86917853,
2025-09-17,0.4454,0.4453,0.4464,0.4409,52411013,
2025-09-18,0.4333,0.4467,0.4496,0.4312,380937641,
2025-09-19,0.4222,0.4322,0.4367,0.4203,171176696,
2025-09-22,0.426,0.4249,0.4317,0.4185,154075393,
2025-09-23,0.4231,0.426,0.4379,0.4192,138945883,
2025-09-24,0.432,0.4234,0.4323,0.4204,78197306,
2025-09-25,0.4284,0.4321,0.4364,0.4233,66715893,
2025-09-26,0.4275,0.4284,0.4288,0.4215,60357860,
2025-09-27,0.4284,0.4271,0.43,0.4269,6810356,
2025-09-28,0.4289,0.4284,0.4294,0.4274,2498818,
2025-09-29,0.413,0.4289,0.4328,0.4092,193051830,
2025-09-30,0.4084,0.4148,0.4155,0.4005,128888035,
2025-10-01,0.4058,0.4099,0.4122,0.4032,92592925,
2025-10-02,0.4018,0.4062,0.4086,0.3993,74248279,
2025-10-03,0.3912,0.4015,0.4049,0.389,129643503,
2025-10-04,0.3828,0.391,0.3941,0.3796,60497553,
2025-10-05,0.3881,0.3829,0.3894,0.3811,15432040,
2025-10-06,0.3967,0.39,0.3981,0.3842,111006863,
2025-10-07,0.3981,0.3963,0.4015,0.3938,65493147,
2025-10-08,0.3854,0.3995,0.3999,0.3804,95945063,
2025-10-09,0.3839,0.386,0.3869,0.3676,172285667,
2025-10-10,0.3758,0.3826,0.3882,0.3749,66586990,
2025-10-11,0.3767,0.3758,0.3783,0.3724,5444351,
2025-10-12,0.3792,0.3806,0.3825,0.376,8328045,
2025-10-13,0.3746,0.38,0.3832,0.3722,84336093,
2025-10-14,0.3695,0.3748,0.3779,0.3673,67912570,
2025-10-15,0.3793,0.3701,0.3821,0.3638,132849918,
2025-10-16,0.3999,0.3799,0.3999,0.3755,336175699,
2025-10-17,0.3995,0.3997,0.4042,0.3935,96424964,
2025-10-18,0.4079,0.3995,0.408,0.3995,32349786,
2025-10-19,0.4044,0.408,0.4085,0.4031,14947245,
2025-10-20,0.4038,0.4044,0.407,0.4014,39841176,
2025-10-21,0.3896,0.4038,0.4067,0.3829,122336968,
2025-10-22,0.387,0.3896,0.3935,0.3829,77270122,
2025-10-23,0.3859,0.3826,0.3879,0.3802,61466113,
2025-10-24,0.381,0.3875,0.3918,0.38,56421797,
2025-10-27,0.3836,0.3801,0.3858,0.3737,78036395,
2025-10-28,0.3822,0.383,0.3887,0.3774,92882969,
2025-10-29,0.386,0.3847,0.3868,0.3809,54719530,
2025-10-30,0.3876,0.3866,0.3905,0.3837,88126981,
2025-10-31,0.3813,0.3888,0.39,0.3779,74156796,
2025-11-01,0.3819,0.3821,0.3858,0.3805,20107069,
2025-11-03,0.3863,0.3839,0.3888,0.3839,19284766,
2025-11-05,0.382,0.3863,0.3874,0.3806,38374050,
2025-11-06,0.3822,0.3834,0.3844,0.3796,33553088,
2025-11-07,0.3856,0.382,0.3882,0.3818,59038475,
2025-11-08,0.3859,0.3863,0.387,0.3851,4207288,
2025-11-09,0.3868,0.3862,0.3869,0.3846,4109347,
2025-11-10,0.3852,0.3867,0.39,0.382,51948621,
2025-11-11,0.3865,0.3852,0.389,0.3831,49209595,
2025-11-12,0.3835,0.3853,0.3875,0.3819,51929067,
2025-11-13,0.3833,0.384,0.3854,0.381,36163877,
2025-11-14,0.3789,0.385,0.385,0.3762,55330813,
2025-11-15,0.379,0.379,0.3796,0.3771,5626425,
2025-11-16,0.3788,0.3791,0.3794,0.3782,3112325,
2025-11-17,0.3727,0.3788,0.3793,0.3725,34890642,
2025-11-18,0.3795,0.372,0.3843,0.372,97412897,
2025-11-19,0.3864,0.3799,0.39,0.3792,125717957,
2025-11-20,0.3906,0.3881,0.392,0.3804,97937662,
2025-11-21,0.3874,0.3923,0.3984,0.3838,76832341,
2025-11-24,0.382,0.3876,0.3929,0.3807,81493300,
2025-11-25,0.3883,0.3841,0.3893,0.3815,98640138,
2025-11-26,0.3869,0.3887,0.39,0.3848,30305767,
2025-11-27,0.3806,0.3879,0.3882,0.3772,119711015,
2025-11-28,0.3856,0.381,0.3875,0.3791,52335873,
2025-11-29,0.3842,0.3856,0.3872,0.3825,6879152,
2025-11-30,0.3866,0.3849,0.3868,0.384,8706037,
2025-12-01,0.3865,0.3867,0.3875,0.3836,64781606,
2025-12-02,0.3856,0.3873,0.3923,0.3848,137150916,
2025-12-03,0.3863,0.383,0.3863,0.38,78738267,
2025-12-04,0.3863,0.3863,0.395,0.3853,204910597,
2025-12-05,0.401,0.3867,0.405,0.3867,696041921,
2025-12-08,0.3989,0.4002,0.4151,0.3973,239506827,
2025-12-09,0.4011,0.3981,0.402,0.3961,107553034,
2025-12-10,0.3984,0.4016,0.4021,0.3955,103478612,
2025-12-11,0.402,0.3997,0.4089,0.3985,247311439,
2025-12-12,0.3956,0.403,0.4051,0.3952,104351860,
2025-12-13,0.3979,0.3956,0.3981,0.3956,4064031,
