;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";18.07.2012;18.07.2012;18.07.2012;18.07.2012;31.01.2023;09.07.2018;09.07.2014;09.07.2014;09.07.2014;09.07.2018;31.01.2023;31.01.2023;31.01.2023;24.06.2018;31.01.2023;31.01.2023;08.06.2020;24.06.2018;20.04.2018;31.01.2023;31.01.2023;02.05.2018;07.06.2018;28.08.2018;11.12.2018;14.03.2019;06.06.2019;29.08.2019;12.12.2019;05.03.2020;04.06.2020;27.08.2020;26.11.2020;02.03.2021;27.05.2021;26.08.2021;25.11.2021;01.03.2022;30.05.2022;29.08.2022;28.11.2022;03.03.2023;30.05.2023;29.08.2023;28.11.2023;06.03.2024;29.05.2024;29.08.2024;28.11.2024;13.03.2025;29.05.2025;28.08.2025;27.11.2025;;27.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;25.4;25.5;26.1;36.5;37.5;;;;38.4;;;;38.7;;;;38.9;;;;39.0;;;;39.4;;;;39.7;;;;38.0;;;;38.2;;;;38.4;;;;38.5;;;;38.6;;;;38.7;38.7
"Установл. тепл. мощность, Гкал/ч";;;;;;;;;;;;;;;;;;18.0;;;;18.0;;;;19.0;;;;19.0;;;;19.0;;;;19.0;;;;19.0;;;;19.0;;;;19.0;;;;19.0;19.0
"Выработка электроэнергии, ТВт*ч";;;;;;;30.0;28.6;24.4;25.2;24.9;29.0;25.1;28.9;29.1;31.1;29.9;29.3;27.8;32.9;29.6;30.8;30.2;34.3;30.9;29.4;27.3;28.2;31.9;33.6;32.8;36.1;30.8;31.4;28.5;35.2;32.7;30.2;29.2;33.2;26.2;27.0;28.7;33.6;29.1;29.4;30.5;35.7;27.5;30.7;29.6;34.0;29.9;31.8;125.2
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;;;;29.6;28.6;24.6;25.5;25.1;29.2;25.3;29.1;29.1;31.1;30.0;29.2;27.6;33.1;30.1;30.9;30.2;34.3;31.1;29.5;25.9;27.2;31.0;32.1;31.4;35.0;29.8;30.1;27.1;34.2;31.9;28.8;27.8;32.2;25.3;25.7;27.3;32.6;28.3;28.1;29.0;35.0;26.7;29.4;28.2;33.0;29.1;30.4;120.7
"Отпуск тепл.энергии, млн Гкал";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.2;4.84;2.15;10.1;13.0;4.90;2.05;10.2;12.2;4.80;2.10;10.2;12.5;4.80;1.90;10.6;12.7;4.40;1.70;11.5;12.4;4.60;1.90;10.4;29.3
"Выручка, млрд руб";;;;;;;;;;100.8;97.7;78.6;77.0;108.6;107.7;86.6;84.5;95.2;103.4;84.3;67.7;92.7;99.7;82.6;87.2;89.3;109.8;82.1;77.4;97.4;106.2;87.7;82.9;106.0;111.5;93.4;89.6;111.6;117.6;97.0;87.9;116.0;141.7;119.0;107.2;142.4;155.5;127.5;128.4;168.4;177.3;148.4;144.0;;638.1
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0;23.5;15.1;-6.49;25.5;22.4;19.6;-10.2;25.5;15.4;5.59;-8.68;31.5;26.5;15.9;-8.47;27.8;23.7;21.4;38.4;39.6;36.2;19.2;;133.3
"EBITDA, млрд руб";;;;;;;;;;21.7;19.1;14.6;13.9;25.8;27.2;20.8;22.4;29.9;30.2;21.3;20.1;32.4;32.0;28.2;21.1;28.4;29.6;21.2;19.7;27.1;36.6;31.0;22.9;29.8;34.9;31.5;25.6;30.2;35.6;25.5;14.9;15.6;43.3;35.1;26.8;26.3;41.3;34.0;34.8;40.7;52.8;45.5;32.3;;171.3
"Чистая прибыль, млрд руб";;;;;;;;;;13.3;11.9;6.72;5.52;23.3;16.9;12.9;11.9;24.4;20.4;11.9;8.56;21.9;20.9;17.5;9.97;22.4;19.1;15.2;6.43;10.7;27.3;22.4;15.0;2.24;20.8;20.0;12.2;25.4;22.6;12.7;2.90;6.50;27.0;20.3;8.55;16.9;16.7;7.06;0.410;43.3;19.0;11.9;0.148;;74.3
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;15.0;10.4;13.7;0.654;18.8;3.50;8.50;-8.36;23.0;13.7;6.35;-11.2;16.5;14.6;6.40;-36.9;24.7;21.3;14.7;-14.3;19.8;20.2;11.9;-10.3;19.7;10.2;-3.33;-5.50;27.3;20.2;8.55;-22.5;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.2;30.4;23.2;15.2;30.2;30.3;19.0;19.7;29.7;28.8;7.10;0.054;30.3;35.2;26.3;1.000;40.6;40.6;16.7;14.4;45.5;48.6;30.9;16.8;;141.8
"CAPEX, млрд руб";;;;;;;;;;;15.8;23.7;19.1;43.2;10.1;14.5;16.1;20.3;10.5;15.9;14.7;30.6;10.4;18.2;16.7;22.2;13.7;19.5;18.2;23.4;9.47;13.5;14.4;21.1;9.46;10.7;24.0;33.2;13.7;25.3;20.2;52.9;62.2;33.0;33.3;64.2;29.3;38.9;54.5;76.7;45.0;56.5;52.1;;230.2
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0;7.67;-1.63;3.82;18.1;2.69;-7.74;2.62;12.4;-22.7;-23.3;-23.2;-30.7;-11.1;-42.3;-31.7;-1.70;-36.0;-58.0;-48.3;-20.0;-50.5;-63.2;;-182.0
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;11.2;;;;15.9;;;;15.7;;;;23.3;;;;23.3;;;;22.4;;;;;;;;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;;0,02633;;;;0,037;;;;0,0357;;;;0,053;;;;0,053049;;;;0,050254795;;;;;;;;;;;;;
