date,close,open,high,low,volume_rub,market_cap_bln
2026-02-09,3.3745,3.437,3.469,3.351,392300348,351.9
2026-02-10,3.386,3.364,3.3895,3.3385,198866714,353.6
2026-02-11,3.3745,3.358,3.391,3.358,68527689,352.0
2026-02-12,3.4365,3.422,3.452,3.411,250484843,358.8
2026-02-13,3.404,3.4205,3.49,3.363,851636151,355.5
2026-02-13,3.3925,3.4205,3.49,3.363,801528465,354.1
2026-02-14,3.402,3.4205,3.49,3.363,882375770,355.2
2026-02-16,3.3385,3.392,3.4135,3.3055,934637441,348.5
2026-02-18,3.323,3.326,3.3475,3.305,367196985,347.0
2026-02-20,3.3225,3.31,3.33,3.295,240141927,346.1
