;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";20.06.2024;20.06.2024;;17.06.2022;17.06.2022;07.07.2018;;14.09.2023;;16.11.2020;16.11.2020;16.11.2020;16.11.2020;01.04.2020;16.11.2020;16.11.2020;14.09.2023;01.04.2020;16.11.2020;15.08.2018;16.11.2020;15.06.2018;16.05.2018;15.08.2018;14.11.2018;04.03.2019;16.05.2019;14.08.2019;15.11.2019;28.02.2020;22.05.2020;17.08.2020;13.11.2020;01.03.2021;28.05.2021;27.08.2021;25.11.2021;20.06.2024;29.08.2023;29.08.2023;01.12.2023;29.02.2024;29.08.2023;29.08.2023;01.12.2023;29.02.2024;30.05.2024;14.08.2024;29.11.2024;28.02.2025;30.05.2025;14.08.2025;14.11.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;27.9;33.5;33.5;;;;35.0;;;;35.0;33.0;;;32.5;31.3;31.7;32.7;32.7;33.5;33.5;33.5;33.7;33.2;33.3;32.9;31.9;31.0;30.9;31.0;31.1;30.8;30.8;30.7;30.7;;;;30.7;30.7;30.7;30.7;30.8;30.9;31.2;31.2;31.2;31.2;31.2;31.2;31.2
"Установл. тепл. мощность, Гкал/ч";;;;;;;;;;;;;;;26.0;;;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;;;;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0
"Выработка электроэнергии, ТВт*ч";;;;;;;;;;;37.4;31.5;34.5;;34.3;30.2;33.5;35.9;35.5;29.1;32.3;37.9;34.4;29.3;32.4;36.5;34.8;31.1;31.0;33.3;28.4;21.6;27.3;28.8;31.2;25.9;29.4;34.3;;;;;35.1;27.6;29.1;34.9;36.0;30.3;30.9;34.5;36.2;29.5;29.6;129.8
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.1;48.5;47.0;67.8;64.7;51.6;49.3;68.2;63.0;52.7;52.1;236.0
"Отпуск тепл.энергии, млн Гкал";;;;;;;;;;;15.3;6.70;4.20;;15.4;6.20;4.10;14.8;15.6;7.02;4.20;13.2;16.4;7.44;4.20;13.7;15.4;6.79;4.57;13.6;14.1;6.18;4.59;12.5;16.8;6.50;4.70;13.4;;;;;16.0;6.00;4.30;13.7;16.7;6.82;4.60;13.5;15.3;6.69;4.45;39.9
"КИУМ, %";;;;;;;;;;;49.8%;45.5%;45.2%;;47.5%;45.1%;45.7%;;52.6%;50.0%;;48.2%;48.2%;44.1%;44.0%;;48.6%;45.6%;44.7%;45.0%;42.0%;37.0%;38.0%;39.0%;47.0%;42.7%;42.9%;;;;;;52.9%;47.0%;45.6%;47.1%;53.4%;49.0%;47.6%;48.2%;53.7%;48.5%;;
"Выручка, млрд руб";;;;;;;189.6;163.3;173.1;215.1;216.5;175.1;188.4;225.3;232.0;182.7;195.3;258.2;238.6;189.8;216.4;263.3;247.5;213.3;227.5;273.9;281.4;239.1;233.3;278.3;266.9;209.8;236.4;272.9;310.0;256.0;287.0;373.7;360.4;268.7;274.3;361.6;356.2;301.2;311.8;390.6;392.0;336.0;362.4;458.1;441.3;376.8;424.1;"1 700"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.6;9.60;15.9;22.4;41.7;22.1;30.5;20.0;58.7;22.3;22.2;5.20;41.2;24.5;30.0;29.2;40.5;21.2;21.6;24.7;39.9;28.1;23.7;116.4
"EBITDA, млрд руб";;;;;;;17.2;10.9;11.6;16.6;25.0;12.3;12.1;21.7;31.8;21.1;15.4;28.0;28.9;18.5;19.6;28.5;34.8;36.8;15.8;33.9;47.6;30.5;27.8;35.6;41.4;20.0;25.2;35.7;50.0;31.0;38.4;63.4;68.5;34.0;30.7;50.1;53.7;34.7;38.9;55.1;49.0;30.7;35.0;58.6;54.6;38.7;37.9;189.8
"Чистая прибыль, млрд руб";;;;;;;3.82;3.04;4.14;-1.20;16.0;3.70;3.60;0.600;17.1;45.0;6.30;-7.10;18.8;13.0;10.8;11.8;22.6;15.6;16.9;16.6;30.9;16.5;16.5;18.0;34.6;7.40;15.1;18.4;34.5;19.0;25.3;19.4;57.1;20.0;25.3;15.2;40.8;27.0;29.4;38.7;48.0;31.6;31.3;36.6;46.7;35.1;30.2;148.5
