;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";20.06.2024;20.06.2024;;17.06.2022;17.06.2022;07.07.2018;16.11.2020;01.04.2020;01.04.2020;15.06.2018;04.03.2019;28.02.2020;01.03.2021;20.06.2024;29.02.2024;29.02.2024;28.02.2025;14.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;27.9;33.5;33.5;35.0;35.0;32.5;32.7;33.7;31.9;31.1;30.7;30.7;30.8;31.2;31.2
"Установл. тепл. мощность, Гкал/ч";;;;;;;;;26.0;26.0;26.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0
"Выработка электроэнергии, ТВт*ч";;;8.98;114.6;127.4;147.5;146.0;140.8;133.9;134.8;132.5;130.2;106.1;120.8;123.0;126.7;131.6;129.8
"Ср. цена реализации э/э, руб/кВт*ч";;;;;1.37;1.69;1.72;1.67;1.79;1.83;;;;;;;;
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;144.8;153.0;153.2;166.2;182.5;182.6;182.6;190.5;196.9;191.6;208.7;217.0;221.5;229.4;236.0
"Отпуск тепл.энергии, млн Гкал";;;1.27;17.7;23.9;42.5;45.4;39.6;40.5;40.0;41.7;40.3;39.1;41.4;40.1;40.0;41.6;39.9
"КИУМ, %";;;;49.8%;50.3%;50.5%;48.7%;46.0%;46.8%;48.2%;45.3%;45.0%;39.0%;47.0%;48.2%;47.1%;48.2%;
"Выручка, млрд руб";;;;536.2;556.2;662.3;741.1;832.0;868.2;869.2;962.1;"1 032";986.0;"1 227";"1 265";"1 360";"1 548";"1 700"
"Операционная прибыль, млрд руб";;;;;;;;;;;87.3;98.3;80.5;114.3;108.4;124.9;108.0;116.4
"EBITDA, млрд руб";;;;41.7;26.5;39.2;71.1;72.4;96.3;97.6;121.3;141.5;122.3;182.8;183.3;182.4;173.3;189.8
