date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1464,1499.5,1520,1440.5,108884161,
2025-02-11,1447,1460,1465,1430,62618883,
2025-02-12,1408.5,1450,1468.5,1400.5,75906384,
2025-02-13,1436,1482.5,1500,1415,118922319,
2025-02-14,1422.5,1460,1470,1420,84341659,
2025-02-17,1439.5,1443,1455.5,1432.5,49289987,
2025-02-18,1388.5,1441,1445,1370,80878960,
2025-02-19,1410.5,1388,1417.5,1382,40286267,
2025-02-20,1435,1423,1454,1411,74843333,
2025-02-21,1437.5,1438,1469,1427,86402599,
2025-02-24,1414,1438,1447.5,1396,75199331,
2025-02-25,1399.5,1428.5,1438,1399.5,75941302,
2025-02-26,1356.5,1400,1405,1332,111356453,
2025-02-27,1341,1340,1354,1320,37434261,
2025-02-28,1351,1341,1363,1314,46107331,
2025-03-03,1310,1348,1348,1284,41596987,
2025-03-04,1368.5,1330,1384,1316,92801821,
2025-03-05,1372.5,1364.5,1373.5,1355,24046726,
2025-03-06,1349.5,1369.5,1371.5,1344.5,19937845,
2025-03-07,1329.5,1344,1396.5,1321,34818560,
2025-03-10,1324,1332,1360.5,1321.5,28937312,
2025-03-11,1325.5,1323,1336.5,1310,17722405,
2025-03-12,1322.5,1318,1332.5,1300,25673586,
2025-03-13,1327.5,1330,1358.5,1287.5,39048427,
2025-03-14,1380,1333.5,1393.5,1327.5,94853762,
2025-03-17,1417.5,1400,1427.5,1387.5,69582516,
2025-03-18,1396,1418.5,1430,1390,37850249,
2025-03-19,1420,1396,1427,1371.5,54896887,
2025-03-20,1406.5,1429,1438,1385,59758731,
2025-03-21,1392.5,1415,1419.5,1374,36774704,
2025-03-24,1379,1394,1412,1376.5,28377636,
2025-03-25,1379.5,1395,1420,1375,27350753,
2025-03-26,1430,1395,1455,1395,268289032,
2025-03-27,1416.5,1420,1439.5,1383.5,103781084,
2025-03-28,1404.5,1408,1416,1378.5,58896902,
2025-03-31,1455,1406.5,1478,1400,135359882,
2025-04-01,1438,1460,1500,1426.5,92813797,
2025-04-02,1446.5,1438,1459.5,1425,37169008,
2025-04-03,1470.5,1440,1521,1439.5,251078593,
2025-04-04,1476.5,1470.5,1505,1460,138872987,
2025-04-07,1413.5,1468,1468,1380,141101736,
2025-04-08,1410,1426.5,1447.5,1396,57052009,
2025-04-09,1355,1400,1400,1319.5,78439487,
2025-04-10,1395.5,1400.5,1425,1375.5,44880052,
