;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";08.07.2018;29.06.2018;29.06.2018;29.06.2018;29.06.2018;22.02.2019;25.02.2020;24.02.2021;21.02.2022;29.03.2023;21.03.2024;26.03.2025;09.02.2026;31.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";;;172;240;328;379;380;393;757;820;"2 819";"5 149";"6 760";"6 760"
"Открыто новых магазинов, шт";;;;68;89;51;1;13;364;63;"1 999";"2 330";"1 611";"1 611"
"Общ. площадь магазинов, тыс. м2";;701;882;"1 146";"1 382";"1 467";"1 489";"1 519";"1 755";"1 788";"2 325";"2 610";"3 043";"3 043"
"Сопоставимые продажи, LFL, %";;;;3.9%;0.9%;1.3%;0.1%;5.4%;2.4%;2.3%;4.6%;12.7%;10.4%;8.0%
"Трафик, %";;;;-0.1%;-1.4%;0.5%;0.0%;-5.5%;-2.1%;-2.6%;2.0%;1.8%;1.0%;0.1%
"Средний чек, %";;;;4.0%;2.3%;0.8%;0.1%;11.6%;4.7%;5.0%;2.6%;10.6%;9.3%;7.9%
"Средний чек, руб";;;"1 135";"1 113";"1 062";"1 018";998;"1 115";"1 092";;;767;784;838
"Онлайн продажи, млрд руб";;;;;;;0.9;6.3;19.3;;;62.1;74.8;
"Доля онлайн продаж, %";;;;;;;0%;1%;4%;;;17%;7%;
"Количество заказов, млн";;;;;;;0.4;3.3;10.5;;;;;
"Выручка, млрд руб";144.0;194.0;252.8;306.4;365.2;413.6;417.5;445.5;483.6;537.4;615.9;888.3;"1 104";"1 045"
"Операционная прибыль, млрд руб";;;;23.7;25.6;24.1;19.3;24.6;23.2;14.4;13.9;50.0;;59.2
"EBITDA, млрд руб";16.1;21.4;28.1;31.8;35.5;36.2;34.0;39.3;39.2;32.6;33.6;68.1;;79.5
"Чистая прибыль, млрд руб";7.15;9.10;10.3;11.2;13.3;11.8;-2.10;17.4;13.6;4.85;-2.63;22.5;;31.2
"Операционный денежный поток, млрд руб";;;;19.7;23.8;21.6;31.1;27.3;33.6;20.2;41.7;62.1;;75.3
"CAPEX, млрд руб";;;;42.8;27.1;22.1;14.0;7.41;30.8;10.2;11.1;30.4;;41.8
"FCF, млрд руб";;;;-22.8;-3.20;-0.250;17.1;19.9;2.10;10.0;-43.0;31.5;;20.2
"Див.выплата, млрд руб";;;0.000;0.000;;;;;;;;;;
"Дивиденд, руб/акцию";;;0;0;;;;;;;;;;
