date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,7147.5,7175,7230,7130,4117764315,
2025-02-11,7271,7147.5,7289.5,7147.5,4415083704,
2025-02-12,7676,7275,7685,7217,11336970584,
2025-02-13,7534,7680,7981.5,7390,20032749729,
2025-02-14,7492.5,7444.5,7734,7285,11716816608,
2025-02-17,7784.5,7575,7819,7550,8011772247,
2025-02-18,7644.5,7799.5,7835,7589,8174307786,
2025-02-19,7714.5,7647,7760,7590,4564777576,
2025-02-20,7720,7737,7780,7684.5,3396369977,
2025-02-21,7709.5,7721,7790,7636.5,4994086932,
2025-02-24,7737.5,7710,7744.5,7650,4532616600,
2025-02-25,7729,7737.5,7805,7690,5784850515,
2025-02-26,7555,7729,7764.5,7511,6867279073,
2025-02-27,7497,7570,7630,7466.5,5089633570,
2025-02-28,7546.5,7497,7559.5,7390,5919015358,
2025-03-01,7555,7559.5,7580,7550.5,73772538,
2025-03-02,7531,7555.5,7566,7508,184453155,
2025-03-03,7341.5,7531,7539,7266.5,7962256015,
2025-03-04,7393,7356,7472,7245,10122512494,
2025-03-05,7241,7405.5,7405.5,7230,7704132373,
2025-03-06,7175,7250,7284.5,7130,6062306963,
2025-03-07,7225,7200,7305.5,7100.5,7453073888,
2025-03-10,7185,7230,7260,7161.5,3949740535,
2025-03-11,7248.5,7185,7278.5,7156,3875766585,
2025-03-12,7205,7257.5,7259,7180,2824174665,
2025-03-13,7130,7207,7242,7095,7141136568,
2025-03-14,7149.5,7120,7180,7081.5,4091845965,
2025-03-15,7167,7163,7177,7163,112613774,
2025-03-16,7209.5,7170,7218,7170,396703765,
2025-03-17,7222.5,7215,7272,7152,4771646777,
2025-03-18,7183,7223.5,7299,7157,6808048960,
2025-03-19,7221,7200,7278.5,7150,4018203501,
2025-03-20,7293.5,7221.5,7316.5,7175,10019849701,
2025-03-21,7346.5,7300,7398,7299,7705739727,
2025-03-24,7291,7350,7385.5,7250.5,7262479315,
2025-03-25,7265,7291,7330,7184,7453456778,
2025-03-26,7185,7275.5,7309,7180,3854353266,
2025-03-27,7108.5,7200,7200,7097,4176983024,
2025-03-28,7064.5,7108,7129.5,7048,5232721123,
2025-03-29,7013.5,7065,7079,6971.5,632031864,
2025-03-30,6853,7020,7020,6851,1715895709,
2025-03-31,7026.5,6853,7114.5,6800,6174858670,
2025-04-01,6905,7038.5,7104,6887.5,6073751966,
2025-04-02,6978,6892,6989,6851,4967960701,
2025-04-03,6802,6977,7030,6700,6964994270,
2025-04-04,6445.5,6818,6824.5,6445.5,12367482540,
2025-04-05,6486,6430,6489.5,6327.5,1672835904,
2025-04-06,6587.5,6487,6596,6452,1232891680,
2025-04-07,6349.5,6448,6500,6275.5,15710298780,
2025-04-08,6283.5,6399.5,6478,6278,7083580292,
2025-04-09,6507,6270,6550,6110,12665046575,
2025-04-10,6393,6520,6530,6350,5547631265,
2025-04-11,6508,6375.5,6533,6374.5,5269667809,
2025-04-12,6582,6522,6583.5,6522,500435505,
2025-04-13,6562,6582,6599,6555.5,504411448,
2025-04-14,6474,6570,6573,6427.5,3574569725,
2025-04-15,6466,6475,6520,6410,2098914900,
2025-04-16,6515,6467,6550,6410,2960611956,
2025-04-17,6719,6530,6720,6517,5306623413,
2025-04-18,6629.5,6676,6699.5,6500,4918864902,
2025-04-21,6732.5,6675.5,6765,6631.5,3492143305,
2025-04-22,6764,6743,6825,6672,5003732215,
2025-04-23,6743,6777,6789,6678,4157943175,
2025-04-24,6683.5,6746,6800,6680,2997681008,
2025-04-25,6856.5,6693.5,6875,6693,4659979486,
2025-04-26,6904,6878,6963,6878,796193306,
2025-04-27,6914,6924.5,6939.5,6901,232787250,
2025-04-28,6827,6912,6958.5,6805,4315533862,
2025-04-29,6725,6827,6868,6700,2846235795,
2025-04-30,6684,6725,6763,6595,4575063179,
2025-05-02,6504,6685,6703.5,6485,2558868261,
2025-05-03,6525,6504,6531,6480,187358274,
2025-05-04,6544,6525,6574.5,6508,319079897,
2025-05-05,6335.5,6519.5,6545,6285,5763094097,
2025-05-06,6373.5,6338.5,6462.5,6292.5,4461472359,
2025-05-07,6458.5,6380.5,6497,6340,4127670998,
2025-05-08,6535,6455,6536,6451,1857310762,
2025-05-10,6579.5,6563,6595,6560,282604011,
2025-05-11,6649.5,6630,6675,6625.5,626002649,
2025-05-12,6775,6669,6800,6655.5,4941060448,
2025-05-13,6773,6774,6790,6704,2609230170,
2025-05-14,6699.5,6785,6840,6660,2832491770,
2025-05-15,6612,6680,6732.5,6540.5,4632209916,
2025-05-16,6605,6611.5,6689,6491,4844726927,
2025-05-17,6669.5,6620,6680,6611.5,354312129,
2025-05-18,6731.5,6704.5,6740,6689.5,581082701,
2025-05-19,6636.5,6731,6731,6615,3792612218,
2025-05-20,6584,6649.5,6667.5,6561.5,2197445224,
2025-05-21,6604.5,6594,6670,6575,2480528888,
2025-05-22,6528,6608,6617,6470,4571884723,
2025-05-23,6550,6482,6561.5,6482,2179598032,
2025-05-26,6440,6557.5,6569,6400,4043394160,
2025-05-27,6486,6438,6498,6371.5,3025410537,
2025-05-28,6686,6486,6687,6444,4889897063,
2025-05-29,6680.5,6695.5,6815,6650,5774368377,
2025-05-30,6749,6680.5,6764,6651,5083316070,
2025-05-31,6784.5,6761.5,6800,6761.5,545138152,
2025-06-01,6718,6784.5,6788.5,6673,1529875918,
2025-06-02,6834,6719,6834,6690,9570509572,
2025-06-03,6473,6360,6497.5,6350,11553538049,
2025-06-04,6431.5,6473,6487.5,6422,4553461472,
2025-06-05,6453,6448,6472,6437.5,2734708414,
2025-06-06,6344.5,6454,6545,6330,6989779243,
2025-06-07,6362.5,6345,6383,6345,225954347,
2025-06-08,6352,6364,6372.5,6334,317895786,
2025-06-09,6249,6350,6371,6221.5,3714967626,
