;2000Q4;2001Q4;2002Q4;2003Q4;2004Q4;2005Q4;2006Q4;2007Q4;2008Q4;2009Q4;2010Q4;2011Q4;2012Q3;2012Q4;2013Q2;2013Q4;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;;;;;;;;;;;;;;05.03.2022;;15.06.2020;;30.03.2020;;15.06.2020;;27.04.2018;28.05.2018;28.05.2018;30.04.2018;24.04.2018;28.05.2018;29.08.2018;28.11.2018;04.03.2019;29.05.2019;28.08.2019;26.11.2019;10.03.2020;03.06.2020;27.08.2020;24.11.2020;10.03.2021;26.05.2021;27.08.2021;25.11.2021;02.03.2022;;;;27.05.2023;04.09.2023;29.08.2023;;12.03.2024;15.09.2024;29.08.2024;;24.03.2025;;29.08.2025;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;;;;;;;;29.1;28.1;26.9;25.2;24.9;23.9;22.8;21.9;21.8;21.8;22.0;21.9;21.4;21.5;22.2;22.1;21.6;21.8;22.1;22.1;22.1;19.9;18.8;19.2;19.4;19.9;20.3;21.5;;;;;;;;;;;;;;;;
"Переработка нефти, млн т";;;;;;;;;;;;;;;;;;;14.1;;17.3;60.9;14.9;15.5;16.3;16.3;16.2;16.4;17.4;17.3;16.1;16.7;17.5;17.0;16.7;16.8;18.2;17.0;17.0;13.5;14.9;13.2;14.4;15.7;17.3;15.5;;;;;;;;;;;;;;;;
"Добыча газа, млрд м3";;;;;;;;;;;;;;;;;;;;;;;6.30;5.07;4.70;5.20;6.46;6.95;7.30;8.19;8.00;8.13;8.51;8.91;8.98;8.38;8.26;9.40;8.40;6.40;5.97;8.23;8.80;7.10;7.70;8.56;;;;;4.60;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;;;;;;"1 440";"1 477";"1 464";"1 368";"1 178";"1 339";"1 309";"1 401";"1 432";"1 359";"1 484";"1 663";"1 631";"2 056";"2 306";"2 043";"1 851";"2 126";"1 952";"1 912";"1 666";986.0;"1 457";"1 530";"1 876";"2 202";"2 589";"2 764";;;;;"1 681";"1 926";;"4 321";"2 061";"2 273";;"4 288";;"3 602";;"7 890"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.1;43.7;98.8;99.1;200.7;233.3;247.8;297.2;;;;;295.8;316.0;;816.2;332.4;361.8;;497.8;;344.7;;842.5
"EBITDA, млрд руб";;;;;;;;;;;;;;;;;;;214.0;219.0;213.0;186.0;192.0;190.0;166.0;183.3;207.6;179.0;221.1;223.9;219.5;295.2;321.8;278.5;298.1;332.1;327.8;278.2;150.8;144.5;202.0;189.7;314.0;340.0;355.0;395.0;;;;;417.4;453.6;;;473.2;511.6;;800.2;;606.2;;"1 406"
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;;;;104.0;100.0;188.4;-106.0;42.8;86.0;63.0;112.0;62.3;79.0;103.7;154.4;109.1;167.3;183.8;159.0;149.2;181.8;190.9;118.3;-46.0;-18.7;50.4;29.5;157.0;190.0;193.0;233.4;;;;;261.8;302.6;;590.7;310.6;279.6;;258.3;;287.0;;545.3
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185.7;142.8;227.4;220.6;270.8;216.4;322.0;317.3;;;;;;760.0;;"1 064";;782.3;;"1 006";;711.6;;"1 717"
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;;;154.0;;143.0;160.0;125.8;119.0;120.6;139.7;130.2;125.0;118.9;137.4;121.1;105.8;111.4;113.3;97.4;107.6;109.1;135.9;130.2;117.2;112.8;134.8;107.0;104.0;94.0;128.0;;;;;;339.0;;;;326.8;;453.2;;386.6;;839.8
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;63.0;;91.0;120.0;57.4;57.0;105.0;38.4;1.40;81.7;90.7;73.2;45.9;137.2;159.8;212.2;145.9;162.4;208.9;184.7;55.5;25.5;114.6;85.4;164.0;112.0;228.0;189.6;;;;;;395.0;;569.0;;441.8;;537.2;;309.3;;846.5
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;0.000;0.000;55.3;;0.000;0.000;63.8;102.1;;;72.3;110.6;;;80.8;116.3;;;137.0;243.0;;;30.0;139.0;;;222.0;349.2;;;166.5;284.9;;;290.7;345.0;;;356.2;366.6;;;275.1;641.7
"Дивиденд, руб/акцию";;;;;;;;;;;;;40;40;50;60;60;94;0;0;65;;0;0;75;120;;;85;130;;;95;155;;;192;350;;;46;213;;;340;537;;;256;438;;;447;498;;;514;541;;;397;938
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;2.0%;;2.9%;;4.2%;0.0%;0.0%;2.9%;0.0%;0.0%;0.0%;2.4%;3.5%;0.0%;0.0%;2.8%;3.9%;0.0%;0.0%;1.9%;3.1%;0.0%;0.0%;3.6%;5.7%;0.0%;0.0%;1.0%;4.1%;0.0%;0.0%;4.9%;8.2%;0.0%;0.0%;6.6%;10.8%;0.0%;0.0%;6.7%;7.4%;0.0%;0.0%;7.4%;7.5%;0.0%;0.0%;6.5%;18.3%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;;;;;;0%;0%;29%;0%;0%;0%;101%;91%;0%;0%;70%;72%;0%;0%;44%;73%;0%;0%;72%;205%;0%;0%;60%;471%;0%;0%;115%;150%;;;;;0%;0%;;58%;0%;0%;;142%;;0%;;118%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;118.8;118.4;113.2;113.7;112.1;117.3;107.5;110.6;120.6;118.1;108.6;112.2;123.8;119.8;109.2;113.7;119.3;115.6;111.5;105.5;109.0;114.0;116.0;125.0;128.0;140.0;;;;;153.6;157.6;;335.8;151.0;163.7;;356.3;;338.7;;695.0
"Себестоимость, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 594";;;;"1 204";;"1 204"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121.1;137.6;;318.3;140.7;149.9;;302.4;;261.6;;564.0
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5;60.6;55.3;55.6;53.3;64.0;58.5;59.7;;;;;99.7;73.0;;;94.4;88.4;;183.2;;180.3;;363.5
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.72;14.1;4.56;15.7;3.70;12.3;3.57;11.2;;;;;6.49;4.65;;;7.49;5.48;;13.7;;13.1;;26.8
"Активы, млрд руб";;;;;;;;;;;;;;;;;;"4 739";;;;"5 021";;;;"5 015";;;;"5 226";;;;"5 732";"5 823";"5 898";"5 848";"5 947";"6 128";"6 002";"6 196";"5 992";"6 378";"6 509";"6 634";"6 865";;;;;;"7 907";;"8 600";;"8 620";;"9 283";;"7 751";;"7 751"
"Чистые активы, млрд руб";;;;;;;;;;;"1 804";"2 185";;"2 223";;"2 655";;"4 564";;;"5 170";"3 231";"3 250";"3 211";"3 264";"3 221";"3 264";"3 339";"3 440";"3 483";"3 589";"3 722";"3 954";"4 066";"4 048";"3 867";"4 142";"3 965";"4 359";"3 955";"4 219";"4 123";"4 311";"4 298";"4 507";"4 515";;;;;;"6 023";;"6 384";;"6 489";;"6 826";;"5 380";;"5 380"
"Долг, млрд руб";;;;;;;;;;;341.3;293.9;;200.4;;353.5;;756.0;;;841.0;859.0;903.5;865.0;840.0;698.6;662.5;648.9;638.1;616.4;609.4;542.3;565.4;535.0;641.9;620.2;620.7;553.2;689.3;797.6;802.7;659.7;661.0;631.0;634.7;758.0;;;;;;388.0;;396.0;;368.0;;380.0;;344.6;;344.6
"Наличность, млрд руб";;;;;;;;;;;73.1;88.9;;88.5;;56.0;;169.0;;;250.0;257.0;314.5;346.7;345.2;261.4;196.5;299.7;293.5;330.4;296.8;339.2;371.8;492.7;444.5;506.1;447.2;516.0;500.0;616.0;444.0;343.8;489.0;555.0;627.0;677.5;;;;;;"1 020";;"1 180";;"1 127";;"1 526";;576.1;;576.1
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;268.2;205.0;0.00;111.9;0.00;297.5;0.00;587.0;0.00;0.00;591.0;602.0;589.0;518.3;494.8;437.2;466.0;349.2;344.6;286.0;312.6;203.1;193.6;42.4;197.5;114.1;173.6;37.2;189.3;181.6;358.7;315.9;172.0;76.0;7.70;80.5;0.00;0.00;0.00;0.00;0.00;-632.0;0.00;-784.0;0.00;-759.0;0.00;"-1 146";0.00;-231.5;0.00;-231.5
"Цена акции ао, руб";260.6;369.1;489.8;677.0;833.0;"1 705";"2 283";"2 067";961.6;"1 693";"1 742";"1 703";;"2 000";;"2 040";;"2 225";"2 705";"2 470";"2 243";"2 346";"2 622";"2 684";"3 068";"3 449";"2 981";"2 872";"3 064";"3 335";"3 961";"4 350";"5 022";"4 997";"5 894";"5 305";"5 388";"6 169";"4 678";"5 310";"4 503";"5 183";"6 112";"6 775";"6 920";"6 559";"5 680";"3 917";"3 895";"4 071";"4 337";"5 087";"6 671";"6 761";"7 554";"7 185";"6 951";"7 241";"7 040";"6 327";"6 092";"5 129"
