;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;;;;;;;05.03.2022;30.03.2020;27.04.2018;24.04.2018;04.03.2019;10.03.2020;10.03.2021;02.03.2022;27.05.2023;12.03.2024;24.03.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;90.9;89.9;90.8;97.2;100.7;92.0;87.2;87.1;87.5;80.1;81.1;85.0;82.6;80.4;
"Переработка нефти, млн т";;;;;;;;;;;;;63.8;64.2;64.1;64.5;66.1;67.2;67.3;68.7;58.6;63.0;70.1;60.7;54.3;
"Добыча газа, млрд м3";;;;;;;;;;;;;19.4;20.4;26.1;20.3;20.3;28.8;33.5;35.0;29.0;32.2;34.6;35.2;34.3;
"Выручка, млрд руб";;;;;;;;;"3 164";"2 453";"3 199";"4 317";"4 327";"4 505";"5 505";"5 749";"5 227";"5 937";"8 036";"7 841";"5 639";"9 431";;"7 928";"8 622";"7 890"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;412.3;465.7;419.1;506.5;771.7;821.1;281.7;978.9;;"1 428";"1 192";842.5
"EBITDA, млрд руб";;;;;;;;;464.2;408.3;489.1;601.0;518.2;613.3;798.0;769.0;730.7;831.6;"1 115";"1 236";687.0;"1 404";;"2 005";"1 785";"1 406"
"Чистая прибыль, млрд руб";;;;;;;;;267.4;211.7;274.3;334.5;342.1;327.5;395.5;291.1;303.8;399.4;619.2;640.2;15.2;773.4;790.0;"1 155";848.5;545.3
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;206.8;418.8;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;651.4;849.0;752.3;758.5;"1 007";"1 152";776.6;"1 127";;"1 824";"1 788";"1 717"
"CAPEX, млрд руб";;;;;;;;;;;208.6;274.3;368.4;491.6;611.0;607.0;497.1;511.5;451.5;450.0;495.0;433.0;;720.0;780.0;839.8
"FCF, млрд руб";;;;;;;;;110.9;72.6;210.3;233.9;199.9;20.5;72.0;248.0;255.1;247.0;555.1;701.9;281.0;693.6;;964.0;979.0;846.5
"Див.выплата, млрд руб";6.80;12.8;17.0;20.4;23.8;28.1;32.3;35.7;42.5;44.2;50.2;63.8;76.6;93.6;131.0;151.2;165.9;182.9;187.5;380.0;169.0;571.2;451.3;635.7;722.8;641.7
"Дивиденд, руб/акцию";8;15;20;24;28;33;38;42;50;52;59;75;90;110;154;177;195;215;250;542;259;877;694;945;1055;938
